player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Philippe Brunel,22,Left Midfield,Lens,0.0,in,Summer,1995,1995/1996
Christophe Ajas,23,Right Winger,LB Châteauroux,0.0,in,Summer,1995,1995/1996
Patrice Eyraud,27,Defensive Midfield,FC Metz,0.0,in,Summer,1995,1995/1996
Mohammed Lashaf,27,Right Midfield,Standard Liège,0.0,in,Summer,1995,1995/1996
Francisc Dican,27,midfield,U Cluj,0.0,in,Summer,1995,1995/1996
Stéphane Pounewatchy,27,Centre-Back,FC Martigues,0.0,in,Summer,1995,1995/1996
Clément Garcia,27,attack,LOSC Lille,0.0,in,Summer,1995,1995/1996
Clément Garcia,27,attack,SH Shenhua,0.0,out,Summer,1995,1995/1996
Dariusz Marciniak,28,Centre-Forward,GKS Belchatow,0.0,out,Summer,1995,1995/1996
Nicolas Debord,26,midfield,Le Mans UC 72,0.0,out,Summer,1995,1995/1996
Thierry Falzon,29,Defensive Midfield,Retired,0.0,out,Summer,1995,1995/1996
Pierre Chavrondier,23,midfield,Olympique Lyon,0.0,out,Summer,1995,1995/1996
Laurent Ciechelski,24,Right-Back,AJ Auxerre,0.0,in,Winter,1995,1995/1996
