player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
David Bouard,21,Defensive Midfield,SM Caen,0.0,in,Summer,1998,1998/1999
Yannick Fischer,23,Centre-Back,Marseille,0.0,in,Summer,1998,1998/1999
Ousmane Soumah,24,Centre-Forward,SC Bastia,0.0,in,Summer,1998,1998/1999
Loïc Druon,26,Left-Back,LB Châteauroux,0.0,in,Summer,1998,1998/1999
Pascal Bédrossian,23,Left Midfield,Stade Rennais,0.0,in,Summer,1998,1998/1999
Ismaël Triki,30,Centre-Back,Lausanne-Sport,0.0,in,Summer,1998,1998/1999
Stéphane Le Garrec,29,Goalkeeper,Stade Lavallois,0.0,in,Summer,1998,1998/1999
Angelo Hugues,31,Goalkeeper,Guingamp,0.0,in,Summer,1998,1998/1999
Fabien Le Dillaut,NA,Goalkeeper,Unknown,0.0,in,Summer,1998,1998/1999
Alexandre Moreno,20,midfield,Angers SCO,0.0,in,Summer,1998,1998/1999
Pascal Camadini,26,Central Midfield,FC Sion,0.0,in,Summer,1998,1998/1999
Ross Aloisi,25,Central Midfield,FC Aarau,0.0,in,Summer,1998,1998/1999
Emerson,25,Second Striker,Defensor,0.0,in,Summer,1998,1998/1999
Robert Malm,24,Centre-Forward,Toulouse,0.0,out,Summer,1998,1998/1999
Sébastien Le Paih,23,Attacking Midfield,Angers SCO,0.0,out,Summer,1998,1998/1999
David-Alexandre Dicanot,24,defence,FC Martigues,0.0,out,Summer,1998,1998/1999
Cyrille Watier,26,Centre-Forward,GSI Pontivy,0.0,out,Summer,1998,1998/1999
Christophe Le Grix,24,Left Midfield,FC Metz,0.0,out,Summer,1998,1998/1999
David Grossmann,25,defence,Angers SCO,0.0,out,Summer,1998,1998/1999
Olivier Moullac,25,Goalkeeper,Retired,0.0,out,Summer,1998,1998/1999
Philippe Schuth,31,Goalkeeper,Without Club,0.0,out,Summer,1998,1998/1999
Djima Oyawolé,21,Centre-Forward,FC Metz,0.0,out,Summer,1998,1998/1999
Patrice Loko,28,Centre-Forward,Paris SG,0.0,in,Winter,1998,1998/1999
