player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Patrick Collot,26,Central Midfield,SC Toulon 83,0.0,in,Summer,1993,1993/1994
Didier Tholot,29,Centre-Forward,Saint-Étienne,0.0,in,Summer,1993,1993/1994
Sylver Hoffer,25,attack,Louh.-Cuiseaux,0.0,in,Summer,1993,1993/1994
Stéphane Mazzolini,26,Right-Back,AJ Auxerre,0.0,in,Summer,1993,1993/1994
Maurice Bouquet,30,Central Midfield,Saint-Étienne,0.0,in,Summer,1993,1993/1994
Philippe Anziani,31,Second Striker,SC Toulon 83,0.0,in,Summer,1993,1993/1994
Thierry Rabat,31,Centre-Back,SC Toulon 83,0.0,in,Summer,1993,1993/1994
Christophe Chaintreuil,29,Defensive Midfield,Saint-Étienne,0.0,in,Summer,1993,1993/1994
Karim Malagouen,17,midfield,Unknown,0.0,in,Summer,1993,1993/1994
Jean-Marc Ferreri,30,Attacking Midfield,Marseille,0.0,in,Summer,1993,1993/1994
Joël Bossis,28,Left Winger,Le Mans UC 72,0.0,in,Summer,1993,1993/1994
Jean-Claude Pagal,28,Defensive Midfield,Saint-Étienne,0.0,in,Summer,1993,1993/1994
Frédéric Mendy,19,Centre-Back,Martigues U19,0.0,in,Summer,1993,1993/1994
Fabrice Richard,19,Centre-Back,GFCO Ajaccio,0.0,out,Summer,1993,1993/1994
Jean-Paul Péronin,22,defence,SC Toulon 83,0.0,out,Summer,1993,1993/1994
Sylver Hoffer,25,attack,FC Istres,0.0,out,Summer,1993,1993/1994
Didier Philippe,31,midfield,SC Toulon 83,0.0,out,Summer,1993,1993/1994
Stéphane Roche,22,Central Midfield,Olympique Lyon,0.0,out,Summer,1993,1993/1994
Laurent Castro,23,attack,SC Bastia,0.0,out,Summer,1993,1993/1994
Frédéric Limantour,22,Goalkeeper,AC Arles-Avignon,0.0,out,Summer,1993,1993/1994
Henri Canet,33,defence,Retired,0.0,out,Summer,1993,1993/1994
Stéphane Charasse,24,Goalkeeper,Retired,0.0,out,Summer,1993,1993/1994
Jean-Roch Testa,28,attack,AC Le Havre,0.0,out,Summer,1993,1993/1994
Pierre Chavrondier,21,midfield,Olympique Lyon,0.0,out,Summer,1993,1993/1994
Anicet Saussé,24,defence,Lens,0.0,out,Summer,1993,1993/1994
Stéphane Blondeau,25,Right-Back,Montpellier,0.0,out,Summer,1993,1993/1994
Laurent David,22,midfield,CS Sedan,0.0,in,Summer,1994,1994/1995
Henrik Bertilsson,24,Centre-Forward,Halmstads BK,0.0,in,Summer,1994,1994/1995
Fabien Artès,16,defence,Unknown,0.0,in,Summer,1994,1994/1995
Serge Romano,30,midfield,Toulouse,0.0,in,Summer,1994,1994/1995
Didier Dubois,27,Centre-Back,Lens,0.0,in,Summer,1994,1994/1995
Eduardo Oliveira,21,Centre-Back,Île-Rousse,0.0,in,Summer,1994,1994/1995
Abdoul Karim Bangoura,23,defence,SC Bastia B,0.0,in,Summer,1994,1994/1995
Abassi Boinahéri,17,Centre-Forward,Martigues U19,0.0,in,Summer,1994,1994/1995
Laurent Grimaud,17,defence,Martigues U19,0.0,in,Summer,1994,1994/1995
Frédéric Limantour,23,Goalkeeper,AC Arles-Avignon,0.0,in,Summer,1994,1994/1995
Jean-Claude Pagal,29,Defensive Midfield,América,0.0,out,Summer,1994,1994/1995
Joël Bossis,29,Left Winger,LB Châteauroux,0.0,out,Summer,1994,1994/1995
Jean-Marc Ferreri,31,Attacking Midfield,Marseille,0.0,out,Summer,1994,1994/1995
Philippe Anziani,32,Second Striker,GFCO Ajaccio,0.0,out,Summer,1994,1994/1995
Stéphane Mazzolini,27,Right-Back,Marseille,0.0,out,Summer,1994,1994/1995
Henri-Claude Ferblantier,23,Centre-Back,Rouen,0.0,out,Summer,1994,1994/1995
Maxence Flachez,22,Centre-Back,Olympique Lyon,0.0,in,Summer,1995,1995/1996
Samir Zamfir,27,Attacking Midfield,Extensiv Craiova,0.0,in,Summer,1995,1995/1996
Bruno Génésio,28,midfield,Olympique Lyon,0.0,in,Summer,1995,1995/1996
Franck Raviot,21,Goalkeeper,Lens,0.0,in,Summer,1995,1995/1996
Franck Soler,24,attack,AJ Auxerre,0.0,in,Summer,1995,1995/1996
Olivier Ichoua,24,midfield,FC Metz,0.0,in,Summer,1995,1995/1996
Abdoul Salam Sow,24,Right Winger,Ankaragücü,0.0,in,Summer,1995,1995/1996
Mohamed Lamine Sylla,24,Centre-Forward,Willem II,0.0,in,Summer,1995,1995/1996
Olivier Vandevoorde,25,attack,AS Beauvais,0.0,in,Summer,1995,1995/1996
Abidou Tchagnao,20,midfield,Martigues U19,0.0,in,Summer,1995,1995/1996
