player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Robert Pirès,18,Left Midfield,Stade Reims B,0.0,in,Summer,1992,1992/1993
Anthony Baffoe,27,midfield,F. Düsseldorf,0.0,in,Summer,1992,1992/1993
Thomas Kokkinis,20,Goalkeeper,AS Red Star 93,0.0,in,Summer,1992,1992/1993
Jean-Philippe Séchet,26,Central Midfield,AS Nancy,0.0,in,Summer,1992,1992/1993
François Darcy,24,Goalkeeper,Besançon RC,0.0,in,Summer,1992,1992/1993
Frédéric Hantz,26,Central Midfield,FC Istres,0.0,in,Summer,1992,1992/1993
Éric Bertrand,28,defence,AS Nancy,0.0,in,Summer,1992,1992/1993
Franck Meyrignac,21,defence,US Orléans 45,0.0,in,Summer,1992,1992/1993
Olivier Ichoua,21,midfield,La Roche Vendée,0.0,in,Summer,1992,1992/1993
David Zitelli,23,Centre-Forward,AS Nancy,0.0,in,Summer,1992,1992/1993
Mohamed Chaouch,25,Centre-Forward,FC Istres,0.0,in,Summer,1992,1992/1993
Didier Lang,21,Defensive Midfield,FC Metz B,0.0,in,Summer,1992,1992/1993
Christophe Boulard,19,Left-Back,FC Metz B,0.0,in,Summer,1992,1992/1993
Christophe Paul,20,defence,FC Metz B,0.0,in,Summer,1992,1992/1993
Dario Saint-Hilaire,20,defence,FC Metz B,0.0,in,Summer,1992,1992/1993
David Terrier,18,Centre-Back,FC Metz B,0.0,in,Summer,1992,1992/1993
Emmanuel Clément,20,Defensive Midfield,Amiens SC,0.0,out,Summer,1992,1992/1993
François Darcy,25,Goalkeeper,AS Poissy,0.0,out,Summer,1992,1992/1993
Francois Calderaro,28,Centre-Forward,Paris SG,0.0,out,Summer,1992,1992/1993
Serge Romano,28,midfield,Toulouse,0.0,out,Summer,1992,1992/1993
Kwame Ayew,18,Centre-Forward,Al-Ahli SC,0.0,out,Summer,1992,1992/1993
Yannick Stopyra,31,Centre-Forward,Mulhouse S-A,0.0,out,Summer,1992,1992/1993
Philippe Gaillot,27,Left-Back,US Valenciennes,0.0,out,Summer,1992,1992/1993
Thierry Pauk,26,defence,Famalicão,0.0,out,Summer,1992,1992/1993
Didier Casini,29,Right-Back,Retired,0.0,out,Summer,1992,1992/1993
Michel Ettorre,34,Goalkeeper,Retired,0.0,out,Summer,1992,1992/1993
Philippe Hinschberger,32,Attacking Midfield,Career break,0.0,out,Summer,1992,1992/1993
Philippe Schuth,25,Goalkeeper,Without Club,0.0,out,Summer,1992,1992/1993
Dragoljub Brnovic,28,midfield,Without Club,0.0,out,Summer,1992,1992/1993
Claude Massa,30,Defensive Midfield,Guingamp,0.0,out,Winter,1992,1992/1993
Thomas Kokkinis,21,Goalkeeper,Rouen,0.0,out,Winter,1992,1992/1993
Thomas Kokkinis,21,Goalkeeper,Unknown,0.0,in,Summer,1993,1993/1994
Jacques Songo'o,29,Goalkeeper,Le Mans UC 72,0.0,in,Summer,1993,1993/1994
Philippe Gaillot,28,Left-Back,US Valenciennes,0.0,in,Summer,1993,1993/1994
Patrice Eyraud,25,Defensive Midfield,SC Toulon 83,0.0,in,Summer,1993,1993/1994
Thomas Kokkinis,21,Goalkeeper,Rouen,0.0,in,Summer,1993,1993/1994
Benoît Lahery,20,attack,FC Metz B,0.0,in,Summer,1993,1993/1994
Cyrille Pouget,20,Centre-Forward,FC Metz B,0.0,in,Summer,1993,1993/1994
Jeff Strasser,18,Centre-Back,FC Metz B,0.0,in,Summer,1993,1993/1994
Emmanuel Clément,21,Defensive Midfield,Amiens SC,0.0,in,Summer,1993,1993/1994
Samba N'Diaye,20,Centre-Forward,LOSC Lille,0.0,in,Summer,1993,1993/1994
William Dymant,22,attack,O Charleville,0.0,out,Summer,1993,1993/1994
Christophe Paul,21,defence,SAS Epinal,0.0,out,Summer,1993,1993/1994
Mohamed Chaouch,26,Centre-Forward,OGC Nice,0.0,out,Summer,1993,1993/1994
Nicolas Huysman,25,Left Midfield,SM Caen,0.0,out,Summer,1993,1993/1994
Dario Saint-Hilaire,21,defence,Quimper,0.0,out,Summer,1993,1993/1994
Frédéric Hantz,27,Central Midfield,OGC Nice,0.0,out,Summer,1993,1993/1994
Dragoljub Brnovic,30,midfield,Örgryte,0.0,in,Winter,1993,1993/1994
Lubos Kubik,29,Central Midfield,1.FC Nuremberg,0.0,out,Winter,1993,1993/1994
Rigobert Song,18,Centre-Back,Tonnerre,0.0,in,Summer,1994,1994/1995
Philippe Vercruysse,32,Attacking Midfield,G. Bordeaux,0.0,in,Summer,1994,1994/1995
Sylvain Kastendeuch,30,Sweeper,Toulouse,0.0,in,Summer,1994,1994/1995
Zlatko Arambasic,24,Centre-Forward,KV Mechelen,0.0,in,Summer,1994,1994/1995
Mickaël Hoy,23,Central Midfield,Mulhouse S-A,0.0,in,Summer,1994,1994/1995
Philippe Chanlot,26,Centre-Forward,Perpignan,0.0,out,Summer,1994,1994/1995
Dragoljub Brnovic,30,midfield,Aris Bonneweg,0.0,out,Summer,1994,1994/1995
Benoît Lahery,21,attack,Union Luxemburg,0.0,out,Summer,1994,1994/1995
Emmanuel Clément,22,Defensive Midfield,O Charleville,0.0,out,Summer,1994,1994/1995
