player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Serge Le Dizet,28,Right-Back,Stade Rennais,0.0,in,Summer,1992,1992/1993
Fabien Debotté,28,Defensive Midfield,SM Caen,0.0,in,Summer,1992,1992/1993
José Dalmao,22,attack,ES La Rochelle,0.0,in,Summer,1992,1992/1993
Anthony Martins,21,midfield,FC Nantes B,0.0,in,Summer,1992,1992/1993
Claude Makélélé,19,Defensive Midfield,FC Nantes B,0.0,in,Summer,1992,1992/1993
Marcel Desailly,23,Centre-Back,Marseille,0.0,out,Summer,1992,1992/1993
Johnny Mölby,23,Central Midfield,Bor. M'gladbach,0.0,out,Summer,1992,1992/1993
Jorge Burruchaga,29,Attacking Midfield,US Valenciennes,0.0,out,Summer,1992,1992/1993
Jean-Jacques Eydelie,26,Defensive Midfield,Marseille,0.0,out,Summer,1992,1992/1993
Thierry Bonalair,26,Left-Back,AJ Auxerre,0.0,out,Summer,1992,1992/1993
Zoran Vulic,30,Centre-Back,Hajduk Split,0.0,out,Summer,1992,1992/1993
Thierno Youm,32,attack,Esperance,0.0,out,Summer,1992,1992/1993
Joël Henry,30,Attacking Midfield,Retired,0.0,out,Summer,1992,1992/1993
Christophe Pignol,23,Left-Back,FC Istres,0.0,in,Summer,1993,1993/1994
Samson Siasia,25,attack,KSC Lokeren,0.0,in,Summer,1993,1993/1994
Noureddine Naybet,23,Centre-Back,Wydad AC,0.0,in,Summer,1993,1993/1994
Jean-Christophe Bouteiller,20,midfield,FC Nantes B,0.0,in,Summer,1993,1993/1994
Jean-Louis Garcia,30,Goalkeeper,FC Nantes B,0.0,in,Summer,1993,1993/1994
Fabien Debotté,29,Defensive Midfield,RC Ancenis,0.0,out,Summer,1993,1993/1994
José Dalmao,23,attack,USL Dunkerque,0.0,out,Summer,1993,1993/1994
Éric Decroix,25,Centre-Back,LOSC Lille,0.0,in,Summer,1994,1994/1995
Benoît Cauet,25,Central Midfield,SM Caen,0.0,in,Summer,1994,1994/1995
Dominique Casagrande,23,Goalkeeper,AS Muret,0.0,in,Summer,1994,1994/1995
David Garcion,20,Attacking Midfield,Unknown,0.0,in,Summer,1994,1994/1995
Willy Grondin,19,Goalkeeper,FC Nantes B,0.0,in,Summer,1994,1994/1995
Franck Renou,20,Attacking Midfield,FC Nantes B,0.0,in,Summer,1994,1994/1995
Sébastien Le Paih,19,Attacking Midfield,FC Nantes U19,0.0,in,Summer,1994,1994/1995
Stéphane Ziani,22,Attacking Midfield,SC Bastia,0.0,out,Summer,1994,1994/1995
Noureddine Naybet,24,Centre-Back,Sporting CP,0.0,out,Summer,1994,1994/1995
Jean-Louis Lima,26,Centre-Forward,Stade Lavallois,0.0,out,Summer,1994,1994/1995
Anthony Martins,23,midfield,Guingamp,0.0,out,Summer,1994,1994/1995
Jean-Christophe Bouteiller,21,midfield,Le Mans UC 72,0.0,out,Summer,1994,1994/1995
Bruno Carotti,22,Centre-Back,Montpellier,0.0,in,Summer,1995,1995/1996
Jocelyn Gourvennec,23,Attacking Midfield,Stade Rennais,0.0,in,Summer,1995,1995/1996
Roman Kosecki,29,Centre-Forward,Atlético Madrid,0.0,in,Summer,1995,1995/1996
Jean-Marc Chanelet,26,Right-Back,Nîmes Olympique,0.0,in,Summer,1995,1995/1996
Jean-Christophe Bouteiller,22,midfield,Le Mans UC 72,0.0,in,Summer,1995,1995/1996
Laurent Peyrelade,25,Centre-Forward,ESA Brive,0.0,in,Summer,1995,1995/1996
Frédéric Da Rocha,20,Right Winger,FC Nantes B,0.0,in,Summer,1995,1995/1996
Nicolas Savinaud,19,Defensive Midfield,FC Nantes B,0.0,in,Summer,1995,1995/1996
Christian Karembeu,24,Defensive Midfield,Sampdoria,0.0,out,Summer,1995,1995/1996
Patrice Loko,25,Centre-Forward,Paris SG,0.0,out,Summer,1995,1995/1996
