player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
André Blanc,25,midfield,SC Toulon Var,0.0,in,Summer,1992,1992/1993
Frédéric Darras,25,Right-Back,AJ Auxerre,0.0,in,Summer,1992,1992/1993
Patrice Garande,31,Centre-Forward,AC Le Havre,0.0,in,Summer,1992,1992/1993
Benjamin Clément,26,Defensive Midfield,Monaco,0.0,in,Summer,1992,1992/1993
Bertrand Piton,21,Centre-Back,AS Red Star 93,0.0,in,Summer,1992,1992/1993
Stéphane Cassard,19,Goalkeeper,FC Sochaux B,0.0,in,Summer,1992,1992/1993
Jean-Marc Frotey,23,attack,FC Sochaux B,0.0,in,Summer,1992,1992/1993
Thierry Couppé,21,midfield,FC Sochaux U19,0.0,in,Summer,1992,1992/1993
Mickaël Madar,24,Centre-Forward,Cannes,0.0,out,Summer,1992,1992/1993
Pierre-Yves Bricon,28,defence,Montpellier,0.0,out,Summer,1992,1992/1993
Jean-Christophe Thomas,27,Defensive Midfield,Marseille,0.0,out,Summer,1992,1992/1993
Chérif Oudjani,27,Centre-Forward,AS Beauvais,0.0,out,Summer,1992,1992/1993
Philippe Lucas,28,Defensive Midfield,G. Bordeaux,0.0,out,Summer,1992,1992/1993
Laurent Croci,27,Right-Back,G. Bordeaux,0.0,out,Summer,1992,1992/1993
Eric Dufournet,23,Centre-Back,Louh.-Cuiseaux,0.0,out,Summer,1992,1992/1993
Christophe Gardié,27,Goalkeeper,Louh.-Cuiseaux,0.0,out,Summer,1992,1992/1993
Zlatko Vujovic,33,Centre-Forward,OGC Nice,0.0,out,Summer,1992,1992/1993
Pavlo Yakovenko,27,Defensive Midfield,Dynamo Kyiv,0.0,in,Winter,1992,1992/1993
Henk Vos,25,Centre-Forward,Standard Liège,0.0,in,Summer,1993,1993/1994
Didier Otokoré,24,Left Winger,AJ Auxerre,0.0,in,Summer,1993,1993/1994
Franck Chaumin,23,Goalkeeper,GFCO Ajaccio,0.0,in,Summer,1993,1993/1994
Laurent Croce,21,midfield,SC Toulon 83,0.0,in,Summer,1993,1993/1994
Franck Silvestre,26,Centre-Back,AJ Auxerre,0.0,out,Summer,1993,1993/1994
Patrice Garande,32,Centre-Forward,Bourges,0.0,out,Summer,1993,1993/1994
Didier Otokoré,24,Left Winger,Cannes,0.0,out,Summer,1993,1993/1994
Fabrice Henry,25,Central Midfield,Marseille,0.0,out,Summer,1993,1993/1994
Thierry Couppé,22,midfield,FC Sochaux B,0.0,out,Summer,1993,1993/1994
Stéphane Ferrand,25,Goalkeeper,AJ Auxerre,0.0,out,Winter,1993,1993/1994
Pavlo Yakovenko,29,Defensive Midfield,Retired,0.0,out,Winter,1993,1993/1994
Roman Szewczyk,29,Centre-Back,GKS Katowice,0.0,in,Summer,1994,1994/1995
Philippe Cuervo,24,Right-Back,Saint-Étienne,0.0,in,Summer,1994,1994/1995
Jérôme Gnako,26,Attacking Midfield,Monaco,0.0,in,Summer,1994,1994/1995
Christophe Laurent,19,midfield,Unknown,0.0,in,Summer,1994,1994/1995
Étienne Mendy,25,Centre-Forward,Saint-Étienne,0.0,in,Summer,1994,1994/1995
Jean-François Hernandez,25,Centre-Back,Toulouse,0.0,in,Summer,1994,1994/1995
Nicolas De la Quintinie,20,Attacking Midfield,FC Sochaux B,0.0,in,Summer,1994,1994/1995
Dominique Bertone,17,defence,FC Sochaux U19,0.0,in,Summer,1994,1994/1995
Stéphane Ferrand,25,Goalkeeper,AJ Auxerre,0.0,in,Summer,1994,1994/1995
Alain Caveglia,26,Second Striker,AC Le Havre,0.0,out,Summer,1994,1994/1995
Faruk Hadzibegic,36,Sweeper,Toulouse,0.0,out,Summer,1994,1994/1995
Bernard Maraval,22,Centre-Back,SC Bastia,0.0,out,Summer,1994,1994/1995
Frédéric Darras,27,Right-Back,SC Bastia,0.0,out,Summer,1994,1994/1995
Stéphane Ferrand,25,Goalkeeper,Louh.-Cuiseaux,0.0,out,Summer,1994,1994/1995
Eric Dewilder,30,midfield,SC Bastia,0.0,out,Summer,1994,1994/1995
Jean-Marc Frotey,25,attack,FC Istres,0.0,out,Summer,1994,1994/1995
Laurent Croci,29,Right-Back,G. Bordeaux,0.0,in,Winter,1994,1994/1995
Philippe Raschke,30,Right-Back,R. Strasbourg,0.0,in,Summer,1998,1998/1999
Vincent Fernandez,23,Goalkeeper,Paris SG,0.0,in,Summer,1998,1998/1999
Stéphane Dedebant,27,Central Midfield,LB Châteauroux,0.0,in,Summer,1998,1998/1999
Didier Lang,27,Defensive Midfield,Sporting CP,0.0,in,Summer,1998,1998/1999
Frédéric Martin,29,Right-Back,OGC Nice,0.0,in,Summer,1998,1998/1999
Franck Vandecasteele,30,Centre-Forward,OGC Nice,0.0,in,Summer,1998,1998/1999
Danijel Ljuboja,19,Centre-Forward,FC Sochaux B,0.0,in,Summer,1998,1998/1999
Camel Meriem,18,Attacking Midfield,FC Sochaux B,0.0,in,Summer,1998,1998/1999
El-Hadji Diouf,17,Centre-Forward,FC Sochaux U19,0.0,in,Summer,1998,1998/1999
Mickaël Ravaux,19,Centre-Back,FC Sochaux B,0.0,in,Summer,1998,1998/1999
Frédéric Viseux,27,Right-Back,LOSC Lille B,0.0,out,Summer,1998,1998/1999
Paulo Gomes,28,midfield,Chamois Niort,0.0,out,Summer,1998,1998/1999
Nicolas De la Quintinie,24,Attacking Midfield,Troyes,0.0,out,Summer,1998,1998/1999
Olivier Ichoua,27,midfield,Retired,0.0,out,Summer,1998,1998/1999
Jean-Guy Wallemme,31,Centre-Back,Coventry,0.0,in,Winter,1998,1998/1999
Eric Boniface,29,Centre-Back,FC Gueugnon,0.0,out,Winter,1998,1998/1999
Fabien Boudarène,22,Defensive Midfield,Saint-Étienne,0.0,in,Summer,2001,2001/2002
Jaouad Zairi,19,Right Midfield,FC Gueugnon,0.0,in,Summer,2001,2001/2002
Jean-Jacques Domoraud,20,Right-Back,Besançon RC,0.0,in,Summer,2001,2001/2002
Niša Saveljić,31,Centre-Back,G. Bordeaux,0.0,in,Summer,2001,2001/2002
Marcelo Luis Trapasso,25,Attacking Midfield,FC Gueugnon,0.0,in,Summer,2001,2001/2002
Kamel Chafni,19,Attacking Midfield,Lib.-St.-Seurin,0.0,in,Summer,2001,2001/2002
Teddy Richert,26,Goalkeeper,G. Bordeaux,0.0,in,Summer,2001,2001/2002
Cédric Faivre,20,Defensive Midfield,Besançon RC,0.0,out,Summer,2001,2001/2002
Jérémie Rodrigues,20,Right-Back,Besançon RC,0.0,out,Summer,2001,2001/2002
Kamal Tassali,20,Centre-Forward,Besançon RC,0.0,out,Summer,2001,2001/2002
Patrick Guillou,31,Left-Back,Saint-Étienne,0.0,out,Summer,2001,2001/2002
Vincent Boulanger,27,midfield,Clermont FA,0.0,out,Summer,2001,2001/2002
Stéphane Dedebant,30,Central Midfield,Heart of Midl.,0.0,out,Summer,2001,2001/2002
Franck Durix,35,Right Midfield,Cannes,0.0,out,Summer,2001,2001/2002
Gilles Leclerc,34,Centre-Back,Wasquehal,0.0,out,Summer,2001,2001/2002
Anto Drobnjak,32,Centre-Forward,FC Martigues,0.0,out,Summer,2001,2001/2002
Jimmy Algérino,30,Right-Back,AC Venezia 1907,0.0,in,Winter,2001,2001/2002
William Quevedo,30,Left-Back,Boavista,0.0,in,Winter,2001,2001/2002
Camel Meriem,22,Attacking Midfield,G. Bordeaux,7000000.0,out,Winter,2001,2001/2002
Basile de Carvalho,20,Centre-Forward,Louh.-Cuiseaux,0.0,in,Summer,2002,2002/2003
Ibrahim Tall,21,defence,Louh.-Cuiseaux,0.0,in,Summer,2002,2002/2003
Gérard Gnanhouan,23,Goalkeeper,Guingamp,0.0,in,Summer,2002,2002/2003
Johann Lonfat,29,Defensive Midfield,Servette FC,0.0,in,Summer,2002,2002/2003
Teddy Richert,27,Goalkeeper,G. Bordeaux,0.0,in,Summer,2002,2002/2003
Wilson Oruma,25,Attacking Midfield,Servette FC,0.0,in,Summer,2002,2002/2003
Jean-Léon Bart,19,Central Midfield,Lausanne-Sport,0.0,in,Summer,2002,2002/2003
Virgile Boumelaha,18,Centre-Back,FC Sochaux B,0.0,in,Summer,2002,2002/2003
Alexandre Martinovic,17,Goalkeeper,FC Sochaux U19,0.0,in,Summer,2002,2002/2003
Jérémy Mathieu,18,Left-Back,FC Sochaux U19,0.0,in,Summer,2002,2002/2003
Kamal Tassali,21,Centre-Forward,Besançon RC,0.0,in,Summer,2002,2002/2003
Kendal Ucar,20,Attacking Midfield,Ionikos Nikeas,0.0,out,Summer,2002,2002/2003
Kamel Chafni,20,Attacking Midfield,Besançon RC,0.0,out,Summer,2002,2002/2003
Vincent Fernandez,27,Goalkeeper,R. Strasbourg,0.0,out,Summer,2002,2002/2003
Pascal Villechalane,26,Goalkeeper,FC Rouen 1899,0.0,out,Summer,2002,2002/2003
Bernard Maraval,30,Centre-Back,Retired,0.0,out,Summer,2002,2002/2003
Finazzi,28,Centre-Forward,Botafogo,0.0,out,Summer,2002,2002/2003
Teddy Richert,27,Goalkeeper,G. Bordeaux,0.0,out,Summer,2002,2002/2003
Laurent Charvet,29,Right-Back,Man City,0.0,in,Winter,2002,2002/2003
Abderrahman Kabous,19,Defensive Midfield,RC Lens B,0.0,in,Winter,2002,2002/2003
Stéphane Crucet,32,Left Midfield,AS Nancy,0.0,out,Winter,2002,2002/2003
Jimmy Algérino,31,Right-Back,LB Châteauroux,0.0,out,Winter,2002,2002/2003
Souleymane Diawara,24,Centre-Back,AC Le Havre,0.0,in,Summer,2003,2003/2004
Sigamary Diarra,19,Left Midfield,SM Caen,0.0,in,Summer,2003,2003/2004
Grégory Paisley,26,Left-Back,AC Le Havre,0.0,in,Summer,2003,2003/2004
Guirane N'Daw,19,Defensive Midfield,FC Sochaux B,0.0,in,Summer,2003,2003/2004
Aimé Lavie,18,defence,FC Sochaux B,0.0,in,Summer,2003,2003/2004
Benoît Haaby,21,Centre-Back,FC Sochaux B,0.0,in,Summer,2003,2003/2004
Jean-Jacques Domoraud,22,Right-Back,Le Mans UC 72,0.0,out,Summer,2003,2003/2004
Jean-Baptiste Daguet,23,Goalkeeper,Lib.-St.-Seurin,0.0,out,Summer,2003,2003/2004
Kamal Tassali,22,Centre-Forward,Besançon RC,0.0,out,Summer,2003,2003/2004
Basile de Carvalho,21,Centre-Forward,CS Sedan,0.0,out,Summer,2003,2003/2004
Niša Saveljić,33,Centre-Back,SC Bastia,0.0,out,Summer,2003,2003/2004
Jean-Léon Bart,20,Central Midfield,Chaux-de-Fonds,0.0,out,Summer,2003,2003/2004
Erwan Manac'h,31,Sweeper,Retired,0.0,out,Summer,2003,2003/2004
Laurent Charvet,30,Right-Back,Retired,0.0,out,Summer,2003,2003/2004
Ahmed Samir Farag,17,Left-Back,El Ahly,500000.0,in,Winter,2003,2003/2004
Won-kwang Jo,18,Central Midfield,FC Seoul,0.0,in,Winter,2003,2003/2004
Damir Suljanovic,20,midfield,Raja Casablanca,75000.0,out,Winter,2003,2003/2004
Abderrahman Kabous,20,Defensive Midfield,Khémisset,0.0,out,Winter,2003,2003/2004
Ilan,23,Centre-Forward,Atlético-PR,3000000.0,in,Summer,2004,2004/2005
Romain Pitau,26,Defensive Midfield,OGC Nice,1400000.0,in,Summer,2004,2004/2005
Lionel Potillon,30,Left-Back,Paris SG,1000000.0,in,Summer,2004,2004/2005
Jérémy Ménez,17,Right Winger,FC Sochaux U19,0.0,in,Summer,2004,2004/2005
Thomas Régnier,20,Centre-Forward,FC Sochaux B,0.0,in,Summer,2004,2004/2005
Jean Calvé,20,Right-Back,FC Sochaux B,0.0,in,Summer,2004,2004/2005
Fabien Lavoyer,18,Centre-Back,FC Sochaux B,0.0,in,Summer,2004,2004/2005
Maxime Josse,17,Centre-Back,FC Sochaux B,0.0,in,Summer,2004,2004/2005
Basile de Carvalho,22,Centre-Forward,CS Sedan,0.0,in,Summer,2004,2004/2005
Kamel Chafni,22,Attacking Midfield,Besançon RC,0.0,in,Summer,2004,2004/2005
Pierre-Alain Frau,24,Centre-Forward,Olympique Lyon,8500000.0,out,Summer,2004,2004/2005
Benoît Pedretti,23,Defensive Midfield,Marseille,5000000.0,out,Summer,2004,2004/2005
Mickaël Pagis,30,Second Striker,R. Strasbourg,500000.0,out,Summer,2004,2004/2005
Philippe Raschke,36,Right-Back,Cannes,0.0,out,Summer,2004,2004/2005
Kamel Chafni,22,Attacking Midfield,LB Châteauroux,0.0,out,Summer,2004,2004/2005
Virgile Boumelaha,20,Centre-Back,Stuttgart II,0.0,out,Summer,2004,2004/2005
William Quevedo,33,Left-Back,FC Sète 34,0.0,out,Summer,2004,2004/2005
Adel Chedli,27,Central Midfield,FC Istres,0.0,out,Summer,2004,2004/2005
Benoît Haaby,22,Centre-Back,GFCO Ajaccio,0.0,out,Summer,2004,2004/2005
Maxence Flachez,32,Centre-Back,Guingamp,0.0,out,Summer,2004,2004/2005
Mohamed Kader,25,Centre-Forward,Servette FC,0.0,in,Winter,2004,2004/2005
Cédric Rey,20,Left-Back,FC Sochaux B,0.0,in,Winter,2004,2004/2005
