player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Dominique Arribagé,21,Centre-Back,AS Muret,0.0,in,Summer,1992,1992/1993
Philippe Lafon,21,Goalkeeper,RC Paris,0.0,in,Summer,1992,1992/1993
Alain Casanova,30,Goalkeeper,Marseille,0.0,in,Summer,1992,1992/1993
Éric Lada,26,attack,Marseille,0.0,in,Summer,1992,1992/1993
Serge Romano,28,midfield,FC Metz,0.0,in,Summer,1992,1992/1993
Rémy Loret,19,midfield,Unknown,0.0,in,Summer,1992,1992/1993
Vaclav Nemecek,25,Central Midfield,Sparta Prague,0.0,in,Summer,1992,1992/1993
Olivier Frapolli,20,defence,Toulouse B,0.0,in,Summer,1992,1992/1993
Vincent Candela,18,Left-Back,Toulouse B,0.0,in,Summer,1992,1992/1993
Olivier Pédémas,23,Goalkeeper,Rodez AF,0.0,in,Summer,1992,1992/1993
Frederic Pons,30,defence,ASOA Valence,0.0,out,Summer,1992,1992/1993
Alberto Márcico,32,Second Striker,Boca Juniors,0.0,out,Summer,1992,1992/1993
Pascal Despeyroux,27,Defensive Midfield,Saint-Étienne,0.0,out,Summer,1992,1992/1993
Robin Huc,27,Goalkeeper,Saint-Étienne,0.0,out,Summer,1992,1992/1993
Viliam Hyravy,29,Attacking Midfield,Banik Ostrava,0.0,out,Summer,1992,1992/1993
Fabien Barthez,21,Goalkeeper,Marseille,0.0,out,Summer,1992,1992/1993
Jean-Luc Ruty,32,Centre-Back,Retired,0.0,out,Summer,1992,1992/1993
Norbert Almendoz,22,attack,Retired,0.0,out,Summer,1992,1992/1993
Franck Tiriakian,21,attack,Toulouse B,0.0,out,Summer,1992,1992/1993
Olivier Pédémas,24,Goalkeeper,Le Mans UC 72,0.0,out,Winter,1992,1992/1993
Sylvain Kastendeuch,29,Sweeper,Saint-Étienne,0.0,in,Summer,1993,1993/1994
Olivier Pickeu,23,Centre-Forward,Montpellier,0.0,in,Summer,1993,1993/1994
Alain Gouaméné,27,Goalkeeper,ASEC Mimosas,0.0,in,Summer,1993,1993/1994
Nicolas Bastère,24,attack,Cannes,0.0,in,Summer,1993,1993/1994
Teddy Richert,18,Goalkeeper,Toulouse B,0.0,in,Summer,1993,1993/1994
Nicolas Paviot,18,Right-Back,Toulouse B,0.0,in,Summer,1993,1993/1994
Mickaël Serreau,18,Right Midfield,Toulouse B,0.0,in,Summer,1993,1993/1994
Fabrice Quarcy,17,Goalkeeper,Toulouse U19,0.0,in,Summer,1993,1993/1994
David Dupuy,20,midfield,Toulouse B,0.0,in,Summer,1993,1993/1994
Christophe Galtier,26,Centre-Back,Angers SCO,0.0,out,Summer,1993,1993/1994
Jean-Philippe Delpech,25,Defensive Midfield,Saint-Étienne,0.0,out,Summer,1993,1993/1994
Philippe Lafon,22,Goalkeeper,Rodez AF,0.0,out,Summer,1993,1993/1994
Nicolas Bastère,23,attack,Cannes,0.0,out,Summer,1993,1993/1994
Jean-Pierre La Placa,24,attack,FC Basel,0.0,in,Summer,1997,1997/1998
Ernest Mtawali,28,Defensive Midfield,CA Talleres,0.0,in,Summer,1997,1997/1998
José Manuel Galdames,26,Centre-Back,SD Compostela,0.0,in,Summer,1997,1997/1998
Joël Tiéhi,33,Centre-Forward,St-Denis St-Leu,0.0,in,Summer,1997,1997/1998
Frédéric Patouillard,23,midfield,Olympique Lyon,0.0,in,Summer,1997,1997/1998
Didier Santini,28,Left-Back,SC Bastia,0.0,in,Summer,1997,1997/1998
Christophe Avezac,20,Left-Back,Toulouse B,0.0,in,Summer,1997,1997/1998
Patrice Maurel,18,Defensive Midfield,Toulouse B,0.0,in,Summer,1997,1997/1998
Stéphane Guiraud,21,Defensive Midfield,Mulhouse S-A,0.0,in,Summer,1997,1997/1998
Cédric Pardeilhan,21,midfield,Le Mans UC 72,0.0,out,Summer,1997,1997/1998
Éric Garcin,31,Defensive Midfield,Motherwell FC,0.0,out,Summer,1997,1997/1998
Philippe Montanier,32,Goalkeeper,FC Gueugnon,0.0,out,Summer,1997,1997/1998
Erwan Manac'h,25,Sweeper,FC Sochaux,0.0,out,Summer,1997,1997/1998
Stéphane Guiraud,21,Defensive Midfield,Stade Poitevin,0.0,out,Summer,1997,1997/1998
Mickaël Serreau,22,Right Midfield,FC Martigues,0.0,out,Summer,1997,1997/1998
Francois Calderaro,33,Centre-Forward,Retired,0.0,out,Summer,1997,1997/1998
Pierre Reynaud,29,Defensive Midfield,Retired,0.0,out,Summer,1997,1997/1998
David Klein,24,Goalkeeper,R. Strasbourg,0.0,in,Winter,1997,1997/1998
Robert Malm,24,Centre-Forward,FC Lorient,0.0,in,Summer,1998,1998/1999
Yannick Rott,23,Left-Back,R. Strasbourg,0.0,in,Summer,1998,1998/1999
Samuel Ipoua,25,Centre-Forward,Rapid Vienna,0.0,in,Summer,1998,1998/1999
Jérôme Billac,25,attack,Stade Poitevin,0.0,in,Summer,1998,1998/1999
Antoine Préget,25,Defensive Midfield,LB Châteauroux,0.0,in,Summer,1998,1998/1999
Laurent Guyot,28,Centre-Back,FC Nantes,0.0,in,Summer,1998,1998/1999
Oceano Cruz,35,Defensive Midfield,Sporting CP,0.0,in,Summer,1998,1998/1999
Vladimir Petrovic,26,Centre-Forward,Croatia Zagreb,0.0,in,Summer,1998,1998/1999
Lamine Diatta,22,Centre-Back,Unknown,0.0,in,Summer,1998,1998/1999
José Cobos,30,Left-Back,Espanyol,0.0,in,Summer,1998,1998/1999
Philippe Schuth,31,Goalkeeper,Without Club,0.0,in,Summer,1998,1998/1999
Mamadou Seck,18,Centre-Back,Toulouse B,0.0,in,Summer,1998,1998/1999
Damien Rascle,17,Goalkeeper,Toulouse B,0.0,in,Summer,1998,1998/1999
Fabrice Jau,19,Right Midfield,Toulouse B,0.0,in,Summer,1998,1998/1999
Fabien Audard,20,Goalkeeper,Toulouse B,0.0,in,Summer,1998,1998/1999
Mehdi Nafti,19,Defensive Midfield,Toulouse B,0.0,in,Summer,1998,1998/1999
Loïc Andraud,21,attack,Toulouse B,0.0,in,Summer,1998,1998/1999
Stéphane Guiraud,22,Defensive Midfield,Stade Poitevin,0.0,in,Summer,1998,1998/1999
Mickaël Serreau,23,Right Midfield,FC Martigues,0.0,in,Summer,1998,1998/1999
David Klein,24,Goalkeeper,AC Ajaccio,0.0,out,Summer,1998,1998/1999
Laurent Strzelczak,27,defence,Nîmes Olympique,0.0,out,Summer,1998,1998/1999
Jules Tchimbakala,27,Left-Back,Le Mans UC 72,0.0,out,Summer,1998,1998/1999
Laurent Sachy,29,Centre-Forward,OGC Nice,0.0,out,Summer,1998,1998/1999
Eric Taborda,29,Centre-Back,FC Lugano,0.0,out,Summer,1998,1998/1999
Joël Tiéhi,34,Centre-Forward,Al-Jazira,0.0,out,Summer,1998,1998/1999
Rémy Loret,25,midfield,Nîmes Olympique,0.0,out,Summer,1998,1998/1999
Frédéric Patouillard,24,midfield,Guingamp,0.0,out,Summer,1998,1998/1999
Ronan Salaün,29,Centre-Forward,Stade Rennais,0.0,out,Summer,1998,1998/1999
Jean-Pierre La Placa,25,attack,FC Sion,0.0,out,Summer,1998,1998/1999
Dominique Arribagé,27,Centre-Back,Stade Rennais,0.0,out,Summer,1998,1998/1999
Rubén Rossi,24,Centre-Forward,Retired,0.0,out,Summer,1998,1998/1999
Xavier Méride,24,Centre-Back,Lens,0.0,in,Winter,1998,1998/1999
Christophe Lauwers,26,Centre-Forward,Eendracht Aalst,0.0,in,Winter,1998,1998/1999
Donald-Olivier Sié,28,Attacking Midfield,ASEC Mimosas,0.0,in,Winter,1998,1998/1999
Joachim Fernandez,26,Defensive Midfield,Calcio Monza,0.0,in,Winter,1998,1998/1999
Aboubacar Sankharé,20,Left-Back,Lens,0.0,in,Winter,1998,1998/1999
Mickaël Serreau,23,Right Midfield,Moreirense,0.0,out,Winter,1998,1998/1999
Bruno Carotti,27,Centre-Back,Saint-Étienne,0.0,in,Summer,2000,2000/2001
Cédric Uras,22,Centre-Back,Olympique Lyon,0.0,in,Summer,2000,2000/2001
Stéphane Lièvre,27,Left-Back,FC Nantes,0.0,in,Summer,2000,2000/2001
Raúl Cascini,29,Defensive Midfield,Independiente,0.0,in,Summer,2000,2000/2001
Christophe Revault,28,Goalkeeper,Stade Rennais,0.0,in,Summer,2000,2000/2001
Darío Cabrol,28,Right Winger,CA Unión,0.0,in,Summer,2000,2000/2001
Víctor Bonilla,29,Centre-Forward,UD Salamanca,0.0,in,Summer,2000,2000/2001
Jean-Christophe Rouviere,25,Defensive Midfield,G. Bordeaux,0.0,in,Summer,2000,2000/2001
José Javier Barkero,21,Attacking Midfield,Real Sociedad,0.0,in,Summer,2000,2000/2001
Mathieu Puig,22,Centre-Back,Toulouse B,0.0,in,Summer,2000,2000/2001
Nicolas Seube,20,Defensive Midfield,Toulouse B,0.0,in,Summer,2000,2000/2001
Patrice Maurel,21,Defensive Midfield,Ipswich,0.0,in,Summer,2000,2000/2001
Mehdi Nafti,21,Defensive Midfield,Racing,750000.0,out,Summer,2000,2000/2001
Iain Anderson,22,Right Winger,Preston,750000.0,out,Summer,2000,2000/2001
Mamadou Seck,20,Centre-Back,Nîmes Olympique,0.0,out,Summer,2000,2000/2001
Christophe Avezac,23,Left-Back,Pau FC,0.0,out,Summer,2000,2000/2001
Yannick Rott,25,Left-Back,US Créteil,0.0,out,Summer,2000,2000/2001
Bruno Da Rocha,22,Defensive Midfield,G. Bordeaux B,0.0,out,Summer,2000,2000/2001
José Manuel Galdames,29,Centre-Back,SD Eibar,0.0,out,Summer,2000,2000/2001
Ahmed Maharzi,30,Right Winger,Unknown,0.0,out,Summer,2000,2000/2001
Thorsten Walther,27,Goalkeeper,Retired,0.0,out,Summer,2000,2000/2001
Alain Gouaméné,34,Goalkeeper,Retired,0.0,out,Summer,2000,2000/2001
Ronnie Ekelund,27,Left Midfield,Without Club,0.0,out,Summer,2000,2000/2001
Sylvain N'Diaye,24,Defensive Midfield,KAA Gent,0.0,out,Summer,2000,2000/2001
Hervé Alicarte,26,Sweeper,G. Bordeaux,0.0,in,Winter,2000,2000/2001
Sebastián Romero,22,Central Midfield,Real Betis,0.0,in,Winter,2000,2000/2001
Reynald Pedros,29,Left Midfield,Without Club,0.0,in,Winter,2000,2000/2001
Samuel Ipoua,27,Centre-Forward,1.FSV Mainz 05,0.0,out,Winter,2000,2000/2001
Nicolas Paviot,25,Right-Back,Alverca,0.0,out,Winter,2000,2000/2001
Vladimir Petrovic,28,Centre-Forward,B. Jerusalem,0.0,out,Winter,2000,2000/2001
Darío Cabrol,28,Right Winger,CA Colon,0.0,out,Winter,2000,2000/2001
Marc Libbra,28,Centre-Forward,Hibernian FC,0.0,out,Winter,2000,2000/2001
José Javier Barkero,21,Attacking Midfield,Real Sociedad,0.0,out,Winter,2000,2000/2001
Predrag Ocokoljic,25,Right-Back,FK Obilic,0.0,in,Summer,2003,2003/2004
Eduardo,23,Centre-Forward,RSC Charleroi,0.0,in,Summer,2003,2003/2004
Henri Bedimo,19,Left-Back,Grenoble B,0.0,in,Summer,2003,2003/2004
Ludovic Clément,26,defence,LB Châteauroux,0.0,in,Summer,2003,2003/2004
Florent Balmont,23,Central Midfield,Olympique Lyon,0.0,in,Summer,2003,2003/2004
Albin Ebondo,19,Right-Back,Toulouse B,0.0,in,Summer,2003,2003/2004
