player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Mohammed Rabiu,21,Defensive Midfield,Udinese Calcio,1000000.0,in,Summer,2011,2011/2012
Cédric Mongongu,22,Centre-Back,Monaco,500000.0,in,Summer,2011,2011/2012
Stephan Andersen,29,Goalkeeper,Bröndby IF,350000.0,in,Summer,2011,2011/2012
Steven Fula Pitu,17,Left-Back,Rodez AF,0.0,in,Summer,2011,2011/2012
Christian Poulsen,31,Defensive Midfield,Liverpool,0.0,in,Summer,2011,2011/2012
Jonathan Mensah,20,Centre-Back,Udinese Calcio,0.0,in,Summer,2011,2011/2012
Sidney Govou,31,Right Winger,Panathinaikos,0.0,in,Summer,2011,2011/2012
Fabrice Ehret,31,Left-Back,1. FC Köln,0.0,in,Summer,2011,2011/2012
Saber Khalifa,24,Centre-Forward,Esperance,0.0,in,Summer,2011,2011/2012
Jérôme Leroy,36,Attacking Midfield,Stade Rennais,0.0,in,Summer,2011,2011/2012
Daniel Wass,22,Central Midfield,Benfica,0.0,in,Summer,2011,2011/2012
Antoine Ponroy,25,Centre-Back,Paris FC,0.0,in,Summer,2011,2011/2012
Hervé Bugnet,29,Right Winger,Cannes,0.0,in,Summer,2011,2011/2012
Amaury Borel,24,Goalkeeper,FC Gueugnon,0.0,in,Summer,2011,2011/2012
Patrick N'Tolla,23,midfield,Rodez AF,0.0,in,Summer,2011,2011/2012
Patrick N'Tolla,23,Right-Back,Rodez AF,0.0,in,Summer,2011,2011/2012
Pape Ibra M'Boup,23,Centre-Back,AS Cherbourg,0.0,out,Summer,2011,2011/2012
Caçapa,35,Centre-Back,Avaí FC,0.0,out,Summer,2011,2011/2012
Oumar Pouye,23,Centre-Forward,FC Metz,0.0,out,Summer,2011,2011/2012
Pierre Bouby,27,Central Midfield,FC Metz,0.0,out,Summer,2011,2011/2012
Jonathan Roufosse,26,Second Striker,Cannes,0.0,out,Summer,2011,2011/2012
Mathieu Lafon,27,Central Midfield,Cannes,0.0,out,Summer,2011,2011/2012
Antoine Ponroy,25,Centre-Back,Stade Lavallois,0.0,out,Summer,2011,2011/2012
Patrick N'Tolla,23,Right-Back,Le Mont LS,0.0,out,Summer,2011,2011/2012
Patrick N'Tolla,23,midfield,Le Mont LS,0.0,out,Summer,2011,2011/2012
Amaury Borel,24,Goalkeeper,Without Club,0.0,out,Summer,2011,2011/2012
Nicolas Goussé,35,Centre-Forward,Retired,0.0,out,Summer,2011,2011/2012
Mohammed Rabiu,21,Defensive Midfield,Udinese Calcio,0.0,out,Summer,2011,2011/2012
Thomas Kahlenberg,28,Central Midfield,VfL Wolfsburg,0.0,in,Winter,2011,2011/2012
Felipe Saad,28,Centre-Back,AC Ajaccio,0.0,out,Winter,2011,2011/2012
Daniel Wass,23,Central Midfield,Benfica,1200000.0,in,Summer,2012,2012/2013
Iheb Mbarki,20,Right-Back,CA Bizertin,400000.0,in,Summer,2012,2012/2013
David Jarolim,33,midfield,Hamburger SV,0.0,in,Summer,2012,2012/2013
Mickaël Salamone,20,Goalkeeper,Paris SG B,0.0,in,Summer,2012,2012/2013
Djakaridja Koné,26,Defensive Midfield,FC Dinamo,0.0,in,Summer,2012,2012/2013
Zouhaier Dhaouadi,24,Left Winger,Club Africain,0.0,in,Summer,2012,2012/2013
Guillaume Rippert,27,Left-Back,Energie Cottbus,0.0,out,Summer,2012,2012/2013
Nicolas Farina,25,Right Winger,Energie Cottbus,0.0,out,Summer,2012,2012/2013
Quentin Westberg,26,Goalkeeper,Luzenac AP,0.0,out,Summer,2012,2012/2013
Christian Poulsen,32,Defensive Midfield,Ajax,0.0,out,Summer,2012,2012/2013
Steven Fula Pitu,18,Left-Back,Sudbury,0.0,out,Summer,2012,2012/2013
Jérôme Leroy,37,Attacking Midfield,Career break,0.0,out,Summer,2012,2012/2013
Sasa Cilinsek,30,Centre-Back,Thonon Évian B,0.0,out,Summer,2012,2012/2013
Daniel Wass,23,Central Midfield,Benfica,0.0,out,Summer,2012,2012/2013
Thomas Kahlenberg,29,Central Midfield,VfL Wolfsburg,0.0,out,Summer,2012,2012/2013
Betão,29,Centre-Back,Dynamo Kyiv,0.0,in,Winter,2012,2012/2013
Milos Ninkovic,28,Left Winger,Dynamo Kyiv,0.0,in,Winter,2012,2012/2013
Diogo Campos,22,Attacking Midfield,Atlético-GO,0.0,in,Winter,2012,2012/2013
Zouhaier Dhaouadi,25,Left Winger,Club Africain,0.0,out,Winter,2012,2012/2013
David Jarolim,33,midfield,Without Club,0.0,out,Winter,2012,2012/2013
Nicolas Benezet,22,Left Winger,Nîmes Olympique,1500000.0,in,Summer,2013,2013/2014
Dan Nistor,25,Central Midfield,Pandurii,800000.0,in,Summer,2013,2013/2014
Maxime Blanc,21,Central Midfield,Olymp. Lyon B,0.0,in,Summer,2013,2013/2014
Andrés Escobar,22,Left Winger,Dynamo Kyiv,0.0,in,Summer,2013,2013/2014
Youssouf Sabaly,20,Right-Back,Paris SG,0.0,in,Summer,2013,2013/2014
Modou Sougou,28,Right Winger,Marseille,0.0,in,Summer,2013,2013/2014
Jesper Hansen,28,Goalkeeper,Nordsjaelland,0.0,in,Summer,2013,2013/2014
