player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Jacques Zoua,23,Centre-Forward,Hamburger SV,0.0,in,Summer,2015,2015/2016
Damjan Djokovic,25,Central Midfield,Bologna,0.0,in,Summer,2015,2015/2016
Issiar Dia,28,Right Winger,Lekhwiya,0.0,in,Summer,2015,2015/2016
Alassane Touré,26,Right-Back,Tours FC,0.0,in,Summer,2015,2015/2016
Jérôme Le Moigne,32,Defensive Midfield,Lens,0.0,in,Summer,2015,2015/2016
Alexandre Coeff,23,Centre-Back,Udinese Calcio,0.0,in,Summer,2015,2015/2016
Issiaga Sylla,21,Left-Back,Toulouse,0.0,in,Summer,2015,2015/2016
Kader Mangane,32,Centre-Back,Without Club,0.0,in,Summer,2015,2015/2016
Yoann Andreu,26,Left-Back,Angers SCO,0.0,out,Summer,2015,2015/2016
Ali M'Madi,25,Left Winger,Grenoble,0.0,out,Summer,2015,2015/2016
Lucas Libbra,19,Right Winger,AS Vitré,0.0,out,Summer,2015,2015/2016
Pierre-François Sinapi,25,Defensive Midfield,Bocognano,0.0,out,Summer,2015,2015/2016
Rafik Boujedra,22,Attacking Midfield,Bourg-en-Bresse,0.0,out,Summer,2015,2015/2016
Florian Fabre,28,Central Midfield,Nîmes Olympique,0.0,out,Summer,2015,2015/2016
Matar Fall,33,Right-Back,Sp. Toulon Var,0.0,out,Summer,2015,2015/2016
Cyriaque Rivieyran,24,Right-Back,Clermont Foot,0.0,out,Summer,2015,2015/2016
Julien François,35,Defensive Midfield,Retired,0.0,out,Summer,2015,2015/2016
Amine Chermiti,28,Centre-Forward,FC Zürich,0.0,in,Winter,2015,2015/2016
Issiar Dia,28,Right Winger,Al-Kharaitiyat,0.0,out,Winter,2015,2015/2016
