player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Sergiu Radu,25,Centre-Forward,FC National,400000.0,in,Summer,2003,2003/2004
Dan Eggen,33,Centre-Back,Rangers,0.0,in,Summer,2003,2003/2004
Fernando D'Amico,28,Defensive Midfield,LOSC Lille,0.0,in,Summer,2003,2003/2004
Cédric Liabeuf,23,Attacking Midfield,Stade Reims,0.0,in,Summer,2003,2003/2004
Jean-Jacques Domoraud,22,Right-Back,FC Sochaux,0.0,in,Summer,2003,2003/2004
Jacques-Désiré Périatambée,27,Defensive Midfield,Grenoble,0.0,in,Summer,2003,2003/2004
Ulick Ludepe,19,defence,Unknown,0.0,in,Summer,2003,2003/2004
Eddy Capron,32,Centre-Back,CS Sedan,0.0,in,Summer,2003,2003/2004
Yannick Fischer,28,Centre-Back,R. Strasbourg,0.0,in,Summer,2003,2003/2004
Thabang Molefe,23,Centre-Back,Jomo Cosmos,0.0,in,Summer,2003,2003/2004
Sekou Baradji,19,Defensive Midfield,FC Le Mans B,0.0,in,Summer,2003,2003/2004
Yannick Yenga,18,Left Winger,FC Le Mans B,0.0,in,Summer,2003,2003/2004
Ulrick Lupède,19,Centre-Back,FC Le Mans B,0.0,in,Summer,2003,2003/2004
Philippe Correia,31,Right-Back,US Créteil-L,0.0,out,Summer,2003,2003/2004
Damien Bridonneau,28,Right-Back,Saint-Étienne,0.0,out,Summer,2003,2003/2004
Cédric Fabien,21,Left-Back,Tours FC,0.0,out,Summer,2003,2003/2004
Grégory Cerdan,20,Centre-Back,Entente SSG,0.0,out,Summer,2003,2003/2004
Yohann Rangdet,22,attack,US Créteil-L,0.0,out,Summer,2003,2003/2004
Grégory Louiron,22,defence,Tours FC,0.0,out,Summer,2003,2003/2004
Ahmed Aït Ouarab,23,Attacking Midfield,Wasquehal,0.0,out,Summer,2003,2003/2004
Steven Pelé,21,Centre-Back,Stade Rennais,0.0,out,Summer,2003,2003/2004
Túlio de Melo,20,Centre-Forward,Atlético-MG,2000000.0,in,Summer,2005,2005/2006
Ismaël Bangoura,20,Centre-Forward,GFCO Ajaccio,300000.0,in,Summer,2005,2005/2006
Romaric,22,Defensive Midfield,KSK Beveren,250000.0,in,Summer,2005,2005/2006
Edo,21,Centre-Forward,Esperance,0.0,in,Summer,2005,2005/2006
Sébastien Gormond,23,Defensive Midfield,FC Issy,0.0,in,Summer,2005,2005/2006
Marko Basa,22,Centre-Back,OFK Beograd,0.0,in,Summer,2005,2005/2006
Rodolphe Roche,26,Goalkeeper,LB Châteauroux,0.0,in,Summer,2005,2005/2006
Luigi Lavecchia,23,Right Midfield,Juventus,0.0,in,Summer,2005,2005/2006
Davide Chiumiento,20,Attacking Midfield,Juventus,0.0,in,Summer,2005,2005/2006
Mathieu Coutadeur,19,Central Midfield,FC Le Mans B,0.0,in,Summer,2005,2005/2006
Guillaume Loriot,19,Central Midfield,FC Le Mans B,0.0,in,Summer,2005,2005/2006
Clément Pinault,20,Centre-Back,FC Le Mans B,0.0,in,Summer,2005,2005/2006
Bertrand Ndzomo,20,Defensive Midfield,FC Le Mans B,0.0,in,Summer,2005,2005/2006
Arnaud Lisembart,20,Right-Back,FC Le Mans B,0.0,in,Summer,2005,2005/2006
Martin Douillard,20,Left Winger,FC Le Mans B,0.0,in,Summer,2005,2005/2006
Jérémy Choplin,20,Centre-Back,FC Le Mans B,0.0,in,Summer,2005,2005/2006
Thabang Molefe,25,Centre-Back,Orlando Pirates,0.0,in,Summer,2005,2005/2006
Fabrice Pancrate,25,Right Winger,Paris SG,0.0,in,Summer,2005,2005/2006
Fabrice Pancrate,25,Right Winger,Paris SG,3000000.0,out,Summer,2005,2005/2006
Vincent Demarconnay,22,Goalkeeper,TVEC Les Sables,0.0,out,Summer,2005,2005/2006
Yannick Yenga,20,Left Winger,Châtellerault,0.0,out,Summer,2005,2005/2006
Alioune Kébé,20,Centre-Forward,Tours FC,0.0,out,Summer,2005,2005/2006
Zvonimir Deranja,25,Centre-Forward,Hajduk Split,0.0,out,Summer,2005,2005/2006
Sekou Baradji,21,Defensive Midfield,West Ham,0.0,out,Summer,2005,2005/2006
Cédric Liabeuf,25,Attacking Midfield,Stade Brestois,0.0,out,Summer,2005,2005/2006
Ulrick Lupède,21,Centre-Back,Tours FC,0.0,out,Summer,2005,2005/2006
Thabang Molefe,25,Centre-Back,Orlando Pirates,0.0,out,Summer,2005,2005/2006
Laurent Peyrelade,35,Centre-Forward,Retired,0.0,out,Summer,2005,2005/2006
Mansour Boutabout,26,Centre-Forward,FC Gueugnon,0.0,out,Summer,2005,2005/2006
Georges Ba,26,Centre-Forward,OGC Nice,0.0,out,Summer,2005,2005/2006
Willy Grondin,30,Goalkeeper,FC Nantes,0.0,out,Summer,2005,2005/2006
Alexandre Comisetti,31,Left Midfield,Servette FC,0.0,out,Summer,2005,2005/2006
Olivier Pédémas,36,Goalkeeper,Retired,0.0,out,Summer,2005,2005/2006
Dan Eggen,35,Centre-Back,Retired,0.0,out,Summer,2005,2005/2006
Grafite,26,Centre-Forward,São Paulo,3500000.0,in,Winter,2005,2005/2006
Cédric Fauré,26,Centre-Forward,FC Istres,0.0,in,Winter,2005,2005/2006
Jérémy Choplin,20,Centre-Back,Bayonne,0.0,out,Winter,2005,2005/2006
Paulo André,22,Centre-Back,Atlético-PR,4500000.0,in,Summer,2006,2006/2007
Jean Calvé,22,Right-Back,FC Sochaux,1000000.0,in,Summer,2006,2006/2007
Cyriaque Louvion,18,Centre-Back,Cannes,0.0,in,Summer,2006,2006/2007
Stéphane Sessègnon,22,Attacking Midfield,US Créteil-L,0.0,in,Summer,2006,2006/2007
Ibrahima Camara,21,Left-Back,Parma,0.0,in,Summer,2006,2006/2007
Mamadou Samassa,20,Centre-Forward,FC Le Mans B,0.0,in,Summer,2006,2006/2007
Jérémy Choplin,21,Centre-Back,Bayonne,0.0,in,Summer,2006,2006/2007
Frédéric Thomas,25,Central Midfield,AJ Auxerre,4000000.0,out,Summer,2006,2006/2007
Yohan Hautcoeur,24,Central Midfield,Saint-Étienne,3000000.0,out,Summer,2006,2006/2007
Jacques-Désiré Périatambée,30,Defensive Midfield,Chamois Niort,0.0,out,Summer,2006,2006/2007
Yoann Poulard,30,Centre-Back,Stade Brestois,0.0,out,Summer,2006,2006/2007
Sébastien Gormond,24,Defensive Midfield,Rodez AF,0.0,out,Summer,2006,2006/2007
Arnaud Lisembart,21,Right-Back,OH Leuven,0.0,out,Summer,2006,2006/2007
Clément Pinault,21,Centre-Back,Angers SCO,0.0,out,Summer,2006,2006/2007
Edo,22,Centre-Forward,AS Livorno,0.0,out,Summer,2006,2006/2007
