player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Pierre-Yves Bricon,28,defence,FC Sochaux,0.0,in,Summer,1992,1992/1993
Joël Fréchet,26,midfield,Angers SCO,0.0,in,Summer,1992,1992/1993
Olivier Pickeu,22,Centre-Forward,SM Caen,0.0,in,Summer,1992,1992/1993
Franck Rizzetto,21,Attacking Midfield,Olympique Alès,0.0,in,Summer,1992,1992/1993
Aljosa Asanovic,26,Central Midfield,Cannes,0.0,in,Summer,1992,1992/1993
Christophe Sanchez,19,Centre-Forward,Montpellier B,0.0,in,Summer,1992,1992/1993
Jérôme Bonnissel,19,Left-Back,Montpellier B,0.0,in,Summer,1992,1992/1993
Alain Bonnafous,23,Centre-Back,Olympique Alès,0.0,in,Summer,1992,1992/1993
Nikolay Todorov,27,Central Midfield,Cannes,0.0,out,Summer,1992,1992/1993
Vincent Guérin,26,Central Midfield,Paris SG,0.0,out,Summer,1992,1992/1993
Alain Bonnafous,23,Centre-Back,Chamois Niort,0.0,out,Summer,1992,1992/1993
Franck Lucchesi,28,Left-Back,Nîmes Olympique,0.0,out,Summer,1992,1992/1993
François Lemasson,28,Goalkeeper,Cannes,0.0,out,Summer,1992,1992/1993
Régis Brouard,25,Attacking Midfield,Bourges,0.0,out,Summer,1992,1992/1993
Clément Garcia,24,attack,SM Caen,0.0,out,Summer,1992,1992/1993
Stéphane Blondeau,24,Right-Back,FC Martigues,0.0,out,Summer,1992,1992/1993
Laurent Vacher,19,defence,Montpellier B,0.0,out,Summer,1992,1992/1993
Jérôme Sykora,22,Goalkeeper,Unknown,0.0,in,Summer,1993,1993/1994
Zalán Zombori,18,Attacking Midfield,Vasas SC,0.0,in,Summer,1993,1993/1994
Jean-Christophe Rouviere,18,Defensive Midfield,Montpellier B,0.0,in,Summer,1993,1993/1994
Bruno Alicarte,21,Right-Back,Montpellier B,0.0,in,Summer,1993,1993/1994
Clément Garcia,25,attack,SM Caen,0.0,in,Summer,1993,1993/1994
Stéphane Blondeau,25,Right-Back,FC Martigues,0.0,in,Summer,1993,1993/1994
Olivier Pickeu,23,Centre-Forward,Toulouse,0.0,out,Summer,1993,1993/1994
Kader Ferhaoui,28,Left Midfield,Cannes,0.0,out,Summer,1993,1993/1994
Clément Garcia,25,attack,LOSC Lille,0.0,out,Summer,1993,1993/1994
Jérôme Palatsi,23,Goalkeeper,Rouen,0.0,out,Summer,1993,1993/1994
Wilbert Suvrijn,30,Defensive Midfield,Retired,0.0,out,Summer,1993,1993/1994
Pierre-Yves Bricon,29,defence,Retired,0.0,out,Summer,1993,1993/1994
Michel Pavon,25,Central Midfield,Toulouse,0.0,in,Summer,1994,1994/1995
Philippe Flucklinger,31,Goalkeeper,FC Metz,0.0,in,Summer,1994,1994/1995
Laurent Robert,19,Left Winger,Montpellier U19,0.0,in,Summer,1994,1994/1995
Romain Larrieu,17,Goalkeeper,Montpellier U19,0.0,in,Summer,1994,1994/1995
Philippe Delaye,19,Central Midfield,Montpellier B,0.0,in,Summer,1994,1994/1995
Jérôme Palatsi,24,Goalkeeper,Rouen,0.0,in,Summer,1994,1994/1995
David Hamed,20,Right-Back,FC Istres,0.0,out,Summer,1994,1994/1995
Aljosa Asanovic,28,Central Midfield,Hajduk Split,0.0,out,Summer,1994,1994/1995
Jean-Manuel Thétis,22,Centre-Back,Marseille,0.0,out,Summer,1994,1994/1995
Jérôme Sykora,23,Goalkeeper,FC Gueugnon,0.0,out,Summer,1994,1994/1995
Joël Fréchet,28,midfield,ASOA Valence,0.0,out,Summer,1994,1994/1995
Jacek Ziober,28,Left Winger,CA Osasuna,0.0,out,Summer,1994,1994/1995
Jérôme Palatsi,24,Goalkeeper,Pau FC,0.0,out,Summer,1994,1994/1995
Stéphane Blondeau,26,Right-Back,AS Red Star 93,0.0,out,Summer,1994,1994/1995
Zalán Zombori,19,Attacking Midfield,Vasas SC,0.0,out,Summer,1994,1994/1995
Ibrahima Bakayoko,18,Centre-Forward,Stade d'Abidjan,0.0,in,Summer,1995,1995/1996
Bruno Martini,33,Goalkeeper,AJ Auxerre,0.0,in,Summer,1995,1995/1996
Pascal Baills,30,Right-Back,R. Strasbourg,0.0,in,Summer,1995,1995/1996
José Luis Villarreal,29,Defensive Midfield,River Plate,0.0,in,Summer,1995,1995/1996
Jean-Manuel Thétis,23,Centre-Back,Marseille,0.0,in,Summer,1995,1995/1996
Didier Agathé,19,Right Midfield,Montpellier B,0.0,in,Summer,1995,1995/1996
Fabrice Divert,29,Centre-Forward,Guingamp,0.0,in,Summer,1995,1995/1996
Bruno Carotti,22,Centre-Back,FC Nantes,0.0,out,Summer,1995,1995/1996
Bruno Alicarte,23,Right-Back,SC Bastia,0.0,out,Summer,1995,1995/1996
Philippe Périlleux,31,midfield,LOSC Lille,0.0,out,Summer,1995,1995/1996
Laurent D'Jaffo,24,attack,Chamois Niort,0.0,out,Summer,1995,1995/1996
Fabrice Divert,28,Centre-Forward,Guingamp,0.0,out,Summer,1995,1995/1996
Claude Barrabé,29,Goalkeeper,SM Caen,0.0,out,Winter,1995,1995/1996
Franck Sauzée,30,Central Midfield,R. Strasbourg,0.0,in,Summer,1996,1996/1997
Frédéric Martin,27,Right-Back,OGC Nice,0.0,in,Summer,1996,1996/1997
Kader Ferhaoui,31,Left Midfield,Cannes,0.0,in,Summer,1996,1996/1997
Pascal Fugier,27,Right-Back,Stade Rennais,0.0,in,Summer,1996,1996/1997
Roman Kosecki,30,Centre-Forward,FC Nantes,0.0,in,Summer,1996,1996/1997
William Prunier,28,Centre-Back,G. Bordeaux,0.0,in,Summer,1996,1996/1997
Jérôme Bonnissel,23,Left-Back,Dep. La Coruña,0.0,out,Summer,1996,1996/1997
Brahim Thiam,22,Centre-Back,FC Saint-Leu,0.0,out,Summer,1996,1996/1997
Didier Agathé,20,Right Midfield,Olympique Alès,0.0,out,Summer,1996,1996/1997
Michel Pavon,27,Central Midfield,G. Bordeaux,0.0,out,Summer,1996,1996/1997
Gérald Martin,21,Defensive Midfield,Olympique Alès,0.0,out,Summer,1996,1996/1997
José Luis Villarreal,30,Defensive Midfield,Pachuca,0.0,out,Summer,1996,1996/1997
Bertrand Reuzeau,30,Right-Back,FC Sochaux,0.0,out,Summer,1996,1996/1997
Vincent Petit,22,Centre-Forward,R. Strasbourg,0.0,out,Summer,1996,1996/1997
Fabrice Divert,29,Centre-Forward,Retired,0.0,out,Winter,1996,1996/1997
Nenad Dzodic,20,Centre-Back,FK Zemun,0.0,in,Summer,1997,1997/1998
Manuel dos Santos,23,Left-Back,Monaco,0.0,in,Summer,1997,1997/1998
Cédric Barbosa,21,Left Winger,Olympique Alès,0.0,in,Summer,1997,1997/1998
Marcel Mahouvé,24,Defensive Midfield,Putra Samarinda,0.0,in,Summer,1997,1997/1998
Uche Agbo,22,Centre-Forward,FK Obilic,0.0,in,Summer,1997,1997/1998
Gérald Martin,22,Defensive Midfield,Olympique Alès,0.0,in,Summer,1997,1997/1998
Frédéric Garny,22,Right Winger,FC Sochaux,0.0,in,Summer,1997,1997/1998
Sylvain Deplace,25,Defensive Midfield,Olympique Lyon,0.0,in,Summer,1997,1997/1998
Michel Rodríguez,18,Centre-Back,Montpellier B,0.0,in,Summer,1997,1997/1998
Toifilou Maoulida,18,Centre-Forward,Montpellier B,0.0,in,Summer,1997,1997/1998
Vincent Petit,23,Centre-Forward,R. Strasbourg,0.0,in,Summer,1997,1997/1998
Didier Agathé,21,Right Midfield,Olympique Alès,0.0,in,Summer,1997,1997/1998
Jean-Manuel Thétis,25,Centre-Back,Sevilla FC,300000.0,out,Summer,1997,1997/1998
Fabien Lefèvre,25,Left Midfield,Monaco,0.0,out,Summer,1997,1997/1998
Serge Blanc,24,Left-Back,Marseille,0.0,out,Summer,1997,1997/1998
William Prunier,29,Centre-Back,Napoli,0.0,out,Summer,1997,1997/1998
Roman Kosecki,31,Centre-Forward,Legia Warszawa,0.0,out,Summer,1997,1997/1998
Frédéric Martin,28,Right-Back,OGC Nice,0.0,out,Summer,1997,1997/1998
Vincent Petit,23,Centre-Forward,SM Caen,0.0,out,Summer,1997,1997/1998
Michel Der Zakarian,34,Centre-Back,Retired,0.0,out,Summer,1997,1997/1998
Xavier Gravelaine,29,Centre-Forward,Marseille,0.0,in,Summer,1998,1998/1999
Franck Silvestre,31,Centre-Back,AJ Auxerre,0.0,in,Summer,1998,1998/1999
Cyril Serredszum,26,Defensive Midfield,FC Metz,0.0,in,Summer,1998,1998/1999
Didier Thimothée,28,Centre-Forward,Saint-Étienne,0.0,in,Summer,1998,1998/1999
