player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Stéphan Lerda,21,Centre-Back,Ol. Avignon,0.0,in,Summer,1992,1992/1993
Camille Derramond,18,midfield,Unknown,0.0,in,Summer,1992,1992/1993
Christophe Buffat,22,attack,OGC Nice B,0.0,in,Summer,1992,1992/1993
Franck Lucchesi,28,Left-Back,Montpellier,0.0,in,Summer,1992,1992/1993
Didier Monczuk,31,Centre-Forward,R. Strasbourg,0.0,in,Summer,1992,1992/1993
Didier Martel,20,Centre-Forward,AJ Auxerre B,0.0,in,Summer,1992,1992/1993
Laurent Blanc,26,Centre-Back,Napoli,0.0,in,Summer,1992,1992/1993
Ludovic Gros,19,midfield,Unknown,0.0,in,Summer,1992,1992/1993
Antoine Préget,19,Defensive Midfield,Unknown,0.0,in,Summer,1992,1992/1993
Eric Allibert,16,Goalkeeper,Unknown,0.0,in,Summer,1992,1992/1993
Nicolas Marx,18,Left Winger,Unknown,0.0,in,Summer,1992,1992/1993
Gilles Leclerc,25,Centre-Back,Perpignan,0.0,in,Summer,1992,1992/1993
Philippe Mazzuchetti,25,Attacking Midfield,OGC Nice,0.0,in,Summer,1992,1992/1993
Dusan Tittel,25,Centre-Back,Slo. Bratislava,0.0,in,Summer,1992,1992/1993
Stéphane Flory,21,Goalkeeper,Nîmes B,0.0,in,Summer,1992,1992/1993
Yannick Liron,18,defence,Nîmes Ol. U19,0.0,in,Summer,1992,1992/1993
Hassan Kachloul,19,Left Midfield,Nîmes B,0.0,in,Summer,1992,1992/1993
Fouzi Alidra,20,midfield,Olympique Alès,0.0,out,Summer,1992,1992/1993
Aboubacar Cissé,22,attack,OGC Nice,0.0,out,Summer,1992,1992/1993
Vincent Bracigliano,33,midfield,Luçon VF,0.0,out,Summer,1992,1992/1993
William Ayache,31,Left-Back,Cannes,0.0,out,Summer,1992,1992/1993
Frédéric Arpinon,23,Attacking Midfield,OGC Nice,0.0,out,Summer,1992,1992/1993
Didier Combe,23,Left-Back,Olympique Alès,0.0,out,Summer,1992,1992/1993
Denis Bouanga,23,Left Winger,FC Lorient,3000000.0,in,Summer,2018,2018/2019
Loick Landre,26,Centre-Back,Genoa,150000.0,in,Summer,2018,2018/2019
Hervé Lybohy,34,Centre-Back,Paris FC,0.0,in,Summer,2018,2018/2019
Florian Miguel,21,Left-Back,Tours FC,0.0,in,Summer,2018,2018/2019
Mustapha Diallo,32,Defensive Midfield,Guingamp,0.0,in,Summer,2018,2018/2019
Faitout Maouassa,20,Left-Back,Stade Rennais,0.0,in,Summer,2018,2018/2019
Paul Bernardoni,21,Goalkeeper,G. Bordeaux,0.0,in,Summer,2018,2018/2019
Baptiste Guillaume,23,Centre-Forward,Angers SCO,0.0,in,Summer,2018,2018/2019
Abdel Malik Hsissane,27,Defensive Midfield,Nîmes B,0.0,in,Summer,2018,2018/2019
Sami Ben Amar,20,Centre-Forward,Nîmes B,0.0,in,Summer,2018,2018/2019
Zié Diabaté,29,Left-Back,Chamois Niort,0.0,in,Summer,2018,2018/2019
Yan Marillat,24,Goalkeeper,AS Béziers,0.0,out,Summer,2018,2018/2019
Liassine Cadamuro,30,Centre-Back,Gimnàstic,0.0,out,Summer,2018,2018/2019
