player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Frédéric Tatarian,23,defence,Mulhouse S-A,0.0,in,Summer,1994,1994/1995
Thierry De Neef,27,Central Midfield,CS Sedan,0.0,in,Summer,1994,1994/1995
Ludovic Stefano,17,defence,Unknown,0.0,in,Summer,1994,1994/1995
Yves Mangione,29,attack,US Valenciennes,0.0,in,Summer,1994,1994/1995
Ludovic Gallo,17,midfield,OGC Nice B,0.0,in,Summer,1994,1994/1995
René Marsiglia,34,Defensive Midfield,Amiens SC,0.0,out,Summer,1994,1994/1995
Aboubacar Cissé,24,attack,Chamois Niort,0.0,out,Summer,1994,1994/1995
Jérôme Calatraba,21,midfield,Olympique Alès,0.0,out,Summer,1994,1994/1995
Tonio Farias,NA,attack,Unknown,0.0,out,Summer,1994,1994/1995
Marko Elsner,34,Centre-Back,Retired,0.0,out,Summer,1994,1994/1995
Bruno Génésio,27,midfield,Olympique Lyon,0.0,out,Summer,1994,1994/1995
James Debbah,25,Centre-Forward,Olympique Lyon,0.0,in,Summer,1995,1995/1996
Jean-Francois Daniel,31,Central Midfield,G. Bordeaux,0.0,in,Summer,1995,1995/1996
David Nègre,21,attack,AFC Aurillac,0.0,in,Summer,1995,1995/1996
Jérôme Gnako,27,Attacking Midfield,FC Sochaux,0.0,in,Summer,1995,1995/1996
Bruno Calégari,20,Right-Back,OGC Nice B,0.0,in,Summer,1995,1995/1996
Henri Savini,20,midfield,OGC Nice B,0.0,in,Summer,1995,1995/1996
Nicolas Gennarielli,18,midfield,OGC Nice B,0.0,in,Summer,1995,1995/1996
Thierry Rossi,19,Centre-Back,Nizza U19,0.0,in,Summer,1995,1995/1996
Jérôme Alonzo,22,Goalkeeper,Marseille,0.0,out,Summer,1995,1995/1996
Frédéric Baldacchino,21,defence,Fréjus-St-Raph.,0.0,out,Summer,1995,1995/1996
Frédéric Hantz,29,Central Midfield,Chamois Niort,0.0,out,Summer,1995,1995/1996
Fabrice Mège,30,Attacking Midfield,Tzafririm Holon,0.0,out,Summer,1995,1995/1996
Liazid Sandjak,28,Second Striker,Saint-Étienne,0.0,out,Summer,1995,1995/1996
Marco Di Costanzo,21,attack,Reggiana,0.0,out,Summer,1995,1995/1996
Frédéric Tatarian,24,defence,Marseille,0.0,out,Summer,1995,1995/1996
