player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Rafael Martín Vázquez,26,Attacking Midfield,Torino,2160000.0,in,Summer,1992,1992/1993
Fabien Barthez,21,Goalkeeper,Toulouse,0.0,in,Summer,1992,1992/1993
Jean-Jacques Eydelie,26,Defensive Midfield,FC Nantes,0.0,in,Summer,1992,1992/1993
Jean-Christophe Thomas,27,Defensive Midfield,FC Sochaux,0.0,in,Summer,1992,1992/1993
Jean-Marc Ferreri,29,Attacking Midfield,AJ Auxerre,0.0,in,Summer,1992,1992/1993
François Omam-Biyik,26,Centre-Forward,Cannes,0.0,in,Summer,1992,1992/1993
Marcel Desailly,23,Centre-Back,FC Nantes,0.0,in,Summer,1992,1992/1993
Rudi Völler,32,Centre-Forward,AS Roma,0.0,in,Summer,1992,1992/1993
Dragan Stojkovic,27,Attacking Midfield,Verona,0.0,in,Summer,1992,1992/1993
Alen Boksic,22,Centre-Forward,Cannes,0.0,in,Summer,1992,1992/1993
Leonardo Rodríguez,25,Attacking Midfield,SC Toulon Var,0.0,in,Summer,1992,1992/1993
Jean-Pierre Papin,28,Centre-Forward,Milan,12000000.0,out,Summer,1992,1992/1993
Leonardo Rodríguez,25,Attacking Midfield,Atalanta,4800000.0,out,Summer,1992,1992/1993
Trevor Steven,28,Right Midfield,Rangers,2600000.0,out,Summer,1992,1992/1993
Chris Waddle,31,Attacking Midfield,Sheff Wed,1500000.0,out,Summer,1992,1992/1993
Marc Libbra,19,Centre-Forward,FC Istres,0.0,out,Summer,1992,1992/1993
Alain Casanova,30,Goalkeeper,Toulouse,0.0,out,Summer,1992,1992/1993
Éric Lada,26,attack,Toulouse,0.0,out,Summer,1992,1992/1993
Patrice Eyraud,24,Defensive Midfield,SC Toulon Var,0.0,out,Summer,1992,1992/1993
Pascal Baills,27,Right-Back,R. Strasbourg,0.0,out,Summer,1992,1992/1993
Daniel Xuereb,32,Centre-Forward,SC Toulon Var,0.0,out,Summer,1992,1992/1993
Carlos Mozer,31,Centre-Back,Benfica,0.0,out,Summer,1992,1992/1993
François Omam-Biyik,26,Centre-Forward,Lens,0.0,out,Summer,1992,1992/1993
