player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
George Weah,25,Centre-Forward,Monaco,6500000.0,in,Summer,1992,1992/1993
Joël Cloarec,26,attack,LB Châteauroux,0.0,in,Summer,1992,1992/1993
Bernard Lama,29,Goalkeeper,Lens,0.0,in,Summer,1992,1992/1993
Francois Calderaro,28,Centre-Forward,FC Metz,0.0,in,Summer,1992,1992/1993
Alain Roche,24,Centre-Back,AJ Auxerre,0.0,in,Summer,1992,1992/1993
Jean-Luc Sassus,29,Right-Back,Cannes,0.0,in,Summer,1992,1992/1993
David Ginola,25,Left Winger,Stade Brestois,0.0,in,Summer,1992,1992/1993
Vincent Guérin,26,Central Midfield,Montpellier,0.0,in,Summer,1992,1992/1993
Djamel Belmadi,16,Right Midfield,Paris SG U19,0.0,in,Summer,1992,1992/1993
Patrick M'Boma,21,Centre-Forward,LB Châteauroux,0.0,out,Summer,1992,1992/1993
Pascal Nouma,20,Centre-Forward,LOSC Lille,0.0,out,Summer,1992,1992/1993
Jean-Luc Vasseur,23,Right-Back,Stade Rennais,0.0,out,Summer,1992,1992/1993
Liazid Sandjak,25,Second Striker,OGC Nice,0.0,out,Summer,1992,1992/1993
Bernard Héréson,23,Right-Back,Lens,0.0,out,Summer,1992,1992/1993
Christian Perez,29,Attacking Midfield,Monaco,0.0,out,Summer,1992,1992/1993
Joël Bats,35,Goalkeeper,Retired,0.0,out,Summer,1992,1992/1993
Oumar Sène,32,Attacking Midfield,Retired,0.0,out,Summer,1992,1992/1993
Dominique Leclercq,34,Goalkeeper,Retired,0.0,out,Summer,1992,1992/1993
Raí,28,Attacking Midfield,São Paulo,5000000.0,in,Summer,1993,1993/1994
Patrick M'Boma,23,Centre-Forward,LB Châteauroux,0.0,in,Summer,1993,1993/1994
Xavier Gravelaine,24,Centre-Forward,SM Caen,0.0,in,Summer,1993,1993/1994
Luc Borrelli,27,Goalkeeper,SC Toulon 83,0.0,in,Summer,1993,1993/1994
José Cobos,25,Left-Back,R. Strasbourg,0.0,in,Summer,1993,1993/1994
Jean-Claude Fernandes,20,Defensive Midfield,Paris SG U19,0.0,in,Summer,1993,1993/1994
Pascal Nouma,21,Centre-Forward,SM Caen,0.0,out,Summer,1993,1993/1994
Amara Simba,31,Centre-Forward,Monaco,0.0,out,Summer,1993,1993/1994
Bruno Germain,33,Defensive Midfield,Angers SCO,0.0,out,Summer,1993,1993/1994
Bernard Pardo,32,Defensive Midfield,SC Toulon 83,0.0,out,Summer,1993,1993/1994
Richard Dutruel,20,Goalkeeper,SM Caen,0.0,out,Summer,1993,1993/1994
Joël Cloarec,27,attack,US Valenciennes,0.0,out,Summer,1993,1993/1994
Jean-Philippe Séchet,29,Central Midfield,FC Metz,0.0,in,Summer,1994,1994/1995
Oumar Dieng,21,Centre-Back,LOSC Lille,0.0,in,Summer,1994,1994/1995
Edvin Murati,18,Left Midfield,Paris SG U19,0.0,in,Summer,1994,1994/1995
Bernard Allou,19,Right Winger,Paris SG B,0.0,in,Summer,1994,1994/1995
Pierre Ducrocq,17,Defensive Midfield,Paris SG U19,0.0,in,Summer,1994,1994/1995
Jérôme Leroy,19,Attacking Midfield,Paris SG B,0.0,in,Summer,1994,1994/1995
Pascal Nouma,21,Centre-Forward,LOSC Lille,0.0,in,Summer,1994,1994/1995
Joël Cloarec,28,attack,US Valenciennes,0.0,in,Summer,1994,1994/1995
Xavier Gravelaine,26,Centre-Forward,R. Strasbourg,0.0,in,Summer,1994,1994/1995
Christian Potel,20,Goalkeeper,Cannes,0.0,out,Summer,1994,1994/1995
Xavier Gravelaine,25,Centre-Forward,R. Strasbourg,0.0,out,Summer,1994,1994/1995
Joël Cloarec,28,attack,Guingamp,0.0,out,Summer,1994,1994/1995
Jean-Claude Fernandes,21,Defensive Midfield,AS Nancy,0.0,out,Summer,1994,1994/1995
Laurent Fournier,29,Defensive Midfield,G. Bordeaux,0.0,out,Summer,1994,1994/1995
Jean-Luc Sassus,31,Right-Back,Olympique Lyon,0.0,out,Summer,1994,1994/1995
Francois Calderaro,30,Centre-Forward,Toulouse,0.0,out,Summer,1994,1994/1995
Pierre Reynaud,26,Defensive Midfield,Toulouse,0.0,out,Summer,1994,1994/1995
Christophe Olol,13,Goalkeeper,AS Poissy,0.0,out,Summer,1994,1994/1995
Youri Djorkaeff,27,Attacking Midfield,Monaco,0.0,in,Summer,1995,1995/1996
Julio Dely Valdés,28,Centre-Forward,Cagliari Calcio,0.0,in,Summer,1995,1995/1996
Stéphane Mahé,26,Left-Back,AJ Auxerre,0.0,in,Summer,1995,1995/1996
Laurent Fournier,30,Defensive Midfield,G. Bordeaux,0.0,in,Summer,1995,1995/1996
Bruno N'Gotty,24,Centre-Back,Olympique Lyon,0.0,in,Summer,1995,1995/1996
Patrice Loko,25,Centre-Forward,FC Nantes,0.0,in,Summer,1995,1995/1996
Pascal Nouma,22,Centre-Forward,SM Caen,0.0,in,Summer,1995,1995/1996
Christophe Olol,14,Goalkeeper,AS Poissy,0.0,in,Summer,1995,1995/1996
Richard Dutruel,22,Goalkeeper,SM Caen,0.0,in,Summer,1995,1995/1996
George Weah,28,Centre-Forward,Milan,6900000.0,out,Summer,1995,1995/1996
David Ginola,28,Left Winger,Newcastle,2850000.0,out,Summer,1995,1995/1996
Edvin Murati,19,Left Midfield,LB Châteauroux,0.0,out,Summer,1995,1995/1996
Patrick M'Boma,24,Centre-Forward,FC Metz,0.0,out,Summer,1995,1995/1996
Jérôme Leroy,20,Attacking Midfield,Stade Lavallois,0.0,out,Summer,1995,1995/1996
Valdo,31,Attacking Midfield,Benfica,0.0,out,Summer,1995,1995/1996
Luc Borrelli,29,Goalkeeper,SM Caen,0.0,out,Summer,1995,1995/1996
Antoine Kombouaré,31,Centre-Back,FC Sion,0.0,out,Summer,1995,1995/1996
Ricardo Gomes,30,Centre-Back,Benfica,0.0,out,Summer,1995,1995/1996
Nicolas Anelka,16,Centre-Forward,Paris SG U19,0.0,in,Winter,1995,1995/1996
Xavier Gravelaine,27,Centre-Forward,Guingamp,0.0,out,Winter,1995,1995/1996
Jean-Philippe Séchet,30,Central Midfield,Saint-Étienne,0.0,out,Winter,1995,1995/1996
Kenedy,22,Left-Back,Benfica,0.0,in,Summer,1996,1996/1997
Benoît Cauet,27,Central Midfield,FC Nantes,0.0,in,Summer,1996,1996/1997
Roméo Calenda,23,midfield,LB Châteauroux,0.0,in,Summer,1996,1996/1997
Jimmy Algérino,24,Right-Back,LB Châteauroux,0.0,in,Summer,1996,1996/1997
Leonardo,26,Attacking Midfield,Kashima Antlers,0.0,in,Summer,1996,1996/1997
Vincent Fernandez,21,Goalkeeper,LB Châteauroux,0.0,in,Summer,1996,1996/1997
Didier Domi,18,Left-Back,Paris SG U19,0.0,in,Summer,1996,1996/1997
Jérôme Leroy,21,Attacking Midfield,Stade Lavallois,0.0,in,Summer,1996,1996/1997
Patrick M'Boma,25,Centre-Forward,FC Metz,0.0,in,Summer,1996,1996/1997
Edvin Murati,20,Left Midfield,LB Châteauroux,0.0,in,Summer,1996,1996/1997
Youri Djorkaeff,28,Attacking Midfield,Inter,6000000.0,out,Summer,1996,1996/1997
Pascal Nouma,24,Centre-Forward,R. Strasbourg,1000000.0,out,Summer,1996,1996/1997
Patrick M'Boma,26,Centre-Forward,Gamba Osaka,0.0,out,Summer,1996,1996/1997
Samir Amirèche,24,Centre-Back,US Créteil,0.0,out,Summer,1996,1996/1997
Djamel Belmadi,20,Right Midfield,FC Martigues,0.0,out,Summer,1996,1996/1997
Edvin Murati,20,Left Midfield,Stade Briochin,0.0,out,Summer,1996,1996/1997
Pierre Ducrocq,19,Defensive Midfield,Stade Lavallois,0.0,out,Summer,1996,1996/1997
Liazid Sandjak,29,Second Striker,Xamax,0.0,out,Summer,1996,1996/1997
Oumar Dieng,23,Centre-Back,Sampdoria,0.0,out,Summer,1996,1996/1997
José Cobos,28,Left-Back,Espanyol,0.0,out,Summer,1996,1996/1997
Richard Dutruel,23,Goalkeeper,Celta de Vigo,0.0,out,Summer,1996,1996/1997
Stéphane Mahé,27,Left-Back,Stade Rennais,0.0,out,Summer,1996,1996/1997
Patrick Colleter,30,Left-Back,G. Bordeaux,0.0,out,Summer,1996,1996/1997
Daniel Bravo,33,Central Midfield,AC Parma,0.0,out,Summer,1996,1996/1997
