player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Jean-François Péron,26,Left Midfield,R. Strasbourg,0.0,in,Summer,1992,1992/1993
Franck Raviot,18,Goalkeeper,INF Clairefontaine,0.0,in,Summer,1992,1992/1993
Guillaume Warmuz,22,Goalkeeper,Louh.-Cuiseaux,0.0,in,Summer,1992,1992/1993
Didier Dubois,25,Centre-Back,USL Dunkerque,0.0,in,Summer,1992,1992/1993
Emmanuel Hutteau,23,Left-Back,Bourges,0.0,in,Summer,1992,1992/1993
Bernard Héréson,23,Right-Back,Paris SG,0.0,in,Summer,1992,1992/1993
François Omam-Biyik,26,Centre-Forward,Marseille,0.0,in,Summer,1992,1992/1993
Nasko Sirakov,30,Centre-Forward,Levski Sofia,0.0,in,Summer,1992,1992/1993
Ryszard Tarasiewicz,30,Central Midfield,AS Nancy,0.0,in,Summer,1992,1992/1993
Boban Bozovic,28,midfield,FC Istres,0.0,out,Summer,1992,1992/1993
Franck Toffard,22,defence,Unknown,0.0,out,Summer,1992,1992/1993
Stéphane Gilet,28,defence,Quimper,0.0,out,Summer,1992,1992/1993
Pascal Peltier,30,Attacking Midfield,RC Arras,0.0,out,Summer,1992,1992/1993
Christophe Baïocco,26,Goalkeeper,Châtellerault,0.0,out,Summer,1992,1992/1993
Shalom Tikva,27,Attacking Midfield,Boom FC,0.0,out,Summer,1992,1992/1993
Patrice Zeré,21,Left-Back,US Créteil,0.0,out,Summer,1992,1992/1993
David François,22,midfield,La Roche Vendée,0.0,out,Summer,1992,1992/1993
Jules Bocandé,33,Centre-Forward,Eendracht Aalst,0.0,out,Summer,1992,1992/1993
Bernard Lama,29,Goalkeeper,Paris SG,0.0,out,Summer,1992,1992/1993
Anicet Saussé,23,defence,FC Martigues,0.0,out,Summer,1992,1992/1993
Francis Gillot,32,Centre-Back,Mulhouse S-A,0.0,out,Winter,1992,1992/1993
Nasko Sirakov,30,Centre-Forward,Levski Sofia,0.0,out,Winter,1992,1992/1993
Frédéric Meyrieu,25,Attacking Midfield,SC Toulon 83,0.0,in,Summer,1993,1993/1994
Patrice Marquet,26,Left Midfield,G. Bordeaux,0.0,in,Summer,1993,1993/1994
Anicet Saussé,25,defence,Olympique Alès,0.0,in,Summer,1993,1993/1994
Wagneau Eloi,19,Centre-Forward,RC Lens U19,0.0,in,Summer,1993,1993/1994
Pius N'Diefi,17,Centre-Forward,RC Lens U19,0.0,in,Summer,1993,1993/1994
Sébastien Dallet,19,Right Winger,RC Lens B,0.0,in,Summer,1993,1993/1994
Valeriano de Oliveira,18,attack,RC Lens B,0.0,in,Summer,1993,1993/1994
Anicet Saussé,24,defence,FC Martigues,0.0,in,Summer,1993,1993/1994
Emmanuel Hutteau,24,Left-Back,CS Sedan,0.0,out,Summer,1993,1993/1994
Mustapha El Haddaoui,31,Central Midfield,Angers SCO,0.0,out,Summer,1993,1993/1994
Marc Maufroy,23,attack,Le Mans UC 72,0.0,out,Summer,1993,1993/1994
Anicet Saussé,24,defence,Olympique Alès,0.0,out,Summer,1993,1993/1994
Christophe Delmotte,24,Left-Back,CS Sedan,0.0,out,Summer,1993,1993/1994
Felix Aladesanmi Ademola,19,midfield,Stationery Stores FC,0.0,in,Winter,1993,1993/1994
Patrice Marquet,27,Left Midfield,AC Le Havre,0.0,out,Winter,1993,1993/1994
Marc-Vivien Foé,19,Defensive Midfield,Canon Yaoundé,0.0,in,Summer,1994,1994/1995
Wilson Oruma,17,Attacking Midfield,Bendel Ins.,0.0,in,Summer,1994,1994/1995
Mickaël Debève,23,Right Midfield,Toulouse,0.0,in,Summer,1994,1994/1995
Joël Tiéhi,30,Centre-Forward,AC Le Havre,0.0,in,Summer,1994,1994/1995
Christophe Delmotte,25,Left-Back,CS Sedan,0.0,in,Summer,1994,1994/1995
François Omam-Biyik,28,Centre-Forward,América,0.0,out,Summer,1994,1994/1995
Didier Dubois,27,Centre-Back,FC Martigues,0.0,out,Summer,1994,1994/1995
Jean-François Péron,28,Left Midfield,SM Caen,0.0,out,Summer,1994,1994/1995
Robbie Slater,29,Central Midfield,Blackburn,0.0,out,Summer,1994,1994/1995
Anicet Saussé,25,defence,US Valenciennes,0.0,out,Summer,1994,1994/1995
Valeriano de Oliveira,19,attack,Rouen,0.0,out,Summer,1994,1994/1995
Felix Aladesanmi Ademola,19,midfield,RC Liège,0.0,out,Summer,1994,1994/1995
Christophe Delmotte,25,Left-Back,Cannes,0.0,out,Summer,1994,1994/1995
Ryszard Tarasiewicz,32,Central Midfield,Besançon RC,0.0,out,Summer,1994,1994/1995
Tony Vairelles,22,Centre-Forward,AS Nancy,1500000.0,in,Summer,1995,1995/1996
Philippe Chrismousse,20,Goalkeeper,CS Sedan,0.0,in,Summer,1995,1995/1996
Philippe Durpes,21,Centre-Back,RC Lens B,0.0,in,Summer,1995,1995/1996
Cédric Vernier,20,Centre-Back,RC Lens U19,0.0,in,Summer,1995,1995/1996
Christophe Delmotte,26,Left-Back,Cannes,0.0,in,Summer,1995,1995/1996
Philippe Chrismousse,20,Goalkeeper,Guingamp,0.0,out,Summer,1995,1995/1996
Philippe Brunel,22,Left Midfield,FC Gueugnon,0.0,out,Summer,1995,1995/1996
Sébastien Dallet,21,Right Winger,Guingamp,0.0,out,Summer,1995,1995/1996
Wagneau Eloi,21,Centre-Forward,AS Nancy,0.0,out,Summer,1995,1995/1996
Benedict Akwuegbu,20,Centre-Forward,KRC Harelbeke,0.0,out,Summer,1995,1995/1996
Bernard Héréson,26,Right-Back,SM Caen,0.0,out,Summer,1995,1995/1996
Pius N'Diefi,19,Centre-Forward,ASOA Valence,0.0,out,Summer,1995,1995/1996
Franck Raviot,21,Goalkeeper,FC Martigues,0.0,out,Summer,1995,1995/1996
Joël Tiéhi,31,Centre-Forward,FC Martigues,0.0,out,Winter,1995,1995/1996
Vladimir Smicer,23,Attacking Midfield,Slavia Prague,2500000.0,in,Summer,1996,1996/1997
Titi Camara,22,Centre-Forward,Saint-Étienne,0.0,in,Summer,1996,1996/1997
David Régis,27,Centre-Back,R. Strasbourg,0.0,in,Summer,1996,1996/1997
Aleksandr Rychkov,21,Attacking Midfield,Standard Liège,0.0,in,Summer,1996,1996/1997
Jean-Claude Nadon,31,Goalkeeper,LOSC Lille,0.0,in,Summer,1996,1996/1997
Yoann Lachor,20,Centre-Back,RC Lens B,0.0,in,Summer,1996,1996/1997
Christophe Marichez,21,Goalkeeper,RC Lens B,0.0,in,Summer,1996,1996/1997
Xavier Méride,21,Centre-Back,RC Lens B,0.0,in,Summer,1996,1996/1997
Anthony Colinet,20,Central Midfield,RC Lens U19,0.0,in,Summer,1996,1996/1997
Philippe Brunel,23,Left Midfield,FC Gueugnon,0.0,in,Summer,1996,1996/1997
Sébastien Dallet,22,Right Winger,Guingamp,0.0,in,Summer,1996,1996/1997
Wilson Oruma,19,Attacking Midfield,AS Nancy,0.0,out,Summer,1996,1996/1997
Pegguy Arphexad,23,Goalkeeper,LOSC Lille,0.0,out,Summer,1996,1996/1997
Pierre Laigle,25,Left Midfield,Sampdoria,0.0,out,Summer,1996,1996/1997
Roger Boli,30,Centre-Forward,AC Le Havre,0.0,out,Summer,1996,1996/1997
Philippe Vercruysse,34,Attacking Midfield,FC Sion,0.0,in,Winter,1996,1996/1997
Frédéric Meyrieu,29,Attacking Midfield,FC Sion,0.0,out,Winter,1996,1996/1997
José-Karl Pierre-Fanfan,21,Centre-Back,USL Dunkerque,0.0,in,Summer,1997,1997/1998
Anto Drobnjak,28,Centre-Forward,SC Bastia,0.0,in,Summer,1997,1997/1998
Stéphane Ziani,25,Attacking Midfield,G. Bordeaux,0.0,in,Summer,1997,1997/1998
Romain Pitau,19,Defensive Midfield,RC Lens B,0.0,in,Summer,1997,1997/1998
Aboubacar Sankharé,19,Left-Back,RC Lens U19,0.0,in,Summer,1997,1997/1998
Wagneau Eloi,23,Centre-Forward,AS Nancy,0.0,in,Summer,1997,1997/1998
Wilson Oruma,20,Attacking Midfield,AS Nancy,0.0,in,Summer,1997,1997/1998
Anthony Colinet,21,Central Midfield,US Fécamp,0.0,out,Summer,1997,1997/1998
Robert Malm,23,Centre-Forward,FC Lorient,0.0,out,Summer,1997,1997/1998
Cédric Vernier,22,Centre-Back,Paris FC,0.0,out,Summer,1997,1997/1998
Christophe Delmotte,28,Left-Back,Olympique Lyon,0.0,out,Summer,1997,1997/1998
Philippe Vercruysse,35,Attacking Midfield,Al-Hilal SFC,0.0,out,Summer,1997,1997/1998
Jean-Claude Nadon,32,Goalkeeper,Olympique Lyon,0.0,out,Summer,1997,1997/1998
Jean-Marc Adjovi-Boco,33,Centre-Back,Hibernian FC,0.0,out,Summer,1997,1997/1998
Aleksandr Rychkov,22,Attacking Midfield,Loko Moscow,0.0,out,Summer,1997,1997/1998
David Régis,28,Centre-Back,Karlsruher SC,0.0,out,Summer,1997,1997/1998
Sébastien Dallet,23,Right Winger,FC Sochaux,0.0,out,Summer,1997,1997/1998
Philippe Durpes,23,Centre-Back,RC Lens B,0.0,out,Summer,1997,1997/1998
Stéphane Dalmat,19,Central Midfield,LB Châteauroux,3800000.0,in,Summer,1998,1998/1999
Daniel Moreira,20,Second Striker,Guingamp,3800000.0,in,Summer,1998,1998/1999
Pascal Nouma,26,Centre-Forward,R. Strasbourg,3500000.0,in,Summer,1998,1998/1999
Cyril Rool,23,Left-Back,SC Bastia,0.0,in,Summer,1998,1998/1999
Ernest Oben-Etchi,23,Centre-Back,Cotonsport,0.0,in,Summer,1998,1998/1999
Junaid Hartley,20,midfield,Vitória Setúbal,0.0,in,Summer,1998,1998/1999
Alex Nyarko,24,Central Midfield,Karlsruher SC,0.0,in,Summer,1998,1998/1999
Ludovic Delporte,18,Left Winger,RC Lens B,0.0,in,Summer,1998,1998/1999
Franck Chaussidière,19,Central Midfield,RC Lens B,0.0,in,Summer,1998,1998/1999
Franck Queudrue,19,Left-Back,RC Lens B,0.0,in,Summer,1998,1998/1999
Cédric Berthelin,21,Goalkeeper,RC Lens U19,0.0,in,Summer,1998,1998/1999
Cédric Vernier,23,Centre-Back,Paris FC,0.0,in,Summer,1998,1998/1999
Stéphane Ziani,26,Attacking Midfield,Dep. La Coruña,5000000.0,out,Summer,1998,1998/1999
Romain Pitau,20,Defensive Midfield,US Créteil,0.0,out,Summer,1998,1998/1999
Wilson Oruma,21,Attacking Midfield,Samsunspor,0.0,out,Summer,1998,1998/1999
Matthieu Assou-Ekotto,20,Defensive Midfield,Exc. Mouscron,0.0,out,Summer,1998,1998/1999
Anto Drobnjak,29,Centre-Forward,Gamba Osaka,0.0,out,Summer,1998,1998/1999
Titi Camara,24,Centre-Forward,Marseille,0.0,out,Summer,1998,1998/1999
Jean-Guy Wallemme,30,Centre-Back,Coventry,0.0,out,Summer,1998,1998/1999
Hervé Arsène,34,Defensive Midfield,Retired,0.0,out,Summer,1998,1998/1999
Valérien Ismaël,23,Centre-Back,Crystal Palace,1800000.0,in,Winter,1998,1998/1999
Nicolas Laspalles,27,Right-Back,Paris SG,0.0,in,Winter,1998,1998/1999
Marc-Vivien Foé,23,Defensive Midfield,West Ham,6000000.0,out,Winter,1998,1998/1999
Xavier Méride,24,Centre-Back,Toulouse,0.0,out,Winter,1998,1998/1999
Wagneau Eloi,25,Centre-Forward,Monaco,0.0,out,Winter,1998,1998/1999
Aboubacar Sankharé,20,Left-Back,Toulouse,0.0,out,Winter,1998,1998/1999
Olivier Dacourt,24,Defensive Midfield,Everton,6000000.0,in,Summer,1999,1999/2000
Ibrahima N'Diaye,17,Right Winger,Dakar UC,0.0,in,Summer,1999,1999/2000
Sébastien Chabbert,21,Goalkeeper,Cannes,0.0,in,Summer,1999,1999/2000
Ferdinand Coly,25,Right-Back,LB Châteauroux,0.0,in,Summer,1999,1999/2000
Adama Coulibaly,18,Centre-Back,Djoliba AC,0.0,in,Summer,1999,1999/2000
Stéphane Collet,27,Right Midfield,R. Strasbourg,0.0,in,Summer,1999,1999/2000
Olivier Bogaczyk,22,midfield,Unknown,0.0,in,Summer,1999,1999/2000
Patrick Barul,21,Right-Back,Cannes,0.0,in,Summer,1999,1999/2000
Lamine Sakho,21,Left Winger,Nîmes Olympique,0.0,in,Summer,1999,1999/2000
Joseph-Désiré Job,21,Centre-Forward,Olympique Lyon,0.0,in,Summer,1999,1999/2000
Charles-Edouard Coridon,26,Attacking Midfield,Guingamp,0.0,in,Summer,1999,1999/2000
Jocelyn Blanchard,27,Defensive Midfield,Juventus,0.0,in,Summer,1999,1999/2000
Ludovic Pollet,29,Centre-Back,AC Le Havre,0.0,in,Summer,1999,1999/2000
Youl Mawéné,19,Centre-Back,RC Lens B,0.0,in,Summer,1999,1999/2000
Xavier Méride,24,Centre-Back,Toulouse,0.0,in,Summer,1999,1999/2000
Aboubacar Sankharé,21,Left-Back,Toulouse,0.0,in,Summer,1999,1999/2000
Stéphane Dalmat,20,Central Midfield,Marseille,10600000.0,out,Summer,1999,1999/2000
Tony Vairelles,26,Centre-Forward,Olympique Lyon,8000000.0,out,Summer,1999,1999/2000
Vladimir Smicer,26,Attacking Midfield,Liverpool,6800000.0,out,Summer,1999,1999/2000
Ludovic Pollet,29,Centre-Back,Wolves,450000.0,out,Summer,1999,1999/2000
Emmanuel Akwuegbu,20,Centre-Forward,SW Bregenz,0.0,out,Summer,1999,1999/2000
Frédéric Déhu,26,Centre-Back,Barcelona,0.0,out,Summer,1999,1999/2000
Cédric Vernier,24,Centre-Back,Grenoble,0.0,out,Summer,1999,1999/2000
Franck Chaussidière,20,Central Midfield,Wasquehal,0.0,out,Summer,1999,1999/2000
Cyrille Magnier,29,Centre-Back,AJ Auxerre,0.0,out,Summer,1999,1999/2000
Christophe Marichez,24,Goalkeeper,Chamois Niort,0.0,out,Summer,1999,1999/2000
Ernest Oben-Etchi,24,Centre-Back,LB Châteauroux,0.0,out,Summer,1999,1999/2000
Mickaël Debève,28,Right Midfield,AC Le Havre,0.0,out,Summer,1999,1999/2000
Aboubacar Sankharé,21,Left-Back,US Créteil,0.0,out,Summer,1999,1999/2000
Nicolas Laspalles,27,Right-Back,Paris SG,0.0,out,Summer,1999,1999/2000
Bruno Rodriguez,27,Centre-Forward,Paris SG,0.0,in,Winter,1999,1999/2000
Esteban Fuertes,27,Centre-Forward,Derby,6000000.0,in,Summer,2000,2000/2001
Antoine Sibierski,25,Attacking Midfield,FC Nantes,3600000.0,in,Summer,2000,2000/2001
Radek Bejbl,27,Defensive Midfield,Atlético Madrid,1800000.0,in,Summer,2000,2000/2001
Nenad Grozdic,26,Central Midfield,Vitesse,0.0,in,Summer,2000,2000/2001
El-Hadji Diouf,19,Centre-Forward,Stade Rennais,0.0,in,Summer,2000,2000/2001
Franck Dumas,32,Centre-Back,Marseille,0.0,in,Summer,2000,2000/2001
Pablo Calandria,18,Centre-Forward,Marseille,0.0,in,Summer,2000,2000/2001
Yazid Kaïssi,19,Central Midfield,RC Lens B,0.0,in,Summer,2000,2000/2001
Mickaël Debève,29,Right Midfield,AC Le Havre,0.0,in,Summer,2000,2000/2001
Franck Chaussidière,21,Central Midfield,Wasquehal,0.0,in,Summer,2000,2000/2001
Ludovic Delporte,21,Left Winger,Stade Lavallois,0.0,in,Summer,2000,2000/2001
Aboubacar Sankharé,22,Left-Back,US Créteil,0.0,in,Summer,2000,2000/2001
Olivier Dacourt,25,Defensive Midfield,Leeds,10500000.0,out,Summer,2000,2000/2001
Alex Nyarko,26,Central Midfield,Everton,6300000.0,out,Summer,2000,2000/2001
Joseph-Désiré Job,22,Centre-Forward,Middlesbrough,4500000.0,out,Summer,2000,2000/2001
Pascal Nouma,28,Centre-Forward,Besiktas,4000000.0,out,Summer,2000,2000/2001
Aboubacar Sankharé,22,Left-Back,US Créteil,0.0,out,Summer,2000,2000/2001
Bruno Rodriguez,27,Centre-Forward,Guingamp,0.0,out,Summer,2000,2000/2001
Ludovic Delporte,20,Left Winger,Stade Lavallois,0.0,out,Summer,2000,2000/2001
Xavier Méride,25,Centre-Back,US Créteil,0.0,out,Summer,2000,2000/2001
Junaid Hartley,22,midfield,Orlando Pirates,0.0,out,Summer,2000,2000/2001
Francois Rigaux,20,midfield,Eendracht Aalst,0.0,out,Summer,2000,2000/2001
Olivier Bogaczyk,23,midfield,SM Caen,0.0,out,Summer,2000,2000/2001
Stéphane Collet,28,Right Midfield,Real Sociedad,0.0,out,Summer,2000,2000/2001
Yoann Lachor,24,Centre-Back,Servette FC,0.0,out,Summer,2000,2000/2001
Cédric Berthelin,23,Goalkeeper,ASOA Valence,0.0,out,Summer,2000,2000/2001
Valérien Ismaël,24,Centre-Back,R. Strasbourg,0.0,out,Summer,2000,2000/2001
Sébastien Hamel,25,Goalkeeper,AC Le Havre,0.0,in,Winter,2000,2000/2001
Youl Mawéné,21,Centre-Back,Derby,700000.0,out,Winter,2000,2000/2001
Hervé Brassart,17,Centre-Forward,1.FC Magdeburg,0.0,out,Winter,2000,2000/2001
Sébastien Chabbert,22,Goalkeeper,FC Metz,0.0,out,Winter,2000,2000/2001
El-Hadji Diouf,20,Centre-Forward,Stade Rennais,5340000.0,in,Summer,2001,2001/2002
Pape Sarr,23,Defensive Midfield,Saint-Étienne,750000.0,in,Summer,2001,2001/2002
Charles Itandje,18,Goalkeeper,AS Red Star 93,0.0,in,Summer,2001,2001/2002
Djimi Traoré,21,Centre-Back,Liverpool,0.0,in,Summer,2001,2001/2002
Jean-Guy Wallemme,33,Centre-Back,Saint-Étienne,0.0,in,Summer,2001,2001/2002
Stéphane Pédron,30,Left Midfield,Saint-Étienne,0.0,in,Summer,2001,2001/2002
Bob Cousin,19,Central Midfield,LOSC Lille,0.0,in,Summer,2001,2001/2002
Nadir Belhadj,19,Left-Back,RC Lens B,0.0,in,Summer,2001,2001/2002
Daouda Jabi,20,Right-Back,RC Lens B,0.0,in,Summer,2001,2001/2002
Bouabid Bouden,19,Centre-Forward,RC Lens B,0.0,in,Summer,2001,2001/2002
Cédric Berthelin,24,Goalkeeper,ASOA Valence,0.0,in,Summer,2001,2001/2002
Cyril Rool,26,Left-Back,Marseille,0.0,in,Summer,2001,2001/2002
Valérien Ismaël,25,Centre-Back,R. Strasbourg,0.0,in,Summer,2001,2001/2002
Bruno Rodriguez,28,Centre-Forward,Rayo Vallecano,0.0,in,Summer,2001,2001/2002
Yoann Lachor,25,Centre-Back,Servette FC,0.0,in,Summer,2001,2001/2002
Bruno Rodriguez,28,Centre-Forward,Guingamp,0.0,in,Summer,2001,2001/2002
Sébastien Chabbert,23,Goalkeeper,FC Metz,0.0,in,Summer,2001,2001/2002
Xavier Méride,26,Centre-Back,US Créteil,0.0,in,Summer,2001,2001/2002
Franck Queudrue,23,Left-Back,Middlesbrough,0.0,in,Summer,2001,2001/2002
José-Karl Pierre-Fanfan,25,Centre-Back,Monaco,0.0,out,Summer,2001,2001/2002
Franck Chaussidière,22,Central Midfield,FC Istres,0.0,out,Summer,2001,2001/2002
Philippe Brunel,28,Left Midfield,Marseille,0.0,out,Summer,2001,2001/2002
Sébastien Hamel,25,Goalkeeper,FC Lorient,0.0,out,Summer,2001,2001/2002
Xavier Méride,26,Centre-Back,Wasquehal,0.0,out,Summer,2001,2001/2002
Franck Dumas,33,Centre-Back,SM Caen,0.0,out,Summer,2001,2001/2002
Nenad Grozdic,27,Central Midfield,Racing Ferrol,0.0,out,Summer,2001,2001/2002
Yazid Kaïssi,20,Central Midfield,Wasquehal,0.0,out,Summer,2001,2001/2002
Ludovic Delporte,21,Left Winger,Racing Ferrol,0.0,out,Summer,2001,2001/2002
Bruno Rodriguez,28,Centre-Forward,Rayo Vallecano,0.0,out,Summer,2001,2001/2002
Franck Queudrue,23,Left-Back,Middlesbrough,0.0,out,Summer,2001,2001/2002
Cyril Rool,26,Left-Back,Marseille,0.0,out,Summer,2001,2001/2002
Esteban Fuertes,28,Centre-Forward,CD Tenerife,0.0,out,Summer,2001,2001/2002
