player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Michael Hughes,20,Attacking Midfield,Man City,500000.0,in,Summer,1992,1992/1993
Tomasz Frankowski,17,Centre-Forward,Jagiellonia,200000.0,in,Summer,1992,1992/1993
Martin Djetou,17,Centre-Back,US Créteil B,0.0,in,Summer,1992,1992/1993
Frank Farina,27,Centre-Forward,Bari,0.0,in,Summer,1992,1992/1993
Pascal Baills,27,Right-Back,Marseille,0.0,in,Summer,1992,1992/1993
Ali Bouafia,27,Left Winger,Olympique Lyon,0.0,in,Summer,1992,1992/1993
Franck Mary,28,Goalkeeper,Saint-Quentin,0.0,in,Summer,1992,1992/1993
Olivier Dacourt,17,Defensive Midfield,Strasbourg U19,0.0,in,Summer,1992,1992/1993
Yannick Rott,17,Left-Back,R. Strasbourg B,0.0,in,Summer,1992,1992/1993
Laurent Weber,19,Goalkeeper,Strasbourg U19,0.0,in,Summer,1992,1992/1993
Jean-François Péron,26,Left Midfield,Lens,0.0,out,Summer,1992,1992/1993
Didier Monczuk,31,Centre-Forward,Nîmes Olympique,0.0,out,Summer,1992,1992/1993
Cyriaque Didaux,32,Left Midfield,SAS Epinal,0.0,out,Summer,1992,1992/1993
Serge Jenner,32,Centre-Back,FCSR Haguenau,0.0,out,Summer,1992,1992/1993
José Guerra,27,attack,La Roche Vendée,0.0,out,Summer,1992,1992/1993
Olivier Dall'Oglio,28,Right-Back,Perpignan,0.0,out,Summer,1992,1992/1993
Joël Corminboeuf,29,Goalkeeper,Xamax,0.0,in,Summer,1993,1993/1994
Rémi Garde,27,Defensive Midfield,Olympique Lyon,0.0,in,Summer,1993,1993/1994
David Régis,24,Centre-Back,US Valenciennes,0.0,in,Summer,1993,1993/1994
Wilfrid Gohel,24,Right Winger,US Valenciennes,0.0,in,Summer,1993,1993/1994
Philippe Thys,33,Left-Back,SC Toulon 83,0.0,in,Summer,1993,1993/1994
Valérien Ismaël,17,Centre-Back,Strasbourg U19,0.0,in,Summer,1993,1993/1994
Laurent Weber,21,Goalkeeper,Louh.-Cuiseaux,0.0,in,Summer,1993,1993/1994
Stephen Keshi,31,Centre-Back,RWD Molenbeek,0.0,out,Summer,1993,1993/1994
Jean-Jacques Etamé,26,midfield,LOSC Lille,0.0,out,Summer,1993,1993/1994
Éric Mura,30,Right-Back,SC Bastia,0.0,out,Summer,1993,1993/1994
José Cobos,25,Left-Back,Paris SG,0.0,out,Summer,1993,1993/1994
Laurent Weber,20,Goalkeeper,Louh.-Cuiseaux,0.0,out,Summer,1993,1993/1994
Franck Mary,29,Goalkeeper,Without Club,0.0,out,Summer,1993,1993/1994
Ivan Hasek,30,Central Midfield,Sanf. Hiroshima,0.0,out,Winter,1993,1993/1994
Xavier Gravelaine,25,Centre-Forward,Paris SG,0.0,in,Summer,1994,1994/1995
Aleksandr Mostovoy,25,Attacking Midfield,Benfica,0.0,in,Summer,1994,1994/1995
Alexander Vencel,27,Goalkeeper,Slo. Bratislava,0.0,in,Summer,1994,1994/1995
Franck Sauzée,28,Central Midfield,Atalanta BC,0.0,in,Summer,1994,1994/1995
David Klein,20,Goalkeeper,R. Strasbourg B,0.0,in,Summer,1994,1994/1995
Thierry Debès,20,Goalkeeper,R. Strasbourg B,0.0,in,Summer,1994,1994/1995
Fabien Weber,21,Defensive Midfield,R. Strasbourg B,0.0,in,Summer,1994,1994/1995
Rémy Mukenge,19,defence,RB Differdange,0.0,out,Summer,1994,1994/1995
Joël Corminboeuf,30,Goalkeeper,Xamax,0.0,out,Summer,1994,1994/1995
Frank Farina,29,Centre-Forward,LOSC Lille,0.0,out,Summer,1994,1994/1995
Jacky Paillard,31,Defensive Midfield,Toulouse,0.0,out,Summer,1994,1994/1995
Sylvain Sansone,26,Goalkeeper,CS Sedan,0.0,out,Summer,1994,1994/1995
Xavier Gravelaine,26,Centre-Forward,Paris SG,0.0,out,Summer,1994,1994/1995
Michael Hughes,23,Attacking Midfield,West Ham,0.0,out,Winter,1994,1994/1995
Philippe Raschke,27,Right-Back,Cannes,0.0,in,Summer,1995,1995/1996
David Zitelli,26,Centre-Forward,FC Metz,0.0,in,Summer,1995,1995/1996
Gérald Baticle,25,Centre-Forward,AJ Auxerre,0.0,in,Summer,1995,1995/1996
Aziz Rabbah,18,midfield,Strasbourg U19,0.0,in,Summer,1995,1995/1996
François Keller,21,midfield,R. Strasbourg B,0.0,in,Summer,1995,1995/1996
Tomasz Frankowski,20,Centre-Forward,Nagoya Grampus,0.0,out,Summer,1995,1995/1996
Fabien Weber,22,Defensive Midfield,SAS Epinal,0.0,out,Summer,1995,1995/1996
Laurent Weber,22,Goalkeeper,US Valenciennes,0.0,out,Summer,1995,1995/1996
Ali Bouafia,30,Left Winger,FC Sochaux,0.0,out,Summer,1995,1995/1996
Stéphane Soppo-Din,23,Centre-Back,Angers SCO,0.0,out,Summer,1995,1995/1996
Pascal Baills,30,Right-Back,Montpellier,0.0,out,Summer,1995,1995/1996
Pascal Nouma,24,Centre-Forward,Paris SG,1000000.0,in,Summer,1996,1996/1997
Jan Suchoparek,26,Sweeper,Slavia Prague,600000.0,in,Summer,1996,1996/1997
Bruno Rodriguez,23,Centre-Forward,SC Bastia,0.0,in,Summer,1996,1996/1997
Jean-Luc Dogon,28,Centre-Back,G. Bordeaux,0.0,in,Summer,1996,1996/1997
Stéphane Collet,24,Right Midfield,OGC Nice,0.0,in,Summer,1996,1996/1997
Karim M'Ghoghi,25,Central Midfield,Germinal Ekeren,0.0,in,Summer,1996,1996/1997
Godwin Okpara,23,Centre-Back,Eendracht Aalst,0.0,in,Summer,1996,1996/1997
Francis Llacer,24,Left-Back,Paris SG,0.0,in,Summer,1996,1996/1997
Vincent Petit,22,Centre-Forward,Montpellier,0.0,in,Summer,1996,1996/1997
Frank Leboeuf,28,Centre-Back,Chelsea,3450000.0,out,Summer,1996,1996/1997
Aleksandr Mostovoy,27,Attacking Midfield,Celta de Vigo,2000000.0,out,Summer,1996,1996/1997
Martin Djetou,21,Centre-Back,Monaco,0.0,out,Summer,1996,1996/1997
Franck Sauzée,30,Central Midfield,Montpellier,0.0,out,Summer,1996,1996/1997
Rémi Garde,30,Defensive Midfield,Arsenal,0.0,out,Summer,1996,1996/1997
David Régis,27,Centre-Back,Lens,0.0,out,Summer,1996,1996/1997
Marc Keller,28,Right Midfield,Karlsruher SC,0.0,out,Summer,1996,1996/1997
Philippe Thys,36,Left-Back,Endoume,0.0,out,Summer,1996,1996/1997
Bruno Rodriguez,24,Centre-Forward,FC Metz,0.0,out,Winter,1996,1996/1997
Denni Conteh,21,Centre-Forward,Hvidovre,0.0,in,Summer,1997,1997/1998
Christophe Kinet,22,Left Midfield,Germinal Ekeren,0.0,in,Summer,1997,1997/1998
Luciano Zavagno,19,Left-Back,CA Unión,0.0,in,Summer,1997,1997/1998
Frédéric Arpinon,28,Attacking Midfield,FC Metz,0.0,in,Summer,1997,1997/1998
Raphaël Miceli,21,Left Midfield,Standard Liège,0.0,in,Summer,1997,1997/1998
Christophe Avril,28,midfield,O Charleville,0.0,in,Summer,1997,1997/1998
Kim Ekroos,16,Goalkeeper,TPS,0.0,in,Summer,1997,1997/1998
Rafik Mezriche,19,Defensive Midfield,Strasbourg U19,0.0,in,Summer,1997,1997/1998
Yvon Pouliquen,34,Defensive Midfield,Retired,0.0,out,Summer,1997,1997/1998
Francis Llacer,25,Left-Back,Paris SG,0.0,out,Summer,1997,1997/1998
Vincent Petit,23,Centre-Forward,Montpellier,0.0,out,Summer,1997,1997/1998
Jung-won Seo,28,Right Winger,Anyang LG Cheeta,950000.0,in,Winter,1997,1997/1998
Morten Nielsen,26,Right-Back,FC Copenhagen,0.0,in,Winter,1997,1997/1998
Corentin Martins,28,Attacking Midfield,Dep. La Coruña,0.0,in,Winter,1997,1997/1998
Valérien Ismaël,22,Centre-Back,Crystal Palace,3800000.0,out,Winter,1997,1997/1998
David Klein,24,Goalkeeper,Toulouse,0.0,out,Winter,1997,1997/1998
David Zitelli,29,Centre-Forward,Karlsruher SC,0.0,out,Winter,1997,1997/1998
Gharib Amzine,25,Left Midfield,Mulhouse S-A,0.0,in,Summer,1998,1998/1999
Henri Camara,21,Centre-Forward,ASC Jaraaf,0.0,in,Summer,1998,1998/1999
Fabrice Ehret,18,Left-Back,Mulhouse S-A,0.0,in,Summer,1998,1998/1999
Olivier Echouafni,25,Defensive Midfield,Marseille,0.0,in,Summer,1998,1998/1999
Péguy Luyindula,19,Centre-Forward,Chamois Niort,0.0,in,Summer,1998,1998/1999
Brahim Hemdani,20,Defensive Midfield,Cannes,0.0,in,Summer,1998,1998/1999
Peter Frank,28,Centre-Back,Herfölge BK,0.0,in,Summer,1998,1998/1999
Lionel Rouxel,27,Centre-Forward,Guingamp,0.0,in,Summer,1998,1998/1999
Per Pedersen,29,Centre-Forward,Bor. M'gladbach,0.0,in,Summer,1998,1998/1999
Teddy Bertin,28,Centre-Back,Marseille,0.0,in,Summer,1998,1998/1999
Habib Bèye,20,Right-Back,Paris SG,0.0,in,Summer,1998,1998/1999
Pascal Johansen,19,Central Midfield,R. Strasbourg B,0.0,in,Summer,1998,1998/1999
Olivier Dacourt,23,Defensive Midfield,Everton,6000000.0,out,Summer,1998,1998/1999
Pascal Nouma,26,Centre-Forward,Lens,3500000.0,out,Summer,1998,1998/1999
Yannick Rott,23,Left-Back,Toulouse,0.0,out,Summer,1998,1998/1999
Christophe Avril,29,midfield,La Roche Vendée,0.0,out,Summer,1998,1998/1999
Jean-Luc Dogon,30,Centre-Back,Stade Rennais,0.0,out,Summer,1998,1998/1999
Aziz Rabbah,21,midfield,RSC Charleroi,0.0,out,Summer,1998,1998/1999
Philippe Raschke,30,Right-Back,FC Sochaux,0.0,out,Summer,1998,1998/1999
Gérald Baticle,28,Centre-Forward,AJ Auxerre,0.0,out,Summer,1998,1998/1999
Karim M'Ghoghi,27,Central Midfield,Without Club,0.0,out,Summer,1998,1998/1999
Mamadou Bagayoko,19,Centre-Forward,FC Sens,0.0,in,Winter,1998,1998/1999
Brian Waltrip,20,Right Midfield,SF Bulls,0.0,in,Winter,1998,1998/1999
Mickaël Marsiglia,23,Central Midfield,Cannes,0.0,in,Winter,1998,1998/1999
David Zitelli,30,Centre-Forward,Karlsruher SC,0.0,in,Winter,1998,1998/1999
Yacine Abdessadki,18,Right Winger,R. Strasbourg B,0.0,in,Winter,1998,1998/1999
François Keller,25,midfield,Fulham,45000.0,out,Winter,1998,1998/1999
Jung-won Seo,29,Right Winger,Suwon Bluewings,0.0,out,Winter,1998,1998/1999
Diego Garay,24,Attacking Midfield,CA Talleres,3500000.0,in,Summer,1999,1999/2000
Mario Haas,24,Centre-Forward,Sturm Graz,3120000.0,in,Summer,1999,1999/2000
Pape Malick Diop,24,Centre-Back,Jeanne d'Arc,900000.0,in,Summer,1999,1999/2000
Pascal Camadini,27,Central Midfield,FC Lorient,0.0,in,Summer,1999,1999/2000
Pierre Njanka,24,Right-Back,Xamax,0.0,in,Summer,1999,1999/2000
Gonzalo Belloso,25,Centre-Forward,Lanús,0.0,in,Summer,1999,1999/2000
Joseph Cyrille Ndo,23,Attacking Midfield,Xamax,0.0,in,Summer,1999,1999/2000
Cédric Kanté,19,Centre-Back,R. Strasbourg B,0.0,in,Summer,1999,1999/2000
Henri Camara,22,Centre-Forward,Xamax,0.0,out,Summer,1999,1999/2000
Jan Suchoparek,29,Sweeper,TeBe Berlin,0.0,out,Summer,1999,1999/2000
Corentin Martins,30,Attacking Midfield,G. Bordeaux,0.0,out,Summer,1999,1999/2000
Kim Ekroos,18,Goalkeeper,Tampere United,0.0,out,Summer,1999,1999/2000
