player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Gabriel Calderón,32,Attacking Midfield,FC Sion,0.0,in,Summer,1992,1992/1993
Christophe Duboscq,25,midfield,US Avranches,0.0,in,Summer,1992,1992/1993
Stéphane Dedebant,21,Central Midfield,Unknown,0.0,in,Summer,1992,1992/1993
Faouzi Rouissi,21,Centre-Forward,Club Africain,0.0,in,Summer,1992,1992/1993
Clément Garcia,24,attack,Montpellier,0.0,in,Summer,1992,1992/1993
Wally Dieng,18,defence,SM Caen B,0.0,in,Summer,1992,1992/1993
Stéphane Lièvre,19,Left-Back,Caen U19,0.0,in,Summer,1992,1992/1993
Michel Rio,29,Attacking Midfield,AC Le Havre,0.0,out,Summer,1992,1992/1993
Rubens,20,attack,Unknown,0.0,out,Summer,1992,1992/1993
Franck Dumas,24,Centre-Back,Monaco,0.0,out,Summer,1992,1992/1993
Olivier Pickeu,22,Centre-Forward,Montpellier,0.0,out,Summer,1992,1992/1993
Didier Thimothée,22,Centre-Forward,AS Red Star 93,0.0,out,Summer,1992,1992/1993
Fabien Debotté,28,Defensive Midfield,FC Nantes,0.0,out,Summer,1992,1992/1993
Jesper Olsen,31,Left Midfield,Retired,0.0,out,Summer,1992,1992/1993
Pascal Nouma,21,Centre-Forward,Paris SG,0.0,in,Summer,1993,1993/1994
Nicolas Huysman,25,Left Midfield,FC Metz,0.0,in,Summer,1993,1993/1994
Lilian Nalis,21,Central Midfield,AJ Auxerre B,0.0,in,Summer,1993,1993/1994
Laurent Dufour,18,midfield,Mondeville,0.0,in,Summer,1993,1993/1994
Celio Silva,25,Centre-Back,Internacional,0.0,in,Summer,1993,1993/1994
Patrick Revelles,24,Centre-Forward,Monaco,0.0,in,Summer,1993,1993/1994
Ronan Salaün,24,Centre-Forward,G. Bordeaux,0.0,in,Summer,1993,1993/1994
Arnaud Tanguy,17,midfield,Stade Brestois,0.0,in,Summer,1993,1993/1994
Richard Dutruel,20,Goalkeeper,Paris SG,0.0,in,Summer,1993,1993/1994
