player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Paul Baysse,22,Centre-Back,CS Sedan,1000000.0,in,Summer,2010,2010/2011
Tomas Micola,21,Attacking Midfield,Banik Ostrava,750000.0,in,Summer,2010,2010/2011
Richard Soumah,23,Left-Back,Guingamp,500000.0,in,Summer,2010,2010/2011
Mario Licka,28,Attacking Midfield,Banik Ostrava,250000.0,in,Summer,2010,2010/2011
Larsen Touré,26,Right Winger,LOSC Lille,200000.0,in,Summer,2010,2010/2011
Filippos Darlas,26,Left-Back,Panathinaikos,100000.0,in,Summer,2010,2010/2011
Fodie Traoré,25,midfield,Quevilly,0.0,in,Summer,2010,2010/2011
Gaëtan Deneuve,25,Goalkeeper,LB Châteauroux,0.0,in,Summer,2010,2010/2011
Granddi N'Goyi,22,Defensive Midfield,Paris SG,0.0,in,Summer,2010,2010/2011
Johan Martial,19,Centre-Back,SC Bastia,0.0,in,Summer,2010,2010/2011
Grégory Lorenzi,26,Centre-Back,SC Bastia,0.0,in,Summer,2010,2010/2011
Benoît Leroy,27,Attacking Midfield,Cannes,0.0,out,Summer,2010,2010/2011
Richard Pelletier,21,Left-Back,Montreal,0.0,out,Summer,2010,2010/2011
Richard Socrier,31,Centre-Forward,AC Ajaccio,0.0,out,Summer,2010,2010/2011
Romain Thomas,22,Centre-Back,Carquefou,0.0,out,Summer,2010,2010/2011
Cédric Fabien,28,Left-Back,US Boulogne,0.0,out,Summer,2010,2010/2011
David Bouard,33,Defensive Midfield,Vannes,0.0,out,Summer,2010,2010/2011
Anthony Le Gall,25,Attacking Midfield,Montreal,0.0,out,Summer,2010,2010/2011
Eric Sitruk,32,Right Winger,AS Vitré,0.0,out,Summer,2010,2010/2011
Julien Lachuer,33,Goalkeeper,Retired,0.0,out,Summer,2010,2010/2011
Fabien Laurenti,27,Right-Back,Lens,0.0,out,Summer,2010,2010/2011
Jonathan Ayité,25,Centre-Forward,Nîmes Olympique,1000000.0,in,Winter,2010,2010/2011
Simon Pontdemé,22,Goalkeeper,AJ Auxerre,0.0,out,Winter,2010,2010/2011
Filippos Darlas,27,Left-Back,Atromitos Athen,0.0,out,Winter,2010,2010/2011
Grégory Lorenzi,27,Centre-Back,AC Arles,0.0,out,Winter,2010,2010/2011
Johan Martial,20,Centre-Back,SC Bastia,800000.0,in,Summer,2011,2011/2012
Diallo Guidileye,21,Defensive Midfield,Troyes,700000.0,in,Summer,2011,2011/2012
Tripy Makonda,21,Left-Back,Paris SG,500000.0,in,Summer,2011,2011/2012
Joan Hartock,24,Goalkeeper,Olymp. Lyon B,0.0,in,Summer,2011,2011/2012
Jonathan Zebina,33,Centre-Back,Brescia,0.0,in,Summer,2011,2011/2012
John Culma,30,Defensive Midfield,Maccabi Haifa,0.0,in,Summer,2011,2011/2012
Eden Ben Basat,24,Centre-Forward,Hapoel Haifa,0.0,in,Summer,2011,2011/2012
Lionel Cappone,32,Goalkeeper,FC Lorient,0.0,in,Summer,2011,2011/2012
Santiago Gentiletti,26,Centre-Back,Argentinos Jrs.,0.0,in,Summer,2011,2011/2012
Grégory Lorenzi,27,Centre-Back,AC Arles,0.0,in,Summer,2011,2011/2012
Filippos Darlas,27,Left-Back,Atromitos Athen,0.0,in,Summer,2011,2011/2012
Gaëtan Deneuve,26,Goalkeeper,Fréjus-St-Raph.,0.0,out,Summer,2011,2011/2012
Andrey Ashikhmin,36,Goalkeeper,Neman Grodno,0.0,out,Summer,2011,2011/2012
Fodie Traoré,26,midfield,US Orléans,0.0,out,Summer,2011,2011/2012
Thomas Cotty,24,Left-Back,Concarneau,0.0,out,Summer,2011,2011/2012
Théophile N'Tamé,26,Centre-Back,Without Club,0.0,out,Summer,2011,2011/2012
Filippos Darlas,27,Left-Back,Without Club,0.0,out,Summer,2011,2011/2012
Yvan Bourgis,31,Right-Back,Retired,0.0,out,Summer,2011,2011/2012
Granddi N'Goyi,23,Defensive Midfield,Paris SG,0.0,out,Summer,2011,2011/2012
Johan Martial,20,Centre-Back,SC Bastia,0.0,out,Summer,2011,2011/2012
Alexandre Alphonse,29,Centre-Forward,FC Zürich,500000.0,in,Winter,2011,2011/2012
Issam Jemâa,28,Centre-Forward,AJ Auxerre,0.0,in,Winter,2011,2011/2012
Abel Khaled,19,Right Winger,SAS Epinal,0.0,in,Winter,2011,2011/2012
Abdoul Wahid Sissoko,21,Defensive Midfield,Udinese Calcio,0.0,in,Winter,2011,2011/2012
Nolan Roux,23,Centre-Forward,LOSC Lille,8000000.0,out,Winter,2011,2011/2012
Richard Soumah,25,Left-Back,Angers SCO,0.0,out,Winter,2011,2011/2012
Charlison Benschop,22,Centre-Forward,AZ Alkmaar,1250000.0,in,Summer,2012,2012/2013
Alexis Thébaux,27,Goalkeeper,SM Caen,1200000.0,in,Summer,2012,2012/2013
Geoffrey Dernis,31,Left Winger,Montpellier,0.0,in,Summer,2012,2012/2013
Kamel Chafni,30,Attacking Midfield,AJ Auxerre,0.0,in,Summer,2012,2012/2013
Ismaël Traoré,25,Centre-Back,CS Sedan,0.0,in,Summer,2012,2012/2013
Bernard Mendy,30,Right-Back,Odense BK,0.0,in,Summer,2012,2012/2013
André Auras,21,Defensive Midfield,Brest B,0.0,in,Summer,2012,2012/2013
Adama Ba,18,Right Winger,Brest B,0.0,in,Summer,2012,2012/2013
Richard Soumah,25,Left-Back,Angers SCO,0.0,in,Summer,2012,2012/2013
Tomas Micola,23,Attacking Midfield,Slavia Prague,500000.0,out,Summer,2012,2012/2013
Moïse Brou Apanga,30,Centre-Back,FC 105 Libreville,0.0,out,Summer,2012,2012/2013
Omar Daf,35,Right-Back,FC Sochaux,0.0,out,Summer,2012,2012/2013
Oscar Ewolo,33,Central Midfield,Stade Lavallois,0.0,out,Summer,2012,2012/2013
Romain Poyet,31,Centre-Forward,SM Caen,0.0,out,Summer,2012,2012/2013
Steeve Elana,31,Goalkeeper,LOSC Lille,0.0,out,Summer,2012,2012/2013
Jonathan Zebina,33,Centre-Back,Toulouse,0.0,out,Summer,2012,2012/2013
Yoann Bigné,34,Central Midfield,Pleudihen,0.0,out,Summer,2012,2012/2013
Santiago Gentiletti,27,Centre-Back,Argentinos Jrs.,0.0,out,Summer,2012,2012/2013
Issam Jemâa,28,Centre-Forward,AJ Auxerre,0.0,out,Summer,2012,2012/2013
Florian Raspentino,23,Centre-Forward,Marseille,0.0,in,Winter,2012,2012/2013
Florian Lejeune,21,Centre-Back,Villarreal,0.0,in,Winter,2012,2012/2013
Magaye Gueye,22,Centre-Forward,Everton,0.0,in,Winter,2012,2012/2013
Timothée Dieng,19,Defensive Midfield,Brest B,0.0,in,Winter,2012,2012/2013
Eden Ben Basat,26,Centre-Forward,Toulouse,1000000.0,out,Winter,2012,2012/2013
Grégory Lorenzi,29,Centre-Back,RAEC Mons,0.0,out,Winter,2012,2012/2013
Diallo Guidileye,23,Defensive Midfield,LB Châteauroux,0.0,out,Winter,2012,2012/2013
John Culma,32,Defensive Midfield,Retired,0.0,out,Winter,2012,2012/2013
Jean-Kévin Duverne,22,Centre-Back,Lens,2000000.0,in,Summer,2019,2019/2020
Romain Perraud,21,Left-Back,OGC Nice,2000000.0,in,Summer,2019,2019/2020
Ibrahima Diallo,20,Defensive Midfield,Monaco,2000000.0,in,Summer,2019,2019/2020
Irvin Cardona,22,Centre-Forward,Monaco,1500000.0,in,Summer,2019,2019/2020
Paul Lasne,30,Defensive Midfield,Montpellier,0.0,in,Summer,2019,2019/2020
Ludovic Baal,33,Left-Back,Stade Rennais,0.0,in,Summer,2019,2019/2020
Denys Bain,25,Centre-Back,AC Le Havre,0.0,in,Summer,2019,2019/2020
Samuel Grandsir,22,Right Winger,Monaco,0.0,in,Summer,2019,2019/2020
Alexandre Mendy,25,Centre-Forward,G. Bordeaux,0.0,in,Summer,2019,2019/2020
Hianga'a Mbock,19,Central Midfield,Brest B,0.0,in,Summer,2019,2019/2020
David Kiki,25,Left-Back,Red Star FC,0.0,in,Summer,2019,2019/2020
Corentin Jacob,22,Centre-Back,Tours FC,0.0,in,Summer,2019,2019/2020
Anthony Weber,32,Centre-Back,SM Caen,500000.0,out,Summer,2019,2019/2020
Julien Fabri,25,Goalkeeper,LB Châteauroux,0.0,out,Summer,2019,2019/2020
Pierre Magnon,23,Central Midfield,US Avranches,0.0,out,Summer,2019,2019/2020
Valentin Henry,25,Right-Back,Rodez AF,0.0,out,Summer,2019,2019/2020
Quentin Bernard,29,Left-Back,AJ Auxerre,0.0,out,Summer,2019,2019/2020
Corentin Jacob,22,Centre-Back,Rodez AF,0.0,out,Summer,2019,2019/2020
Guillaume Buon,21,Centre-Back,US Avranches,0.0,out,Summer,2019,2019/2020
Édouard Butin,31,Centre-Forward,Without Club,0.0,out,Summer,2019,2019/2020
Thomas Ayasse,32,Defensive Midfield,Without Club,0.0,out,Summer,2019,2019/2020
Baba Traoré,26,Left-Back,AC Le Havre,0.0,out,Summer,2019,2019/2020
Ibrahima Diallo,20,Defensive Midfield,Monaco,0.0,out,Summer,2019,2019/2020
