player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Bakary Soumaré,23,Centre-Back,Chicago,1000000.0,in,Summer,2009,2009/2010
Mathieu Valverde,26,Goalkeeper,G. Bordeaux,500000.0,in,Summer,2009,2009/2010
Laurent Karim Agouazi,25,Defensive Midfield,FC Metz,0.0,in,Summer,2009,2009/2010
Frédéric Da Rocha,34,Right Winger,FC Nantes,0.0,in,Summer,2009,2009/2010
Kévin Das Neves,23,Defensive Midfield,FC Nantes,0.0,in,Summer,2009,2009/2010
Guillaume Borne,21,Right-Back,Stade Rennais,0.0,in,Summer,2009,2009/2010
Olubayo Adefemi,23,Right Midfield,SCR Altach,0.0,in,Summer,2009,2009/2010
Daniel Moreira,32,Second Striker,Stade Rennais,0.0,in,Summer,2009,2009/2010
Fabien Robert,20,Left Midfield,FC Lorient,0.0,in,Summer,2009,2009/2010
Bira Dembélé,21,Centre-Back,Stade Rennais,0.0,in,Summer,2009,2009/2010
Ovidy Karuru,20,Right Winger,Masvingo Utd.,0.0,in,Summer,2009,2009/2010
Dorian Lévêque,19,Left-Back,Boulogne B,0.0,in,Summer,2009,2009/2010
Lakdar Boussaha,21,Centre-Forward,Boulogne B,0.0,in,Summer,2009,2009/2010
Matt Moussilou,27,Centre-Forward,Without Club,0.0,in,Summer,2009,2009/2010
Steven Mouyokolo,22,Centre-Back,Hull City,2150000.0,out,Summer,2009,2009/2010
Christian Kinkela,27,Right Midfield,AC Ajaccio,0.0,out,Summer,2009,2009/2010
Matthieu Labbé,24,Right Midfield,USL Dunkerque,0.0,out,Summer,2009,2009/2010
Alain N'Kong,30,Attacking Midfield,Indios,0.0,out,Summer,2009,2009/2010
Antoine Devaux,24,Central Midfield,Toulouse,0.0,out,Summer,2009,2009/2010
Ibrahima Sané,19,Centre-Forward,Sp. Toulon Var,0.0,out,Summer,2009,2009/2010
Paulin Voavy,21,Left Winger,Évian,0.0,out,Summer,2009,2009/2010
David Vandenbossche,28,Attacking Midfield,Without Club,0.0,out,Summer,2009,2009/2010
Jonas,25,Centre-Back,Without Club,0.0,out,Summer,2009,2009/2010
Yannick Busin,37,defence,Retired,0.0,out,Summer,2009,2009/2010
Ima Andriatsima,25,Centre-Forward,FC Nantes,0.0,out,Summer,2009,2009/2010
Juan Gonzalo Lorca,24,Centre-Forward,Colo Colo,385000.0,in,Winter,2009,2009/2010
Habib Bellaïd,23,Centre-Back,E. Frankfurt,150000.0,in,Winter,2009,2009/2010
Olivier Kapo,29,Attacking Midfield,Wigan,0.0,in,Winter,2009,2009/2010
Mustapha Yatabaré,23,Centre-Forward,Clermont Foot,0.0,in,Winter,2009,2009/2010
Mathieu Valverde,26,Goalkeeper,Toulouse,0.0,out,Winter,2009,2009/2010
