player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Laurent Dufresne,20,Centre-Forward,RUFC Calais,0.0,in,Summer,1992,1992/1993
Jorge Burruchaga,29,Attacking Midfield,FC Nantes,0.0,in,Summer,1992,1992/1993
Arnold Oosterveer,29,Centre-Back,Stade Rennais,0.0,in,Summer,1992,1992/1993
Kálmán Kovács,26,Centre-Forward,Honvéd FC,0.0,in,Summer,1992,1992/1993
Philippe Gaillot,27,Left-Back,FC Metz,0.0,in,Summer,1992,1992/1993
Yves Bouger,22,Left-Back,FC Lorient,0.0,in,Summer,1992,1992/1993
Christophe Robert,28,Left Winger,Monaco,0.0,in,Summer,1992,1992/1993
Thierry Fernier,27,Attacking Midfield,G. Bordeaux,0.0,in,Summer,1992,1992/1993
Dominique Corroyer,27,Centre-Forward,Saint-Étienne,0.0,in,Summer,1992,1992/1993
Sylvain Matrisciano,28,Goalkeeper,AS Nancy,0.0,in,Summer,1992,1992/1993
Thierry Cygan,17,Centre-Back,VAFC U19,0.0,in,Summer,1992,1992/1993
Jean-Jacques Allais,23,attack,USL Dunkerque,0.0,out,Summer,1992,1992/1993
Gérard Buscher,32,Centre-Forward,OGC Nice,0.0,out,Summer,1992,1992/1993
Alain Garraud,30,Centre-Back,FC Istres,0.0,out,Summer,1992,1992/1993
Eugène Ekéké,32,Centre-Forward,Maubeuge,0.0,out,Summer,1992,1992/1993
