player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Nicolas Penneteau,25,Goalkeeper,SC Bastia,1500000.0,in,Summer,2006,2006/2007
Sébastien Roudet,25,Attacking Midfield,OGC Nice,900000.0,in,Summer,2006,2006/2007
Eric Hassli,25,Centre-Forward,FC St. Gallen,800000.0,in,Summer,2006,2006/2007
Florin Bratu,26,Centre-Forward,FC Nantes,500000.0,in,Summer,2006,2006/2007
Guillaume Rippert,21,Left-Back,FC Nantes,0.0,in,Summer,2006,2006/2007
Patrick Paauwe,30,Centre-Back,Feyenoord,0.0,in,Summer,2006,2006/2007
Rudy Haddad,21,Attacking Midfield,Paris SG,0.0,in,Summer,2006,2006/2007
Dame Traoré,20,Centre-Back,CS Sedan,0.0,in,Summer,2006,2006/2007
David Klein,32,Goalkeeper,Chamois Niort,0.0,out,Summer,2006,2006/2007
Philippe Burle,32,Centre-Back,Stade Reims,0.0,out,Summer,2006,2006/2007
Slimane Zedazi,22,Centre-Forward,RFC Tournai,0.0,out,Summer,2006,2006/2007
Sébastien Heitzmann,26,Centre-Forward,Amiens SC,0.0,out,Summer,2006,2006/2007
Olivier Bogaczyk,29,midfield,FC Sète 34,0.0,out,Summer,2006,2006/2007
Anthony Savigny,31,Right-Back,Unknown,0.0,out,Summer,2006,2006/2007
Gloria Muntubila,26,defence,SC Feignies,0.0,out,Summer,2006,2006/2007
Tidiane Dia,21,Centre-Forward,Pau FC,0.0,out,Summer,2006,2006/2007
Guillaume Rippert,21,Left-Back,FC Nantes,0.0,out,Summer,2006,2006/2007
Sylvain Idangar,22,Left Winger,Olympique Lyon,0.0,out,Summer,2006,2006/2007
Abdeslam Ouaddou,28,Centre-Back,Olympiacos,0.0,in,Winter,2006,2006/2007
Jeovânio,29,Defensive Midfield,Grêmio,0.0,in,Winter,2006,2006/2007
Carlos Sánchez,21,Defensive Midfield,River Plate,1200000.0,in,Summer,2007,2007/2008
Grégory Pujol,27,Centre-Forward,CS Sedan,1000000.0,in,Summer,2007,2007/2008
Johan Audel,23,Left Winger,LOSC Lille,900000.0,in,Summer,2007,2007/2008
David Ducourtioux,29,Right-Back,CS Sedan,200000.0,in,Summer,2007,2007/2008
Djamel Belmadi,31,Right Midfield,Southampton,0.0,in,Summer,2007,2007/2008
David Sommeil,32,Centre-Back,Sheff Utd,0.0,in,Summer,2007,2007/2008
Filip Sebo,23,Centre-Forward,Rangers,0.0,in,Summer,2007,2007/2008
Tidiane Dia,22,Centre-Forward,Pau FC,0.0,in,Summer,2007,2007/2008
Eric Hassli,26,Centre-Forward,FC Zürich,600000.0,out,Summer,2007,2007/2008
Patrick Paauwe,31,Centre-Back,Bor. M'gladbach,500000.0,out,Summer,2007,2007/2008
Thomas Dossevi,28,Centre-Forward,FC Nantes,0.0,out,Summer,2007,2007/2008
