player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Marcus Marin,25,Centre-Forward,Stuttg. Kickers,720000.0,in,Summer,1992,1992/1993
Martin Wagner,24,Left Midfield,1.FC Nuremberg,500000.0,in,Summer,1992,1992/1993
Thomas Hengen,17,Sweeper,Phönix Bellheim,0.0,in,Summer,1992,1992/1993
Thomas Ritter,24,Centre-Back,Stuttg. Kickers,0.0,in,Summer,1992,1992/1993
Michael Zeyer,24,Central Midfield,SC Freiburg,0.0,in,Summer,1992,1992/1993
Jan Eriksson,24,Centre-Back,Norrköping,0.0,in,Summer,1992,1992/1993
Torsten Lieberknecht,18,Central Midfield,K'lautern U19,0.0,in,Summer,1992,1992/1993
Christoph Dengel,18,Centre-Forward,K'lautern U19,0.0,in,Summer,1992,1992/1993
Bernhard Winkler,26,Centre-Forward,Wattenscheid 09,0.0,in,Summer,1992,1992/1993
Markus Kranz,22,Left-Back,Bay. Uerdingen,0.0,out,Summer,1992,1992/1993
Jürgen Degen,24,Centre-Forward,F. Düsseldorf,0.0,out,Summer,1992,1992/1993
Uwe Scherr,25,Right Midfield,FC Schalke 04,0.0,out,Summer,1992,1992/1993
Reinhard Stumpf,30,Centre-Back,Galatasaray,0.0,out,Summer,1992,1992/1993
Guido Hoffmann,26,Attacking Midfield,Bay. Leverkusen,0.0,out,Summer,1992,1992/1993
Bernhard Winkler,26,Centre-Forward,SC Fortuna Köln,0.0,out,Winter,1992,1992/1993
Uwe Fuchs,26,Centre-Forward,1. FC Köln,650000.0,in,Summer,1993,1993/1994
Michael Lusch,29,Right Midfield,Bor. Dortmund,475000.0,in,Summer,1993,1993/1994
Claus Reitmaier,29,Goalkeeper,Stuttg. Kickers,400000.0,in,Summer,1993,1993/1994
Andreas Brehme,32,Left-Back,Real Zaragoza,0.0,in,Summer,1993,1993/1994
Ciriaco Sforza,23,Central Midfield,Grasshoppers,0.0,in,Summer,1993,1993/1994
Guido Hoffmann,27,Attacking Midfield,Bay. Leverkusen,0.0,in,Summer,1993,1993/1994
