player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Percy Olivares,24,Left-Back,Sport. Cristal,750000.0,in,Summer,1992,1992/1993
Uwe Rösler,23,Centre-Forward,Dynamo Dresden,600000.0,in,Summer,1992,1992/1993
Jürgen Kramny,20,Right Midfield,VfB Stuttgart,0.0,in,Summer,1992,1992/1993
Thomas Weissenberger,21,Right Winger,SV Spittal/Drau,0.0,in,Summer,1992,1992/1993
Sergio Bustos,19,Attacking Midfield,Racing Club,0.0,in,Summer,1992,1992/1993
Frank Schmidt,18,Defensive Midfield,Nürnberg U19,0.0,in,Summer,1992,1992/1993
Sascha Licht,17,Right Winger,Nürnberg U19,0.0,in,Summer,1992,1992/1993
Reinhold Hintermaier,36,Sweeper,Career break,0.0,in,Summer,1992,1992/1993
Roger Diebel,18,attack,Nürnberg U19,0.0,in,Summer,1992,1992/1993
Thomas Seitz,22,midfield,Nuremberg II,0.0,in,Summer,1992,1992/1993
André Golke,27,Attacking Midfield,VfB Stuttgart,1250000.0,out,Summer,1992,1992/1993
Martin Wagner,24,Left Midfield,1.FC K'lautern,500000.0,out,Summer,1992,1992/1993
Sergio Zárate,23,Centre-Forward,Ancona,350000.0,out,Summer,1992,1992/1993
Hans-Jürgen Heidenreich,24,Right-Back,VfB Leipzig,175000.0,out,Summer,1992,1992/1993
Joachim Philipkowski,31,Sweeper,FC St. Pauli,128000.0,out,Summer,1992,1992/1993
Günter Drews,24,midfield,AC Bellinzona,0.0,out,Summer,1992,1992/1993
Andreas Schöll,22,Attacking Midfield,Vestenbergsgr.,0.0,out,Summer,1992,1992/1993
Michael Butrej,24,Left Midfield,E. Braunschweig,0.0,out,Summer,1992,1992/1993
Dr. Reiner Wirsching,29,Centre-Forward,Schweinfurt 05,0.0,out,Summer,1992,1992/1993
Uwe Weidemann,29,Attacking Midfield,Waldh. Mannheim,0.0,out,Summer,1992,1992/1993
Manfred Schwabl,26,Defensive Midfield,Bayern Munich,0.0,in,Winter,1992,1992/1993
Jens Krinke,20,midfield,SC Neukirchen,0.0,out,Winter,1992,1992/1993
Percy Olivares,24,Left-Back,Sport. Cristal,0.0,out,Winter,1992,1992/1993
Manfred Schwabl,27,Defensive Midfield,Bayern Munich,1000000.0,in,Summer,1993,1993/1994
André Golke,28,Attacking Midfield,VfB Stuttgart,750000.0,in,Summer,1993,1993/1994
Jürgen Kramny,21,Right Midfield,VfB Stuttgart,300000.0,in,Summer,1993,1993/1994
Hans-Jörg Criens,32,Centre-Forward,Bor. M'gladbach,300000.0,in,Summer,1993,1993/1994
Alain Sutter,25,Left Midfield,Grasshoppers,175000.0,in,Summer,1993,1993/1994
Michael Wiesinger,20,Right Midfield,FC Starnberg,30000.0,in,Summer,1993,1993/1994
Oliver Straube,21,Left Midfield,TSF Ditzingen,30000.0,in,Summer,1993,1993/1994
Thomas Kristl,30,midfield,Saarbrücken,0.0,in,Summer,1993,1993/1994
Markus Brand,18,defence,Nürnberg U19,0.0,in,Summer,1993,1993/1994
Sergio Zárate,24,Centre-Forward,Ancona,0.0,in,Summer,1993,1993/1994
Uwe Weidemann,30,Attacking Midfield,Waldh. Mannheim,0.0,in,Summer,1993,1993/1994
Uwe Weidemann,30,Attacking Midfield,MSV Duisburg,300000.0,out,Summer,1993,1993/1994
Steffen Binke,20,defence,BSC Erlangen,0.0,out,Summer,1993,1993/1994
Markus Bäurle,23,midfield,SSV Reutlingen,0.0,out,Summer,1993,1993/1994
Jürgen Kramny,21,Right Midfield,VfB Stuttgart,0.0,out,Summer,1993,1993/1994
Uwe Rösler,24,Centre-Forward,Dynamo Dresden,9000.0,out,Summer,1993,1993/1994
Thomas Weissenberger,22,Right Winger,LASK,0.0,out,Summer,1993,1993/1994
Dirk Fengler,23,Right Midfield,Saarbrücken,0.0,out,Summer,1993,1993/1994
Roger Diebel,19,attack,Unknown,0.0,out,Summer,1993,1993/1994
Thomas Seitz,23,midfield,SpVgg Fürth,0.0,out,Summer,1993,1993/1994
Manfred Schwabl,27,Defensive Midfield,Bayern Munich,0.0,out,Summer,1993,1993/1994
Lubos Kubik,29,Central Midfield,FC Metz,0.0,in,Winter,1993,1993/1994
Uwe Rösler,25,Centre-Forward,Dynamo Dresden,0.0,in,Winter,1993,1993/1994
Uwe Rösler,25,Centre-Forward,Man City,1000000.0,out,Winter,1993,1993/1994
Dieter Eckstein,29,Centre-Forward,FC Schalke 04,0.0,out,Winter,1993,1993/1994
Jörg Dittwar,30,Defensive Midfield,Retired,0.0,out,Winter,1993,1993/1994
Pavel Kuka,29,Centre-Forward,1.FC K'lautern,1750000.0,in,Summer,1998,1998/1999
Andriy Polunin,27,Central Midfield,Karpaty,500000.0,in,Summer,1998,1998/1999
Stephan Täuber,31,Centre-Back,Unterhaching,425000.0,in,Summer,1998,1998/1999
Darius Kampa,21,Goalkeeper,FC Augsburg,300000.0,in,Summer,1998,1998/1999
Jochen Weigl,27,Right Midfield,Greuther Fürth,250000.0,in,Summer,1998,1998/1999
Heiko Gerber,25,Left-Back,Arm. Bielefeld,150000.0,in,Summer,1998,1998/1999
Tobias Zellner,20,Central Midfield,1.FC Miltach,0.0,in,Summer,1998,1998/1999
Martin Molz,26,Centre-Back,Idar-Oberstein,0.0,in,Summer,1998,1998/1999
Christian Horcher,20,Goalkeeper,Jahn Forchheim,0.0,in,Summer,1998,1998/1999
Niklas Skoog,24,Centre-Forward,MSV Duisburg,0.0,in,Summer,1998,1998/1999
Markus Lösch,26,Defensive Midfield,Stuttg. Kickers,0.0,in,Summer,1998,1998/1999
Sven Günther,24,Defensive Midfield,FSV Zwickau,0.0,in,Summer,1998,1998/1999
Matthias Maucksch,29,Sweeper,VfB Leipzig,0.0,in,Summer,1998,1998/1999
Ersen Martin,19,Centre-Forward,Nürnberg U19,0.0,in,Summer,1998,1998/1999
Daniel Smejkal,27,Attacking Midfield,KFC Uerdingen,125000.0,out,Summer,1998,1998/1999
Peter Knäbel,31,Attacking Midfield,FC Winterthur,0.0,out,Summer,1998,1998/1999
Šimba,30,Left-Back,Union Berlin,0.0,out,Summer,1998,1998/1999
Cheriffe Maman-Touré,20,midfield,Marseille,0.0,out,Summer,1998,1998/1999
Christoph Müller,23,Goalkeeper,RW Oberhausen,0.0,out,Summer,1998,1998/1999
