player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Thomas Stratos,25,Defensive Midfield,Hamburger SV,150000.0,in,Summer,1992,1992/1993
Matthias Lust,22,Left Midfield,Waldh. Mannheim,0.0,in,Summer,1992,1992/1993
Henning Bürger,22,Left Midfield,FC Schalke 04,0.0,in,Summer,1992,1992/1993
Michael Hennig,20,midfield,FC Berlin,0.0,in,Summer,1992,1992/1993
Malik Badji,24,defence,CS Sedan,0.0,in,Summer,1992,1992/1993
Patrick Klyk,16,midfield,FV 08 Püttlingen,0.0,in,Summer,1992,1992/1993
Stephan Beckenbauer,23,Defensive Midfield,FC Grenchen,0.0,in,Summer,1992,1992/1993
Ralf Scherer,28,Defensive Midfield,SV Saar 05,0.0,in,Summer,1992,1992/1993
Arno Glesius,26,Centre-Forward,Karlsruher SC,0.0,in,Summer,1992,1992/1993
Wolfram Wuttke,30,Second Striker,Espanyol,0.0,in,Summer,1992,1992/1993
Yuri Savichev,27,Centre-Forward,Olympiacos,0.0,in,Summer,1992,1992/1993
Eric Wynalda,23,Centre-Forward,SF Bay Blackhawks,0.0,in,Summer,1992,1992/1993
Thomas Stickroth,27,Right-Back,St. Mirren,0.0,in,Summer,1992,1992/1993
Stefan Brasas,24,Goalkeeper,Stuttg. Kickers,0.0,out,Summer,1992,1992/1993
Jonathan Akpoborie,23,Centre-Forward,Carl Zeiss Jena,0.0,out,Summer,1992,1992/1993
Michael Preetz,24,Centre-Forward,MSV Duisburg,0.0,out,Summer,1992,1992/1993
Axel Schwarz,26,midfield,Quierschied,0.0,out,Summer,1992,1992/1993
Nasko Zhelev,32,defence,FC 08 Homburg,0.0,out,Summer,1992,1992/1993
Brian Skaarup,19,Attacking Midfield,Odense BK,0.0,out,Summer,1992,1992/1993
Michael Nushöhr,29,Left-Back,FC Balzers,0.0,out,Summer,1992,1992/1993
Heikko Glöde,30,attack,FC Remscheid,0.0,out,Summer,1992,1992/1993
Christiaan Pförtner,26,Central Midfield,FC 08 Homburg,0.0,out,Summer,1992,1992/1993
Markus Osthoff,23,Left Winger,Eintracht Trier,0.0,out,Summer,1992,1992/1993
Eugen Hach,31,defence,Saarbrücken II,0.0,out,Summer,1992,1992/1993
