player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Manuel Friedrich,24,Centre-Back,Werder Bremen,1300000.0,in,Summer,2004,2004/2005
Conor Casey,23,Centre-Forward,Bor. Dortmund,500000.0,in,Summer,2004,2004/2005
Benjamin Weigelt,21,Left-Back,RW Essen,100000.0,in,Summer,2004,2004/2005
Nikolce Noveski,25,Centre-Back,Erzgebirge Aue,0.0,in,Summer,2004,2004/2005
Marco Rose,27,Left-Back,Hannover 96,0.0,in,Summer,2004,2004/2005
Ranisav Jovanovic,23,Centre-Forward,Dynamo Dresden,0.0,in,Summer,2004,2004/2005
Claudius Weber,26,Centre-Forward,FSV Mainz 05 II,0.0,in,Summer,2004,2004/2005
Spasoje Bulajic,28,Centre-Back,NS Mura,0.0,out,Summer,2004,2004/2005
Rajko Tavcar,29,Left-Back,Unterhaching,0.0,out,Summer,2004,2004/2005
Sandro Schwarz,25,Defensive Midfield,RW Essen,0.0,out,Summer,2004,2004/2005
Giovanni Speranza,22,Attacking Midfield,E. Frankfurt II,0.0,out,Summer,2004,2004/2005
Stefan Kühne,23,Defensive Midfield,Holstein Kiel,0.0,out,Summer,2004,2004/2005
Michael Thurk,28,Centre-Forward,Energie Cottbus,0.0,out,Summer,2004,2004/2005
Peter Neustädter,38,Centre-Back,FSV Mainz 05 II,0.0,out,Summer,2004,2004/2005
Christopher Ihm,21,Centre-Back,FSV Mainz 05 II,0.0,out,Summer,2004,2004/2005
Marco Rose,27,Left-Back,Hannover 96,0.0,out,Summer,2004,2004/2005
Manuel Friedrich,24,Centre-Back,Werder Bremen,0.0,out,Summer,2004,2004/2005
Hanno Balitsch,23,Defensive Midfield,Bay. Leverkusen,500000.0,in,Winter,2004,2004/2005
Michael Thurk,28,Centre-Forward,Energie Cottbus,200000.0,in,Winter,2004,2004/2005
Mimoun Azaouagh,22,Attacking Midfield,FC Schalke 04,650000.0,out,Winter,2004,2004/2005
Markus Dworrak,26,Left Winger,Rot-Weiß Erfurt,0.0,out,Winter,2004,2004/2005
Tom Geißler,21,Central Midfield,W. Burghausen,250000.0,in,Summer,2005,2005/2006
Mohamed Zidan,23,Second Striker,Werder Bremen,200000.0,in,Summer,2005,2005/2006
Petr Ruman,28,Attacking Midfield,Greuther Fürth,150000.0,in,Summer,2005,2005/2006
Rômulo,23,Centre-Forward,Ituano,150000.0,in,Summer,2005,2005/2006
Milorad Pekovic,27,Defensive Midfield,Eintracht Trier,0.0,in,Summer,2005,2005/2006
Otto Addo,30,Attacking Midfield,Bor. Dortmund,0.0,in,Summer,2005,2005/2006
Stefan Markolf,21,Left-Back,FSV Mainz 05 II,0.0,in,Summer,2005,2005/2006
Christian Demirtas,21,Right-Back,FSV Mainz 05 II,0.0,in,Summer,2005,2005/2006
Markus Dworrak,27,Left Winger,Rot-Weiß Erfurt,0.0,in,Summer,2005,2005/2006
Hanno Balitsch,24,Defensive Midfield,Hannover 96,1000000.0,out,Summer,2005,2005/2006
Claudius Weber,27,Centre-Forward,SV Wehen,300000.0,out,Summer,2005,2005/2006
Christoph Teinert,25,Centre-Forward,Unterhaching,0.0,out,Summer,2005,2005/2006
