player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Matthias Lehmann,23,Defensive Midfield,1860 Munich,900000.0,in,Summer,2006,2006/2007
Nico Herzig,22,Centre-Back,W. Burghausen,0.0,in,Summer,2006,2006/2007
Emmanuel Krontiris,23,Centre-Forward,1860 Munich,0.0,in,Summer,2006,2006/2007
Jeffrey Leiwakabessy,25,Left-Back,NEC Nijmegen,0.0,in,Summer,2006,2006/2007
Vedad Ibisevic,21,Centre-Forward,Paris SG,0.0,in,Summer,2006,2006/2007
Szilard Nemeth,28,Second Striker,Middlesbrough,0.0,in,Summer,2006,2006/2007
Yunus Balaban,22,Attacking Midfield,A. Aachen II,0.0,in,Summer,2006,2006/2007
Willi Landgraf,37,Right-Back,Schalke 04 II,0.0,out,Summer,2006,2006/2007
Florian Bruns,26,Defensive Midfield,FC St. Pauli,0.0,out,Summer,2006,2006/2007
Goran Šukalo,24,Defensive Midfield,TuS Koblenz,0.0,out,Summer,2006,2006/2007
Bernd Rauw,26,Centre-Back,MVV Maastricht,0.0,out,Summer,2006,2006/2007
Erwin Koen,27,Left Winger,SC Paderborn,0.0,out,Summer,2006,2006/2007
Erik Meijer,36,Centre-Forward,Retired,0.0,out,Summer,2006,2006/2007
Emil Noll,28,Centre-Back,TuS Koblenz,50000.0,out,Winter,2006,2006/2007
