player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Stefan Kuntz,33,Centre-Forward,Besiktas,1250000.0,in,Summer,1996,1996/1997
Giuseppe Reina,24,Right Winger,Wattenscheid 09,375000.0,in,Summer,1996,1996/1997
Markos Rainer Rauffmann,29,Centre-Forward,E. Frankfurt,250000.0,in,Summer,1996,1996/1997
Silvio Meißner,23,Defensive Midfield,Chemnitzer FC,225000.0,in,Summer,1996,1996/1997
Heiko Gerber,23,Left-Back,Chemnitzer FC,225000.0,in,Summer,1996,1996/1997
Josef Ivanovic,22,Centre-Forward,TuS Quelle,0.0,in,Summer,1996,1996/1997
Rob Maas,26,Defensive Midfield,Feyenoord,0.0,in,Summer,1996,1996/1997
Uwe Fuchs,29,Centre-Forward,Millwall,0.0,in,Summer,1996,1996/1997
Johann Stenzel,21,midfield,FC St. Pauli II,35000.0,in,Summer,1996,1996/1997
Sonny Silooy,32,Right-Back,Ajax,0.0,in,Summer,1996,1996/1997
Hayden Foxe,19,Centre-Back,Ajax,0.0,in,Summer,1996,1996/1997
Günther Schäfer,34,Centre-Back,VfB Stuttgart,0.0,in,Summer,1996,1996/1997
Frederik Gößling,18,Goalkeeper,Bielefeld U19,0.0,in,Summer,1996,1996/1997
Vjekoslav Kovac,20,Centre-Back,A. Bielefeld II,0.0,in,Summer,1996,1996/1997
Ayhan Tumani,24,Centre-Forward,FC Volendam,0.0,out,Summer,1996,1996/1997
Bodo Sievers,35,Sweeper,SV Holzwickede,0.0,out,Summer,1996,1996/1997
Mike Schürmann,23,midfield,RW Essen,0.0,out,Summer,1996,1996/1997
Ivaylo Andonov,28,Centre-Forward,CSKA Sofia,0.0,out,Summer,1996,1996/1997
Angelo Vier,24,Centre-Forward,RW Essen,0.0,out,Summer,1996,1996/1997
Markos Rainer Rauffmann,29,Centre-Forward,LASK,0.0,out,Summer,1996,1996/1997
Roland Kopp,31,midfield,Retired,0.0,out,Summer,1996,1996/1997
Ulrich Stein,41,Goalkeeper,Career break,0.0,out,Summer,1996,1996/1997
Frank Geideck,29,midfield,Retired,0.0,out,Summer,1996,1996/1997
Matthias Breitkreutz,25,Attacking Midfield,Hansa Rostock,0.0,in,Winter,1996,1996/1997
Peter Quallo,25,Centre-Back,Hessen Kassel,0.0,out,Winter,1996,1996/1997
Peter Hobday,35,Defensive Midfield,RW Essen,0.0,out,Winter,1996,1996/1997
René Dörfel,27,Right-Back,Hessen Kassel,0.0,out,Winter,1996,1996/1997
Armin Eck,32,Left Midfield,Hessen Kassel,0.0,out,Winter,1996,1996/1997
Stefan Studtrucker,30,Centre-Forward,Hessen Kassel,0.0,out,Winter,1996,1996/1997
Adalbert Zafirov,27,Centre-Back,CSKA Sofia,0.0,in,Summer,1997,1997/1998
Karsten Bremke,26,Centre-Back,VfB Fichte,0.0,in,Summer,1997,1997/1998
Bernd Eigner,25,Centre-Back,FC St. Pauli,0.0,in,Summer,1997,1997/1998
Ali Daei,28,Centre-Forward,Al-Sadd SC,0.0,in,Summer,1997,1997/1998
Michael Sternkopf,27,Right Midfield,SC Freiburg,0.0,in,Summer,1997,1997/1998
Karim Bagheri,23,Defensive Midfield,Piroozi FC,0.0,in,Summer,1997,1997/1998
Dejan Milosevic,19,Goalkeeper,Cosmos Canberra,0.0,in,Summer,1997,1997/1998
Christian Alder,18,Centre-Back,Bielefeld U19,0.0,in,Summer,1997,1997/1998
Markos Rainer Rauffmann,30,Centre-Forward,LASK,0.0,in,Summer,1997,1997/1998
Michael Molata,24,Centre-Back,Hamburger SV,400000.0,out,Summer,1997,1997/1998
Markos Rainer Rauffmann,30,Centre-Forward,Omonia Nikosia,0.0,out,Summer,1997,1997/1998
