player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Pavel Hapal,22,Attacking Midfield,Sigma Olomouc,1250000.0,in,Summer,1992,1992/1993
Heiko Scholz,26,Right Midfield,Dynamo Dresden,0.0,in,Summer,1992,1992/1993
Mario Tolkmitt,21,Left Midfield,FC Berlin,0.0,in,Summer,1992,1992/1993
Guido Hoffmann,26,Attacking Midfield,1.FC K'lautern,0.0,in,Summer,1992,1992/1993
Uwe Stöver,25,Centre-Back,Leverkusen II,0.0,in,Summer,1992,1992/1993
Markus Kurth,18,Centre-Forward,Leverkusen U19,0.0,in,Summer,1992,1992/1993
René Rydlewicz,18,Right Midfield,Leverkusen U19,0.0,in,Summer,1992,1992/1993
Jorginho,27,Right-Back,Bayern Munich,2800000.0,out,Summer,1992,1992/1993
Marcus Feinbier,22,Centre-Forward,Hertha BSC,0.0,out,Summer,1992,1992/1993
Marek Lesniak,28,Centre-Forward,Wattenscheid 09,0.0,out,Summer,1992,1992/1993
Frank Germann,24,Centre-Back,Arm. Bielefeld,0.0,out,Summer,1992,1992/1993
Erich Seckler,28,Centre-Back,Hertha BSC,0.0,out,Summer,1992,1992/1993
Andrzej Buncol,32,Attacking Midfield,F. Düsseldorf,0.0,out,Summer,1992,1992/1993
Paulo Sérgio,24,Left Winger,Corinthians,1150000.0,in,Summer,1993,1993/1994
Jens Melzig,27,Centre-Back,Dynamo Dresden,875000.0,in,Summer,1993,1993/1994
Ralf Becker,22,Attacking Midfield,TSF Ditzingen,0.0,in,Summer,1993,1993/1994
Bernd Schuster,33,Attacking Midfield,Atlético Madrid,0.0,in,Summer,1993,1993/1994
Taifour Diane,20,Centre-Forward,Colorado Foxes,0.0,in,Summer,1993,1993/1994
Jörg Nowotny,24,Centre-Forward,Hallescher FC,0.0,in,Summer,1993,1993/1994
Daniel Addo,16,midfield,Great Olympics,0.0,in,Summer,1993,1993/1994
Bernard Schuiteman,19,Centre-Back,Leverkusen II,0.0,in,Summer,1993,1993/1994
Heiko Herrlich,21,Centre-Forward,Bor. M'gladbach,800000.0,out,Summer,1993,1993/1994
Uwe Stöver,26,Centre-Back,VfL Bochum,0.0,out,Summer,1993,1993/1994
Jürgen Radschuweit,25,Centre-Back,SC Fortuna Köln,0.0,out,Summer,1993,1993/1994
Guido Hoffmann,27,Attacking Midfield,1.FC K'lautern,0.0,out,Summer,1993,1993/1994
Walter Junghans,35,Goalkeeper,Hertha BSC,0.0,in,Winter,1993,1993/1994
Markus von Ahlen,23,midfield,VfL Bochum,0.0,out,Winter,1993,1993/1994
Mathias Stammann,25,Left Midfield,SC Fortuna Köln,0.0,out,Winter,1993,1993/1994
Markus Münch,21,Left-Back,Bayern Munich,750000.0,in,Summer,1994,1994/1995
Hans-Peter Lehnhoff,30,Right Midfield,Royal Antwerp,500000.0,in,Summer,1994,1994/1995
Rudi Völler,34,Centre-Forward,Marseille,250000.0,in,Summer,1994,1994/1995
Mike Rietpietsch,20,Right Midfield,Union Berlin,108000.0,in,Summer,1994,1994/1995
Andreas Neuendorf,19,Central Midfield,Füchse Berlin,99000.0,in,Summer,1994,1994/1995
Claudio Reyna,21,Central Midfield,Virginia Cavs,0.0,in,Summer,1994,1994/1995
Daniel Ischdonat,18,Goalkeeper,Leverkusen U19,0.0,in,Summer,1994,1994/1995
Thomas Dooley,33,Centre-Back,Career break,0.0,in,Summer,1994,1994/1995
Franco Foda,28,Sweeper,VfB Stuttgart,1000000.0,out,Summer,1994,1994/1995
Andreas Fischer,29,Defensive Midfield,Hamburger SV,610000.0,out,Summer,1994,1994/1995
Martin Kree,29,Centre-Back,Bor. Dortmund,600000.0,out,Summer,1994,1994/1995
Thorsten Judt,23,Left Midfield,F. Düsseldorf,0.0,out,Summer,1994,1994/1995
Stephan Hanke,21,Defensive Midfield,FC St. Pauli,0.0,out,Summer,1994,1994/1995
Jörg Nowotny,25,Centre-Forward,Saarbrücken,0.0,out,Summer,1994,1994/1995
Walter Junghans,35,Goalkeeper,SC Fortuna Köln,0.0,out,Summer,1994,1994/1995
Taifour Diane,21,Centre-Forward,Leverkusen II,0.0,out,Summer,1994,1994/1995
Bernard Schuiteman,21,Centre-Back,Feyenoord,750000.0,out,Winter,1994,1994/1995
René Rydlewicz,21,Right Midfield,1860 Munich,100000.0,out,Winter,1994,1994/1995
Markus Feldhoff,20,Centre-Forward,KFC Uerdingen,2000000.0,in,Summer,1995,1995/1996
Ramon Menezes,23,Attacking Midfield,EC Vitória,875000.0,in,Summer,1995,1995/1996
Rodrigo Chagas,22,Right-Back,EC Vitória,875000.0,in,Summer,1995,1995/1996
Holger Fach,32,Sweeper,Bor. M'gladbach,250000.0,in,Summer,1995,1995/1996
Sebastian Helbig,18,Centre-Forward,RW Erfurt U19,100000.0,in,Summer,1995,1995/1996
Sebastian Barnes,18,attack,Hearts of Oak,0.0,in,Summer,1995,1995/1996
Andreas Thom,29,Centre-Forward,Celtic,2600000.0,out,Summer,1995,1995/1996
Pavel Hapal,25,Attacking Midfield,CD Tenerife,1800000.0,out,Summer,1995,1995/1996
Heiko Scholz,29,Right Midfield,Werder Bremen,1250000.0,out,Summer,1995,1995/1996
Markus Kurth,21,Centre-Forward,1.FC Nuremberg,550000.0,out,Summer,1995,1995/1996
Jens Melzig,29,Centre-Back,Chemnitzer FC,400000.0,out,Summer,1995,1995/1996
Thomas Dooley,34,Centre-Back,FC Schalke 04,200000.0,out,Summer,1995,1995/1996
Ralf Becker,24,Attacking Midfield,FC St. Pauli,0.0,out,Summer,1995,1995/1996
Thomas Vana,22,Defensive Midfield,MSV Duisburg,0.0,out,Summer,1995,1995/1996
Carsten Ramelow,21,Defensive Midfield,Hertha BSC,750000.0,in,Winter,1995,1995/1996
Zé Elias,19,Central Midfield,Corinthians,3000000.0,in,Summer,1996,1996/1997
Jens Nowotny,22,Sweeper,Karlsruher SC,800000.0,in,Summer,1996,1996/1997
Niko Kovac,24,Defensive Midfield,Hertha BSC,550000.0,in,Summer,1996,1996/1997
Jan Heintze,32,Left-Back,KFC Uerdingen,500000.0,in,Summer,1996,1996/1997
Robert Kovac,22,Centre-Back,1.FC Nuremberg,430000.0,in,Summer,1996,1996/1997
Erik Meijer,26,Centre-Forward,KFC Uerdingen,0.0,in,Summer,1996,1996/1997
Lars Leese,26,Goalkeeper,Preußen Köln,0.0,in,Summer,1996,1996/1997
Manuel Cardoni,23,Attacking Midfield,Jeunesse Esch,0.0,in,Summer,1996,1996/1997
René Rydlewicz,22,Right Midfield,1860 Munich,0.0,in,Summer,1996,1996/1997
Markus Münch,23,Left-Back,Bayern Munich,1300000.0,out,Summer,1996,1996/1997
Ioan Lupescu,27,Central Midfield,Bor. M'gladbach,650000.0,out,Summer,1996,1996/1997
Holger Fach,33,Sweeper,F. Düsseldorf,75000.0,out,Summer,1996,1996/1997
Daniel Ischdonat,20,Goalkeeper,Eintracht Trier,0.0,out,Summer,1996,1996/1997
Sebastian Barnes,19,attack,Orlando Sundogs,0.0,out,Summer,1996,1996/1997
Ramon Menezes,24,Attacking Midfield,Vasco da Gama,0.0,out,Summer,1996,1996/1997
Rodrigo Chagas,23,Right-Back,Corinthians,0.0,out,Summer,1996,1996/1997
Rudi Völler,36,Centre-Forward,Retired,0.0,out,Summer,1996,1996/1997
Josef Nehl,35,midfield,Retired,0.0,out,Summer,1996,1996/1997
Mario Tolkmitt,26,Left Midfield,F. Düsseldorf,200000.0,out,Winter,1996,1996/1997
Bernd Schuster,37,Attacking Midfield,UNAM Pumas,0.0,out,Winter,1996,1996/1997
Paulo Rink,24,Centre-Forward,Atlético-PR,4000000.0,in,Summer,1997,1997/1998
Émerson,21,Defensive Midfield,Grêmio,3500000.0,in,Summer,1997,1997/1998
Stefan Beinlich,25,Attacking Midfield,Hansa Rostock,1250000.0,in,Summer,1997,1997/1998
Martin Frydek,28,Central Midfield,Sparta Prague,800000.0,in,Summer,1997,1997/1998
Boris Zivkovic,21,Right-Back,Hrv Dragovoljac,615000.0,in,Summer,1997,1997/1998
Dirk Lottner,25,Attacking Midfield,SC Fortuna Köln,400000.0,in,Summer,1997,1997/1998
Thomas Reichenberger,22,Centre-Forward,SV Wehen,0.0,in,Summer,1997,1997/1998
Jörg Schmadtke,33,Goalkeeper,SC Freiburg,0.0,in,Summer,1997,1997/1998
Thorsten Nehrbauer,19,Defensive Midfield,Leverkusen U19,0.0,in,Summer,1997,1997/1998
Andreas Voss,18,Defensive Midfield,Leverkusen U19,0.0,in,Summer,1997,1997/1998
Zé Elias,20,Central Midfield,Inter,5600000.0,out,Summer,1997,1997/1998
Paulo Sérgio,28,Left Winger,AS Roma,3500000.0,out,Summer,1997,1997/1998
Claudio Reyna,23,Central Midfield,VfL Wolfsburg,750000.0,out,Summer,1997,1997/1998
Lars Leese,27,Goalkeeper,Barnsley FC,375000.0,out,Summer,1997,1997/1998
Mike Rietpietsch,23,Right Midfield,F. Düsseldorf,0.0,out,Summer,1997,1997/1998
Bent Skammelsrud,31,Defensive Midfield,Rosenborg,0.0,out,Summer,1997,1997/1998
Adam Ledwon,23,Defensive Midfield,GKS Katowice,0.0,in,Winter,1997,1997/1998
Bent Skammelsrud,31,Defensive Midfield,Rosenborg,0.0,in,Winter,1997,1997/1998
Andreas Neuendorf,22,Central Midfield,Hertha BSC,1100000.0,out,Winter,1997,1997/1998
René Rydlewicz,24,Right Midfield,Arm. Bielefeld,0.0,out,Winter,1997,1997/1998
Zé Roberto,23,Left Midfield,Real Madrid,7000000.0,in,Summer,1998,1998/1999
Adam Matysek,29,Goalkeeper,FC Gütersloh,1000000.0,in,Summer,1998,1998/1999
Zoran Mamic,26,Centre-Back,VfL Bochum,800000.0,in,Summer,1998,1998/1999
Jörg Reeb,26,Defensive Midfield,Arm. Bielefeld,0.0,in,Summer,1998,1998/1999
Mehdi Pashazadeh,24,Centre-Back,Esteghlal FC,0.0,in,Summer,1998,1998/1999
Aaron Mokoena,17,Centre-Back,Jomo Cosmos,0.0,in,Summer,1998,1998/1999
Frankie Hejduk,23,Right-Back,Tampa Bay,0.0,in,Summer,1998,1998/1999
Markus Feldhoff,23,Centre-Forward,Bor. M'gladbach,1400000.0,out,Summer,1998,1998/1999
Thorsten Nehrbauer,20,Defensive Midfield,F. Düsseldorf,100000.0,out,Summer,1998,1998/1999
Christian Wörns,26,Centre-Back,Paris SG,0.0,out,Summer,1998,1998/1999
Sebastian Helbig,21,Centre-Forward,Rot-Weiß Erfurt,0.0,out,Summer,1998,1998/1999
Manuel Cardoni,25,Attacking Midfield,Jeunesse Esch,0.0,out,Summer,1998,1998/1999
Jörg Schmadtke,34,Goalkeeper,Bor. M'gladbach,0.0,out,Summer,1998,1998/1999
Martin Frydek,29,Central Midfield,MSV Duisburg,0.0,out,Summer,1998,1998/1999
Daniel Addo,21,midfield,F. Düsseldorf,0.0,out,Summer,1998,1998/1999
Dariush Yazdani,21,Attacking Midfield,Esteghlal FC,0.0,in,Winter,1998,1998/1999
Dirk Lottner,26,Attacking Midfield,1. FC Köln,0.0,out,Winter,1998,1998/1999
Robson Ponté,22,Attacking Midfield,Guarani,4500000.0,in,Summer,1999,1999/2000
Oliver Neuville,26,Centre-Forward,Hansa Rostock,4500000.0,in,Summer,1999,1999/2000
Michael Ballack,22,Central Midfield,1.FC K'lautern,4000000.0,in,Summer,1999,1999/2000
Bernd Schneider,25,Right Midfield,E. Frankfurt,1250000.0,in,Summer,1999,1999/2000
Vratislav Gresko,21,Left-Back,Inter Bratislava,1000000.0,in,Summer,1999,1999/2000
Frank Juric,25,Goalkeeper,F. Düsseldorf,0.0,in,Summer,1999,1999/2000
Thomas Brdaric,24,Centre-Forward,SC Fortuna Köln,0.0,in,Summer,1999,1999/2000
Miroslaw Spizak,20,Centre-Forward,KFC Uerdingen,0.0,in,Summer,1999,1999/2000
Torben Hoffmann,24,Centre-Back,SC Freiburg,0.0,in,Summer,1999,1999/2000
