player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Dimo Wache,18,Goalkeeper,Leverkusen U19,0.0,in,Summer,1992,1992/1993
Stefan Ertl,23,Centre-Forward,SV Geinsheim,0.0,in,Summer,1992,1992/1993
Peter Nielsen,24,Attacking Midfield,Lyngby BK,0.0,in,Summer,1992,1992/1993
Christian Hock,22,Left Midfield,Aschaffenburg,0.0,in,Summer,1992,1992/1993
Johnny Mölby,23,Central Midfield,FC Nantes,0.0,in,Summer,1992,1992/1993
Manfred Stefes,25,defence,F. Düsseldorf,0.0,out,Summer,1992,1992/1993
Thomas Huschbeck,24,defence,F. Düsseldorf,0.0,out,Summer,1992,1992/1993
Norbert Meier,33,Attacking Midfield,Retired,0.0,out,Summer,1992,1992/1993
Heiko Herrlich,21,Centre-Forward,Bay. Leverkusen,800000.0,in,Summer,1993,1993/1994
Dietmar Hirsch,21,Defensive Midfield,1.FC Viersen,0.0,in,Summer,1993,1993/1994
Jörg Kässmann,24,Goalkeeper,Eintr. Haiger,0.0,in,Summer,1993,1993/1994
Marc Beckers,19,midfield,M'gladbach II,0.0,in,Summer,1993,1993/1994
Andreas Bluhm,19,defence,M'gladbach U19,0.0,in,Summer,1993,1993/1994
Hans-Jörg Criens,32,Centre-Forward,1.FC Nuremberg,300000.0,out,Summer,1993,1993/1994
Stefan Ertl,24,Centre-Forward,SC Fortuna Köln,0.0,out,Summer,1993,1993/1994
Horst Steffen,24,Central Midfield,Bay. Uerdingen,0.0,out,Summer,1993,1993/1994
Frank Schulz,32,Attacking Midfield,Alem. Aachen,0.0,out,Summer,1993,1993/1994
Patrik Andersson,22,Centre-Back,Blackburn,550000.0,in,Winter,1993,1993/1994
Johnny Mölby,24,Central Midfield,KV Mechelen,0.0,out,Winter,1993,1993/1994
Stefan Effenberg,25,Central Midfield,Fiorentina,750000.0,in,Summer,1994,1994/1995
Marco Villa,15,Centre-Forward,Uerdingen U19,0.0,in,Summer,1994,1994/1995
Christian Hock,24,Left Midfield,1.FSV Mainz 05,75000.0,out,Summer,1994,1994/1995
Thomas Bleck,20,Centre-Forward,Hansa Rostock,0.0,out,Summer,1994,1994/1995
Dirk Heyne,36,Goalkeeper,Retired,0.0,out,Summer,1994,1994/1995
Thomas Eichin,28,Centre-Back,1.FC Nuremberg,0.0,out,Winter,1994,1994/1995
Stefan Effenberg,26,Central Midfield,Fiorentina,3800000.0,in,Summer,1995,1995/1996
Michael Sternkopf,25,Right Midfield,Bayern Munich,800000.0,in,Summer,1995,1995/1996
Max Huiberts,24,Left Winger,Roda JC,650000.0,in,Summer,1995,1995/1996
Dirk Wolf,22,Left Midfield,E. Frankfurt,350000.0,in,Summer,1995,1995/1996
Macchambes Younga-Mouhani,20,Defensive Midfield,SW Düren,0.0,in,Summer,1995,1995/1996
Davor Krznaric,19,Attacking Midfield,TeBe Berlin,50000.0,in,Summer,1995,1995/1996
Michael Frontzeck,31,Left-Back,VfL Bochum,0.0,in,Summer,1995,1995/1996
Marcel Ketelaer,17,Left Midfield,M'gladbach U19,0.0,in,Summer,1995,1995/1996
Markus Hausweiler,19,Defensive Midfield,M'gladbach U19,0.0,in,Summer,1995,1995/1996
Thomas Eichin,28,Centre-Back,1.FC Nuremberg,0.0,in,Summer,1995,1995/1996
Heiko Herrlich,23,Centre-Forward,Bor. Dortmund,5500000.0,out,Summer,1995,1995/1996
Bachirou Salou,24,Centre-Forward,MSV Duisburg,600000.0,out,Summer,1995,1995/1996
Martin Max,26,Centre-Forward,FC Schalke 04,600000.0,out,Summer,1995,1995/1996
Dietmar Hirsch,23,Defensive Midfield,MSV Duisburg,300000.0,out,Summer,1995,1995/1996
Holger Fach,32,Sweeper,Bay. Leverkusen,250000.0,out,Summer,1995,1995/1996
Marc Beckers,21,midfield,Düsseldorf II,0.0,out,Summer,1995,1995/1996
Dimo Wache,21,Goalkeeper,1.FSV Mainz 05,50000.0,out,Summer,1995,1995/1996
Andreas Bluhm,21,defence,Alem. Aachen,0.0,out,Summer,1995,1995/1996
Stefan Effenberg,26,Central Midfield,Fiorentina,0.0,out,Summer,1995,1995/1996
Jörgen Pettersson,20,Left Winger,Malmö FF,1750000.0,in,Winter,1995,1995/1996
Michael Frontzeck,31,Left-Back,Man City,0.0,out,Winter,1995,1995/1996
Andrzej Juskowiak,25,Centre-Forward,Olympiacos,750000.0,in,Summer,1996,1996/1997
Ioan Lupescu,27,Central Midfield,Bay. Leverkusen,650000.0,in,Summer,1996,1996/1997
Stephan Paßlack,25,Centre-Back,KFC Uerdingen,450000.0,in,Summer,1996,1996/1997
Robert Enke,18,Goalkeeper,Carl Zeiss Jena,150000.0,in,Summer,1996,1996/1997
Damian Mori,26,Centre-Forward,Adelaide City,150000.0,in,Summer,1996,1996/1997
Hubert Fournier,28,Centre-Back,Guingamp,0.0,in,Summer,1996,1996/1997
Martin Dahlin,28,Centre-Forward,AS Roma,2500000.0,out,Summer,1996,1996/1997
Macchambes Younga-Mouhani,21,Defensive Midfield,F. Düsseldorf,20000.0,out,Summer,1996,1996/1997
Thomas Eichin,29,Centre-Back,M'gladbach II,0.0,out,Summer,1996,1996/1997
Davor Krznaric,20,Attacking Midfield,M'gladbach II,0.0,out,Summer,1996,1996/1997
Damian Mori,26,Centre-Forward,Adelaide City,0.0,out,Summer,1996,1996/1997
Martin Dahlin,28,Centre-Forward,AS Roma,750000.0,in,Winter,1996,1996/1997
Michael Sternkopf,26,Right Midfield,SC Freiburg,300000.0,out,Winter,1996,1996/1997
Max Huiberts,26,Left Winger,AZ Alkmaar,0.0,out,Winter,1996,1996/1997
Marcel Witeczek,28,Centre-Forward,Bayern Munich,0.0,in,Summer,1997,1997/1998
Chiquinho,23,Centre-Forward,União São João,0.0,in,Summer,1997,1997/1998
Thorsten Albustin,23,Goalkeeper,MSV Duisburg,0.0,in,Summer,1997,1997/1998
Morten Pedersen,25,Left-Back,Brann,0.0,in,Summer,1997,1997/1998
Per Pedersen,28,Centre-Forward,Blackburn,0.0,in,Summer,1997,1997/1998
Andriy Voronin,17,Second Striker,M'gladbach U19,0.0,in,Summer,1997,1997/1998
Chrissovalantis Anagnostou,21,Left Midfield,M'gladbach II,0.0,in,Summer,1997,1997/1998
Joachim Stadler,27,Centre-Back,SSV Ulm 1846,0.0,out,Summer,1997,1997/1998
Dirk Wolf,24,Left Midfield,E. Frankfurt,0.0,out,Summer,1997,1997/1998
Peter Nielsen,29,Attacking Midfield,FC Copenhagen,0.0,out,Summer,1997,1997/1998
Jörg Neun,31,Left-Back,MSV Duisburg,0.0,out,Summer,1997,1997/1998
Jörg Kässmann,28,Goalkeeper,Roda JC,0.0,out,Summer,1997,1997/1998
Martin Dahlin,29,Centre-Forward,AS Roma,0.0,out,Summer,1997,1997/1998
Morten Pedersen,25,Left-Back,Rosenborg,400000.0,out,Winter,1997,1997/1998
Markus Feldhoff,23,Centre-Forward,Bay. Leverkusen,1400000.0,in,Summer,1998,1998/1999
Toni Polster,34,Centre-Forward,1. FC Köln,1000000.0,in,Summer,1998,1998/1999
Matthias Hagner,23,Right Midfield,VfB Stuttgart,750000.0,in,Summer,1998,1998/1999
Vladimir Ivanov,25,Right-Back,Levski Sofia,500000.0,in,Summer,1998,1998/1999
