player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Omar Elabdellaoui,21,Right-Back,Man City U21,500000.0,in,Summer,2013,2013/2014
Torsten Oehrl,27,Centre-Forward,FC Augsburg,500000.0,in,Summer,2013,2013/2014
Jan Hochscheidt,25,Attacking Midfield,Erzgebirge Aue,400000.0,in,Summer,2013,2013/2014
Karim Bellarabi,23,Right Winger,Bay. Leverkusen,150000.0,in,Summer,2013,2013/2014
Simeon Jackson,26,Centre-Forward,Norwich,0.0,in,Summer,2013,2013/2014
Marco Caligiuri,29,Centre-Back,1.FSV Mainz 05,0.0,in,Summer,2013,2013/2014
Timo Perthel,24,Left-Back,MSV Duisburg,0.0,in,Summer,2013,2013/2014
Jan Washausen,24,Defensive Midfield,K. Offenbach,0.0,in,Summer,2013,2013/2014
Oliver Petersch,24,Right Midfield,Arm. Bielefeld,0.0,out,Summer,2013,2013/2014
Raffael Korte,22,Right Winger,Saarbrücken,0.0,out,Summer,2013,2013/2014
Pierre Merkel,24,Centre-Forward,Hallescher FC,0.0,out,Summer,2013,2013/2014
Björn Kluft,23,Second Striker,SV Sandhausen,0.0,out,Summer,2013,2013/2014
Steffen Bohl,29,Defensive Midfield,Without Club,0.0,out,Summer,2013,2013/2014
Randy Edwini-Bonsu,23,Right Winger,Without Club,0.0,out,Summer,2013,2013/2014
Benjamin Later,26,Goalkeeper,Braunschweig II,0.0,out,Summer,2013,2013/2014
Omar Elabdellaoui,21,Right-Back,Man City U21,0.0,out,Summer,2013,2013/2014
Chengdong Zhang,24,Right Winger,Mafra,0.0,out,Summer,2013,2013/2014
Salim Khelifi,20,Right Midfield,Lausanne-Sport,250000.0,in,Winter,2013,2013/2014
Havard Nielsen,20,Centre-Forward,RB Salzburg,0.0,in,Winter,2013,2013/2014
Simeon Jackson,26,Centre-Forward,Millwall,0.0,out,Winter,2013,2013/2014
