player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Marek Penksa,18,Right Winger,Banska Bystrica,0.0,in,Summer,1992,1992/1993
Uwe Rahn,30,Centre-Forward,F. Düsseldorf,0.0,in,Summer,1992,1992/1993
Rudi Bommer,34,Defensive Midfield,Aschaffenburg,0.0,in,Summer,1992,1992/1993
Matthias Hagner,17,Right Midfield,FC Burgsolms,0.0,in,Summer,1992,1992/1993
Michael Anicic,17,Second Striker,Frankfurt U19,0.0,in,Summer,1992,1992/1993
Thomas Reis,18,Left-Back,Frankfurt U19,0.0,in,Summer,1992,1992/1993
Andreas Möller,24,Attacking Midfield,Juventus,0.0,out,Summer,1992,1992/1993
Lothar Sippel,27,Centre-Forward,Bor. Dortmund,0.0,out,Summer,1992,1992/1993
Thomas Lasser,22,Defensive Midfield,Waldh. Mannheim,0.0,out,Summer,1992,1992/1993
Dariusz Adamczuk,23,Defensive Midfield,Pogon Szczecin,375000.0,in,Winter,1992,1992/1993
Kakhaber Tskhadadze,24,Centre-Back,Dinamo Moscow,0.0,in,Winter,1992,1992/1993
Maurizio Gaudino,26,Central Midfield,VfB Stuttgart,1500000.0,in,Summer,1993,1993/1994
Jan Furtok,31,Centre-Forward,Hamburger SV,1100000.0,in,Summer,1993,1993/1994
Mirko Dickhaut,22,Defensive Midfield,Hessen Kassel,0.0,in,Summer,1993,1993/1994
Michael Osei,21,Sweeper,Vorwärts Steyr,0.0,in,Summer,1993,1993/1994
Radmilo Mihajlovic,28,Centre-Forward,FC Schalke 04,0.0,in,Summer,1993,1993/1994
Kevin Knödler,17,Goalkeeper,Frankfurt U19,0.0,in,Summer,1993,1993/1994
Thomas Sobotzik,18,Attacking Midfield,Frankfurt U19,0.0,in,Summer,1993,1993/1994
Matthias Becker,19,Centre-Forward,Frankfurt U19,0.0,in,Summer,1993,1993/1994
Oka Nikolov,19,Goalkeeper,Frankfurt U19,0.0,in,Summer,1993,1993/1994
Axel Kruse,25,Centre-Forward,VfB Stuttgart,850000.0,out,Summer,1993,1993/1994
Edgar Schmitt,30,Centre-Forward,Karlsruher SC,475000.0,out,Summer,1993,1993/1994
Stefan Studer,29,Left Midfield,Wattenscheid 09,225000.0,out,Summer,1993,1993/1994
Ingo Schlösser,20,Defensive Midfield,Hansa Rostock,0.0,out,Summer,1993,1993/1994
Michael Klein,28,Sweeper,FSV Frankfurt,0.0,out,Summer,1993,1993/1994
Uwe Rahn,31,Centre-Forward,Urawa Reds,0.0,out,Summer,1993,1993/1994
Alessandro da Silva,22,Attacking Midfield,VfB Gießen,0.0,out,Summer,1993,1993/1994
Dariusz Adamczuk,23,Defensive Midfield,Dundee FC,0.0,out,Summer,1993,1993/1994
Marek Penksa,19,Right Winger,Dynamo Dresden,0.0,out,Summer,1993,1993/1994
Heinz Gründel,36,Attacking Midfield,Retired,0.0,out,Summer,1993,1993/1994
Thomas Doll,27,Attacking Midfield,Lazio,350000.0,in,Winter,1993,1993/1994
Jörn Andersen,30,Centre-Forward,Hamburger SV,250000.0,out,Winter,1993,1993/1994
Jochen Kientz,21,Centre-Back,1860 Munich,0.0,out,Winter,1993,1993/1994
Thomas Doll,28,Attacking Midfield,Lazio,1750000.0,in,Summer,1994,1994/1995
Thorsten Legat,25,Left Midfield,Werder Bremen,1150000.0,in,Summer,1994,1994/1995
Andreas Köpke,32,Goalkeeper,1.FC Nuremberg,500000.0,in,Summer,1994,1994/1995
Nihat Kaplan,21,midfield,1.FSV Mainz 05,0.0,in,Summer,1994,1994/1995
Jochen Kientz,21,Centre-Back,1860 Munich,0.0,in,Summer,1994,1994/1995
Stephan Paßlack,23,Centre-Back,Bay. Uerdingen,0.0,in,Summer,1994,1994/1995
Marek Penksa,20,Right Winger,Dynamo Dresden,0.0,in,Summer,1994,1994/1995
Ulrich Stein,39,Goalkeeper,Hamburger SV,0.0,out,Summer,1994,1994/1995
Thomas Ernst,26,Goalkeeper,FSV Frankfurt,45000.0,out,Summer,1994,1994/1995
Frank Möller,26,Centre-Back,1.FC Nuremberg,0.0,out,Summer,1994,1994/1995
Uwe Bein,33,Attacking Midfield,Urawa Reds,0.0,out,Summer,1994,1994/1995
Radmilo Mihajlovic,29,Centre-Forward,Without Club,0.0,out,Summer,1994,1994/1995
Stephan Paßlack,24,Centre-Back,Bay. Uerdingen,0.0,out,Summer,1994,1994/1995
Thomas Doll,28,Attacking Midfield,Lazio,0.0,out,Summer,1994,1994/1995
Josef Obajdin,24,Centre-Forward,Slovan Liberec,125000.0,in,Winter,1994,1994/1995
Anthony Yeboah,28,Centre-Forward,Leeds,1000000.0,out,Winter,1994,1994/1995
Maurizio Gaudino,28,Central Midfield,Man City,250000.0,out,Winter,1994,1994/1995
Markus Schupp,29,Attacking Midfield,Bayern Munich,1000000.0,in,Summer,1995,1995/1996
Johnny Ekström,30,Centre-Forward,Dynamo Dresden,700000.0,in,Summer,1995,1995/1996
Markos Rainer Rauffmann,28,Centre-Forward,SV Meppen,475000.0,in,Summer,1995,1995/1996
Ivica Mornar,21,Centre-Forward,Hajduk Split,250000.0,in,Summer,1995,1995/1996
René Beuchel,21,Defensive Midfield,Dynamo Dresden,200000.0,in,Summer,1995,1995/1996
Domenico Sbordone,25,Centre-Back,FC Augsburg,75000.0,in,Summer,1995,1995/1996
Alexander Schur,23,Defensive Midfield,FSV Frankfurt,0.0,in,Summer,1995,1995/1996
Jörg Böhme,21,Left Midfield,1.FC Nuremberg,25000.0,in,Summer,1995,1995/1996
Michael König,21,Central Midfield,RW Frankfurt,20000.0,in,Summer,1995,1995/1996
Oliver Bunzenthal,22,Defensive Midfield,E. Frankfurt II,0.0,in,Summer,1995,1995/1996
Patrick Glöckner,18,Right Midfield,Frankfurt U19,0.0,in,Summer,1995,1995/1996
Matthias Dworschak,21,Defensive Midfield,E. Frankfurt II,0.0,in,Summer,1995,1995/1996
Burhanettin Kaymak,21,Centre-Back,E. Frankfurt II,0.0,in,Summer,1995,1995/1996
Thorsten Flick,18,Central Midfield,Frankfurt U19,0.0,in,Summer,1995,1995/1996
Maurizio Gaudino,28,Central Midfield,Man City,0.0,in,Summer,1995,1995/1996
Anthony Yeboah,29,Centre-Forward,Leeds,0.0,in,Summer,1995,1995/1996
Anthony Yeboah,29,Centre-Forward,Leeds,3250000.0,out,Summer,1995,1995/1996
