player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Dawda Bah,27,Left Winger,HJK Helsinki,200000.0,in,Summer,2011,2011/2012
Sascha Mölders,26,Centre-Forward,FSV Frankfurt,175000.0,in,Summer,2011,2011/2012
Sebastian Langkamp,23,Centre-Back,Karlsruher SC,100000.0,in,Summer,2011,2011/2012
Dominic Peitz,26,Defensive Midfield,Union Berlin,0.0,in,Summer,2011,2011/2012
Patrick Mayer,23,Centre-Forward,1.FC Heidenheim,0.0,in,Summer,2011,2011/2012
Lorenzo Davids,24,Defensive Midfield,NEC Nijmegen,0.0,in,Summer,2011,2011/2012
Akaki Gogia,19,Right Midfield,VfL Wolfsburg,0.0,in,Summer,2011,2011/2012
Marco Thiede,19,Right-Back,FC Augsburg U19,0.0,in,Summer,2011,2011/2012
Ioannis Gelios,19,Goalkeeper,FC Augsburg U19,0.0,in,Summer,2011,2011/2012
Edmond Kapllani,28,Centre-Forward,SC Paderborn,0.0,in,Summer,2011,2011/2012
Dominic Peitz,26,Defensive Midfield,Hansa Rostock,50000.0,out,Summer,2011,2011/2012
Ibrahima Traoré,23,Right Winger,VfB Stuttgart,0.0,out,Summer,2011,2011/2012
Daniel Framberger,21,Central Midfield,TSV Neusäß,0.0,out,Summer,2011,2011/2012
Lukas Sinkiewicz,25,Defensive Midfield,VfL Bochum,0.0,out,Summer,2011,2011/2012
Thomas Rudolph,22,Central Midfield,TSV Gersthofen,0.0,out,Summer,2011,2011/2012
Benjamin Woltmann,21,Centre-Back,TSV Aindling,0.0,out,Summer,2011,2011/2012
Kees Kwakman,28,Defensive Midfield,FC Groningen,10000.0,out,Summer,2011,2011/2012
Moritz Leitner,18,Central Midfield,Bor. Dortmund,0.0,out,Summer,2011,2011/2012
Sören Bertram,20,Right Winger,Hamburger SV,0.0,out,Summer,2011,2011/2012
Matthias Ostrzolek,21,Left-Back,VfL Bochum,500000.0,in,Winter,2011,2011/2012
Ja-cheol Koo,22,Central Midfield,VfL Wolfsburg,125000.0,in,Winter,2011,2011/2012
Jan Moravek,22,Central Midfield,FC Schalke 04,75000.0,in,Winter,2011,2011/2012
Uwe Möhrle,32,Centre-Back,Energie Cottbus,200000.0,out,Winter,2011,2011/2012
Michael Thurk,35,Centre-Forward,1.FC Heidenheim,0.0,out,Winter,2011,2011/2012
Patrick Mayer,23,Centre-Forward,1.FC Heidenheim,0.0,out,Winter,2011,2011/2012
Jan Moravek,22,Central Midfield,FC Schalke 04,700000.0,in,Summer,2012,2012/2013
Kevin Vogt,20,Centre-Back,VfL Bochum,600000.0,in,Summer,2012,2012/2013
Aristide Bancé,27,Centre-Forward,Al-Ahli (UAE),500000.0,in,Summer,2012,2012/2013
Milan Petrzela,29,Right Midfield,Viktoria Plzen,300000.0,in,Summer,2012,2012/2013
Ragnar Klavan,26,Centre-Back,AZ Alkmaar,250000.0,in,Summer,2012,2012/2013
Knowledge Musona,22,Attacking Midfield,TSG Hoffenheim,100000.0,in,Summer,2012,2012/2013
Giovanni Sio,23,Centre-Forward,VfL Wolfsburg,100000.0,in,Summer,2012,2012/2013
Ronny Philp,23,Right-Back,Jahn Regensburg,0.0,in,Summer,2012,2012/2013
Andreas Ottl,27,Defensive Midfield,Hertha BSC,0.0,in,Summer,2012,2012/2013
Patrick Mayer,24,Centre-Forward,1.FC Heidenheim,0.0,in,Summer,2012,2012/2013
Dominic Peitz,27,Defensive Midfield,Hansa Rostock,0.0,in,Summer,2012,2012/2013
Dominic Peitz,27,Defensive Midfield,Karlsruher SC,150000.0,out,Summer,2012,2012/2013
Axel Bellinghausen,29,Left Midfield,F. Düsseldorf,0.0,out,Summer,2012,2012/2013
Edmond Kapllani,29,Centre-Forward,FSV Frankfurt,0.0,out,Summer,2012,2012/2013
Daniel Brinkmann,26,Central Midfield,Energie Cottbus,0.0,out,Summer,2012,2012/2013
Nando Rafael,28,Centre-Forward,F. Düsseldorf,0.0,out,Summer,2012,2012/2013
Patrick Mayer,24,Centre-Forward,1.FC Heidenheim,0.0,out,Summer,2012,2012/2013
Marcel Ndjeng,30,Right Midfield,Hertha BSC,0.0,out,Summer,2012,2012/2013
Lorenzo Davids,25,Defensive Midfield,Bournemouth,0.0,out,Summer,2012,2012/2013
Jonas De Roeck,32,Centre-Back,OH Leuven,0.0,out,Summer,2012,2012/2013
Moritz Nebel,20,Defensive Midfield,FC Augsburg II,0.0,out,Summer,2012,2012/2013
Andrew Sinkala,33,Centre-Back,Without Club,0.0,out,Summer,2012,2012/2013
Jan Moravek,22,Central Midfield,FC Schalke 04,0.0,out,Summer,2012,2012/2013
Akaki Gogia,20,Right Midfield,VfL Wolfsburg,0.0,out,Summer,2012,2012/2013
Hajime Hosogai,26,Defensive Midfield,Bay. Leverkusen,0.0,out,Summer,2012,2012/2013
André Hahn,22,Right Winger,K. Offenbach,250000.0,in,Winter,2012,2012/2013
Dong-won Ji,21,Centre-Forward,Sunderland,50000.0,in,Winter,2012,2012/2013
Michael Parkhurst,28,Centre-Back,Nordsjaelland,0.0,in,Winter,2012,2012/2013
Alexander Manninger,35,Goalkeeper,Without Club,0.0,in,Winter,2012,2012/2013
Somen Tchoyi,29,Attacking Midfield,Without Club,0.0,in,Winter,2012,2012/2013
Gibril Sankoh,29,Centre-Back,HN Jianye,0.0,out,Winter,2012,2012/2013
Dawda Bah,29,Left Winger,Without Club,0.0,out,Winter,2012,2012/2013
Giovanni Sio,23,Centre-Forward,VfL Wolfsburg,0.0,out,Winter,2012,2012/2013
Jeong-ho Hong,24,Centre-Back,Jeju United,2000000.0,in,Summer,2013,2013/2014
Raúl Bobadilla,26,Centre-Forward,FC Basel,1500000.0,in,Summer,2013,2013/2014
Raphael Holzhauser,20,Attacking Midfield,VfB Stuttgart,300000.0,in,Summer,2013,2013/2014
Mathias Fetsch,24,Centre-Forward,K. Offenbach,200000.0,in,Summer,2013,2013/2014
Arkadiusz Milik,19,Centre-Forward,Bay. Leverkusen,150000.0,in,Summer,2013,2013/2014
Marwin Hitz,25,Goalkeeper,VfL Wolfsburg,0.0,in,Summer,2013,2013/2014
Halil Altintop,30,Attacking Midfield,Trabzonspor,0.0,in,Summer,2013,2013/2014
Panagiotis Vlachodimos,21,Left Winger,Olympiacos,0.0,in,Summer,2013,2013/2014
Maik Uhde,19,Defensive Midfield,FC Augsburg U19,0.0,in,Summer,2013,2013/2014
Arif Ekin,17,Left-Back,FC Augsburg U19,0.0,in,Summer,2013,2013/2014
Bajram Nebihi,24,Centre-Forward,FC Augsburg II,0.0,in,Summer,2013,2013/2014
Torsten Oehrl,27,Centre-Forward,E. Braunschweig,500000.0,out,Summer,2013,2013/2014
Aristide Bancé,28,Centre-Forward,F. Düsseldorf,100000.0,out,Summer,2013,2013/2014
Stephan Hain,24,Centre-Forward,1860 Munich,0.0,out,Summer,2013,2013/2014
Sebastian Langkamp,25,Centre-Back,Hertha BSC,0.0,out,Summer,2013,2013/2014
Milan Petrzela,30,Right Midfield,Viktoria Plzen,0.0,out,Summer,2013,2013/2014
Marco Thiede,21,Right-Back,SV Sandhausen,0.0,out,Summer,2013,2013/2014
Somen Tchoyi,30,Attacking Midfield,Without Club,0.0,out,Summer,2013,2013/2014
Simon Jentzsch,37,Goalkeeper,Retired,0.0,out,Summer,2013,2013/2014
Dong-won Ji,22,Centre-Forward,Sunderland,0.0,out,Summer,2013,2013/2014
Knowledge Musona,23,Attacking Midfield,TSG Hoffenheim,0.0,out,Summer,2013,2013/2014
Ja-cheol Koo,24,Central Midfield,VfL Wolfsburg,0.0,out,Summer,2013,2013/2014
Alexander Esswein,23,Right Winger,1.FC Nuremberg,250000.0,in,Winter,2013,2013/2014
Dominik Kohr,19,Central Midfield,Bay. Leverkusen,150000.0,in,Winter,2013,2013/2014
Dong-won Ji,22,Centre-Forward,Sunderland,0.0,in,Winter,2013,2013/2014
Erik Thommy,19,Left Midfield,FC Augsburg II,0.0,in,Winter,2013,2013/2014
Michael Parkhurst,29,Centre-Back,Columbus Crew,0.0,out,Winter,2013,2013/2014
Mathias Fetsch,25,Centre-Forward,Energie Cottbus,0.0,out,Winter,2013,2013/2014
Panagiotis Vlachodimos,22,Left Winger,Olympiacos,0.0,out,Winter,2013,2013/2014
Tim Matavz,25,Centre-Forward,PSV Eindhoven,4000000.0,in,Summer,2014,2014/2015
Abdul-Rahman Baba,20,Left-Back,Greuther Fürth,2500000.0,in,Summer,2014,2014/2015
Shawn Parker,21,Centre-Forward,1.FSV Mainz 05,1600000.0,in,Summer,2014,2014/2015
Nikola Djurdjic,28,Centre-Forward,Greuther Fürth,1300000.0,in,Summer,2014,2014/2015
Caiuby,25,Left Winger,FC Ingolstadt,1000000.0,in,Summer,2014,2014/2015
Max Reinthaler,19,Centre-Back,Rydaholms GoIF,50000.0,in,Summer,2014,2014/2015
Markus Feulner,32,Central Midfield,1.FC Nuremberg,0.0,in,Summer,2014,2014/2015
Marco Schuster,18,Defensive Midfield,FC Augsburg U19,0.0,in,Summer,2014,2014/2015
Tim Rieder,20,Defensive Midfield,FC Augsburg II,0.0,in,Summer,2014,2014/2015
Mathias Fetsch,25,Centre-Forward,Energie Cottbus,0.0,in,Summer,2014,2014/2015
Aristide Bancé,29,Centre-Forward,F. Düsseldorf,0.0,in,Summer,2014,2014/2015
Matthias Ostrzolek,24,Left-Back,Hamburger SV,2750000.0,out,Summer,2014,2014/2015
André Hahn,23,Right Winger,Bor. M'gladbach,2250000.0,out,Summer,2014,2014/2015
Kevin Vogt,22,Centre-Back,1. FC Köln,1800000.0,out,Summer,2014,2014/2015
Mohamed Amsif,25,Goalkeeper,Union Berlin,0.0,out,Summer,2014,2014/2015
Aristide Bancé,29,Centre-Forward,HJK Helsinki,0.0,out,Summer,2014,2014/2015
Bajram Nebihi,25,Centre-Forward,Union Berlin,0.0,out,Summer,2014,2014/2015
Dong-won Ji,23,Centre-Forward,Bor. Dortmund,0.0,out,Summer,2014,2014/2015
Mathias Fetsch,25,Centre-Forward,Dynamo Dresden,0.0,out,Summer,2014,2014/2015
Andreas Ottl,29,Defensive Midfield,Retired,0.0,out,Summer,2014,2014/2015
Raphael Holzhauser,21,Attacking Midfield,VfB Stuttgart,0.0,out,Summer,2014,2014/2015
Arkadiusz Milik,20,Centre-Forward,Bay. Leverkusen,0.0,out,Summer,2014,2014/2015
Dong-won Ji,23,Centre-Forward,Bor. Dortmund,2000000.0,in,Winter,2014,2014/2015
Christoph Janker,29,Centre-Back,Hertha BSC,0.0,in,Winter,2014,2014/2015
