player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Martin Groth,25,Right Midfield,Hannover 96,200000.0,in,Summer,1995,1995/1996
Stefan Studer,31,Left Midfield,Hannover 96,200000.0,in,Summer,1995,1995/1996
Goran Markov,25,Centre-Forward,Union Berlin,75000.0,in,Summer,1995,1995/1996
Christian Beeck,23,Centre-Back,Union Berlin,75000.0,in,Summer,1995,1995/1996
Perry Bräutigam,32,Goalkeeper,1.FC Nuremberg,75000.0,in,Summer,1995,1995/1996
Dirk Rehbein,27,Attacking Midfield,Union Berlin,75000.0,in,Summer,1995,1995/1996
Carsten Klee,24,Centre-Forward,Sachsen Leipzig,60000.0,in,Summer,1995,1995/1996
Marco Hinz,21,Sweeper,FC Neubrandenb.,0.0,in,Summer,1995,1995/1996
Steffen Benthin,25,Centre-Forward,1.FSV Schwerin,0.0,in,Summer,1995,1995/1996
Paul Caligiuri,31,Defensive Midfield,LA Salsa,0.0,in,Summer,1995,1995/1996
Marko Tredup,21,Right-Back,SC Union 06,13000.0,in,Summer,1995,1995/1996
Stefan Persigehl,33,Centre-Forward,VfB Auerbach,0.0,out,Summer,1995,1995/1996
Kay Wenschlag,25,Sweeper,Energie Cottbus,0.0,out,Summer,1995,1995/1996
Marco Küntzel,19,Centre-Forward,Union Berlin,0.0,out,Summer,1995,1995/1996
René Gottwald,21,Centre-Forward,RW Oberhausen,0.0,out,Summer,1995,1995/1996
Aldo Majunke,19,midfield,Parchimer FC,0.0,out,Summer,1995,1995/1996
Jacek Mencel,29,Centre-Forward,FSV Zwickau,0.0,out,Summer,1995,1995/1996
Thomas Bleck,21,Centre-Forward,FFC Viktoria 91,0.0,out,Summer,1995,1995/1996
Paul Caligiuri,32,Defensive Midfield,Columbus Crew,0.0,out,Summer,1995,1995/1996
Stefan von Zschock,19,defence,Unknown,0.0,out,Summer,1995,1995/1996
Paul Caligiuri,31,Defensive Midfield,FC St. Pauli,0.0,out,Summer,1995,1995/1996
Toni Micevski,25,Attacking Midfield,Sileks,250000.0,in,Winter,1995,1995/1996
Jonathan Akpoborie,27,Centre-Forward,Waldh. Mannheim,175000.0,in,Winter,1995,1995/1996
Dirk Hannemann,25,Left Midfield,SV Ried,0.0,out,Winter,1995,1995/1996
