player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Elias Kachunga,23,Right Winger,SC Paderborn,1500000.0,in,Summer,2015,2015/2016
Örjan Nyland,24,Goalkeeper,Molde,1000000.0,in,Summer,2015,2015/2016
Markus Suttner,28,Left-Back,Austria Vienna,700000.0,in,Summer,2015,2015/2016
Maurice Multhaup,18,Right Winger,FC Schalke 04,500000.0,in,Summer,2015,2015/2016
Romain Brégerie,28,Centre-Back,Darmstadt 98,0.0,in,Summer,2015,2015/2016
André Weis,25,Goalkeeper,FSV Frankfurt,0.0,out,Summer,2015,2015/2016
Karl-Heinz Lappe,27,Centre-Forward,FC Bayern II,0.0,out,Summer,2015,2015/2016
Andre Mijatovic,35,Centre-Back,Retired,0.0,out,Summer,2015,2015/2016
Ralph Gunesch,31,Centre-Back,Retired,0.0,out,Summer,2015,2015/2016
Christian Eigler,31,Right Winger,Career break,0.0,out,Summer,2015,2015/2016
Leon Jessen,29,Left-Back,1.FC K'lautern,0.0,out,Summer,2015,2015/2016
Darío Lezcano,25,Centre-Forward,FC Luzern,2500000.0,in,Winter,2015,2015/2016
Tomas Pekhart,26,Centre-Forward,AEK Athens,0.0,out,Winter,2015,2015/2016
Stefan Wannenwetsch,24,Defensive Midfield,Hansa Rostock,0.0,out,Winter,2015,2015/2016
Thomas Pledl,21,Right Winger,SV Sandhausen,0.0,out,Winter,2015,2015/2016
Marcel Tisserand,23,Centre-Back,Monaco,3500000.0,in,Summer,2016,2016/2017
Florent Hadergjonaj,22,Right-Back,BSC Young Boys,2000000.0,in,Summer,2016,2016/2017
Robert Leipertz,23,Right Winger,FC Schalke 04,1500000.0,in,Summer,2016,2016/2017
Martin Hansen,26,Goalkeeper,ADO Den Haag,950000.0,in,Summer,2016,2016/2017
Fabijan Buntic,19,Goalkeeper,Stuttgart U19,0.0,in,Summer,2016,2016/2017
Kerem Bülbül,21,Attacking Midfield,Hertha BSC II,0.0,in,Summer,2016,2016/2017
Nico Rinderknecht,18,Centre-Back,Frankfurt U19,0.0,in,Summer,2016,2016/2017
Sonny Kittel,23,Left Winger,E. Frankfurt,0.0,in,Summer,2016,2016/2017
Hauke Wahl,22,Centre-Back,SC Paderborn,0.0,in,Summer,2016,2016/2017
Anthony Jung,24,Left-Back,RB Leipzig,0.0,in,Summer,2016,2016/2017
Robert Bauer,21,Centre-Back,Werder Bremen,2500000.0,out,Summer,2016,2016/2017
Benjamin Hübner,26,Centre-Back,TSG Hoffenheim,800000.0,out,Summer,2016,2016/2017
Danny da Costa,22,Right-Back,Bay. Leverkusen,500000.0,out,Summer,2016,2016/2017
Ramazan Özcan,32,Goalkeeper,Bay. Leverkusen,500000.0,out,Summer,2016,2016/2017
Elias Kachunga,24,Right Winger,Huddersfield,250000.0,out,Summer,2016,2016/2017
Konstantin Engel,28,Left-Back,FC Astana,0.0,out,Summer,2016,2016/2017
Kerem Bülbül,21,Attacking Midfield,Hansa Rostock,0.0,out,Summer,2016,2016/2017
Danilo Soares,24,Left-Back,Without Club,0.0,out,Summer,2016,2016/2017
Hauke Wahl,22,Centre-Back,1.FC Heidenheim,0.0,out,Winter,2016,2016/2017
Tobias Levels,30,Right-Back,Ingolstadt II,0.0,out,Winter,2016,2016/2017
