player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Antoine Hey,21,Right Midfield,F. Düsseldorf,0.0,in,Summer,1992,1992/1993
Thomas Linke,22,Centre-Back,Rot-Weiß Erfurt,0.0,in,Summer,1992,1992/1993
Mike Büskens,24,Left Midfield,F. Düsseldorf,0.0,in,Summer,1992,1992/1993
Gerald Hillringhaus,30,Goalkeeper,Bayern Munich,0.0,in,Summer,1992,1992/1993
Martin Spanring,22,Centre-Back,F. Düsseldorf,0.0,in,Summer,1992,1992/1993
Uwe Scherr,25,Right Midfield,1.FC K'lautern,0.0,in,Summer,1992,1992/1993
Henning Bürger,22,Left Midfield,Saarbrücken,0.0,out,Summer,1992,1992/1993
Michael Kroninger,25,attack,1860 Munich,0.0,out,Summer,1992,1992/1993
Egon Flad,28,Left Midfield,TeBe Berlin,0.0,out,Summer,1992,1992/1993
Jürgen Welp,32,Goalkeeper,Beckumer SV,0.0,out,Summer,1992,1992/1993
Christof Osigus,19,Goalkeeper,Bor. Dortmund,0.0,out,Summer,1992,1992/1993
Stefan Thiele,18,attack,Bor. Dortmund,0.0,out,Summer,1992,1992/1993
Sascha Jusufi,29,midfield,Retired,0.0,out,Summer,1992,1992/1993
Dietmar Schacht,29,defence,Retired,0.0,out,Summer,1992,1992/1993
Youri Mulder,24,Centre-Forward,Twente FC,700000.0,in,Summer,1993,1993/1994
Jiri Nemec,27,Defensive Midfield,Sparta Prague,0.0,in,Summer,1993,1993/1994
Marinus Bester,24,Centre-Forward,Werder Bremen,0.0,in,Summer,1993,1993/1994
Chad Deering,22,Defensive Midfield,Werder Bremen,0.0,in,Summer,1993,1993/1994
Steffen Freund,23,Defensive Midfield,Bor. Dortmund,1500000.0,out,Summer,1993,1993/1994
Andreas Gaber,20,midfield,FC Remscheid,0.0,out,Summer,1993,1993/1994
Günter Schlipper,30,Attacking Midfield,RW Oberhausen,0.0,out,Summer,1993,1993/1994
Gerald Hillringhaus,31,Goalkeeper,TeBe Berlin,0.0,out,Summer,1993,1993/1994
Martin Spanring,23,Centre-Back,SC Freiburg,0.0,out,Summer,1993,1993/1994
Uwe Leifeld,26,Centre-Forward,Preußen Münster,0.0,out,Summer,1993,1993/1994
Radmilo Mihajlovic,28,Centre-Forward,E. Frankfurt,0.0,out,Summer,1993,1993/1994
Richard Mademann,25,Centre-Back,FC 08 Homburg,0.0,out,Summer,1993,1993/1994
Antoine Hey,22,Right Midfield,TeBe Berlin,0.0,out,Summer,1993,1993/1994
Bent Christensen,26,Centre-Forward,Olympiacos,0.0,out,Summer,1993,1993/1994
Dieter Eckstein,29,Centre-Forward,1.FC Nuremberg,0.0,in,Winter,1993,1993/1994
Fabijan Komljenovic,25,Attacking Midfield,NK Istra Pula,0.0,in,Winter,1993,1993/1994
Aleksandr Borodyuk,31,Centre-Forward,SC Freiburg,250000.0,out,Winter,1993,1993/1994
Marinus Bester,24,Centre-Forward,Werder Bremen,0.0,out,Winter,1993,1993/1994
Olaf Thon,28,Central Midfield,Bayern Munich,1250000.0,in,Summer,1994,1994/1995
Radoslav Latal,24,Right Midfield,Sigma Olomouc,125000.0,in,Summer,1994,1994/1995
Jörg Albracht,30,Goalkeeper,Wuppertaler SV,0.0,in,Summer,1994,1994/1995
Udo Mai,26,Goalkeeper,Wattenscheid 09,0.0,in,Summer,1994,1994/1995
Waldemar Ksienzyk,30,Right-Back,Wuppertaler SV,0.0,in,Summer,1994,1994/1995
Mathias Schober,18,Goalkeeper,Schalke 04 U19,0.0,in,Summer,1994,1994/1995
Miguel Pereira,18,Centre-Forward,Schalke 04 U19,0.0,in,Summer,1994,1994/1995
Sergiy Dikhtyar,18,Attacking Midfield,Schalke 04 U19,0.0,in,Summer,1994,1994/1995
Igor Lissak,18,Defensive Midfield,Schalke 04 U19,0.0,in,Summer,1994,1994/1995
Bent Christensen,27,Centre-Forward,Olympiacos,0.0,in,Summer,1994,1994/1995
Antoine Hey,23,Right Midfield,TeBe Berlin,0.0,in,Summer,1994,1994/1995
Antoine Hey,23,Right Midfield,SC Fortuna Köln,0.0,out,Summer,1994,1994/1995
Jörg Dohn,30,Goalkeeper,RW Oberhausen,0.0,out,Summer,1994,1994/1995
Jürgen Luginger,26,Right Midfield,Hannover 96,0.0,out,Summer,1994,1994/1995
Chad Deering,23,Defensive Midfield,Rosenborg,0.0,out,Summer,1994,1994/1995
Günter Güttler,33,Sweeper,SpVgg Fürth,0.0,out,Summer,1994,1994/1995
Jürgen Gredig,28,Centre-Back,LR Ahlen,0.0,out,Summer,1994,1994/1995
Holger Gehrke,33,Goalkeeper,TeBe Berlin,0.0,out,Summer,1994,1994/1995
Bent Christensen,27,Centre-Forward,SD Compostela,0.0,out,Summer,1994,1994/1995
Fabijan Komljenovic,26,Attacking Midfield,NK Istra Pula,0.0,out,Summer,1994,1994/1995
Stefan Kohn,29,Centre-Forward,1. FC Köln,0.0,in,Winter,1994,1994/1995
Dieter Eckstein,30,Centre-Forward,West Ham,0.0,out,Winter,1994,1994/1995
Uwe Weidemann,32,Attacking Midfield,MSV Duisburg,600000.0,in,Summer,1995,1995/1996
Martin Max,26,Centre-Forward,Bor. M'gladbach,600000.0,in,Summer,1995,1995/1996
Radoslav Latal,25,Right Midfield,Sigma Olomouc,225000.0,in,Summer,1995,1995/1996
Thomas Dooley,34,Centre-Back,Bay. Leverkusen,200000.0,in,Summer,1995,1995/1996
Frank Schön,24,Centre-Back,Wuppertaler SV,100000.0,in,Summer,1995,1995/1996
Oliver Held,22,Right Midfield,Holstein Kiel,50000.0,in,Summer,1995,1995/1996
David Wagner,23,Centre-Forward,1.FSV Mainz 05,0.0,in,Summer,1995,1995/1996
Marco Kurz,26,Centre-Back,Bor. Dortmund,0.0,in,Summer,1995,1995/1996
Bent Christensen,28,Centre-Forward,SD Compostela,0.0,in,Summer,1995,1995/1996
Hendrik Herzog,26,Centre-Back,VfB Stuttgart,850000.0,out,Summer,1995,1995/1996
Bent Christensen,28,Centre-Forward,SD Compostela,250000.0,out,Summer,1995,1995/1996
Igor Lissak,19,Defensive Midfield,Unknown,0.0,out,Summer,1995,1995/1996
Miguel Pereira,19,Centre-Forward,Preußen Münster,25000.0,out,Summer,1995,1995/1996
Mark Schierenberg,22,Defensive Midfield,Wattenscheid 09,0.0,out,Summer,1995,1995/1996
Udo Mai,27,Goalkeeper,Unterhaching,0.0,out,Summer,1995,1995/1996
