player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Thomas Sobotzik,20,Attacking Midfield,E. Frankfurt,150000.0,in,Summer,1995,1995/1996
Ralf Becker,24,Attacking Midfield,Bay. Leverkusen,0.0,in,Summer,1995,1995/1996
Michél Dinzey,22,Left Midfield,VfB Stuttgart,25000.0,in,Summer,1995,1995/1996
Tore Pedersen,25,Centre-Back,Brann,0.0,in,Summer,1995,1995/1996
Hysen Zmijani,32,Right-Back,Al-Nassr FC,0.0,in,Summer,1995,1995/1996
Paul Caligiuri,31,Defensive Midfield,Hansa Rostock,0.0,in,Summer,1995,1995/1996
Bernd Hollerbach,25,Left-Back,1.FC K'lautern,900000.0,out,Summer,1995,1995/1996
Andreas Mayer,22,Central Midfield,Stabæk Fotball,0.0,out,Summer,1995,1995/1996
Niclas Weiland,22,Right Winger,Hannover 96,0.0,out,Summer,1995,1995/1996
René Müller,36,Goalkeeper,Retired,0.0,out,Summer,1995,1995/1996
Carsten Wehlmann,23,Goalkeeper,VfL 93 Hamburg,0.0,in,Winter,1995,1995/1996
Emerson,22,Centre-Forward,Dnipro,0.0,in,Summer,1996,1996/1997
Kai Dittmer,21,attack,Harburger TB,0.0,in,Summer,1996,1996/1997
Michael Bochtler,20,Left-Back,VfB Stuttgart,0.0,in,Summer,1996,1996/1997
Demir Duric,19,Attacking Midfield,FSV Frankfurt,28000.0,in,Summer,1996,1996/1997
Bernd Eigner,24,Centre-Back,VfL Frohnlach,13000.0,in,Summer,1996,1996/1997
Nikolay Pisarev,27,Centre-Forward,CP Mérida,0.0,in,Summer,1996,1996/1997
Sven Tholen,23,midfield,Unknown,0.0,in,Summer,1996,1996/1997
Jacques Goumai,24,Centre-Forward,FC 08 Homburg,0.0,in,Summer,1996,1996/1997
Markus Ahlf,18,Right-Back,St. Pauli U19,0.0,in,Summer,1996,1996/1997
Matthias Scherz,24,Centre-Forward,FC St. Pauli II,0.0,in,Summer,1996,1996/1997
Mike Göbel,25,midfield,FC St. Pauli II,0.0,in,Summer,1996,1996/1997
