player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Jörg Bach,29,Centre-Back,Hamburger SV,500000.0,in,Summer,1995,1995/1996
Darko Pancev,29,Centre-Forward,Inter,500000.0,in,Summer,1995,1995/1996
Kujtim Shala,30,Attacking Midfield,Chemnitzer FC,350000.0,in,Summer,1995,1995/1996
Ulf Mehlhorn,27,Left Midfield,Chemnitzer FC,250000.0,in,Summer,1995,1995/1996
Jörn Schwinkendorf,24,Centre-Back,Saarbrücken,150000.0,in,Summer,1995,1995/1996
Thomas Seeliger,28,Defensive Midfield,VfL Wolfsburg,150000.0,in,Summer,1995,1995/1996
Christian Radlmaier,28,attack,FC Augsburg,0.0,in,Summer,1995,1995/1996
Rudi Istenic,24,Attacking Midfield,SV Straelen,0.0,in,Summer,1995,1995/1996
Markus Anfang,21,Central Midfield,Leverkusen II,0.0,in,Summer,1995,1995/1996
Christian Rothkopf,23,Goalkeeper,Unknown,0.0,in,Summer,1995,1995/1996
Dennis Onyewenjo,20,Left-Back,Unknown,0.0,in,Summer,1995,1995/1996
Roberto Marquez,17,Attacking Midfield,Vikt. Köln U19,0.0,in,Summer,1995,1995/1996
Robert Niestroj,20,Attacking Midfield,Düsseldorf U19,0.0,in,Summer,1995,1995/1996
Ralf Voigt,29,Centre-Back,Arm. Bielefeld,250000.0,out,Summer,1995,1995/1996
Petr Rada,36,Defensive Midfield,Bohemians Praha,0.0,out,Summer,1995,1995/1996
Daniel Janssen,24,attack,Bonner SC,0.0,out,Summer,1995,1995/1996
Sergio Allievi,31,Attacking Midfield,Wattenscheid 09,0.0,out,Summer,1995,1995/1996
Arthur Moses,22,Centre-Forward,SC Toulon 83,0.0,out,Summer,1995,1995/1996
Sven Backhaus,27,Sweeper,Wattenscheid 09,0.0,out,Summer,1995,1995/1996
Abiodun Obafemi,21,Centre-Back,Toulouse,0.0,out,Summer,1995,1995/1996
Robert Kocis,22,Centre-Forward,Tatran Presov,600000.0,in,Summer,1996,1996/1997
Vladimir Pasic,25,Centre-Back,Rad,400000.0,in,Summer,1996,1996/1997
Andreas Golombek,27,Centre-Back,Wattenscheid 09,150000.0,in,Summer,1996,1996/1997
Holger Fach,33,Sweeper,Bay. Leverkusen,75000.0,in,Summer,1996,1996/1997
Oliver Kröner,22,Left Midfield,Schweinfurt 05,75000.0,in,Summer,1996,1996/1997
David Nielsen,19,Centre-Forward,Odense BK,0.0,in,Summer,1996,1996/1997
Rudolf Zedi,21,Defensive Midfield,SW Essen,0.0,in,Summer,1996,1996/1997
Macchambes Younga-Mouhani,21,Defensive Midfield,Bor. M'gladbach,20000.0,in,Summer,1996,1996/1997
Sven Schuchardt,23,Centre-Forward,FC Remscheid,0.0,in,Summer,1996,1996/1997
Oliver Schmitt,22,midfield,Unknown,0.0,in,Summer,1996,1996/1997
Marvin Harriott,22,defence,Bristol City,0.0,in,Summer,1996,1996/1997
Stefan Trienekens,25,Centre-Forward,FC Remscheid,0.0,in,Summer,1996,1996/1997
Sergey Yuran,27,Centre-Forward,Millwall,0.0,in,Summer,1996,1996/1997
Guido Jörres,22,Sweeper,1. FC Köln,0.0,in,Summer,1996,1996/1997
Kristian Zedi,21,Centre-Back,RW Essen,0.0,in,Summer,1996,1996/1997
Igor Dobrovolski,28,Attacking Midfield,Without Club,0.0,in,Summer,1996,1996/1997
Abiodun Obafemi,22,Centre-Back,Toulouse,0.0,in,Summer,1996,1996/1997
Lars Brögger,26,Attacking Midfield,Dordrecht'90,0.0,in,Summer,1996,1996/1997
Kujtim Shala,31,Attacking Midfield,VfB Leipzig,250000.0,out,Summer,1996,1996/1997
Darko Pancev,30,Centre-Forward,FC Sion,150000.0,out,Summer,1996,1996/1997
Stefan Minkwitz,28,Defensive Midfield,Stuttg. Kickers,100000.0,out,Summer,1996,1996/1997
Zvezdan Pejovic,29,Centre-Back,E. Frankfurt,75000.0,out,Summer,1996,1996/1997
Rasim Suksur,20,Centre-Back,Galatasaray,0.0,out,Summer,1996,1996/1997
Christian Radlmaier,29,attack,SpVgg Landshut,0.0,out,Summer,1996,1996/1997
Thomas Brdaric,21,Centre-Forward,SC Fortuna Köln,0.0,out,Summer,1996,1996/1997
Thomas Bahr,25,defence,Rheydter SV,0.0,out,Summer,1996,1996/1997
Ben Manga,22,Left-Back,Wuppertaler SV,0.0,out,Summer,1996,1996/1997
Lars Brögger,26,Attacking Midfield,Ikast FS,0.0,out,Summer,1996,1996/1997
Roberto Marquez,18,Attacking Midfield,Baesweiler 09,0.0,out,Summer,1996,1996/1997
Dirk Schreiber,22,Centre-Back,Unknown,0.0,out,Summer,1996,1996/1997
Jörn Schwinkendorf,25,Centre-Back,VfB Lübeck,0.0,out,Summer,1996,1996/1997
