player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Yordan Lechkov,24,Attacking Midfield,CSKA Sofia,450000.0,in,Summer,1992,1992/1993
Pavel Dotchev,26,Sweeper,CSKA Sofia,200000.0,in,Summer,1992,1992/1993
Karsten Bäron,19,Centre-Forward,H. Zehlendorf,0.0,in,Summer,1992,1992/1993
Thomas Lässig,20,Defensive Midfield,Hansa Rostock,0.0,in,Summer,1992,1992/1993
Oliver Möller,23,midfield,SV Lurup,0.0,in,Summer,1992,1992/1993
Marinus Bester,23,Centre-Forward,Werder Bremen,0.0,in,Summer,1992,1992/1993
Markus Babbel,19,Centre-Back,Bayern Munich,0.0,in,Summer,1992,1992/1993
Uwe Bormann,22,midfield,VfR Langelsheim,0.0,in,Summer,1992,1992/1993
Peter Woodring,24,Centre-Forward,SV Wehen,0.0,in,Summer,1992,1992/1993
Florian Weichert,24,Centre-Forward,Hansa Rostock,0.0,in,Summer,1992,1992/1993
Michael Spies,26,Attacking Midfield,Hansa Rostock,0.0,in,Summer,1992,1992/1993
Francisco Copado,17,Second Striker,Hamburg U19,0.0,in,Summer,1992,1992/1993
Dietmar Beiersdorfer,28,Centre-Back,Werder Bremen,1000000.0,out,Summer,1992,1992/1993
Thomas Stratos,25,Defensive Midfield,Saarbrücken,150000.0,out,Summer,1992,1992/1993
Detlev Dammeier,23,Defensive Midfield,VfL Wolfsburg,0.0,out,Summer,1992,1992/1993
Nando,25,Centre-Forward,Internacional,0.0,out,Summer,1992,1992/1993
Uwe Eckel,25,attack,VfB Lübeck,0.0,out,Summer,1992,1992/1993
Holger Ballwanz,24,Defensive Midfield,VfL Wolfsburg,0.0,out,Summer,1992,1992/1993
Michael Schröder,32,Defensive Midfield,Unknown,0.0,out,Summer,1992,1992/1993
Jens Bochert,27,Attacking Midfield,Rouen,0.0,out,Summer,1992,1992/1993
Richard Cyron,27,Centre-Forward,F. Düsseldorf,0.0,out,Summer,1992,1992/1993
Herbert Waas,28,Centre-Forward,Bologna,0.0,out,Summer,1992,1992/1993
Valdas Ivanauskas,26,Centre-Forward,Austria Vienna,850000.0,in,Summer,1993,1993/1994
Michael Kostner,24,Sweeper,Saarbrücken,500000.0,in,Summer,1993,1993/1994
Andreas Sassen,25,Attacking Midfield,Bay. Uerdingen,400000.0,in,Summer,1993,1993/1994
Jörg Albertz,22,Left Midfield,F. Düsseldorf,300000.0,in,Summer,1993,1993/1994
Stig Töfting,23,Defensive Midfield,Aarhus GF,300000.0,in,Summer,1993,1993/1994
Marijan Kovacevic,19,Centre-Back,Hamburger SV II,0.0,in,Summer,1993,1993/1994
Riccardo Baich,19,attack,Hamburger SV II,0.0,in,Summer,1993,1993/1994
Jan Furtok,31,Centre-Forward,E. Frankfurt,1100000.0,out,Summer,1993,1993/1994
Florian Weichert,25,Centre-Forward,VfB Leipzig,375000.0,out,Summer,1993,1993/1994
Frank Rohde,33,Sweeper,Hertha BSC,210000.0,out,Summer,1993,1993/1994
Andreas Reinke,24,Goalkeeper,FC St. Pauli,0.0,out,Summer,1993,1993/1994
Pavel Dotchev,27,Sweeper,CSKA Sofia,0.0,out,Summer,1993,1993/1994
Emerson,19,Centre-Forward,Holstein Kiel,0.0,out,Summer,1993,1993/1994
Waldemar Matysik,31,Defensive Midfield,Wuppertaler SV,0.0,out,Summer,1993,1993/1994
Henning Hardt,22,Centre-Back,Holstein Kiel,0.0,out,Summer,1993,1993/1994
Marinus Bester,24,Centre-Forward,Werder Bremen,0.0,out,Summer,1993,1993/1994
Jörn Andersen,30,Centre-Forward,E. Frankfurt,250000.0,in,Winter,1993,1993/1994
Petar Hubchev,29,Sweeper,Levski Sofia,225000.0,in,Winter,1993,1993/1994
Peter Woodring,25,Centre-Forward,Aalborg BK,0.0,out,Winter,1993,1993/1994
Stig Töfting,24,Defensive Midfield,Odense BK,0.0,out,Winter,1993,1993/1994
Sergio Zárate,25,Centre-Forward,1.FC Nuremberg,900000.0,in,Summer,1994,1994/1995
