player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Jiri Stajner,26,Second Striker,Slovan Liberec,3100000.0,in,Summer,2002,2002/2003
Blaise Nkufo,27,Centre-Forward,1.FSV Mainz 05,1400000.0,in,Summer,2002,2002/2003
Fredi Bobic,30,Centre-Forward,Bor. Dortmund,500000.0,in,Summer,2002,2002/2003
Mohamadou Idrissou,22,Centre-Forward,SV Wehen,300000.0,in,Summer,2002,2002/2003
Gerhard Tremmel,23,Goalkeeper,Unterhaching,300000.0,in,Summer,2002,2002/2003
Konstantinos Konstantinidis,29,Centre-Back,Hertha BSC,200000.0,in,Summer,2002,2002/2003
Kosta Rodrigues,22,Left Midfield,E. Braunschweig,0.0,in,Summer,2002,2002/2003
Kai Oswald,24,Centre-Back,Hansa Rostock,0.0,in,Summer,2002,2002/2003
Daniel Haas,18,Goalkeeper,E. Frankfurt,0.0,in,Summer,2002,2002/2003
Julian de Guzmán,21,Defensive Midfield,Saarbrücken,0.0,in,Summer,2002,2002/2003
Markus Schuler,24,Left-Back,1.FSV Mainz 05,0.0,in,Summer,2002,2002/2003
Fernando,30,Left Midfield,Dep. La Coruña,0.0,in,Summer,2002,2002/2003
Jaime,29,Defensive Midfield,Dep. La Coruña,0.0,in,Summer,2002,2002/2003
José Manuel,28,Right Midfield,Dep. La Coruña,0.0,in,Summer,2002,2002/2003
Guido Gorges,29,Centre-Back,Schweinfurt 05,0.0,in,Summer,2002,2002/2003
Jan Simak,23,Attacking Midfield,Bay. Leverkusen,6500000.0,out,Summer,2002,2002/2003
Salif Keita,26,Centre-Forward,Union Berlin,0.0,out,Summer,2002,2002/2003
André Astorga,22,Centre-Back,UA Barbarense,0.0,out,Summer,2002,2002/2003
Oliver Schäfer,33,Centre-Back,Saarbrücken,0.0,out,Summer,2002,2002/2003
Igoris Morinas,27,Centre-Forward,1.FSV Mainz 05,0.0,out,Summer,2002,2002/2003
Heiner Backhaus,20,Defensive Midfield,Union Berlin,40000.0,out,Summer,2002,2002/2003
Marco Rose,25,Left-Back,1.FSV Mainz 05,0.0,out,Summer,2002,2002/2003
Kosta Rodrigues,22,Left Midfield,Saarbrücken,0.0,out,Summer,2002,2002/2003
Mourad Bounoua,29,Attacking Midfield,Without Club,0.0,out,Summer,2002,2002/2003
Mirko Baschetti,30,defence,Without Club,0.0,out,Summer,2002,2002/2003
Carsten Wehlmann,30,Goalkeeper,Hamburger SV,0.0,out,Summer,2002,2002/2003
Christian Mikolajczak,21,Defensive Midfield,FC Schalke 04,0.0,out,Summer,2002,2002/2003
Gheorghe Popescu,35,Centre-Back,FC Dinamo,0.0,in,Winter,2002,2002/2003
Vinícius,22,Centre-Back,SE Gama,0.0,in,Winter,2002,2002/2003
Guido Gorges,29,Centre-Back,E. Braunschweig,0.0,out,Winter,2002,2002/2003
Babacar N'Diaye,29,Centre-Forward,FC St. Pauli,0.0,out,Winter,2002,2002/2003
Thomas Christiansen,30,Centre-Forward,VfL Bochum,2500000.0,in,Summer,2003,2003/2004
Vinícius,22,Centre-Back,SE Gama,1000000.0,in,Summer,2003,2003/2004
Kléber,23,Left-Back,Corinthians,730000.0,in,Summer,2003,2003/2004
Christoph Dabrowski,25,Defensive Midfield,Arm. Bielefeld,450000.0,in,Summer,2003,2003/2004
Marc Ziegler,27,Goalkeeper,Austria Vienna,150000.0,in,Summer,2003,2003/2004
Silvio Schröter,24,Right Midfield,Energie Cottbus,0.0,in,Summer,2003,2003/2004
Thomas Schneider,30,Centre-Back,VfB Stuttgart,0.0,in,Summer,2003,2003/2004
Thomas Brdaric,28,Centre-Forward,Bay. Leverkusen,0.0,in,Summer,2003,2003/2004
Jan Simak,24,Attacking Midfield,Bay. Leverkusen,0.0,in,Summer,2003,2003/2004
Nils Pfingsten-Reddig,21,Central Midfield,Hannover 96 II,0.0,in,Summer,2003,2003/2004
Per Mertesacker,18,Centre-Back,Hannover 96 U19,0.0,in,Summer,2003,2003/2004
Björn Lindemann,19,Attacking Midfield,Hannover 96 U19,0.0,in,Summer,2003,2003/2004
Babacar N'Diaye,29,Centre-Forward,FC St. Pauli,0.0,in,Summer,2003,2003/2004
Babacar N'Diaye,29,Centre-Forward,LR Ahlen,0.0,out,Summer,2003,2003/2004
Marc van Hintum,36,Left-Back,RKC Waalwijk,0.0,out,Summer,2003,2003/2004
Fredi Bobic,31,Centre-Forward,Hertha BSC,0.0,out,Summer,2003,2003/2004
Thorsten Nehrbauer,25,Defensive Midfield,Saarbrücken,0.0,out,Summer,2003,2003/2004
Kai Oswald,25,Centre-Back,MSV Duisburg,0.0,out,Summer,2003,2003/2004
Jiri Kaufman,23,Centre-Forward,Energie Cottbus,0.0,out,Summer,2003,2003/2004
Blaise Nkufo,28,Centre-Forward,Twente FC,0.0,out,Summer,2003,2003/2004
Gheorghe Popescu,35,Centre-Back,Retired,0.0,out,Summer,2003,2003/2004
Carsten Linke,37,Centre-Back,Retired,0.0,out,Summer,2003,2003/2004
Jörg Sievers,37,Goalkeeper,Retired,0.0,out,Summer,2003,2003/2004
Vinícius,22,Centre-Back,SE Gama,0.0,out,Summer,2003,2003/2004
José Manuel,29,Right Midfield,Dep. La Coruña,0.0,out,Summer,2003,2003/2004
Fernando,31,Left Midfield,Dep. La Coruña,0.0,out,Summer,2003,2003/2004
Jaime,30,Defensive Midfield,Dep. La Coruña,0.0,out,Summer,2003,2003/2004
Conor Casey,21,Centre-Forward,Bor. Dortmund,0.0,out,Summer,2003,2003/2004
Stanko Svitlica,27,Centre-Forward,Legia Warszawa,200000.0,in,Winter,2003,2003/2004
Abel Xavier,31,Right-Back,Liverpool,0.0,in,Winter,2003,2003/2004
Clint Mathis,27,Attacking Midfield,MetroStars,0.0,in,Winter,2003,2003/2004
Vladimir But,26,Attacking Midfield,SC Freiburg,0.0,in,Winter,2003,2003/2004
Jaime,30,Defensive Midfield,Dep. La Coruña,0.0,in,Winter,2003,2003/2004
Denis Wolf,20,Attacking Midfield,Hannover 96 II,0.0,in,Winter,2003,2003/2004
Kosta Rodrigues,24,Left Midfield,Saarbrücken,0.0,in,Winter,2003,2003/2004
