player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Bryan Roy,27,Left Winger,Nottm Forest,1600000.0,in,Summer,1997,1997/1998
Alphonse Tchami,25,Centre-Forward,Boca Juniors,1100000.0,in,Summer,1997,1997/1998
Kjetil Rekdal,28,Defensive Midfield,Stade Rennais,900000.0,in,Summer,1997,1997/1998
Dick Van Burik,23,Centre-Back,FC Utrecht,600000.0,in,Summer,1997,1997/1998
Hendrik Herzog,28,Centre-Back,VfB Stuttgart,250000.0,in,Summer,1997,1997/1998
Carsten Lakies,26,Centre-Forward,FC Bayern II,250000.0,in,Summer,1997,1997/1998
Gábor Király,21,Goalkeeper,LFC Haladás,100000.0,in,Summer,1997,1997/1998
Sergey Mandreko,25,Left-Back,Rapid Vienna,0.0,in,Summer,1997,1997/1998
Uwe Weidemann,34,Attacking Midfield,FC Gütersloh,0.0,out,Summer,1997,1997/1998
Carsten Kober,29,Centre-Back,VfL Osnabrück,0.0,out,Summer,1997,1997/1998
Manuel Greil,22,Goalkeeper,SC Verl,0.0,out,Summer,1997,1997/1998
Jens Adler,32,Goalkeeper,VfL Halle 96,0.0,out,Summer,1997,1997/1998
Altin Rraklli,26,Centre-Forward,Unterhaching,0.0,out,Summer,1997,1997/1998
Dirk Bremser,31,Right Midfield,VfB Lübeck,0.0,out,Summer,1997,1997/1998
Falko Götz,35,Attacking Midfield,Retired,0.0,out,Summer,1997,1997/1998
Andreas Neuendorf,22,Central Midfield,Bay. Leverkusen,1100000.0,in,Winter,1997,1997/1998
Andreas Thom,32,Centre-Forward,Celtic,450000.0,in,Winter,1997,1997/1998
Marcel Rath,22,Centre-Forward,Energie Cottbus,0.0,out,Winter,1997,1997/1998
Hasan Vural,24,Centre-Back,KFC Uerdingen,0.0,out,Winter,1997,1997/1998
Gunnar Sauer,33,Sweeper,VfB Leipzig,0.0,out,Winter,1997,1997/1998
Dariusz Wosz,29,Attacking Midfield,VfL Bochum,2600000.0,in,Summer,1998,1998/1999
René Tretschok,29,Defensive Midfield,1. FC Köln,1000000.0,in,Summer,1998,1998/1999
Ivica Olic,19,Centre-Forward,NK Marsonia,250000.0,in,Summer,1998,1998/1999
Rob Maas,28,Defensive Midfield,Arm. Bielefeld,0.0,in,Summer,1998,1998/1999
René Renno,19,Goalkeeper,Hertha BSC II,0.0,in,Summer,1998,1998/1999
Michél Dinzey,25,Left Midfield,1860 Munich,1000000.0,out,Summer,1998,1998/1999
Christian Fährmann,22,Attacking Midfield,Karlsruher SC,300000.0,out,Summer,1998,1998/1999
Carsten Lakies,27,Centre-Forward,Waldh. Mannheim,0.0,out,Summer,1998,1998/1999
Oliver Schmidt,24,Centre-Back,Greuther Fürth,0.0,out,Summer,1998,1998/1999
Piotr Reiss,26,Centre-Forward,Lech Poznan,950000.0,in,Winter,1998,1998/1999
Ilija Aracic,28,Centre-Forward,TeBe Berlin,475000.0,in,Winter,1998,1998/1999
Christian Saba,20,Centre-Back,FC Bayern II,100000.0,in,Winter,1998,1998/1999
Tony Sanneh,27,Right-Back,D.C. United,0.0,in,Winter,1998,1998/1999
Marc Arnold,28,Attacking Midfield,Karlsruher SC,175000.0,out,Winter,1998,1998/1999
Steffen Karl,28,Defensive Midfield,FC St. Pauli,125000.0,out,Winter,1998,1998/1999
Axel Kruse,31,Centre-Forward,Retired,0.0,out,Winter,1998,1998/1999
Marko Rehmer,27,Right-Back,Hansa Rostock,3600000.0,in,Summer,1999,1999/2000
Ali Daei,30,Centre-Forward,Bayern Munich,2700000.0,in,Summer,1999,1999/2000
Sebastian Deisler,19,Right Midfield,Bor. M'gladbach,2000000.0,in,Summer,1999,1999/2000
Konstantinos Konstantinidis,26,Centre-Back,Panathinaikos,1300000.0,in,Summer,1999,1999/2000
Kai Michalke,23,Left Winger,VfL Bochum,0.0,in,Summer,1999,1999/2000
Thomas Helmer,34,Centre-Back,Sunderland,0.0,in,Summer,1999,1999/2000
Joe Bacak,26,midfield,Vitesse,0.0,in,Summer,1999,1999/2000
Hendrik Herzog,30,Centre-Back,Unterhaching,0.0,out,Summer,1999,1999/2000
Piotr Reiss,27,Centre-Forward,MSV Duisburg,0.0,out,Summer,1999,1999/2000
