player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Zlatko Yankov,29,Defensive Midfield,Levski Sofia,400000.0,in,Summer,1995,1995/1996
Michael Lusch,31,Right Midfield,1.FC K'lautern,295000.0,in,Summer,1995,1995/1996
John van Buskirk,23,Centre-Forward,Indiana Hoosier,0.0,in,Summer,1995,1995/1996
Erik Meijer,25,Centre-Forward,PSV Eindhoven,0.0,in,Summer,1995,1995/1996
Jos Luhukay,32,Central Midfield,SV Straelen,0.0,in,Summer,1995,1995/1996
Jörg Oberländer,30,midfield,Unknown,0.0,in,Summer,1995,1995/1996
Markus Feldhoff,20,Centre-Forward,Bay. Leverkusen,2000000.0,out,Summer,1995,1995/1996
Michal Probierz,22,midfield,Wattenscheid 09,125000.0,out,Summer,1995,1995/1996
Frank Weber,27,Centre-Forward,Paderborn,0.0,out,Summer,1995,1995/1996
Hannes Reinmayr,25,Attacking Midfield,Sturm Graz,0.0,out,Summer,1995,1995/1996
Simon Jentzsch,19,Goalkeeper,Karlsruher SC,0.0,out,Summer,1995,1995/1996
Sergey Gorlukovich,33,Centre-Back,Spartak V-kavkaz,0.0,out,Summer,1995,1995/1996
Kai-Uwe Schnell,27,Left Midfield,Paderborn,0.0,out,Summer,1995,1995/1996
Marek Lesniak,31,Centre-Forward,1860 Munich,40000.0,in,Winter,1995,1995/1996
Rainer Krieg,27,Centre-Forward,SC Fortuna Köln,0.0,out,Winter,1995,1995/1996
