player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Peter Közle,25,Centre-Forward,Grasshoppers,600000.0,in,Summer,1993,1993/1994
Uwe Weidemann,30,Attacking Midfield,1.FC Nuremberg,300000.0,in,Summer,1993,1993/1994
Markus Reiter,16,Centre-Back,SW Essen U19,0.0,in,Summer,1993,1993/1994
Torsten Wohlert,27,Centre-Back,Waldh. Mannheim,0.0,in,Summer,1993,1993/1994
Alois Schwartz,26,Defensive Midfield,Stuttg. Kickers,0.0,in,Summer,1993,1993/1994
Mini Jakobsen,27,Left Winger,BSC Young Boys,0.0,in,Summer,1993,1993/1994
Markus Sailer,25,Centre-Forward,FC St. Pauli,63000.0,out,Summer,1993,1993/1994
Olaf Becker,22,defence,RW Oberhausen,0.0,out,Summer,1993,1993/1994
Ralf Kellermann,24,Goalkeeper,FSV Frankfurt,0.0,out,Summer,1993,1993/1994
Michael Harforth,34,Attacking Midfield,Hannover 96,0.0,out,Summer,1993,1993/1994
Jaroslaw Araszkiewicz,28,Centre-Forward,Lech Poznan,0.0,out,Summer,1993,1993/1994
Andreas Gielchen,28,Centre-Back,Alem. Aachen,0.0,out,Summer,1993,1993/1994
Heribert Macherey,38,Goalkeeper,Retired,0.0,out,Summer,1993,1993/1994
Toni Puszamszies,34,Defensive Midfield,MSV Duisburg II,0.0,out,Summer,1993,1993/1994
Ivica Vastic,24,Second Striker,Admira/Wacker,0.0,in,Winter,1993,1993/1994
Zoran Zeljko,25,Goalkeeper,Borussia Fulda,0.0,in,Winter,1993,1993/1994
Peter Ogaba,19,midfield,KSC Lokeren,0.0,in,Winter,1993,1993/1994
Stefan Minkwitz,25,Defensive Midfield,Stuttg. Kickers,0.0,out,Winter,1993,1993/1994
Roland Seitz,29,attack,FC 08 Homburg,0.0,out,Winter,1993,1993/1994
Mini Jakobsen,27,Left Winger,Lierse SK,0.0,out,Winter,1993,1993/1994
Emmanuel Amunike,23,Left Winger,Zamalek,850000.0,in,Summer,1994,1994/1995
Rainer Schütterle,28,Attacking Midfield,Karlsruher SC,600000.0,in,Summer,1994,1994/1995
Roger Ljung,28,Left-Back,Galatasaray,500000.0,in,Summer,1994,1994/1995
Mario Krohm,27,Centre-Forward,Sint-Truiden,400000.0,in,Summer,1994,1994/1995
