player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Jörg Schmadtke,29,Goalkeeper,F. Düsseldorf,200000.0,in,Summer,1993,1993/1994
Jan Seifert,24,Centre-Back,Chemnitzer FC,175000.0,in,Summer,1993,1993/1994
Uwe Wassmer,27,Centre-Forward,FC Aarau,125000.0,in,Summer,1993,1993/1994
Stefan Müller,19,Centre-Back,TuS Stetten,0.0,in,Summer,1993,1993/1994
Rodolfo Cardoso,24,Attacking Midfield,FC 08 Homburg,0.0,in,Summer,1993,1993/1994
Martin Spanring,23,Centre-Back,FC Schalke 04,0.0,in,Summer,1993,1993/1994
Paschalis Seretis,26,Centre-Forward,Doxa Dramas,0.0,in,Summer,1993,1993/1994
René Linderer,22,midfield,SV Linx,0.0,in,Summer,1993,1993/1994
Thomas Schweizer,25,Centre-Forward,Chemnitzer FC,0.0,in,Summer,1993,1993/1994
Michael Pfahler,27,Left Midfield,Unterhaching,0.0,out,Summer,1993,1993/1994
Volker Ruoff,23,Centre-Back,FC 08 Homburg,0.0,out,Summer,1993,1993/1994
Mario Barczyk,23,Centre-Forward,Ludwigsburg 07,0.0,out,Summer,1993,1993/1994
Carsten Eisenmenger,26,Goalkeeper,Without Club,0.0,out,Summer,1993,1993/1994
Aleksandr Borodyuk,31,Centre-Forward,FC Schalke 04,250000.0,in,Winter,1993,1993/1994
Thomas Seeliger,27,Defensive Midfield,1860 Munich,150000.0,out,Winter,1993,1993/1994
Axel Sundermann,26,Centre-Back,Hannover 96,325000.0,in,Summer,1994,1994/1995
Jörg Heinrich,24,Left-Back,Kickers Emden,50000.0,in,Summer,1994,1994/1995
Karsten Neitzel,26,Defensive Midfield,Stuttg. Kickers,0.0,in,Summer,1994,1994/1995
Andrés Cardoso,19,Central Midfield,Estudiantes,0.0,in,Summer,1994,1994/1995
Christian Simon,24,Attacking Midfield,Saarbrücken,100000.0,out,Summer,1994,1994/1995
Stefan Sartori,19,midfield,VfB Gaggenau,0.0,out,Summer,1994,1994/1995
Jan Seifert,25,Centre-Back,VfB Leipzig,0.0,out,Summer,1994,1994/1995
