player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Moritz Stoppelkamp,27,Left Winger,1860 Munich,700000.0,in,Summer,2014,2014/2015
Elias Kachunga,22,Right Winger,Bor. M'gladbach,300000.0,in,Summer,2014,2014/2015
Stefan Kutschke,25,Centre-Forward,VfL Wolfsburg,300000.0,in,Summer,2014,2014/2015
Marvin Bakalorz,24,Defensive Midfield,E. Frankfurt,150000.0,in,Summer,2014,2014/2015
Marvin Ducksch,20,Centre-Forward,Bor. Dortmund,100000.0,in,Summer,2014,2014/2015
Viktor Maier,24,Centre-Forward,SV Lippstadt 08,50000.0,in,Summer,2014,2014/2015
Rafa López,29,Centre-Back,Getafe,0.0,in,Summer,2014,2014/2015
Idir Ouali,26,Left Winger,Dynamo Dresden,0.0,in,Summer,2014,2014/2015
Lukas Rupp,23,Central Midfield,Bor. M'gladbach,0.0,in,Summer,2014,2014/2015
Alexander Nübel,17,Goalkeeper,Paderborn U19,0.0,in,Summer,2014,2014/2015
Fabian Scheffer,21,Left Midfield,Carl Zeiss Jena,0.0,in,Summer,2014,2014/2015
Manuel Zeitz,23,Defensive Midfield,Saarbrücken,0.0,in,Summer,2014,2014/2015
Fabian Scheffer,21,Left Midfield,K'lautern II,0.0,out,Summer,2014,2014/2015
Manuel Zeitz,23,Defensive Midfield,Energie Cottbus,0.0,out,Summer,2014,2014/2015
Rick ten Voorde,23,Centre-Forward,FC Dordrecht,0.0,out,Summer,2014,2014/2015
Saliou Sané,21,Centre-Forward,Holstein Kiel,0.0,out,Summer,2014,2014/2015
Sebastian Schonlau,19,Centre-Back,SC Verl,0.0,out,Summer,2014,2014/2015
Martin Amedick,31,Centre-Back,SC Paderborn II,0.0,out,Summer,2014,2014/2015
Markus Palionis,27,Centre-Back,Without Club,0.0,out,Summer,2014,2014/2015
Markus Krösche,33,Defensive Midfield,Retired,0.0,out,Summer,2014,2014/2015
Marvin Bakalorz,24,Defensive Midfield,E. Frankfurt,0.0,out,Summer,2014,2014/2015
Johannes Wurtz,22,Attacking Midfield,Werder Bremen,0.0,out,Summer,2014,2014/2015
Elias Kachunga,22,Right Winger,Bor. M'gladbach,0.0,out,Summer,2014,2014/2015
Srdjan Lakic,31,Centre-Forward,1.FC K'lautern,350000.0,in,Winter,2014,2014/2015
Viktor Maier,25,Centre-Forward,Alem. Aachen,0.0,out,Winter,2014,2014/2015
Rifet Kapic,23,Central Midfield,Grasshoppers,150000.0,in,Summer,2019,2019/2020
Jan-Luca Rumpf,19,Centre-Back,Spfr. Siegen,0.0,in,Summer,2019,2019/2020
Cauly,23,Attacking Midfield,MSV Duisburg,0.0,in,Summer,2019,2019/2020
Johannes Dörfler,22,Right-Back,KFC Uerdingen,0.0,in,Summer,2019,2019/2020
Luca Kilian,19,Centre-Back,B. Dortmund II,0.0,in,Summer,2019,2019/2020
Streli Mamba,25,Centre-Forward,Energie Cottbus,0.0,in,Summer,2019,2019/2020
Marcel Hilßner,24,Right Winger,Hansa Rostock,0.0,in,Summer,2019,2019/2020
Abdelhamid Sabiri,22,Attacking Midfield,Huddersfield,0.0,in,Summer,2019,2019/2020
Jannik Huth,25,Goalkeeper,1.FSV Mainz 05,0.0,in,Summer,2019,2019/2020
Gerrit Holtmann,24,Left Winger,1.FSV Mainz 05,0.0,in,Summer,2019,2019/2020
Laurent Jans,26,Right-Back,FC Metz,0.0,in,Summer,2019,2019/2020
Sergio Gucciardo,20,Left Winger,Alem. Aachen,0.0,in,Summer,2019,2019/2020
Felix Drinkuth,24,Left Winger,SF Lotte,0.0,in,Summer,2019,2019/2020
Julius Düker,23,Centre-Forward,E. Braunschweig,0.0,in,Summer,2019,2019/2020
Phillip Tietz,21,Centre-Forward,Carl Zeiss Jena,0.0,in,Summer,2019,2019/2020
Luca Pfeiffer,22,Centre-Forward,VfL Osnabrück,0.0,in,Summer,2019,2019/2020
Bernard Tekpetey,21,Right Winger,FC Schalke 04,2500000.0,out,Summer,2019,2019/2020
