player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
János Radoki,27,Left-Back,Greuther Fürth,500000.0,in,Summer,1999,1999/2000
Hans van de Haar,24,Centre-Forward,De Graafschap,250000.0,in,Summer,1999,1999/2000
Evans Wise,25,Left Winger,Tampa Bay,100000.0,in,Summer,1999,1999/2000
Oliver Tuzyna,30,Goalkeeper,TSF Ditzingen,0.0,in,Summer,1999,1999/2000
Uwe Grauer,29,Centre-Back,KFC Uerdingen,0.0,in,Summer,1999,1999/2000
Rui Marques,21,Centre-Back,FC Baden 1897,0.0,in,Summer,1999,1999/2000
Serdar Erdinc,20,Centre-Forward,SpVgg Au/Iller,0.0,in,Summer,1999,1999/2000
Eduard Waldmann,23,defence,FC Gundelfingen,0.0,in,Summer,1999,1999/2000
Rainer Scharinger,32,midfield,Karlsruher SC,0.0,in,Summer,1999,1999/2000
Holger Betz,21,Goalkeeper,SSV Ulm 1846 II,0.0,in,Summer,1999,1999/2000
Torsten Menck,27,Centre-Back,VfR Aalen,0.0,out,Summer,1999,1999/2000
Neno Rogosic,25,Centre-Forward,VfR Aalen,0.0,out,Summer,1999,1999/2000
Miguel Coulibaly,26,Centre-Forward,VfR Aalen,0.0,out,Summer,1999,1999/2000
Simon Seslar,25,Defensive Midfield,NK Maribor,0.0,out,Summer,1999,1999/2000
Dragan Buterin,27,midfield,SC Pfullendorf,0.0,out,Summer,1999,1999/2000
Ivica Piric,22,Centre-Back,NK Zagreb,0.0,out,Summer,1999,1999/2000
Fritz Walter,38,Centre-Forward,Retired,0.0,out,Summer,1999,1999/2000
Rainer Widmayer,32,Centre-Back,Retired,0.0,out,Summer,1999,1999/2000
Leandro,24,Centre-Forward,Yverdon Sport,0.0,in,Winter,1999,1999/2000
