player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Mario Vrancic,26,Central Midfield,SC Paderborn,500000.0,in,Summer,2015,2015/2016
Fabian Holland,24,Left-Back,Hertha BSC,500000.0,in,Summer,2015,2015/2016
Luca Caldirola,24,Centre-Back,Werder Bremen,100000.0,in,Summer,2015,2015/2016
Sandro Wagner,27,Centre-Forward,Hertha BSC,0.0,in,Summer,2015,2015/2016
Lukasz Zaluska,33,Goalkeeper,Celtic,0.0,in,Summer,2015,2015/2016
Jan Rosenthal,29,Second Striker,E. Frankfurt,0.0,in,Summer,2015,2015/2016
Júnior Díaz,31,Centre-Back,1.FSV Mainz 05,0.0,in,Summer,2015,2015/2016
Konstantin Rausch,25,Left-Back,VfB Stuttgart,0.0,in,Summer,2015,2015/2016
Peter Niemeyer,31,Defensive Midfield,Hertha BSC,0.0,in,Summer,2015,2015/2016
György Garics,31,Right-Back,Bologna,0.0,in,Summer,2015,2015/2016
Nick Volk,17,Attacking Midfield,Darmstadt U19,0.0,in,Summer,2015,2015/2016
Slobodan Rajkovic,26,Centre-Back,Without Club,0.0,in,Summer,2015,2015/2016
Noel Wembacher,18,Attacking Midfield,Darmstadt U19,0.0,in,Summer,2015,2015/2016
Jan Finger,18,Centre-Back,Darmstadt U19,0.0,in,Summer,2015,2015/2016
Ali Kazimi,18,Left Midfield,Darmstadt U19,0.0,in,Summer,2015,2015/2016
Hanno Behrens,25,Central Midfield,1.FC Nuremberg,0.0,out,Summer,2015,2015/2016
Romain Brégerie,28,Centre-Back,FC Ingolstadt,0.0,out,Summer,2015,2015/2016
Marius Sauß,22,Goalkeeper,Lupo-Martini,0.0,out,Summer,2015,2015/2016
Leon Balogun,27,Centre-Back,1.FSV Mainz 05,0.0,out,Summer,2015,2015/2016
Ronny König,32,Centre-Forward,Chemnitzer FC,0.0,out,Summer,2015,2015/2016
Janik Bachmann,19,Central Midfield,Hannover 96 II,0.0,out,Summer,2015,2015/2016
Timon Fröhlich,19,defence,Retired,0.0,out,Summer,2015,2015/2016
Serkan Firat,21,Left Midfield,Without Club,0.0,out,Summer,2015,2015/2016
Jan Rosenthal,29,Second Striker,E. Frankfurt,0.0,out,Summer,2015,2015/2016
Fabian Holland,24,Left-Back,Hertha BSC,0.0,out,Summer,2015,2015/2016
Maurice Exslager,24,Centre-Forward,1. FC Köln,0.0,out,Summer,2015,2015/2016
Felix Platte,19,Centre-Forward,FC Schalke 04,0.0,in,Winter,2015,2015/2016
Roman Bezjak,27,Centre-Forward,HNK Rijeka,2000000.0,in,Summer,2016,2016/2017
Immanuel Höhn,24,Centre-Back,SC Freiburg,750000.0,in,Summer,2016,2016/2017
Michael Esser,28,Goalkeeper,Sturm Graz,350000.0,in,Summer,2016,2016/2017
Alexander Milosevic,24,Centre-Back,Besiktas,200000.0,in,Summer,2016,2016/2017
Antonio Colak,22,Centre-Forward,TSG Hoffenheim,150000.0,in,Summer,2016,2016/2017
Leon Guwara,20,Left-Back,Werder Bremen,50000.0,in,Summer,2016,2016/2017
Igor Berezovskyi,25,Goalkeeper,Lierse SK,0.0,in,Summer,2016,2016/2017
Artem Fedetskyi,31,Right-Back,Dnipro,0.0,in,Summer,2016,2016/2017
Daniel Heuer Fernandes,23,Goalkeeper,SC Paderborn,0.0,in,Summer,2016,2016/2017
Änis Ben-Hatira,28,Attacking Midfield,E. Frankfurt,0.0,in,Summer,2016,2016/2017
Denys Oliynyk,29,Left Winger,Vitesse,0.0,in,Summer,2016,2016/2017
Victor Obinna,29,Second Striker,MSV Duisburg,0.0,in,Summer,2016,2016/2017
László Kleinheisler,22,Attacking Midfield,Werder Bremen,0.0,in,Summer,2016,2016/2017
Sven Schipplock,27,Centre-Forward,Hamburger SV,0.0,in,Summer,2016,2016/2017
Liam Fisch,17,Central Midfield,Darmstadt U19,0.0,in,Summer,2016,2016/2017
Can Luka Aydogan,17,Left-Back,Darmstadt U19,0.0,in,Summer,2016,2016/2017
