player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Dennis Grassow,27,Centre-Back,1. FC Köln,300000.0,in,Summer,1999,1999/2000
Oliver Straube,27,Left Midfield,Hamburger SV,125000.0,in,Summer,1999,1999/2000
Danny Schwarz,24,Defensive Midfield,Karlsruher SC,0.0,in,Summer,1999,1999/2000
Hendrik Herzog,30,Centre-Back,Hertha BSC,0.0,in,Summer,1999,1999/2000
Marco Haber,27,Defensive Midfield,UD Las Palmas,0.0,in,Summer,1999,1999/2000
Ludwig Kögl,33,Left Midfield,FC Luzern,0.0,in,Summer,1999,1999/2000
Alberto Méndez,24,Attacking Midfield,Arsenal,0.0,in,Summer,1999,1999/2000
Abdelaziz Ahanfouf,21,Centre-Forward,Hansa Rostock,125000.0,out,Summer,1999,1999/2000
Matthias Lust,29,Left Midfield,VfL Bochum,0.0,out,Summer,1999,1999/2000
Carsten Keuler,27,Centre-Back,Stuttg. Kickers,0.0,out,Summer,1999,1999/2000
Arne Tammen,27,Centre-Back,New England,10000.0,out,Summer,1999,1999/2000
Michael Spies,33,Attacking Midfield,VfB Lübeck,0.0,out,Summer,1999,1999/2000
Sascha Lense,23,Attacking Midfield,Dynamo Dresden,0.0,out,Summer,1999,1999/2000
Ivica Vladimir,34,Centre-Back,Retired,0.0,out,Summer,1999,1999/2000
Andreas Hartig,28,defence,Unterhaching II,0.0,out,Summer,1999,1999/2000
Tobias Iseli,21,Left-Back,VfB Stuttgart,0.0,in,Winter,1999,1999/2000
André Breitenreiter,26,Second Striker,VfL Wolfsburg,0.0,in,Winter,1999,1999/2000
Matthew Okoh,27,Centre-Forward,Colorado,0.0,out,Winter,1999,1999/2000
David Zdrilic,26,Centre-Forward,SSV Ulm 1846,770000.0,in,Summer,2000,2000/2001
Francisco Copado,25,Second Striker,TeBe Berlin,200000.0,in,Summer,2000,2000/2001
Miroslaw Spizak,21,Centre-Forward,Bay. Leverkusen,150000.0,in,Summer,2000,2000/2001
Alexander Bugera,21,Left-Back,Bayern Munich,75000.0,in,Summer,2000,2000/2001
Guido Koltermann,25,Goalkeeper,VfL Wolfsburg,50000.0,in,Summer,2000,2000/2001
Dietmar Hirsch,28,Defensive Midfield,MSV Duisburg,0.0,in,Summer,2000,2000/2001
Murat Tekes,25,attack,FC Starnberg,0.0,in,Summer,2000,2000/2001
Thomas Glas,20,Centre-Forward,FC Ingolstadt,0.0,in,Summer,2000,2000/2001
Jochen Seitz,23,Left Winger,VfB Stuttgart,250000.0,out,Summer,2000,2000/2001
Mark Zimmermann,26,Centre-Forward,Stuttg. Kickers,200000.0,out,Summer,2000,2000/2001
Stefan Hillinger,20,Centre-Forward,TSV Buchbach,0.0,out,Summer,2000,2000/2001
Stefan Frühbeis,21,Centre-Back,W. Burghausen,0.0,out,Summer,2000,2000/2001
Udo Mai,32,Goalkeeper,FC Miesbach,0.0,out,Summer,2000,2000/2001
Alberto Méndez,25,Attacking Midfield,Arsenal,0.0,out,Summer,2000,2000/2001
Martin Cizek,26,Left Midfield,1860 Munich,780000.0,in,Winter,2000,2000/2001
Dzoni Novak,31,Left Midfield,CS Sedan,250000.0,in,Winter,2000,2000/2001
Abdelaziz Ahanfouf,22,Centre-Forward,Hansa Rostock,125000.0,in,Winter,2000,2000/2001
