player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Wellington,20,Centre-Forward,Internacional,4500000.0,in,Summer,2008,2008/2009
Andreas Beck,21,Right-Back,VfB Stuttgart,3200000.0,in,Summer,2008,2008/2009
Luiz Gustavo,20,Defensive Midfield,Corinthians,1000000.0,in,Summer,2008,2008/2009
Isaac Vorsah,20,Centre-Back,Asante Kotoko,1000000.0,in,Summer,2008,2008/2009
Ramazan Özcan,24,Goalkeeper,RB Salzburg,1000000.0,in,Summer,2008,2008/2009
Jonas Strifler,18,Right-Back,Hoffenheim U19,0.0,in,Summer,2008,2008/2009
Dragan Paljic,25,Left Midfield,1.FC K'lautern,50000.0,out,Summer,2008,2008/2009
Denis Bindnagel,29,Centre-Back,SV Sandhausen,0.0,out,Summer,2008,2008/2009
Radek Spilacek,28,Defensive Midfield,FSV Frankfurt,0.0,out,Summer,2008,2008/2009
Kai Hesse,23,Centre-Forward,1.FC K'lautern,25000.0,out,Summer,2008,2008/2009
Steffen Haas,20,Defensive Midfield,K. Offenbach,0.0,out,Summer,2008,2008/2009
Tomislav Maric,35,Centre-Forward,Retired,0.0,out,Summer,2008,2008/2009
Matthias Keller,33,Right Midfield,Hoffenheim II,0.0,out,Summer,2008,2008/2009
Michael Rundio,25,Centre-Back,Career break,0.0,out,Summer,2008,2008/2009
Luiz Gustavo,20,Defensive Midfield,Corinthians,0.0,out,Summer,2008,2008/2009
Isaac Vorsah,20,Centre-Back,Asante Kotoko,0.0,out,Summer,2008,2008/2009
Fabrício,19,Centre-Back,Flamengo,0.0,out,Summer,2008,2008/2009
Ramazan Özcan,24,Goalkeeper,RB Salzburg,0.0,out,Summer,2008,2008/2009
Boubacar Sanogo,26,Centre-Forward,Werder Bremen,900000.0,in,Winter,2008,2008/2009
Fabrício,18,Centre-Back,Flamengo,350000.0,in,Winter,2008,2008/2009
Timo Hildebrand,29,Goalkeeper,Valencia,0.0,in,Winter,2008,2008/2009
Kai Herdling,24,Left Winger,Waldh. Mannheim,0.0,in,Winter,2008,2008/2009
Francisco Copado,34,Second Striker,Unterhaching,0.0,out,Winter,2008,2008/2009
Jochen Seitz,32,Left Winger,Alem. Aachen,0.0,out,Winter,2008,2008/2009
Thorsten Kirschbaum,21,Goalkeeper,FC Vaduz,0.0,out,Winter,2008,2008/2009
Zsolt Löw,29,Left-Back,1.FSV Mainz 05,50000.0,out,Winter,2008,2008/2009
Josip Simunic,31,Centre-Back,Hertha BSC,7000000.0,in,Summer,2009,2009/2010
Franco Zuculini,18,Central Midfield,Racing Club,4600000.0,in,Summer,2009,2009/2010
Maicosuel,23,Left Winger,Desp. Brasil,4500000.0,in,Summer,2009,2009/2010
Jukka Raitala,20,Left-Back,HJK Helsinki,150000.0,in,Summer,2009,2009/2010
Christian Eichner,26,Left-Back,Karlsruher SC,0.0,in,Summer,2009,2009/2010
Jens Grahl,20,Goalkeeper,Greuther Fürth,0.0,in,Summer,2009,2009/2010
Prince Tagoe,22,Centre-Forward,Al-Ettifaq,0.0,in,Summer,2009,2009/2010
Boris Vukcevic,19,Right Winger,Hoffenheim II,0.0,in,Summer,2009,2009/2010
Kevin Conrad,18,Centre-Back,Hoffenheim U19,0.0,in,Summer,2009,2009/2010
Manuel Gulde,18,Centre-Back,Hoffenheim U19,0.0,in,Summer,2009,2009/2010
Marco Terrazzino,18,Attacking Midfield,Hoffenheim U19,0.0,in,Summer,2009,2009/2010
Steffen Haas,21,Defensive Midfield,K. Offenbach,0.0,in,Summer,2009,2009/2010
Jonas Strifler,19,Right-Back,Dynamo Dresden,0.0,out,Summer,2009,2009/2010
Selim Teber,28,Central Midfield,E. Frankfurt,0.0,out,Summer,2009,2009/2010
Christoph Janker,24,Centre-Back,Hertha BSC,0.0,out,Summer,2009,2009/2010
Steffen Haas,21,Defensive Midfield,K. Offenbach,25000.0,out,Summer,2009,2009/2010
Wellington,21,Centre-Forward,Twente FC,0.0,out,Summer,2009,2009/2010
Kai Herdling,25,Left Winger,Hoffenheim II,0.0,out,Summer,2009,2009/2010
Boubacar Sanogo,26,Centre-Forward,Werder Bremen,0.0,out,Summer,2009,2009/2010
Ramazan Özcan,25,Goalkeeper,Besiktas,200000.0,out,Winter,2009,2009/2010
Gylfi Sigurdsson,20,Attacking Midfield,Reading,5200000.0,in,Summer,2010,2010/2011
Sebastian Rudy,20,Defensive Midfield,VfB Stuttgart,4000000.0,in,Summer,2010,2010/2011
Peniel Mlapa,19,Centre-Forward,1860 Munich,1300000.0,in,Summer,2010,2010/2011
Jukka Raitala,21,Left-Back,HJK Helsinki,250000.0,in,Summer,2010,2010/2011
Tom Starke,29,Goalkeeper,MSV Duisburg,0.0,in,Summer,2010,2010/2011
Wellington,22,Centre-Forward,Twente FC,0.0,in,Summer,2010,2010/2011
Ramazan Özcan,26,Goalkeeper,Besiktas,0.0,in,Summer,2010,2010/2011
Wellington,23,Centre-Forward,Figueirense FC,0.0,in,Summer,2010,2010/2011
Carlos Eduardo,23,Attacking Midfield,Rubin Kazan,20000000.0,out,Summer,2010,2010/2011
Maicosuel,24,Left Winger,Botafogo,4000000.0,out,Summer,2010,2010/2011
Franco Zuculini,19,Central Midfield,Genoa,700000.0,out,Summer,2010,2010/2011
Per Nilsson,27,Centre-Back,1.FC Nuremberg,400000.0,out,Summer,2010,2010/2011
Wellington,22,Centre-Forward,F. Düsseldorf,200000.0,out,Summer,2010,2010/2011
Jukka Raitala,21,Left-Back,SC Paderborn,0.0,out,Summer,2010,2010/2011
Timo Hildebrand,31,Goalkeeper,Without Club,0.0,out,Summer,2010,2010/2011
Jukka Raitala,21,Left-Back,HJK Helsinki,0.0,out,Summer,2010,2010/2011
Ryan Babel,24,Left Winger,Liverpool,7000000.0,in,Winter,2010,2010/2011
Roberto Firmino,19,Centre-Forward,Tombense,4000000.0,in,Winter,2010,2010/2011
Kevin Volland,18,Second Striker,1860 Munich,700000.0,in,Winter,2010,2010/2011
Edson Braafheid,27,Left-Back,Bayern Munich,0.0,in,Winter,2010,2010/2011
David Alaba,18,Centre-Back,Bayern Munich,0.0,in,Winter,2010,2010/2011
Franco Zuculini,20,Central Midfield,Genoa,0.0,in,Winter,2010,2010/2011
Wellington,22,Centre-Forward,F. Düsseldorf,0.0,in,Winter,2010,2010/2011
Luiz Gustavo,23,Defensive Midfield,Bayern Munich,17000000.0,out,Winter,2010,2010/2011
Demba Ba,25,Centre-Forward,West Ham,3000000.0,out,Winter,2010,2010/2011
Christian Eichner,28,Left-Back,1. FC Köln,100000.0,out,Winter,2010,2010/2011
Prince Tagoe,24,Centre-Forward,Partizan,0.0,out,Winter,2010,2010/2011
Kevin Volland,18,Second Striker,1860 Munich,0.0,out,Winter,2010,2010/2011
Wellington,22,Centre-Forward,Figueirense FC,0.0,out,Winter,2010,2010/2011
Franco Zuculini,20,Central Midfield,Racing Club,0.0,out,Winter,2010,2010/2011
Marco Terrazzino,19,Attacking Midfield,Karlsruher SC,0.0,out,Winter,2010,2010/2011
Knowledge Musona,21,Attacking Midfield,Kaizer Chiefs,1500000.0,in,Summer,2011,2011/2012
Koen Casteels,19,Goalkeeper,KRC Genk,1200000.0,in,Summer,2011,2011/2012
Fabian Johnson,23,Left Winger,VfL Wolfsburg,700000.0,in,Summer,2011,2011/2012
Danny Williams,22,Defensive Midfield,SC Freiburg,200000.0,in,Summer,2011,2011/2012
Michael Gregoritsch,17,Centre-Forward,SV Kapfenberg,200000.0,in,Summer,2011,2011/2012
Sven Schipplock,22,Centre-Forward,Stuttgart II,0.0,in,Summer,2011,2011/2012
Jannik Vestergaard,18,Centre-Back,Hoffenheim II,0.0,in,Summer,2011,2011/2012
Denis Thomalla,18,Centre-Forward,Hoffenheim II,0.0,in,Summer,2011,2011/2012
Dominik Kaiser,22,Central Midfield,Hoffenheim II,0.0,in,Summer,2011,2011/2012
Franco Zuculini,20,Central Midfield,Racing Club,0.0,in,Summer,2011,2011/2012
Prince Tagoe,24,Centre-Forward,Partizan,0.0,in,Summer,2011,2011/2012
Jukka Raitala,22,Left-Back,SC Paderborn,0.0,in,Summer,2011,2011/2012
Prince Tagoe,24,Centre-Forward,Bursaspor,1500000.0,out,Summer,2011,2011/2012
Franco Zuculini,20,Central Midfield,Real Zaragoza,400000.0,out,Summer,2011,2011/2012
Jukka Raitala,22,Left-Back,CA Osasuna,100000.0,out,Summer,2011,2011/2012
Josip Simunic,33,Centre-Back,Dinamo Zagreb,0.0,out,Summer,2011,2011/2012
Ramazan Özcan,27,Goalkeeper,FC Ingolstadt,0.0,out,Summer,2011,2011/2012
Wellington,23,Centre-Forward,Goiás EC,0.0,out,Summer,2011,2011/2012
Michael Gregoritsch,17,Centre-Forward,SV Kapfenberg,0.0,out,Summer,2011,2011/2012
Jens Grahl,22,Goalkeeper,SC Paderborn,0.0,out,Summer,2011,2011/2012
Kevin Conrad,20,Centre-Back,Hoffenheim II,0.0,out,Summer,2011,2011/2012
David Alaba,19,Centre-Back,Bayern Munich,0.0,out,Summer,2011,2011/2012
Sandro Wieser,18,Defensive Midfield,FC Basel,1000000.0,in,Winter,2011,2011/2012
Srdjan Lakic,28,Centre-Forward,VfL Wolfsburg,1000000.0,in,Winter,2011,2011/2012
Stefan Thesker,20,Centre-Back,FC Twente U21,100000.0,in,Winter,2011,2011/2012
Wellington,23,Centre-Forward,Goiás EC,0.0,in,Winter,2011,2011/2012
Vedad Ibisevic,27,Centre-Forward,VfB Stuttgart,4500000.0,out,Winter,2011,2011/2012
Chinedu Obasi,25,Centre-Forward,FC Schalke 04,500000.0,out,Winter,2011,2011/2012
Gylfi Sigurdsson,22,Attacking Midfield,Swansea,500000.0,out,Winter,2011,2011/2012
Wellington,23,Centre-Forward,Linense-SP,0.0,out,Winter,2011,2011/2012
Joselu,22,Centre-Forward,RM Castilla,6000000.0,in,Summer,2012,2012/2013
Eren Derdiyok,24,Centre-Forward,Bay. Leverkusen,5500000.0,in,Summer,2012,2012/2013
Filip Malbasic,19,Right Winger,Rad,1200000.0,in,Summer,2012,2012/2013
Takashi Usami,20,Centre-Forward,Gamba Osaka,300000.0,in,Summer,2012,2012/2013
Patrick Ochs,28,Right-Back,VfL Wolfsburg,100000.0,in,Summer,2012,2012/2013
Tim Wiese,30,Goalkeeper,Werder Bremen,0.0,in,Summer,2012,2012/2013
Chris,33,Centre-Back,VfL Wolfsburg,0.0,in,Summer,2012,2012/2013
