player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Piotr Nowak,30,Attacking Midfield,1.FC K'lautern,750000.0,in,Summer,1994,1994/1995
Olaf Bodden,26,Centre-Forward,Hansa Rostock,500000.0,in,Summer,1994,1994/1995
Jens Dowe,26,Left Midfield,Hansa Rostock,500000.0,in,Summer,1994,1994/1995
Alexander Kutschera,26,Centre-Back,Bay. Uerdingen,320000.0,in,Summer,1994,1994/1995
Manfred Schwabl,28,Defensive Midfield,FC Tirol,250000.0,in,Summer,1994,1994/1995
Miroslav Stevic,24,Defensive Midfield,Dynamo Dresden,250000.0,in,Summer,1994,1994/1995
Uwe Wolf,26,Centre-Back,1.FC Nuremberg,240000.0,in,Summer,1994,1994/1995
Peter Knäbel,27,Attacking Midfield,Saarbrücken,125000.0,in,Summer,1994,1994/1995
Manfred Burghartswieser,20,Defensive Midfield,Bayern Munich,25000.0,in,Summer,1994,1994/1995
Thomas Schmidt,28,Sweeper,SC Freiburg,0.0,in,Summer,1994,1994/1995
Rudolf Vidal,23,Goalkeeper,Unterhaching,0.0,in,Summer,1994,1994/1995
Timur Yanyali,18,Centre-Back,TSV 1860 U19,0.0,in,Summer,1994,1994/1995
Torsten Holm,22,Centre-Forward,1.FC Passau,0.0,out,Summer,1994,1994/1995
Andreas Heid,26,Goalkeeper,SV Lohhof,0.0,out,Summer,1994,1994/1995
Albert Gröber,27,attack,Unterhaching,0.0,out,Summer,1994,1994/1995
Andreas Hartig,23,defence,Unterhaching,0.0,out,Summer,1994,1994/1995
Niels Schlotterbeck,27,Attacking Midfield,Hannover 96,0.0,out,Summer,1994,1994/1995
Peter Zeiler,23,Central Midfield,Unterhaching,0.0,out,Summer,1994,1994/1995
Thomas Ziemer,24,Attacking Midfield,1.FSV Mainz 05,0.0,out,Summer,1994,1994/1995
Jochen Kientz,21,Centre-Back,E. Frankfurt,0.0,out,Summer,1994,1994/1995
Roland Kneißl,31,midfield,Retired,0.0,out,Summer,1994,1994/1995
Elvis Brajkovic,25,Centre-Back,HNK Rijeka,400000.0,in,Winter,1994,1994/1995
René Rydlewicz,21,Right Midfield,Bay. Leverkusen,100000.0,in,Winter,1994,1994/1995
Mats Lilienberg,25,Centre-Forward,IFK Göteborg,0.0,out,Winter,1994,1994/1995
Peter Knäbel,28,Attacking Midfield,FC St. Gallen,0.0,out,Winter,1994,1994/1995
Thomas Seeliger,28,Defensive Midfield,VfL Wolfsburg,0.0,out,Winter,1994,1994/1995
Lutz Braun,28,Centre-Back,1.FC Nuremberg,0.0,out,Winter,1994,1994/1995
Horst Heldt,25,Attacking Midfield,1. FC Köln,1000000.0,in,Summer,1995,1995/1996
Daniel Borimirov,25,Central Midfield,Levski Sofia,800000.0,in,Summer,1995,1995/1996
