player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Florian Weichert,25,Centre-Forward,Hamburger SV,375000.0,in,Summer,1993,1993/1994
Steffen Heidrich,25,Attacking Midfield,Chemnitzer FC,300000.0,in,Summer,1993,1993/1994
Holger Bühner,26,Centre-Back,Rot-Weiß Erfurt,70000.0,in,Summer,1993,1993/1994
Karen Markosyan,24,Right Winger,FC Kotayk,0.0,in,Summer,1993,1993/1994
Marcel Geißler,9,midfield,Unknown,0.0,in,Summer,1993,1993/1994
John Doyle,27,Left-Back,Örgryte,0.0,in,Summer,1993,1993/1994
Ronny Kujat,18,Attacking Midfield,VfB Leipzig U19,0.0,in,Summer,1993,1993/1994
René Morgenstern,18,defence,VfB Leipzig U19,0.0,in,Summer,1993,1993/1994
Torsten Kracht,25,Centre-Back,VfB Stuttgart,400000.0,out,Summer,1993,1993/1994
Daniel Fröhlich,20,Goalkeeper,Sachsen Leipzig,0.0,out,Summer,1993,1993/1994
Sarfo Gyamfi,25,midfield,Hallescher FC,0.0,out,Summer,1993,1993/1994
Gennadi Grishin,28,Central Midfield,Торпедо-Лужники,0.0,out,Summer,1993,1993/1994
Hans-Jürgen Heidenreich,25,Right-Back,Retired,0.0,out,Summer,1993,1993/1994
Janusz Turowski,32,Centre-Forward,Retired,0.0,out,Summer,1993,1993/1994
Damian Halata,30,Attacking Midfield,Retired,0.0,out,Summer,1993,1993/1994
Torsten Kracht,26,Centre-Back,VfB Stuttgart,0.0,in,Winter,1993,1993/1994
Darko Pancev,28,Centre-Forward,Inter,0.0,in,Winter,1993,1993/1994
Holger Bühner,27,Centre-Back,Hansa Rostock,0.0,out,Winter,1993,1993/1994
