player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
André Golke,27,Attacking Midfield,1.FC Nuremberg,1250000.0,in,Summer,1992,1992/1993
Thomas Strunz,24,Defensive Midfield,Bayern Munich,0.0,in,Summer,1992,1992/1993
Adrian Knup,23,Centre-Forward,FC Luzern,0.0,in,Summer,1992,1992/1993
Matthias Sammer,24,Sweeper,Inter,6000000.0,out,Summer,1992,1992/1993
Jens Keller,21,Centre-Back,1860 Munich,0.0,out,Summer,1992,1992/1993
Manfred Kastl,26,Centre-Forward,SSV Ulm 1846,0.0,out,Summer,1992,1992/1993
Michael Mayer,22,Attacking Midfield,SSV Reutlingen,0.0,out,Summer,1992,1992/1993
Jürgen Kramny,20,Right Midfield,1.FC Nuremberg,0.0,out,Summer,1992,1992/1993
Olaf Schmäler,22,attack,Waldh. Mannheim,0.0,out,Summer,1992,1992/1993
Nils Schmäler,22,Sweeper,Dynamo Dresden,0.0,out,Summer,1992,1992/1993
Marco Santelli,20,defence,SC Pfullendorf,0.0,out,Summer,1992,1992/1993
Siegfried Grüninger,33,Goalkeeper,SC Pfullendorf,0.0,out,Winter,1992,1992/1993
Dunga,29,Defensive Midfield,Pescara,2000000.0,in,Summer,1993,1993/1994
Axel Kruse,25,Centre-Forward,E. Frankfurt,850000.0,in,Summer,1993,1993/1994
Torsten Kracht,25,Centre-Back,VfB Leipzig,400000.0,in,Summer,1993,1993/1994
Thomas Berthold,28,Centre-Back,Bayern Munich,325000.0,in,Summer,1993,1993/1994
Jürgen Kramny,21,Right Midfield,1.FC Nuremberg,0.0,in,Summer,1993,1993/1994
Thomas Brdaric,18,Centre-Forward,VfL Kirchheim,0.0,in,Summer,1993,1993/1994
Michael Bochtler,17,Left-Back,Stuttgart U19,0.0,in,Summer,1993,1993/1994
Maurizio Gaudino,26,Central Midfield,E. Frankfurt,1500000.0,out,Summer,1993,1993/1994
André Golke,28,Attacking Midfield,1.FC Nuremberg,750000.0,out,Summer,1993,1993/1994
Jürgen Kramny,21,Right Midfield,1.FC Nuremberg,300000.0,out,Summer,1993,1993/1994
Harald Preuß,24,Centre-Back,Waldh. Mannheim,0.0,out,Summer,1993,1993/1994
Torsten Kracht,26,Centre-Back,VfB Leipzig,0.0,out,Winter,1993,1993/1994
Axel Kruse,26,Centre-Forward,FC Basel,0.0,out,Winter,1993,1993/1994
Giovane Elber,21,Centre-Forward,Milan,1600000.0,in,Summer,1994,1994/1995
Gerhard Poschner,24,Defensive Midfield,Bor. Dortmund,1000000.0,in,Summer,1994,1994/1995
Franco Foda,28,Sweeper,Bay. Leverkusen,1000000.0,in,Summer,1994,1994/1995
Fredi Bobic,22,Centre-Forward,Stuttg. Kickers,600000.0,in,Summer,1994,1994/1995
Ante Covic,18,Right Midfield,Hajduk Split,0.0,in,Summer,1994,1994/1995
Marc Ziegler,18,Goalkeeper,Saarbrücken U19,0.0,in,Summer,1994,1994/1995
Michél Dinzey,21,Left Midfield,VfB Lichterfelde,0.0,in,Summer,1994,1994/1995
Sascha Maier,20,attack,Stuttgart II,0.0,in,Summer,1994,1994/1995
Marcus Ziegler,20,attack,Stuttgart II,0.0,in,Summer,1994,1994/1995
Joseph Addo,22,Centre-Back,Stuttgart II,0.0,in,Summer,1994,1994/1995
Axel Kruse,26,Centre-Forward,FC Basel,0.0,in,Summer,1994,1994/1995
Guido Buchwald,33,Centre-Back,Urawa Reds,900000.0,out,Summer,1994,1994/1995
Adrian Knup,25,Centre-Forward,Karlsruher SC,850000.0,out,Summer,1994,1994/1995
Michael Frontzeck,30,Left-Back,VfL Bochum,400000.0,out,Summer,1994,1994/1995
Uwe Schneider,22,Centre-Back,VfL Bochum,250000.0,out,Summer,1994,1994/1995
Eyjólfur Sverrisson,25,Defensive Midfield,Besiktas,100000.0,out,Summer,1994,1994/1995
Oliver Otto,21,Defensive Midfield,SSV Ulm 1846,0.0,out,Summer,1994,1994/1995
Alexander Strehmel,26,Centre-Back,Wattenscheid 09,0.0,out,Summer,1994,1994/1995
Fritz Walter,33,Centre-Forward,Arm. Bielefeld,0.0,out,Summer,1994,1994/1995
Helgi Sigurdsson,20,attack,Fram Reykjavík,0.0,in,Winter,1994,1994/1995
Thomas Brdaric,19,Centre-Forward,F. Düsseldorf,0.0,out,Winter,1994,1994/1995
Krasimir Balakov,29,Attacking Midfield,Sporting CP,2100000.0,in,Summer,1995,1995/1996
Frank Verlaat,27,Centre-Back,AJ Auxerre,2000000.0,in,Summer,1995,1995/1996
Hendrik Herzog,26,Centre-Back,FC Schalke 04,850000.0,in,Summer,1995,1995/1996
Marco Haber,23,Defensive Midfield,1.FC K'lautern,850000.0,in,Summer,1995,1995/1996
Thorsten Legat,26,Left Midfield,E. Frankfurt,250000.0,in,Summer,1995,1995/1996
Radoslaw Gilewicz,24,Centre-Forward,FC St. Gallen,150000.0,in,Summer,1995,1995/1996
Marco Grimm,23,Centre-Back,Bayern Munich,75000.0,in,Summer,1995,1995/1996
Danny Schwarz,20,Defensive Midfield,1.FC Eislingen,0.0,in,Summer,1995,1995/1996
Michael Oelkuch,22,Attacking Midfield,VfL Kirchheim,25000.0,in,Summer,1995,1995/1996
Armin Fischer,34,Goalkeeper,Unknown,0.0,in,Summer,1995,1995/1996
Eyjólfur Sverrisson,26,Defensive Midfield,Besiktas,0.0,in,Summer,1995,1995/1996
Thomas Strunz,27,Defensive Midfield,Bayern Munich,2500000.0,out,Summer,1995,1995/1996
Eike Immel,34,Goalkeeper,Man City,500000.0,out,Summer,1995,1995/1996
Marc Kienle,22,Right-Back,MSV Duisburg,400000.0,out,Summer,1995,1995/1996
Eyjólfur Sverrisson,26,Defensive Midfield,Hertha BSC,200000.0,out,Summer,1995,1995/1996
Ante Covic,19,Right Midfield,1.FC Nuremberg,0.0,out,Summer,1995,1995/1996
Michél Dinzey,22,Left Midfield,FC St. Pauli,25000.0,out,Summer,1995,1995/1996
Dunga,31,Defensive Midfield,Júbilo Iwata,0.0,out,Summer,1995,1995/1996
Thorsten Walther,23,Goalkeeper,FC Augsburg,0.0,in,Winter,1995,1995/1996
Ludwig Kögl,29,Left Midfield,FC Luzern,0.0,out,Winter,1995,1995/1996
Marcus Ziegler,22,attack,Strømsgodset,0.0,out,Winter,1995,1995/1996
Franz Wohlfahrt,32,Goalkeeper,Austria Vienna,1000000.0,in,Summer,1996,1996/1997
Zvonimir Soldo,28,Defensive Midfield,Croatia Zagreb,1000000.0,in,Summer,1996,1996/1997
Sébastien Fournier,25,Defensive Midfield,FC Sion,1000000.0,in,Summer,1996,1996/1997
Matthias Hagner,21,Right Midfield,E. Frankfurt,450000.0,in,Summer,1996,1996/1997
Thorsten Legat,27,Left Midfield,E. Frankfurt,450000.0,in,Summer,1996,1996/1997
Kristijan Djordjevic,20,Right Midfield,SSV Reutlingen,125000.0,in,Summer,1996,1996/1997
Marijo Maric,19,Centre-Forward,TSF Ditzingen,75000.0,in,Summer,1996,1996/1997
Sreto Ristic,20,Centre-Forward,SSV Reutlingen,0.0,in,Summer,1996,1996/1997
Radoslaw Gilewicz,25,Centre-Forward,FC St. Gallen,0.0,in,Summer,1996,1996/1997
Marcus Ziegler,22,attack,Strømsgodset,0.0,in,Summer,1996,1996/1997
Axel Kruse,28,Centre-Forward,Hertha BSC,600000.0,out,Summer,1996,1996/1997
Helgi Sigurdsson,21,attack,TeBe Berlin,100000.0,out,Summer,1996,1996/1997
Sascha Maier,22,attack,SSV Reutlingen,0.0,out,Summer,1996,1996/1997
Michael Bochtler,20,Left-Back,FC St. Pauli,0.0,out,Summer,1996,1996/1997
Günther Schäfer,34,Centre-Back,Arm. Bielefeld,0.0,out,Summer,1996,1996/1997
Slobodan Dubajic,33,Sweeper,Zeytinburnuspor,0.0,out,Summer,1996,1996/1997
Joseph Addo,24,Centre-Back,Sparta R.,0.0,out,Summer,1996,1996/1997
Marcus Ziegler,22,attack,SSV Ulm 1846,0.0,out,Summer,1996,1996/1997
Radoslaw Gilewicz,25,Centre-Forward,FC St. Gallen,0.0,out,Summer,1996,1996/1997
Thorsten Legat,27,Left Midfield,E. Frankfurt,0.0,out,Summer,1996,1996/1997
Krisztián Lisztes,20,Attacking Midfield,Ferencváros,270000.0,in,Winter,1996,1996/1997
