player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Dimitrios Moutas,24,Centre-Forward,Stuttg. Kickers,0.0,in,Summer,1992,1992/1993
Sven Christians,25,defence,Wuppertaler SV,0.0,in,Summer,1992,1992/1993
Peter Zanter,26,Centre-Back,SV Straelen,0.0,out,Summer,1992,1992/1993
Thorsten Schmugge,20,Right Midfield,Wuppertaler SV,0.0,out,Summer,1992,1992/1993
Oti Cabo,22,defence,Unknown,0.0,out,Summer,1992,1992/1993
Ivo Knoflicek,30,Centre-Forward,Vorwärts Steyr,0.0,out,Summer,1992,1992/1993
Thomas Epp,24,Centre-Forward,Stuttg. Kickers,0.0,out,Summer,1992,1992/1993
Christian Broos,23,Defensive Midfield,Wuppertaler SV,0.0,out,Summer,1992,1992/1993
Andreas Hain,28,midfield,WSV Bochum,0.0,out,Summer,1992,1992/1993
Volodymyr Lyutyi,30,Centre-Forward,Bursaspor,0.0,in,Winter,1992,1992/1993
Holger Aden,27,attack,E. Braunschweig,0.0,in,Winter,1992,1992/1993
Frank Türr,22,Centre-Forward,E. Braunschweig,0.0,out,Winter,1992,1992/1993
Eric Wynalda,25,Centre-Forward,Saarbrücken,750000.0,in,Summer,1994,1994/1995
Michael Frontzeck,30,Left-Back,VfB Stuttgart,400000.0,in,Summer,1994,1994/1995
Uwe Schneider,22,Centre-Back,VfB Stuttgart,250000.0,in,Summer,1994,1994/1995
Robert Matiebel,20,Attacking Midfield,SC Concordia,0.0,in,Summer,1994,1994/1995
Tomasz Waldoch,23,Centre-Back,Górnik Zabrze,0.0,in,Summer,1994,1994/1995
Andreas Wieczorek,20,midfield,SV Langenau,0.0,in,Summer,1994,1994/1995
Dirk Helmig,29,Attacking Midfield,RW Essen,0.0,out,Summer,1994,1994/1995
Michael Hubner,24,Centre-Back,Erkenschwick,0.0,out,Summer,1994,1994/1995
Robert Mawick,27,attack,Unknown,0.0,out,Summer,1994,1994/1995
Olaf Dressel,25,defence,Retired,0.0,out,Summer,1994,1994/1995
Thomas Kempe,34,Defensive Midfield,Retired,0.0,out,Summer,1994,1994/1995
Henryk Baluszynski,22,Centre-Forward,Górnik Zabrze,0.0,in,Winter,1994,1994/1995
Roland Wohlfarth,31,Centre-Forward,Saint-Étienne,0.0,in,Winter,1994,1994/1995
Georgi Donkov,26,Attacking Midfield,CSKA Sofia,1500000.0,in,Summer,1996,1996/1997
Zoran Mamic,24,Centre-Back,Croatia Zagreb,125000.0,in,Summer,1996,1996/1997
Olaf Schreiber,26,Left Midfield,FSV Zwickau,0.0,in,Summer,1996,1996/1997
Karsten Hutwelker,24,Left Midfield,Carl Zeiss Jena,0.0,in,Summer,1996,1996/1997
Daniel Winkler,22,Centre-Forward,Pfeddersheim,50000.0,in,Summer,1996,1996/1997
Engibar Engibarov,24,Centre-Back,CSKA Sofia,0.0,in,Summer,1996,1996/1997
Nesat Gülünoglu,17,Attacking Midfield,VfL Bochum U19,0.0,in,Summer,1996,1996/1997
Frank Fahrenhorst,18,Centre-Back,VfL Bochum U19,0.0,in,Summer,1996,1996/1997
Jörg Schwanke,27,Defensive Midfield,LR Ahlen,0.0,out,Summer,1996,1996/1997
Robert Matiebel,22,Attacking Midfield,Hamburger SV II,0.0,out,Summer,1996,1996/1997
Thorsten Schmugge,24,Right Midfield,Hibernian FC,0.0,out,Summer,1996,1996/1997
Yves Gaugler,27,attack,Eintracht Trier,0.0,out,Summer,1996,1996/1997
Andreas Wieczorek,22,midfield,Spfr. Siegen,0.0,out,Summer,1996,1996/1997
Frank Heinemann,31,Defensive Midfield,Career break,0.0,out,Summer,1996,1996/1997
Holger Aden,30,attack,Retired,0.0,out,Summer,1996,1996/1997
Engibar Engibarov,25,Centre-Back,Slavia Sofia,0.0,out,Winter,1996,1996/1997
Yildiray Bastürk,18,Attacking Midfield,Wattenscheid 09,0.0,in,Summer,1997,1997/1998
Mirko Dickhaut,27,Defensive Midfield,E. Frankfurt,0.0,in,Summer,1997,1997/1998
Norbert Hofmann,25,Left Midfield,Waldh. Mannheim,0.0,in,Summer,1997,1997/1998
Axel Sundermann,29,Centre-Back,SC Freiburg,0.0,in,Summer,1997,1997/1998
Mirko Reichel,26,Defensive Midfield,Waldh. Mannheim,0.0,in,Summer,1997,1997/1998
Sergey Yuran,28,Centre-Forward,F. Düsseldorf,0.0,in,Summer,1997,1997/1998
Filip Tapalovic,20,Defensive Midfield,FC Schalke 04,0.0,out,Summer,1997,1997/1998
Max Eberl,23,Right-Back,Greuther Fürth,0.0,out,Summer,1997,1997/1998
Thórdur Gudjónsson,23,Right Winger,KRC Genk,0.0,out,Summer,1997,1997/1998
Mathias Jack,28,Centre-Back,F. Düsseldorf,0.0,out,Summer,1997,1997/1998
Christian Herrmann,31,Centre-Back,Retired,0.0,out,Summer,1997,1997/1998
Roland Wohlfarth,34,Centre-Forward,VfB Leipzig,0.0,out,Winter,1997,1997/1998
Stefan Kuntz,35,Centre-Forward,Arm. Bielefeld,350000.0,in,Summer,1998,1998/1999
Samir Toplak,28,Right-Back,Varteks,250000.0,in,Summer,1998,1998/1999
Zdravko Drincic,26,Centre-Forward,Vojvodina,150000.0,in,Summer,1998,1998/1999
Maurizio Gaudino,31,Central Midfield,FC Basel,125000.0,in,Summer,1998,1998/1999
