player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Claudio Reyna,23,Central Midfield,Bay. Leverkusen,750000.0,in,Summer,1997,1997/1998
Holger Hiemann,29,Goalkeeper,Hamburger SV,0.0,in,Summer,1997,1997/1998
Marijan Kovacevic,23,Centre-Back,Hamburger SV,0.0,in,Summer,1997,1997/1998
Frank Greiner,31,Right Midfield,1.FC K'lautern,0.0,in,Summer,1997,1997/1998
Andreas Winkler,27,midfield,VfB Lübeck,0.0,in,Summer,1997,1997/1998
Dragan Stevanovic,25,Centre-Forward,Rad,0.0,in,Summer,1997,1997/1998
Waldemar Kryger,28,Centre-Back,Lech Poznan,0.0,in,Summer,1997,1997/1998
Maximilian Heidenreich,30,Sweeper,SC Freiburg,0.0,in,Summer,1997,1997/1998
Pavel Novotny,23,Left-Back,Slavia Prague,0.0,in,Summer,1997,1997/1998
Uwe Klein,27,midfield,Spfr. Siegen,0.0,out,Summer,1997,1997/1998
Ulf-Volker Probst,32,Centre-Back,FC Kufstein,0.0,out,Summer,1997,1997/1998
Oliver Lüttkenhaus,26,Sweeper,VfL 93 Hamburg,0.0,out,Summer,1997,1997/1998
Matthias Maucksch,28,Sweeper,VfB Leipzig,0.0,out,Summer,1997,1997/1998
Michael Butrej,29,Left Midfield,VfB Lübeck,0.0,out,Summer,1997,1997/1998
André Breitenreiter,24,Second Striker,Hamburger SV,0.0,in,Winter,1997,1997/1998
Andreas Winkler,28,midfield,E. Braunschweig,0.0,out,Winter,1997,1997/1998
Petar Mihtarski,31,Centre-Forward,Pirin,0.0,out,Winter,1997,1997/1998
Andrzej Juskowiak,27,Centre-Forward,Bor. M'gladbach,1250000.0,in,Summer,1998,1998/1999
Brian O'Neil,25,Centre-Back,Aberdeen FC,660000.0,in,Summer,1998,1998/1999
Charles Akonnor,24,Central Midfield,SC Fortuna Köln,600000.0,in,Summer,1998,1998/1999
Krzysztof Nowak,22,Central Midfield,Atlético-PR,500000.0,in,Summer,1998,1998/1999
Steffen Baumgart,26,Centre-Forward,Hansa Rostock,500000.0,in,Summer,1998,1998/1999
Vitus Nagorny,20,Centre-Forward,SpVgg Landshut,100000.0,in,Summer,1998,1998/1999
Claus Reitmaier,34,Goalkeeper,Karlsruher SC,0.0,in,Summer,1998,1998/1999
Nico Däbritz,26,Defensive Midfield,VfB Leipzig,0.0,in,Summer,1998,1998/1999
Guido Koltermann,23,Goalkeeper,1.FC Bocholt,0.0,in,Summer,1998,1998/1999
Jonathan Akonnor,19,Left Midfield,Okwawu United,0.0,in,Summer,1998,1998/1999
Gerald Schröder,22,Left Midfield,Wolfsburg II,0.0,in,Summer,1998,1998/1999
Jens Keller,27,Centre-Back,VfB Stuttgart,300000.0,out,Summer,1998,1998/1999
Zoran Tomcic,28,Centre-Back,KFC Uerdingen,150000.0,out,Summer,1998,1998/1999
Dragan Stevanovic,26,Centre-Forward,FC St. Pauli,0.0,out,Summer,1998,1998/1999
Marco Ament,19,midfield,SSV Vorsfelde,0.0,out,Summer,1998,1998/1999
Chad Deering,27,Defensive Midfield,Dallas,0.0,out,Summer,1998,1998/1999
Sven Ratke,26,Attacking Midfield,VfB Hellerau,0.0,out,Summer,1998,1998/1999
Stefan Meissner,25,Centre-Forward,Karlsruher SC,0.0,out,Summer,1998,1998/1999
Michael Spies,32,Attacking Midfield,Unterhaching,0.0,out,Summer,1998,1998/1999
Maximilian Heidenreich,31,Sweeper,Wattenscheid 09,0.0,out,Summer,1998,1998/1999
Pavel Novotny,24,Left-Back,Sparta Prague,0.0,out,Summer,1998,1998/1999
Jann Jensen,29,Centre-Back,Odense BK,0.0,out,Summer,1998,1998/1999
Piotr Tyszkiewicz,27,Centre-Forward,E. Braunschweig,0.0,out,Summer,1998,1998/1999
Markus Kullig,23,Defensive Midfield,VfB Lübeck,0.0,out,Summer,1998,1998/1999
Jörg Hoßbach,33,Goalkeeper,Retired,0.0,out,Summer,1998,1998/1999
Marcel Maltritz,20,Centre-Back,1.FC Magdeburg,0.0,in,Winter,1998,1998/1999
Claus Thomsen,28,Centre-Back,Akademisk BK,0.0,in,Winter,1998,1998/1999
Jonathan Akpoborie,30,Centre-Forward,VfB Stuttgart,1400000.0,in,Summer,1999,1999/2000
Marino Biliskov,23,Centre-Back,Hajduk Split,1000000.0,in,Summer,1999,1999/2000
Dorinel Munteanu,31,Central Midfield,1. FC Köln,850000.0,in,Summer,1999,1999/2000
Jéan-Kasongo Banza,25,Centre-Forward,CS Sfaxien,800000.0,in,Summer,1999,1999/2000
Markus Feldhoff,24,Centre-Forward,Bor. M'gladbach,520000.0,in,Summer,1999,1999/2000
Zoltan Sebescen,23,Right-Back,Stuttg. Kickers,425000.0,in,Summer,1999,1999/2000
Patrick Weiser,27,Left-Back,Stade Rennais,375000.0,in,Summer,1999,1999/2000
Christian Wück,26,Second Striker,Karlsruher SC,0.0,in,Summer,1999,1999/2000
Christian Brand,27,Attacking Midfield,Werder Bremen,0.0,in,Summer,1999,1999/2000
Claudio Reyna,25,Central Midfield,Rangers,3000000.0,out,Summer,1999,1999/2000
Steffen Baumgart,27,Centre-Forward,Hansa Rostock,500000.0,out,Summer,1999,1999/2000
Marijan Kovacevic,25,Centre-Back,MSV Duisburg,430000.0,out,Summer,1999,1999/2000
Roy Präger,27,Centre-Forward,Hamburger SV,0.0,out,Summer,1999,1999/2000
Uwe Zimmermann,37,Goalkeeper,E. Braunschweig,0.0,out,Summer,1999,1999/2000
Christian Brand,27,Attacking Midfield,Hansa Rostock,0.0,out,Summer,1999,1999/2000
