player_name,age,position,club_involved,fee,transfer_period,year,season
Giacomo Tulli,22,Left Winger,Vicenza,1300000.0,Summer,2010,2010/2011
Yohan Benalouane,23,Centre-Back,Saint-Étienne,1100000.0,Summer,2010,2010/2011
Luis Jiménez,26,Attacking Midfield,Ternana,1000000.0,Summer,2010,2010/2011
David Meza Colli,21,Defensive Midfield,Atromitos Athen,85000.0,Summer,2010,2010/2011
Steve von Bergen,27,Centre-Back,Hertha BSC,0.0,Summer,2010,2010/2011
Caio De Cenco,21,Centre-Forward,Pietri Carpi,0.0,Summer,2010,2010/2011
Sacha Cori,21,Centre-Forward,Ternana,0.0,Summer,2010,2010/2011
Diego Cavalieri,27,Goalkeeper,Liverpool,0.0,Summer,2010,2010/2011
Stephen Appiah,29,Defensive Midfield,Bologna,0.0,Summer,2010,2010/2011
Panagiotis Tachtsidis,19,Defensive Midfield,Genoa,0.0,Summer,2010,2010/2011
Nicolás Gorobsov,20,Defensive Midfield,Torino,0.0,Summer,2010,2010/2011
Yuto Nagatomo,23,Left-Back,FC Tokyo,30000.0,Summer,2010,2010/2011
Alberto Galuppo,24,Centre-Back,Parma,0.0,Summer,2010,2010/2011
Erjon Bogdani,33,Centre-Forward,Chievo Verona,0.0,Summer,2010,2010/2011
Ezequiel Schelotto,21,Right-Back,Atalanta BC,0.0,Summer,2010,2010/2011
Ivan Fatic,21,Centre-Back,Genoa,0.0,Summer,2010,2010/2011
Gabriele Paonessa,23,Attacking Midfield,Parma,0.0,Summer,2010,2010/2011
Odion Ighalo,21,Centre-Forward,Udinese Calcio,0.0,Summer,2010,2010/2011
Maximiliano Pellegrino,30,Centre-Back,Atalanta BC,0.0,Summer,2010,2010/2011
Igor Budan,30,Centre-Forward,US Palermo,0.0,Summer,2010,2010/2011
Fabio Caserta,31,Central Midfield,Atalanta BC,0.0,Summer,2010,2010/2011
Guly,28,Attacking Midfield,Southampton,-400000.0,Summer,2010,2010/2011
Milan Djuric,20,Centre-Forward,Parma,-300000.0,Summer,2010,2010/2011
Alberto Galuppo,25,Centre-Back,Parma,-200000.0,Summer,2010,2010/2011
José Espinal,27,Left Winger,KAS Eupen,0.0,Summer,2010,2010/2011
Giacomo Tulli,22,Left Winger,Vicenza,0.0,Summer,2010,2010/2011
Luca Ricci,21,Centre-Back,Pergocrema,0.0,Summer,2010,2010/2011
Caio De Cenco,21,Centre-Forward,Bellaria IM,500,Summer,2010,2010/2011
Alessio Ambrogetti,21,Second Striker,Como,0.0,Summer,2010,2010/2011
Gianluca Segarelli,32,Right Midfield,Alessandria,0.0,Summer,2010,2010/2011
Andrea Savelli,19,Right-Back,Bellaria IM,0.0,Summer,2010,2010/2011
Giovanni Rossi,21,Left-Back,SPAL,0.0,Summer,2010,2010/2011
Dario Biasi,30,Centre-Back,Cagliari Calcio,0.0,Summer,2010,2010/2011
Federico Maria Erba,21,Centre-Back,AS Roma,0.0,Summer,2010,2010/2011
Luca Righini,19,Central Midfield,AC Mezzocorona,0.0,Summer,2010,2010/2011
Fabio Cusaro,25,Centre-Back,Bellaria IM,0.0,Summer,2010,2010/2011
Sacha Cori,21,Centre-Forward,Carrarese,0.0,Summer,2010,2010/2011
Marco Arrigoni,21,Centre-Back,Valenzana,0.0,Summer,2010,2010/2011
Alberto Galuppo,24,Centre-Back,Atletico Roma,0.0,Summer,2010,2010/2011
Luca Giunchi,24,Central Midfield,Bellaria IM,0.0,Summer,2010,2010/2011
Andrea Moretti,21,Centre-Forward,Bellaria IM,0.0,Summer,2010,2010/2011
Nicola Ravaglia,21,Goalkeeper,SPAL,0.0,Summer,2010,2010/2011
Marco Tattini,19,Second Striker,Pavia,0.0,Summer,2010,2010/2011
Nebil Caidi,21,Centre-Back,Pavia,0.0,Summer,2010,2010/2011
Giuseppe De Feudis,27,Defensive Midfield,Torino,0.0,Summer,2010,2010/2011
Denis Tonucci,21,Centre-Back,Vicenza,0.0,Summer,2010,2010/2011
Marco Bonura,30,Central Midfield,Without Club,0.0,Summer,2010,2010/2011
Michele Tardioli,39,Goalkeeper,Retired,0.0,Summer,2010,2010/2011
Ivan Franceschini,33,Centre-Back,Without Club,0.0,Summer,2010,2010/2011
Giuseppe Greco,26,Centre-Forward,Genoa,0.0,Summer,2010,2010/2011
Kelvin Matute,21,Defensive Midfield,Udinese Calcio,0.0,Summer,2010,2010/2011
Massimo Volta,23,Centre-Back,Sampdoria,0.0,Summer,2010,2010/2011
Daniele Pedrelli,22,Left-Back,Inter,0.0,Summer,2010,2010/2011
Cristian Bucchi,33,Centre-Forward,SSC Napoli,0.0,Summer,2010,2010/2011
Yuto Nagatomo,24,Left-Back,FC Tokyo,1600000.0,Winter,2010,2010/2011
Roope Riski,19,Centre-Forward,TPS,750000.0,Winter,2010,2010/2011
Paolo Sammarco,27,Central Midfield,Sampdoria,200000.0,Winter,2010,2010/2011
Alessandro Rosina,26,Right Winger,Zenit S-Pb,200000.0,Winter,2010,2010/2011
Paolo Dellafiore,25,Centre-Back,Parma,200000.0,Winter,2010,2010/2011
Alex Calderoni,34,Goalkeeper,Atletico Roma,100000.0,Winter,2010,2010/2011
Davide Santon,20,Right-Back,Inter,0.0,Winter,2010,2010/2011
Aldo Simoncini,24,Goalkeeper,Bellaria IM,0.0,Winter,2010,2010/2011
Felipe,26,Centre-Back,Fiorentina,0.0,Winter,2010,2010/2011
Yuto Nagatomo,24,Left-Back,Inter,-2000000.0,Winter,2010,2010/2011
Guly,29,Attacking Midfield,Southampton,-600000.0,Winter,2010,2010/2011
Davide Sinigaglia,29,Centre-Forward,Ternana,-100000.0,Winter,2010,2010/2011
Diego Cavalieri,28,Goalkeeper,Fluminense,0.0,Winter,2010,2010/2011
Martin Petras,31,Right-Back,Grosseto,0.0,Winter,2010,2010/2011
Alex Teodorani,19,Goalkeeper,Bellaria IM,0.0,Winter,2010,2010/2011
Franco Chiavarini,30,Centre-Forward,NK Zagreb,0.0,Winter,2010,2010/2011
Fabio Cusaro,26,Centre-Back,Foligno,0.0,Winter,2010,2010/2011
David Meza Colli,22,Defensive Midfield,Pavia,0.0,Winter,2010,2010/2011
Ezequiel Schelotto,21,Right-Back,Atalanta BC,0.0,Winter,2010,2010/2011
Panagiotis Tachtsidis,19,Defensive Midfield,Genoa,0.0,Winter,2010,2010/2011
Odion Ighalo,21,Centre-Forward,Udinese Calcio,0.0,Winter,2010,2010/2011
