player_name,age,position,club_involved,fee,transfer_period,year,season
Brian Laudrup,23,Right Winger,Bayern Munich,5000000.0,Summer,1992,1992/1993
Stefan Effenberg,23,Central Midfield,Bayern Munich,3750000.0,Summer,1992,1992/1993
Daniele Carnasciali,25,Right-Back,Brescia,0.0,Summer,1992,1992/1993
Diego Latorre,22,Second Striker,Boca Juniors,0.0,Summer,1992,1992/1993
Andrea Vascotto,20,midfield,Barletta CS,0.0,Summer,1992,1992/1993
Fabrizio Di Mauro,27,Defensive Midfield,AS Roma,0.0,Summer,1992,1992/1993
Gianluca Luppi,25,Centre-Back,Juventus,0.0,Summer,1992,1992/1993
Francesco Baiano,24,Right Winger,Foggia,0.0,Summer,1992,1992/1993
Francesco Flachi,17,Centre-Forward,Fiorentina Yth.,0.0,Summer,1992,1992/1993
Ramon Aiana,19,attack,Unknown,0.0,Summer,1992,1992/1993
Vincenzo Matrone,20,defence,Barletta CS,0.0,Summer,1992,1992/1993
Massimiliano Fiondella,23,defence,SPAL,0.0,Summer,1992,1992/1993
Pietro Maiellaro,28,midfield,AC Venezia 1907,0.0,Summer,1992,1992/1993
Emiliano Biliotti,17,Attacking Midfield,Siena,0.0,Summer,1992,1992/1993
Rufo Emiliano Verga,22,Centre-Back,AC Venezia 1907,0.0,Summer,1992,1992/1993
Stefano Carobbi,28,Right-Back,Lecce,0.0,Summer,1992,1992/1993
Stefano Borgonovo,28,Centre-Forward,Pescara,0.0,Summer,1992,1992/1993
Stefano Salvatori,24,Defensive Midfield,SPAL,0.0,Summer,1992,1992/1993
Marco Branca,27,Centre-Forward,Udinese,0.0,Summer,1992,1992/1993
Mazinho,26,Defensive Midfield,Palmeiras,0.0,Summer,1992,1992/1993
Celeste Pin,31,defence,Verona,0.0,Summer,1992,1992/1993
Dunga,28,Defensive Midfield,Pescara,0.0,Summer,1992,1992/1993
Giacomo Banchelli,19,Centre-Forward,Alessandria,0.0,Summer,1992,1992/1993
Lorenzo D'Anna,20,Centre-Back,Como,0.0,Winter,1992,1992/1993
Diego Latorre,23,Second Striker,CD Tenerife,-1000000.0,Winter,1992,1992/1993
Rui Costa,22,Attacking Midfield,Benfica,5500000.0,Summer,1994,1994/1995
Emiliano Betti,22,Goalkeeper,Cosenza,0.0,Summer,1994,1994/1995
Stefano Carobbi,30,Right-Back,Lecce,0.0,Summer,1994,1994/1995
Sandro Cois,21,Defensive Midfield,Torino,0.0,Summer,1994,1994/1995
Márcio Santos,24,Centre-Back,G. Bordeaux,0.0,Summer,1994,1994/1995
Andrea Sottil,20,Centre-Back,Torino,0.0,Summer,1994,1994/1995
Angelo Carbone,26,Right Midfield,Milan,0.0,Summer,1994,1994/1995
Enzo Gambaro,28,Left-Back,Milan,0.0,Summer,1994,1994/1995
Christian Amoroso,17,Central Midfield,Fiorentina U19,0.0,Summer,1994,1994/1995
Luca Vigiani,17,Right Midfield,Fiorentina U19,0.0,Summer,1994,1994/1995
Stefan Effenberg,25,Central Midfield,Bor. M'gladbach,-750000.0,Summer,1994,1994/1995
Lorenzo D'Anna,22,Centre-Back,Chievo Verona,0.0,Summer,1994,1994/1995
Emiliano Betti,22,Goalkeeper,Barletta CS,0.0,Summer,1994,1994/1995
Mario Faccenda,33,Centre-Back,Carrarese,0.0,Summer,1994,1994/1995
Gionata Bruni,19,Centre-Back,Arezzo,0.0,Summer,1994,1994/1995
Giuseppe Antonaccio,22,Left-Back,Nola,0.0,Summer,1994,1994/1995
Mauro Zironelli,24,midfield,Chievo Verona,0.0,Summer,1994,1994/1995
Fabio Di Sole,20,Centre-Back,Catanzaro,0.0,Summer,1994,1994/1995
Massimo Orlando,23,attack,Milan,0.0,Summer,1994,1994/1995
Giuseppe Iachini,30,Defensive Midfield,US Palermo,0.0,Summer,1994,1994/1995
David Dei,20,Goalkeeper,Benevento,0.0,Summer,1994,1994/1995
Giacomo Banchelli,21,Centre-Forward,Cosenza,0.0,Summer,1994,1994/1995
Daniele Beltrammi,20,Second Striker,Cisco Lodigiani,0.0,Summer,1994,1994/1995
Stefano Carobbi,30,Right-Back,Poggibonsi,0.0,Winter,1994,1994/1995
Pasquale Bruno,32,Right-Back,Lecce,0.0,Winter,1994,1994/1995
Giacomo Banchelli,21,Centre-Forward,Udinese,0.0,Winter,1994,1994/1995
Enzo Gambaro,28,Left-Back,Milan,0.0,Winter,1994,1994/1995
Angelo Carbone,27,Right Midfield,Milan,0.0,Winter,1994,1994/1995
Stefan Schwarz,26,Central Midfield,Arsenal,2200000.0,Summer,1995,1995/1996
Michele Serena,25,Left-Back,Sampdoria,2000000.0,Summer,1995,1995/1996
Lorenzo Amoruso,24,Centre-Back,Bari,0.0,Summer,1995,1995/1996
Giovanni Piacentini,27,Defensive Midfield,AS Roma,0.0,Summer,1995,1995/1996
Federico Bettoni,23,midfield,Cisco Lodigiani,0.0,Summer,1995,1995/1996
Mirko Benin,17,Attacking Midfield,Varese U19,0.0,Summer,1995,1995/1996
Emiliano Bigica,21,Defensive Midfield,Bari,0.0,Summer,1995,1995/1996
Alessandro Orlando,25,Left-Back,Juventus,0.0,Summer,1995,1995/1996
Massimo Orlando,24,attack,Milan,0.0,Summer,1995,1995/1996
Pasquale Padalino,22,Centre-Back,Foggia,0.0,Summer,1995,1995/1996
Stefan Effenberg,26,Central Midfield,Bor. M'gladbach,-3800000.0,Summer,1995,1995/1996
Sergio Campolo,23,Central Midfield,Pistoiese,0.0,Summer,1995,1995/1996
Cristiano Scalabrelli,24,Goalkeeper,Lucchese,0.0,Summer,1995,1995/1996
Edoardo Sacchini,19,midfield,Ponsacco,0.0,Summer,1995,1995/1996
Alessandro Gola,20,midfield,Modena,0.0,Summer,1995,1995/1996
