player_name,age,position,club_involved,fee,transfer_period,year,season
Kaká,21,Attacking Midfield,São Paulo,8500000.0,Summer,2003,2003/2004
Alessandro Budel,22,Defensive Midfield,Triestina,2000000.0,Summer,2003,2003/2004
Giuseppe Ticli,24,Left Midfield,Inter,1500000.0,Summer,2003,2003/2004
Filippo Porcari,19,Defensive Midfield,Parma U19,1000000.0,Summer,2003,2003/2004
Cafú,33,Right-Back,AS Roma,0.0,Summer,2003,2003/2004
Patrick Kalambay,19,Right Midfield,Ancona,0.0,Summer,2003,2003/2004
Giuseppe Pancaro,31,Right-Back,Lazio,0.0,Summer,2003,2003/2004
José Mari,24,Centre-Forward,Villarreal,-9000000.0,Summer,2003,2003/2004
Luca Antonini,20,Left-Back,Sampdoria,-2000000.0,Summer,2003,2003/2004
Cyril Domoraud,31,Centre-Back,Espanyol,-1500000.0,Summer,2003,2003/2004
Fabricio Coloccini,21,Centre-Back,Villarreal,-250000.0,Summer,2003,2003/2004
Roque Júnior,26,Centre-Back,Leeds,-100000.0,Summer,2003,2003/2004
Ibrahim Bá,29,Right Midfield,Bolton,0.0,Summer,2003,2003/2004
Demetrio Albertini,31,Defensive Midfield,Lazio,0.0,Summer,2003,2003/2004
José Chamot,34,Centre-Back,CD Leganés,0.0,Summer,2003,2003/2004
Samuele Dalla Bona,22,Central Midfield,Bologna,0.0,Summer,2003,2003/2004
Paolo Sammarco,20,Central Midfield,Prato,0.0,Summer,2003,2003/2004
Catilina Aubameyang,19,Left Midfield,Triestina,0.0,Summer,2003,2003/2004
Filippo Porcari,19,Defensive Midfield,Padova,0.0,Summer,2003,2003/2004
Simone Giovanni Brunelli,20,Goalkeeper,Pro Sesto,0.0,Summer,2003,2003/2004
Emanuele D'Anna,21,Right Midfield,Piacenza,0.0,Summer,2003,2003/2004
Gabriele Aldegani,27,Goalkeeper,Rimini,0.0,Summer,2003,2003/2004
Thomas Helveg,32,Right-Back,Inter,0.0,Summer,2003,2003/2004
Andrea Rabito,23,Right Winger,AS Livorno,0.0,Summer,2003,2003/2004
Alessandro Budel,22,Defensive Midfield,Lecce,0.0,Summer,2003,2003/2004
Marco Donadel,20,Defensive Midfield,AC Parma,0.0,Summer,2003,2003/2004
Vitali Kutuzov,23,Centre-Forward,Avellino,0.0,Summer,2003,2003/2004
Giuseppe Ticli,24,Left Midfield,Calcio Monza,0.0,Summer,2003,2003/2004
William Nava,18,midfield,Without Club,0.0,Summer,2003,2003/2004
Giuseppe Pancaro,32,Right-Back,Lazio,0.0,Summer,2003,2003/2004
Nicola Pozzi,17,Centre-Forward,Cesena,2000000.0,Winter,2003,2003/2004
Rivaldo,31,Attacking Midfield,Cruzeiro,0.0,Winter,2003,2003/2004
Roque Júnior,27,Centre-Back,Siena,0.0,Winter,2003,2003/2004
Mohamed Sarr,20,Centre-Back,Atalanta BC,0.0,Winter,2003,2003/2004
Alessandro Budel,22,Defensive Midfield,Genoa,0.0,Winter,2003,2003/2004
Jaap Stam,31,Centre-Back,Lazio,10500000.0,Summer,2004,2004/2005
Vikash Dhorasoo,30,Central Midfield,Olympique Lyon,0.0,Summer,2004,2004/2005
Giuseppe Pancaro,32,Right-Back,Lazio,0.0,Summer,2004,2004/2005
Sandro Bloudek,18,Attacking Midfield,NK Maribor U19,0.0,Summer,2004,2004/2005
Hernán Crespo,29,Centre-Forward,Chelsea,0.0,Summer,2004,2004/2005
Martin Laursen,26,Centre-Back,Aston Villa,-5300000.0,Summer,2004,2004/2005
Vitali Kutuzov,24,Centre-Forward,Sampdoria,-1500000.0,Summer,2004,2004/2005
Alessandro Budel,23,Defensive Midfield,Parma,-400000.0,Summer,2004,2004/2005
Roque Júnior,27,Centre-Back,Bay. Leverkusen,0.0,Summer,2004,2004/2005
Samuele Dalla Bona,23,Central Midfield,Lecce,0.0,Summer,2004,2004/2005
Marco Borriello,22,Centre-Forward,Reggina,0.0,Summer,2004,2004/2005
Paolo Sammarco,21,Central Midfield,Chievo Verona,0.0,Summer,2004,2004/2005
Catilina Aubameyang,20,Left Midfield,Rimini,0.0,Summer,2004,2004/2005
Filippo Porcari,20,Defensive Midfield,AC Pisa,0.0,Summer,2004,2004/2005
Marco Donadel,21,Defensive Midfield,Sampdoria,0.0,Summer,2004,2004/2005
Massimo Donati,23,Defensive Midfield,Messina Peloro,0.0,Summer,2004,2004/2005
Nicola Pozzi,18,Centre-Forward,Napoli,0.0,Summer,2004,2004/2005
Patrick Kalambay,20,Right Midfield,Fermana,0.0,Summer,2004,2004/2005
Giuseppe Ticli,25,Left Midfield,Virtus Lanciano,0.0,Summer,2004,2004/2005
Fernando Redondo,35,Defensive Midfield,Retired,0.0,Summer,2004,2004/2005
Digão,19,Centre-Back,São Paulo,500000.0,Winter,2004,2004/2005
Harvey Esajas,30,Centre-Back,Career break,0.0,Winter,2004,2004/2005
Fabricio Coloccini,23,Centre-Back,Dep. La Coruña,-5000000.0,Winter,2004,2004/2005
Mohamed Sarr,21,Centre-Back,Vittoria Calcio,0.0,Winter,2004,2004/2005
Catilina Aubameyang,21,Left Midfield,Ancona,0.0,Winter,2004,2004/2005
Nicola Pozzi,18,Centre-Forward,Pescara,0.0,Winter,2004,2004/2005
Alessandro Budel,23,Defensive Midfield,Cagliari Calcio,0.0,Winter,2004,2004/2005
Marco Donadel,21,Defensive Midfield,Fiorentina,0.0,Winter,2004,2004/2005
Michele Piccolo,19,Centre-Forward,AS Pizzighettone,0.0,Winter,2004,2004/2005
Alberto Gilardino,23,Centre-Forward,Parma,25000000.0,Summer,2005,2005/2006
Marek Jankulovski,28,Left-Back,Udinese,8500000.0,Summer,2005,2005/2006
Dimitrios Eleftheropoulos,28,Goalkeeper,Messina Peloro,0.0,Summer,2005,2005/2006
Zeljko Kalac,32,Goalkeeper,Perugia,0.0,Summer,2005,2005/2006
Johann Vogel,28,Defensive Midfield,PSV Eindhoven,0.0,Summer,2005,2005/2006
Christian Vieri,31,Centre-Forward,Inter,0.0,Summer,2005,2005/2006
Lino Marzorati,18,Centre-Back,Milan U19,0.0,Summer,2005,2005/2006
Davide Astori,18,Centre-Back,Milan U19,0.0,Summer,2005,2005/2006
Jon Dahl Tomasson,28,Centre-Forward,VfB Stuttgart,-7500000.0,Summer,2005,2005/2006
Vikash Dhorasoo,31,Central Midfield,Paris SG,-3200000.0,Summer,2005,2005/2006
Marco Donadel,22,Defensive Midfield,Fiorentina,-1300000.0,Summer,2005,2005/2006
Harvey Esajas,31,Centre-Back,Legnano,0.0,Summer,2005,2005/2006
Mohamed Sarr,21,Centre-Back,Standard Liège,0.0,Summer,2005,2005/2006
Dimitrios Eleftheropoulos,29,Goalkeeper,AS Roma,0.0,Summer,2005,2005/2006
Cristian Brocchi,29,Central Midfield,Fiorentina,0.0,Summer,2005,2005/2006
Christian Abbiati,28,Goalkeeper,Juventus,0.0,Summer,2005,2005/2006
Marco Borriello,23,Centre-Forward,Sampdoria,0.0,Summer,2005,2005/2006
Digão,19,Centre-Back,Rimini,0.0,Summer,2005,2005/2006
Filippo Porcari,21,Defensive Midfield,Novara,0.0,Summer,2005,2005/2006
Samuele Dalla Bona,24,Central Midfield,Sampdoria,0.0,Summer,2005,2005/2006
Catilina Aubameyang,21,Left Midfield,FC Lugano,0.0,Summer,2005,2005/2006
Andrea Amato,18,Defensive Midfield,Fermana,0.0,Summer,2005,2005/2006
Giuseppe Pancaro,33,Right-Back,Fiorentina,0.0,Summer,2005,2005/2006
Alessandro Budel,24,Defensive Midfield,Cagliari Calcio,0.0,Summer,2005,2005/2006
Ignazio Abate,18,Right-Back,Piacenza,0.0,Summer,2005,2005/2006
Giuseppe Ticli,26,Left Midfield,Catanzaro,0.0,Summer,2005,2005/2006
Patrick Kalambay,21,Right Midfield,Lumezzane,0.0,Summer,2005,2005/2006
Alessandro Matri,20,Centre-Forward,Lumezzane,0.0,Summer,2005,2005/2006
Roberto Massaro,21,Centre-Forward,Triestina,0.0,Summer,2005,2005/2006
Nicola Pozzi,19,Centre-Forward,Empoli,0.0,Summer,2005,2005/2006
Hernán Crespo,29,Centre-Forward,Chelsea,0.0,Summer,2005,2005/2006
Márcio Amoroso,31,Centre-Forward,São Paulo,0.0,Winter,2005,2005/2006
Christian Vieri,32,Centre-Forward,Monaco,0.0,Winter,2005,2005/2006
Marco Borriello,23,Centre-Forward,Treviso,0.0,Winter,2005,2005/2006
Catilina Aubameyang,22,Left Midfield,FC Chiasso,0.0,Winter,2005,2005/2006
Giuseppe Ticli,26,Left Midfield,Pro Patria,0.0,Winter,2005,2005/2006
Ricardo Oliveira,26,Centre-Forward,Real Betis,15000000.0,Summer,2006,2006/2007
Yoann Gourcuff,19,Attacking Midfield,Stade Rennais,4500000.0,Summer,2006,2006/2007
Daniele Bonera,25,Centre-Back,Parma,3300000.0,Summer,2006,2006/2007
Giuseppe Favalli,34,Left-Back,Inter,0.0,Summer,2006,2006/2007
Ferdinando Coppola,28,Goalkeeper,Ascoli,0.0,Summer,2006,2006/2007
Pasquale Foggia,23,Attacking Midfield,Empoli,0.0,Summer,2006,2006/2007
Davide Di Gennaro,18,Defensive Midfield,Milan U19,0.0,Summer,2006,2006/2007
Luca Antonelli,19,Left-Back,Milan U19,0.0,Summer,2006,2006/2007
Andriy Shevchenko,29,Centre-Forward,Chelsea,-43880000.0,Summer,2006,2006/2007
Johann Vogel,29,Defensive Midfield,Real Betis,-4500000.0,Summer,2006,2006/2007
Pasquale Foggia,23,Attacking Midfield,Lazio,-3150000.0,Summer,2006,2006/2007
Jaap Stam,33,Centre-Back,Ajax,-3000000.0,Summer,2006,2006/2007
Nicola Pozzi,20,Centre-Forward,Empoli,-2500000.0,Summer,2006,2006/2007
Christian Abbiati,29,Goalkeeper,Torino,-300000.0,Summer,2006,2006/2007
Catilina Aubameyang,22,Left Midfield,Paris FC,0.0,Summer,2006,2006/2007
Márcio Amoroso,32,Centre-Forward,Corinthians,0.0,Summer,2006,2006/2007
Samuele Dalla Bona,25,Central Midfield,SSC Napoli,0.0,Summer,2006,2006/2007
Rui Costa,34,Attacking Midfield,Benfica,0.0,Summer,2006,2006/2007
Dimitrios Eleftheropoulos,29,Goalkeeper,Ascoli,0.0,Summer,2006,2006/2007
Filippo Porcari,22,Defensive Midfield,Avellino,0.0,Summer,2006,2006/2007
Sandro Bloudek,20,Attacking Midfield,Pistoiese,0.0,Summer,2006,2006/2007
Romano Perticone,19,Centre-Back,Hellas Verona,0.0,Summer,2006,2006/2007
Michele Piccolo,20,Centre-Forward,AS Pizzighettone,-1000.0,Summer,2006,2006/2007
Eros Favaretto,19,Goalkeeper,Viterbese,0.0,Summer,2006,2006/2007
Alessandro Matri,21,Centre-Forward,Rimini,0.0,Summer,2006,2006/2007
Patrick Kalambay,22,Right Midfield,Triestina,0.0,Summer,2006,2006/2007
Lino Marzorati,19,Centre-Back,Empoli,0.0,Summer,2006,2006/2007
Ferdinando Coppola,28,Goalkeeper,Piacenza,0.0,Summer,2006,2006/2007
Ignazio Abate,19,Right-Back,Modena,0.0,Summer,2006,2006/2007
Davide Astori,19,Centre-Back,AS Pizzighettone,0.0,Summer,2006,2006/2007
Massimo Donati,25,Defensive Midfield,Atalanta BC,0.0,Summer,2006,2006/2007
Massimo Oddo,30,Right-Back,Lazio,7750000.0,Winter,2006,2006/2007
Ronaldo,30,Centre-Forward,Real Madrid,7500000.0,Winter,2006,2006/2007
Leandro Grimi,21,Left-Back,Racing Club,2500000.0,Winter,2006,2006/2007
Marco Storari,30,Goalkeeper,Messina Peloro,850000.0,Winter,2006,2006/2007
Sandro Bloudek,20,Attacking Midfield,Cremonese,0.0,Winter,2006,2006/2007
Alexandre Pato,17,Centre-Forward,Internacional,24000000.0,Summer,2007,2007/2008
Émerson,31,Defensive Midfield,Real Madrid,5000000.0,Summer,2007,2007/2008
Marcus Diniz,19,Centre-Back,Milan U19,0.0,Summer,2007,2007/2008
Ibrahim Bá,33,Right Midfield,Without Club,0.0,Summer,2007,2007/2008
Matteo Darmian,17,Right-Back,Milan U19,0.0,Summer,2007,2007/2008
William-Fils Aubameyang,20,Centre-Back,Milan U19,0.0,Summer,2007,2007/2008
Massimo Donati,26,Defensive Midfield,Celtic,-4500000.0,Summer,2007,2007/2008
Alessandro Matri,22,Centre-Forward,Cagliari Calcio,-2300000.0,Summer,2007,2007/2008
Ricardo Oliveira,27,Centre-Forward,Real Zaragoza,-2000000.0,Summer,2007,2007/2008
Marco Borriello,25,Centre-Forward,Genoa,-1800000.0,Summer,2007,2007/2008
Christian Abbiati,29,Goalkeeper,Atlético Madrid,-500000.0,Summer,2007,2007/2008
Davide Di Gennaro,19,Defensive Midfield,Bologna,-300000.0,Summer,2007,2007/2008
Leandro Grimi,22,Left-Back,Siena,0.0,Summer,2007,2007/2008
Sandro Bloudek,21,Attacking Midfield,Lecco,0.0,Summer,2007,2007/2008
Marco Storari,30,Goalkeeper,Levante,0.0,Summer,2007,2007/2008
Davide Astori,20,Centre-Back,Cremonese,0.0,Summer,2007,2007/2008
Ignazio Abate,20,Right-Back,Empoli,0.0,Summer,2007,2007/2008
Luca Antonelli,20,Left-Back,Bari,0.0,Summer,2007,2007/2008
Marcus Diniz,20,Centre-Back,Monza,0.0,Summer,2007,2007/2008
Romano Perticone,20,Centre-Back,Cremonese,0.0,Summer,2007,2007/2008
Ferdinando Coppola,29,Goalkeeper,Atalanta BC,0.0,Summer,2007,2007/2008
Paolo Sammarco,24,Central Midfield,Sampdoria,0.0,Summer,2007,2007/2008
Giuseppe Ticli,28,Left Midfield,Without Club,0.0,Summer,2007,2007/2008
Alessandro Costacurta,41,Centre-Back,Retired,0.0,Summer,2007,2007/2008
Sandro Bloudek,21,Attacking Midfield,FC Chiasso,0.0,Winter,2007,2007/2008
Marco Storari,31,Goalkeeper,Cagliari Calcio,-10000.0,Winter,2007,2007/2008
Patrick Kalambay,23,Right Midfield,Ancona,0.0,Winter,2007,2007/2008
Leandro Grimi,22,Left-Back,Sporting CP,0.0,Winter,2007,2007/2008
Luca Antonelli,20,Left-Back,Parma,0.0,Winter,2007,2007/2008
Ronaldinho Gaúcho,28,Attacking Midfield,Barcelona,24150000.0,Summer,2008,2008/2009
Marco Borriello,26,Centre-Forward,Genoa,11750000.0,Summer,2008,2008/2009
Gianluca Zambrotta,31,Right-Back,Barcelona,10500000.0,Summer,2008,2008/2009
Luca Antonini,25,Left-Back,Empoli,2900000.0,Summer,2008,2008/2009
Luca Ceccarelli,25,Centre-Back,Inter,2580000.0,Summer,2008,2008/2009
Tabaré Viúdez,18,Right Winger,Defensor,2500000.0,Summer,2008,2008/2009
Philippe Senderos,23,Centre-Back,Arsenal,2500000.0,Summer,2008,2008/2009
Mathías Cardacio,20,Central Midfield,Nacional,2000000.0,Summer,2008,2008/2009
Mathieu Flamini,24,Defensive Midfield,Arsenal,0.0,Summer,2008,2008/2009
Andriy Shevchenko,31,Centre-Forward,Chelsea,0.0,Summer,2008,2008/2009
Pierre-Emerick Aubameyang,19,Centre-Forward,Milan U19,0.0,Summer,2008,2008/2009
Alberto Paloschi,18,Centre-Forward,Milan U19,0.0,Summer,2008,2008/2009
Alberto Gilardino,25,Centre-Forward,Fiorentina,-14000000.0,Summer,2008,2008/2009
Ricardo Oliveira,28,Centre-Forward,Real Zaragoza,-10000000.0,Summer,2008,2008/2009
Davide Astori,21,Centre-Back,Cagliari Calcio,-5000000.0,Summer,2008,2008/2009
Leandro Grimi,23,Left-Back,Sporting CP,-2500000.0,Summer,2008,2008/2009
Paolo Sammarco,25,Central Midfield,Sampdoria,-2400000.0,Summer,2008,2008/2009
Alberto Paloschi,18,Centre-Forward,Parma,-2250000.0,Summer,2008,2008/2009
Ignazio Abate,21,Right-Back,Torino,-2200000.0,Summer,2008,2008/2009
Cristian Brocchi,32,Central Midfield,Lazio,-2000000.0,Summer,2008,2008/2009
Davide Di Gennaro,20,Defensive Midfield,Genoa,-1500000.0,Summer,2008,2008/2009
Yoann Gourcuff,21,Attacking Midfield,G. Bordeaux,-1400000.0,Summer,2008,2008/2009
Lino Marzorati,21,Centre-Back,Empoli,-1250000.0,Summer,2008,2008/2009
Romano Perticone,21,Centre-Back,AS Livorno,-1200000.0,Summer,2008,2008/2009
Ferdinando Coppola,30,Goalkeeper,Atalanta BC,-900000.0,Summer,2008,2008/2009
Marcus Diniz,20,Centre-Back,AS Livorno,-600000.0,Summer,2008,2008/2009
Luca Ceccarelli,25,Centre-Back,Hellas Verona,0.0,Summer,2008,2008/2009
Dario Simic,32,Right-Back,Monaco,0.0,Summer,2008,2008/2009
Sandro Bloudek,22,Attacking Midfield,Varteks,0.0,Summer,2008,2008/2009
