player_name,age,position,club_involved,fee,transfer_period,year,season
Salvatore Matrecano,21,Centre-Back,Foggia,0.0,Summer,1992,1992/1993
Marco Ferrante,21,Centre-Forward,Napoli,0.0,Summer,1992,1992/1993
Gianluca Hervatin,18,attack,Tempio,0.0,Summer,1992,1992/1993
Antonio Sconziano,20,Right-Back,Seregno,0.0,Summer,1992,1992/1993
Gianluca Franchini,19,Defensive Midfield,Avellino,0.0,Summer,1992,1992/1993
Giovanni Sorce,22,attack,Lucchese,0.0,Summer,1992,1992/1993
Marco Ferrari,25,Goalkeeper,Avellino,0.0,Summer,1992,1992/1993
Fausto Pizzi,24,Attacking Midfield,Inter,0.0,Summer,1992,1992/1993
Faustino Asprilla,22,Centre-Forward,Atl. Nacional,0.0,Summer,1992,1992/1993
Gabriele Pin,30,Central Midfield,Lazio,0.0,Summer,1992,1992/1993
Sergio Berti,23,Left Midfield,River Plate,0.0,Summer,1992,1992/1993
Antonio Sconziano,20,Right-Back,Avellino,0.0,Summer,1992,1992/1993
Tarcisio Catanese,24,midfield,Bologna,0.0,Summer,1992,1992/1993
Aldo Monza,22,midfield,Cosenza,0.0,Summer,1992,1992/1993
Massimo Agostini,28,Centre-Forward,Ancona,0.0,Summer,1992,1992/1993
Giovanni Bia,23,Centre-Back,Cosenza,0.0,Summer,1992,1992/1993
Stefano Nava,23,Centre-Back,Milan,0.0,Summer,1992,1992/1993
Giovanni Sorce,23,attack,Messina,0.0,Winter,1992,1992/1993
Mario Lemme,19,midfield,Vicenza,0.0,Winter,1992,1992/1993
Graziano Mannari,24,Centre-Forward,Ravenna U19,0.0,Summer,1993,1993/1994
Roberto Maltagliati,24,Centre-Back,Solbiatese Arno Calcio,0.0,Summer,1993,1993/1994
Davide Falcioni,18,Goalkeeper,Fano,0.0,Summer,1993,1993/1994
Gianfranco Zola,26,Second Striker,Napoli,0.0,Summer,1993,1993/1994
Luca Bucci,24,Goalkeeper,Reggiana,0.0,Summer,1993,1993/1994
David Balleri,24,Right-Back,Cosenza,0.0,Summer,1993,1993/1994
Gianluca Falsini,17,Left-Back,Parma U19,0.0,Summer,1993,1993/1994
Massimo Crippa,28,Central Midfield,Napoli,0.0,Summer,1993,1993/1994
Marco Ferrante,22,Centre-Forward,Piacenza,-100000.0,Summer,1993,1993/1994
Gianluca Hervatin,19,attack,Ancona,0.0,Summer,1993,1993/1994
Marco Osio,27,Defensive Midfield,Torino,0.0,Summer,1993,1993/1994
Fausto Pizzi,25,Attacking Midfield,Udinese,0.0,Summer,1993,1993/1994
Ivo Pulga,29,Defensive Midfield,Vicenza,0.0,Summer,1993,1993/1994
Sebastiano Siviglia,20,Centre-Back,ASG Nocerina,0.0,Summer,1993,1993/1994
Claudio Taffarel,27,Goalkeeper,Reggiana,0.0,Summer,1993,1993/1994
Cornelio Donati,35,Right-Back,Retired,0.0,Summer,1993,1993/1994
Stefano Cuoghi,33,Defensive Midfield,Retired,0.0,Summer,1993,1993/1994
Sergio Berti,24,Left Midfield,River Plate,0.0,Summer,1993,1993/1994
Néstor Sensini,27,Centre-Back,Udinese,1500000.0,Winter,1993,1993/1994
Roberto Colacone,19,Second Striker,Parma U19,0.0,Winter,1993,1993/1994
Graziano Mannari,24,Centre-Forward,Fiorenzuola,0.0,Winter,1993,1993/1994
Dino Baggio,22,Defensive Midfield,Juventus,4500000.0,Summer,1994,1994/1995
Fernando Couto,24,Centre-Back,FC Porto,2700000.0,Summer,1994,1994/1995
Mario Massimo Caruso,24,Attacking Midfield,Napoli,0.0,Summer,1994,1994/1995
Massimo Susic,27,Centre-Back,AC Pisa,0.0,Summer,1994,1994/1995
Gianfranco Circati,23,defence,Salernitana,0.0,Summer,1994,1994/1995
Gianluca Hervatin,20,attack,Ancona,0.0,Summer,1994,1994/1995
Diego Pellegrini,23,Centre-Back,Vicenza,0.0,Summer,1994,1994/1995
Marcello Castellini,21,Centre-Back,Perugia,0.0,Summer,1994,1994/1995
Roberto Mussi,30,Right-Back,Torino,0.0,Summer,1994,1994/1995
Giovanni Galli,36,Goalkeeper,Torino,0.0,Summer,1994,1994/1995
Marco Branca,29,Centre-Forward,Udinese,0.0,Summer,1994,1994/1995
Gianluigi Buffon,16,Goalkeeper,Parma U19,0.0,Summer,1994,1994/1995
Roberto Maltagliati,25,Centre-Back,Torino,0.0,Summer,1994,1994/1995
Marco Ferrari,27,Goalkeeper,Forlì,0.0,Summer,1994,1994/1995
Gianfranco Circati,23,defence,Salernitana,0.0,Summer,1994,1994/1995
Davide Falcioni,19,Goalkeeper,Fano,0.0,Summer,1994,1994/1995
Salvatore Matrecano,23,Centre-Back,Napoli,0.0,Summer,1994,1994/1995
Daniele Zoratto,32,Central Midfield,Padova,0.0,Summer,1994,1994/1995
Alessandro Melli,24,Centre-Forward,Sampdoria,0.0,Summer,1994,1994/1995
Marco Ballotta,30,Goalkeeper,Brescia,0.0,Summer,1994,1994/1995
David Balleri,25,Right-Back,Padova,0.0,Summer,1994,1994/1995
Roberto Colacone,20,Second Striker,Carrarese,0.0,Summer,1994,1994/1995
Georges Grün,32,Centre-Back,RSC Anderlecht,0.0,Summer,1994,1994/1995
Stefano Fiore,19,Attacking Midfield,Cosenza,750000.0,Winter,1994,1994/1995
Marco Branca,29,Centre-Forward,AS Roma,0.0,Winter,1994,1994/1995
Gianluca Hervatin,20,attack,Calcio Monza,0.0,Winter,1994,1994/1995
Mario Massimo Caruso,25,Attacking Midfield,Lucchese,0.0,Winter,1994,1994/1995
Hristo Stoichkov,29,Left Winger,Barcelona,11000000.0,Summer,1995,1995/1996
Fabio Cannavaro,21,Centre-Back,Napoli,6700000.0,Summer,1995,1995/1996
Filippo Inzaghi,21,Centre-Forward,Piacenza,3050000.0,Summer,1995,1995/1996
Alessandro Nista,29,Goalkeeper,Ancona,0.0,Summer,1995,1995/1996
Monye Precious Onyabor,20,midfield,Reggiana,0.0,Summer,1995,1995/1996
Ferdinando Piro,18,attack,ASG Nocerina,0.0,Summer,1995,1995/1996
Alberto Mantelli,23,defence,AC Crevalcore,0.0,Summer,1995,1995/1996
Tarcisio Catanese,27,midfield,Ancona,0.0,Summer,1995,1995/1996
Alessandro Melli,25,Centre-Forward,Milan,0.0,Summer,1995,1995/1996
Massimo Brambilla,22,Central Midfield,Calcio Monza,0.0,Summer,1995,1995/1996
Simone Barone,17,Central Midfield,Parma U19,0.0,Summer,1995,1995/1996
Stefano Fiore,20,Attacking Midfield,Padova,-1500000.0,Summer,1995,1995/1996
Diego Pellegrini,24,Centre-Back,Ancona,0.0,Summer,1995,1995/1996
Rocco Bacchini,21,Goalkeeper,Palazzolo,0.0,Summer,1995,1995/1996
Alberto Mantelli,23,defence,Modena,0.0,Summer,1995,1995/1996
Gianluca Franchini,22,Defensive Midfield,Ancona,0.0,Summer,1995,1995/1996
Giovanni Galli,37,Goalkeeper,Lucchese,0.0,Summer,1995,1995/1996
Gianluca Falsini,19,Left-Back,Gualdo,0.0,Summer,1995,1995/1996
Mario Massimo Caruso,25,Attacking Midfield,Modena,0.0,Summer,1995,1995/1996
Monye Precious Onyabor,20,midfield,Videoton FC,0.0,Summer,1995,1995/1996
Vasile Miriuta,27,Attacking Midfield,ETO FC Győr,130000.0,Winter,1995,1995/1996
Faustino Asprilla,26,Centre-Forward,Newcastle,-7600000.0,Winter,1995,1995/1996
Tomas Brolin,25,Centre-Forward,Leeds,0.0,Winter,1995,1995/1996
Vasile Miriuta,27,Attacking Midfield,Videoton FC,0.0,Winter,1995,1995/1996
Hernán Crespo,21,Centre-Forward,River Plate,4130000.0,Summer,1996,1996/1997
Amaral,23,Defensive Midfield,Palmeiras,1000000.0,Summer,1996,1996/1997
Enrico Chiesa,25,Centre-Forward,Sampdoria,750000.0,Summer,1996,1996/1997
Lilian Thuram,24,Centre-Back,Monaco,0.0,Summer,1996,1996/1997
Pietro Strada,26,Left Midfield,Reggiana,0.0,Summer,1996,1996/1997
Alberto Mantelli,24,defence,Modena,0.0,Summer,1996,1996/1997
Gianluca Triuzzi,17,Centre-Forward,Taranto,0.0,Summer,1996,1996/1997
Daniel Bravo,33,Central Midfield,Paris SG,0.0,Summer,1996,1996/1997
Zé Maria,22,Right-Back,Flamengo,0.0,Summer,1996,1996/1997
Fernando Couto,26,Centre-Back,Barcelona,-5500000.0,Summer,1996,1996/1997
Hristo Stoichkov,30,Left Winger,Barcelona,-2400000.0,Summer,1996,1996/1997
Vasile Miriuta,27,Attacking Midfield,Ferencváros,-100000.0,Summer,1996,1996/1997
Filippo Inzaghi,22,Centre-Forward,Atalanta BC,-90000.0,Summer,1996,1996/1997
Ferdinando Piro,19,attack,Pro Patria,0.0,Summer,1996,1996/1997
Alberto Mantelli,24,defence,Pistoiese,0.0,Summer,1996,1996/1997
Massimo Susic,29,Centre-Back,Cremonese,0.0,Summer,1996,1996/1997
Monye Precious Onyabor,21,midfield,Reggiana,0.0,Summer,1996,1996/1997
Alberto Di Chiara,32,Left-Back,Perugia,0.0,Summer,1996,1996/1997
Gabriele Pin,34,Central Midfield,Piacenza,0.0,Summer,1996,1996/1997
Lorenzo Minotti,29,Sweeper,Cagliari Calcio,0.0,Summer,1996,1996/1997
Marcello Castellini,23,Centre-Back,Perugia,0.0,Summer,1996,1996/1997
Reynald Pedros,25,Left Midfield,Marseille,3300000.0,Winter,1996,1996/1997
Mario Stanic,24,Right Winger,Club Brugge,0.0,Winter,1996,1996/1997
Tomas Brolin,27,Centre-Forward,Leeds,0.0,Winter,1996,1996/1997
Gianfranco Zola,30,Second Striker,Chelsea,-6200000.0,Winter,1996,1996/1997
Massimo Brambilla,23,Central Midfield,Bologna,0.0,Winter,1996,1996/1997
Tarcisio Catanese,29,midfield,Como,0.0,Winter,1996,1996/1997
Luca Bucci,27,Goalkeeper,Perugia,0.0,Winter,1996,1996/1997
Jesper Blomqvist,23,Left Midfield,Milan,5000000.0,Summer,1997,1997/1998
Adaílton,20,Second Striker,Guarani,1500000.0,Summer,1997,1997/1998
Matteo Guardalben,23,Goalkeeper,Hellas Verona,1000000.0,Summer,1997,1997/1998
Stefano Fiore,22,Attacking Midfield,Chievo Verona,1000000.0,Summer,1997,1997/1998
Mauro Milanese,25,Left-Back,Napoli,600000.0,Summer,1997,1997/1998
