player_name,age,position,club_involved,fee,transfer_period,year,season
Milan Rapaic,22,Left Midfield,Hajduk Split,750000.0,Summer,1996,1996/1997
Salvatore Matrecano,25,Centre-Back,Udinese,0.0,Summer,1996,1996/1997
Martino Traversa,22,Right-Back,Pescara,0.0,Summer,1996,1996/1997
Müller,30,Second Striker,Palmeiras,0.0,Summer,1996,1996/1997
Maurizio Baciocchi,19,attack,Centese,0.0,Summer,1996,1996/1997
Gianpaolo Spagnulo,31,Goalkeeper,Genoa,0.0,Summer,1996,1996/1997
Giovanni Renna,17,midfield,Taranto,0.0,Summer,1996,1996/1997
Aleksandar Kocić,27,Goalkeeper,Vojvodina,0.0,Summer,1996,1996/1997
Michel Kreek,25,Left-Back,Padova,0.0,Summer,1996,1996/1997
Carmine Gautieri,25,Right Winger,Bari,0.0,Summer,1996,1996/1997
Edoardo Artistico,27,Centre-Forward,Ancona,0.0,Summer,1996,1996/1997
Marcello Castellini,23,Centre-Back,AC Parma,0.0,Summer,1996,1996/1997
Fausto Pizzi,28,Attacking Midfield,Napoli,0.0,Summer,1996,1996/1997
Alberto Di Chiara,32,Left-Back,AC Parma,0.0,Summer,1996,1996/1997
Pietro Vierchowod,37,Centre-Back,Juventus,0.0,Summer,1996,1996/1997
Antonio Manicone,29,Defensive Midfield,Inter,0.0,Summer,1996,1996/1997
Pasquale Suppa,28,Right Winger,Padova,0.0,Summer,1996,1996/1997
Simone Braglia,33,Goalkeeper,Lucchese,0.0,Summer,1996,1996/1997
Alberto Briaschi,32,Centre-Forward,Ancona,0.0,Summer,1996,1996/1997
Andrea Camplone,29,defence,Ancona,0.0,Summer,1996,1996/1997
Claudio Lombardo,33,defence,Lucchese,0.0,Summer,1996,1996/1997
Rocco Pagano,32,Right Midfield,Ancona,0.0,Summer,1996,1996/1997
Paolo Fabbri,29,Goalkeeper,Fiorenzuola,0.0,Summer,1996,1996/1997
Davide Faieta,20,midfield,Catania,0.0,Summer,1996,1996/1997
Adriano Meacci,29,attack,Ancona,0.0,Summer,1996,1996/1997
Daniele Russo,22,Attacking Midfield,Pistoiese,0.0,Summer,1996,1996/1997
Davide Baiocco,21,Defensive Midfield,Fano,0.0,Summer,1996,1996/1997
Pietro Vierchowod,37,Centre-Back,Milan,0.0,Summer,1996,1996/1997
Gianluca Atzori,25,defence,Reggina,0.0,Summer,1996,1996/1997
Massimo Beghetto,27,Left-Back,Vicenza,0.0,Summer,1996,1996/1997
Paolo Baldieri,31,attack,Savoia,0.0,Summer,1996,1996/1997
Pasquale Rocco,25,Defensive Midfield,Torino,0.0,Summer,1996,1996/1997
Marco Materazzi,22,Centre-Back,Carpi,0.0,Summer,1996,1996/1997
Andrea Colombini,22,defence,Retired,0.0,Summer,1996,1996/1997
Paolo Grossi,27,defence,Fermana,0.0,Summer,1996,1996/1997
Bratislav Mijalkovic,25,defence,Partizan,0.0,Winter,1996,1996/1997
Luca Bucci,27,Goalkeeper,AC Parma,0.0,Winter,1996,1996/1997
Petter Rudi,23,Central Midfield,Molde,0.0,Winter,1996,1996/1997
Emiliano Testini,19,Left Winger,Perugia U19,0.0,Winter,1996,1996/1997
Edoardo Artistico,27,Centre-Forward,Salernitana,0.0,Winter,1996,1996/1997
Massimiliano Allegri,29,Central Midfield,Padova,0.0,Winter,1996,1996/1997
Aleksandar Kocić,27,Goalkeeper,Levante,0.0,Winter,1996,1996/1997
Hidetoshi Nakata,21,Attacking Midfield,Bellm. Hiratsuka,3500000.0,Summer,1998,1998/1999
Tomislav Erceg,26,Centre-Forward,Ancona,0.0,Summer,1998,1998/1999
Paulo da Silva,18,Centre-Back,Cerro Porteño,0.0,Summer,1998,1998/1999
Sean Sogliano,27,Centre-Back,Ravenna,0.0,Summer,1998,1998/1999
Andrea Carboni,20,midfield,Sambenedettese,0.0,Summer,1998,1998/1999
Gianluca Ricci,30,Centre-Back,Ancona,0.0,Summer,1998,1998/1999
Davide Tentoni,27,midfield,Ancona,0.0,Summer,1998,1998/1999
Emerson Pereira,24,Second Striker,Colo Colo,0.0,Summer,1998,1998/1999
Mirko Ventura,18,midfield,Ancona Youth,0.0,Summer,1998,1998/1999
Andrea Sussi,24,Left-Back,Ascoli,0.0,Summer,1998,1998/1999
Pietro Strada,28,Left Midfield,AC Parma,0.0,Summer,1998,1998/1999
Diego Pellegrini,27,Centre-Back,Ancona,0.0,Summer,1998,1998/1999
Roberto Ripa,30,Centre-Back,Ancona,0.0,Summer,1998,1998/1999
Giovanni Tedesco,26,Central Midfield,Salernitana,0.0,Summer,1998,1998/1999
Zé Maria,24,Right-Back,AC Parma,0.0,Summer,1998,1998/1999
Sergio Campolo,26,Central Midfield,Ancona,0.0,Summer,1998,1998/1999
