player_name,age,position,club_involved,fee,transfer_period,year,season
Tore André Flo,30,Centre-Forward,Sunderland,1500000.0,Summer,2003,2003/2004
Generoso Rossi,24,Goalkeeper,AC Venezia 1907,800000.0,Summer,2003,2003/2004
Carlos Arano,23,Left-Back,Racing Club,400000.0,Summer,2003,2003/2004
Enrico Chiesa,32,Centre-Forward,Lazio,0.0,Summer,2003,2003/2004
Daniele Delli Carri,31,Centre-Back,Torino,0.0,Summer,2003,2003/2004
Bruno Cirillo,26,Centre-Back,Lecce,0.0,Summer,2003,2003/2004
Konstantinos Louboutis,24,Left-Back,Perugia,0.0,Summer,2003,2003/2004
Gianni Guigou,28,Defensive Midfield,AS Roma,0.0,Summer,2003,2003/2004
Leandro Cufré,25,Left-Back,AS Roma,0.0,Summer,2003,2003/2004
Andrea Ardito,26,Defensive Midfield,Bologna,0.0,Summer,2003,2003/2004
Fernando,22,Defensive Midfield,Juventude,0.0,Summer,2003,2003/2004
Paolo Foglio,27,Right-Back,Atalanta BC,0.0,Summer,2003,2003/2004
Roberto D'Aversa,27,Central Midfield,Ternana,0.0,Summer,2003,2003/2004
Nicola Ventola,25,Centre-Forward,Inter,0.0,Summer,2003,2003/2004
Luigi Martinelli,32,Right-Back,Ascoli,0.0,Summer,2003,2003/2004
Lampros Vangelis,21,Central Midfield,PAOK Salonika,0.0,Summer,2003,2003/2004
André Leone,24,Centre-Back,Ituano,0.0,Summer,2003,2003/2004
Pierpaolo Bresciani,32,Right Winger,US Sansovino,0.0,Summer,2003,2003/2004
Christian Scalzo,31,attack,Spezia,0.0,Summer,2003,2003/2004
Reinaldo,19,Attacking Midfield,Quilmes,0.0,Summer,2003,2003/2004
Stefano Ghirardello,30,Centre-Forward,Genoa,0.0,Summer,2003,2003/2004
Luca Cavallo,30,Right Midfield,Genoa,0.0,Summer,2003,2003/2004
Ruggero Radice,31,Left-Back,Piacenza,0.0,Summer,2003,2003/2004
Davide Mandelli,26,Centre-Back,Torino,0.0,Summer,2003,2003/2004
Massimo Brambilla,30,Central Midfield,Cagliari Calcio,0.0,Summer,2003,2003/2004
Aliyu Datti,21,Centre-Forward,Standard Liège,0.0,Summer,2003,2003/2004
Matteo Gianello,27,Goalkeeper,Cisco Lodigiani,0.0,Summer,2003,2003/2004
Andrea Mazzantini,34,Goalkeeper,Retired,0.0,Summer,2003,2003/2004
Giuseppe Taglialatela,34,Goalkeeper,Without Club,0.0,Summer,2003,2003/2004
Daniele Martinelli,21,Centre-Back,Torino,0.0,Summer,2003,2003/2004
Ghislain Akassou,28,Centre-Back,Pistoiese,0.0,Summer,2003,2003/2004
André Pinga,22,Attacking Midfield,Torino,0.0,Summer,2003,2003/2004
Alessandro Agostini,23,Left-Back,Empoli,0.0,Summer,2003,2003/2004
Andrea Ardito,26,Defensive Midfield,Bologna,0.0,Summer,2003,2003/2004
Roque Júnior,27,Centre-Back,AC Milan,0.0,Winter,2003,2003/2004
Júnior,30,Left-Back,AC Parma,0.0,Winter,2003,2003/2004
Simone Vergassola,27,Defensive Midfield,Torino,0.0,Winter,2003,2003/2004
Nikola Lazetic,25,Right Midfield,Lazio,0.0,Winter,2003,2003/2004
Juarez,30,Right-Back,Bologna,0.0,Winter,2003,2003/2004
Vincenzo Riccio,29,Central Midfield,Benevento,0.0,Winter,2003,2003/2004
Antonio Morello,26,Right Winger,Catanzaro,0.0,Winter,2003,2003/2004
Simone Bonomi,23,Left-Back,Chievo Verona,0.0,Winter,2003,2003/2004
Carlos Arano,23,Left-Back,Perugia,0.0,Winter,2003,2003/2004
Paolo Foglio,28,Right-Back,Genoa,0.0,Winter,2003,2003/2004
Raffaele Rubino,25,Centre-Forward,Novara,0.0,Winter,2003,2003/2004
Adriano Zancopè,32,Goalkeeper,Modena,0.0,Summer,2004,2004/2005
Daniele Portanova,25,Centre-Back,Napoli,0.0,Summer,2004,2004/2005
Marco Carparelli,28,Second Striker,Como,0.0,Summer,2004,2004/2005
Gennaro Esposito,19,Defensive Midfield,Napoli,0.0,Summer,2004,2004/2005
Alfonso Camorani,26,Central Midfield,Fiorentina,0.0,Summer,2004,2004/2005
Matteo Serafini,26,Centre-Forward,Arezzo,0.0,Summer,2004,2004/2005
Mattia Graffiedi,24,Centre-Forward,Fiorentina,0.0,Summer,2004,2004/2005
Simone Marini,22,Centre-Forward,Benevento,0.0,Summer,2004,2004/2005
Gianluca Falsini,28,Left-Back,Reggina,0.0,Summer,2004,2004/2005
Francesco Colonnese,32,Centre-Back,Lazio,0.0,Summer,2004,2004/2005
Davide Chiumiento,19,Attacking Midfield,Juventus,0.0,Summer,2004,2004/2005
Daniele Di Donato,27,Central Midfield,US Palermo,0.0,Summer,2004,2004/2005
Davide Nicola,31,Right-Back,Ternana,0.0,Summer,2004,2004/2005
