player_name,age,position,club_involved,fee,transfer_period,year,season
Massimo Taibi,28,Goalkeeper,Milan,0.0,Summer,1998,1998/1999
Roberto Franzese,17,Central Midfield,AC Thiene,0.0,Summer,1998,1998/1999
Luigi Giandomenico,19,Attacking Midfield,Juventus U19,0.0,Summer,1998,1998/1999
Fabian Natale Valtolina,27,Left Winger,Piacenza,0.0,Summer,1998,1998/1999
Andrea De Cecco,19,midfield,Sandonà,0.0,Summer,1998,1998/1999
Kenneth Zeigbo,21,Centre-Forward,Legia Warszawa,0.0,Summer,1998,1998/1999
Enrico Buonocore,26,Second Striker,Ravenna,0.0,Summer,1998,1998/1999
Tácio,17,Attacking Midfield,EC Vitória,0.0,Summer,1998,1998/1999
Daniele Carnasciali,31,Right-Back,Bologna,0.0,Summer,1998,1998/1999
Andrea Soncin,19,Centre-Forward,Solbiatese Arno Calcio,0.0,Summer,1998,1998/1999
Filippo Maniero,25,Centre-Forward,Milan,0.0,Summer,1998,1998/1999
Fábio Bilica,19,Centre-Back,EC Bahia,0.0,Summer,1998,1998/1999
Tomislav Rukavina,23,Right Midfield,Croatia Zagreb,0.0,Summer,1998,1998/1999
Ivone De Franceschi,24,Left Winger,Padova,0.0,Summer,1998,1998/1999
Sergio Volpi,24,Central Midfield,Bari,0.0,Summer,1998,1998/1999
Hiroshi Nanami,25,Left Midfield,Júbilo Iwata,0.0,Summer,1998,1998/1999
Marco Fabris,17,Centre-Back,Venezia FC U19,0.0,Summer,1998,1998/1999
Roberto Antonioli,30,midfield,SPAL,0.0,Summer,1998,1998/1999
Stefano Polesel,23,attack,Padova,0.0,Summer,1998,1998/1999
Marco Cento,22,midfield,Ternana,0.0,Summer,1998,1998/1999
Michele Cossato,28,attack,Atalanta BC,0.0,Summer,1998,1998/1999
Giancarlo Filippini,29,Centre-Back,Hellas Verona,0.0,Summer,1998,1998/1999
Ciro Ginestra,18,Centre-Forward,SPAL,0.0,Summer,1998,1998/1999
Fabio Bazzani,21,Centre-Forward,Varese,0.0,Summer,1998,1998/1999
Francesco Ciullo,18,attack,Sandonà,0.0,Summer,1998,1998/1999
Mauro Bianchi,18,Centre-Back,Calcio Monza,0.0,Summer,1998,1998/1999
Gerhard Poschner,29,Defensive Midfield,VfB Stuttgart,0.0,Winter,1998,1998/1999
Pablo Pinones-Arce,17,Centre-Forward,Brommapojkarna,0.0,Winter,1998,1998/1999
Alessandro Pistone,23,Left-Back,Newcastle,0.0,Winter,1998,1998/1999
Álvaro Recoba,22,Second Striker,Inter,0.0,Winter,1998,1998/1999
Augustine Ahinful,24,Centre-Forward,Leiria,0.0,Winter,1998,1998/1999
Stefan Schwoch,29,Centre-Forward,Napoli,0.0,Winter,1998,1998/1999
Pierpaolo Bresciani,28,Right Winger,Reggiana,0.0,Winter,1998,1998/1999
Tácio,18,Attacking Midfield,EC Vitória,0.0,Winter,1998,1998/1999
Enrico Buonocore,27,Second Striker,Ternana,0.0,Winter,1998,1998/1999
Luigi Giandomenico,20,Attacking Midfield,Arezzo,0.0,Winter,1998,1998/1999
Stefano Gioacchini,22,Second Striker,Coventry,0.0,Winter,1998,1998/1999
Stefano Bettarini,27,Left-Back,Fiorentina,2000000.0,Summer,1999,1999/2000
Dejan Petkovic,26,Attacking Midfield,EC Vitória,0.0,Summer,1999,1999/2000
Michael Konsel,37,Goalkeeper,AS Roma,0.0,Summer,1999,1999/2000
Runar Berg,28,Central Midfield,Rosenborg,0.0,Summer,1999,1999/2000
Rubén Maldonado,20,Centre-Back,Olimpia,0.0,Summer,1999,1999/2000
Fabrizio Casazza,28,Goalkeeper,Torino,0.0,Summer,1999,1999/2000
Giampiero Maini,27,Defensive Midfield,Bologna,0.0,Summer,1999,1999/2000
Igor Budan,19,Centre-Forward,HNK Rijeka,0.0,Summer,1999,1999/2000
Rosario La Marca,19,midfield,Atletico Catania,0.0,Summer,1999,1999/2000
Massimo Borgobello,28,Centre-Forward,Ternana,0.0,Summer,1999,1999/2000
Francesco Benussi,17,Goalkeeper,Venezia FC U19,0.0,Summer,1999,1999/2000
Tuta,25,Centre-Forward,Atlético-PR,0.0,Summer,1999,1999/2000
Massimo Taibi,29,Goalkeeper,Man Utd,0.0,Summer,1999,1999/2000
Fabiano Ballarin,26,Left-Back,Treviso,0.0,Summer,1999,1999/2000
Alessio Bandieri,25,Goalkeeper,Napoli,0.0,Summer,1999,1999/2000
Mauro Zironelli,29,midfield,Chievo Verona,0.0,Summer,1999,1999/2000
Kenneth Zeigbo,22,Centre-Forward,Al-Ain FC,0.0,Summer,1999,1999/2000
Andrea De Cecco,20,midfield,Sandonà,0.0,Summer,1999,1999/2000
Rosario La Marca,19,midfield,Avellino,0.0,Summer,1999,1999/2000
Tomislav Rukavina,24,Right Midfield,Dinamo Zagreb,0.0,Summer,1999,1999/2000
Roberto Franzese,18,Central Midfield,Unknown,0.0,Summer,1999,1999/2000
Gerhard Poschner,29,Defensive Midfield,Rayo Vallecano,0.0,Summer,1999,1999/2000
Ivone De Franceschi,25,Left Winger,Sporting CP,0.0,Summer,1999,1999/2000
Marco Fabris,18,Centre-Back,Sandonà,0.0,Summer,1999,1999/2000
Alessandro Pistone,23,Left-Back,Newcastle,0.0,Summer,1999,1999/2000
Álvaro Recoba,23,Second Striker,Inter,0.0,Summer,1999,1999/2000
Augustine Ahinful,24,Centre-Forward,Leiria,0.0,Summer,1999,1999/2000
Bruno N'Gotty,28,Centre-Back,Milan,4500000.0,Winter,1999,1999/2000
Maurizio Ganz,31,Centre-Forward,Milan,0.0,Winter,1999,1999/2000
Tomislav Rukavina,25,Right Midfield,Dinamo Zagreb,0.0,Winter,1999,1999/2000
Robert Ibertsberger,22,Right-Back,Austria Salzb.,0.0,Winter,1999,1999/2000
Ciro Ginestra,20,Centre-Forward,Ternana,0.0,Winter,1999,1999/2000
