player_name,age,position,club_involved,fee,transfer_period,year,season
Tomas Ujfalusi,26,Centre-Back,Hamburger SV,7500000.0,Summer,2004,2004/2005
Fabrizio Miccoli,25,Centre-Forward,Juventus,7000000.0,Summer,2004,2004/2005
Giorgio Chiellini,19,Centre-Back,AS Livorno,6500000.0,Summer,2004,2004/2005
Dario Dainelli,25,Centre-Back,Brescia,5500000.0,Summer,2004,2004/2005
Christian Obodo,20,Central Midfield,Perugia,2500000.0,Summer,2004,2004/2005
Gianni Guigou,29,Defensive Midfield,AS Roma,0.0,Summer,2004,2004/2005
Hidetoshi Nakata,27,Attacking Midfield,Parma,0.0,Summer,2004,2004/2005
Javier Portillo,22,Centre-Forward,Real Madrid,0.0,Summer,2004,2004/2005
Martin Jörgensen,28,Central Midfield,Udinese,0.0,Summer,2004,2004/2005
Cristiano Lupatelli,26,Goalkeeper,AS Roma,0.0,Summer,2004,2004/2005
Jaime Valdés,23,midfield,Bari,0.0,Summer,2004,2004/2005
Daniele Delli Carri,32,Centre-Back,Siena,0.0,Summer,2004,2004/2005
Enzo Maresca,24,Central Midfield,Juventus,0.0,Summer,2004,2004/2005
Davide Carrus,25,Defensive Midfield,Bari,-2000000.0,Summer,2004,2004/2005
Francesco Scotti,21,Goalkeeper,Fermana,0.0,Summer,2004,2004/2005
Andrea Ivan,31,Goalkeeper,Pescara,0.0,Summer,2004,2004/2005
Riccardo Maspero,33,Attacking Midfield,Unknown,0.0,Summer,2004,2004/2005
Zisis Vryzas,30,Centre-Forward,Celta de Vigo,0.0,Summer,2004,2004/2005
Francesco Magnanelli,19,Defensive Midfield,Sangiovannese,0.0,Summer,2004,2004/2005
Julio de León,24,Attacking Midfield,Catanzaro,0.0,Summer,2004,2004/2005
Carlo Cherubini,27,Left-Back,Vicenza,0.0,Summer,2004,2004/2005
Alessandro Lucarelli,27,Centre-Back,AS Livorno,0.0,Summer,2004,2004/2005
Giacomo Brandi,23,Goalkeeper,Foggia,0.0,Summer,2004,2004/2005
Alfonso Camorani,26,Central Midfield,Siena,0.0,Summer,2004,2004/2005
Andrea Soncin,25,Centre-Forward,Virtus Lanciano,0.0,Summer,2004,2004/2005
Massimiliano Scaglia,27,Left-Back,Bari,0.0,Summer,2004,2004/2005
Michele Bacis,24,Centre-Back,Arezzo,0.0,Summer,2004,2004/2005
Mattia Graffiedi,24,Centre-Forward,Siena,0.0,Summer,2004,2004/2005
Daniele De Vezze,24,Central Midfield,Reggiana,0.0,Summer,2004,2004/2005
Antonio Rizzo,23,Right-Back,Spezia,0.0,Summer,2004,2004/2005
Roberto Ripa,36,Centre-Back,Retired,0.0,Summer,2004,2004/2005
Thomas Manfredini,24,Centre-Back,Udinese,0.0,Summer,2004,2004/2005
Valeri Bozhinov,18,Centre-Forward,Lecce,14000000.0,Winter,2004,2004/2005
Giampaolo Pazzini,20,Centre-Forward,Atalanta BC,6500000.0,Winter,2004,2004/2005
Marco Donadel,21,Defensive Midfield,AC Milan,0.0,Winter,2004,2004/2005
Gaetano Fontana,34,Central Midfield,Napoli,0.0,Winter,2004,2004/2005
Matthieu Bochu,24,Attacking Midfield,Ravenna,0.0,Winter,2004,2004/2005
Jaime Valdés,23,midfield,Lecce,0.0,Winter,2004,2004/2005
Javier Portillo,22,Centre-Forward,Real Madrid,0.0,Winter,2004,2004/2005
Luca Toni,28,Centre-Forward,US Palermo,10000000.0,Summer,2005,2005/2006
Manuel Pasqual,23,Left-Back,Arezzo,6000000.0,Summer,2005,2005/2006
Riccardo Montolivo,20,Defensive Midfield,Atalanta BC,5500000.0,Summer,2005,2005/2006
Alessandro Gamberini,23,Centre-Back,Bologna,3000000.0,Summer,2005,2005/2006
Marco Donadel,22,Defensive Midfield,AC Milan,1300000.0,Summer,2005,2005/2006
Michele Pazienza,22,Defensive Midfield,Udinese,700000.0,Summer,2005,2005/2006
Guly,23,Attacking Midfield,Perugia,0.0,Summer,2005,2005/2006
Cristian Brocchi,29,Central Midfield,AC Milan,0.0,Summer,2005,2005/2006
Stefano Fiore,30,Attacking Midfield,Valencia,0.0,Summer,2005,2005/2006
Sébastien Frey,25,Goalkeeper,Parma,0.0,Summer,2005,2005/2006
Marco Di Loreto,30,Centre-Back,Perugia,0.0,Summer,2005,2005/2006
Giuseppe Pancaro,33,Right-Back,AC Milan,0.0,Summer,2005,2005/2006
Giorgio Chiellini,20,Centre-Back,Juventus,-7700000.0,Summer,2005,2005/2006
Fabrizio Miccoli,26,Centre-Forward,Juventus,-2390000.0,Summer,2005,2005/2006
Daniele De Vezze,25,Central Midfield,Genoa,-100000.0,Summer,2005,2005/2006
Christian Obodo,21,Central Midfield,Udinese,0.0,Summer,2005,2005/2006
Luigi Piangerelli,31,Defensive Midfield,Brescia,0.0,Summer,2005,2005/2006
Daniele Delli Carri,33,Centre-Back,Pescara,0.0,Summer,2005,2005/2006
Sascha Pichler,19,Attacking Midfield,LASK,0.0,Summer,2005,2005/2006
William Viali,30,Centre-Back,Treviso,0.0,Summer,2005,2005/2006
Luca Ariatti,26,Central Midfield,Atalanta BC,0.0,Summer,2005,2005/2006
Davide Cascione,18,midfield,Pistoiese,0.0,Summer,2005,2005/2006
Matteo Sala,20,attack,Cremapergo,0.0,Summer,2005,2005/2006
Michele Arrigoni,19,midfield,Pergocrema,0.0,Summer,2005,2005/2006
Enrico Fantini,29,Centre-Forward,Torino,0.0,Summer,2005,2005/2006
Antonio Rizzo,24,Right-Back,Perugia,0.0,Summer,2005,2005/2006
Mirko Savini,26,Left-Back,Napoli,0.0,Summer,2005,2005/2006
Hidetoshi Nakata,28,Attacking Midfield,Bolton,0.0,Summer,2005,2005/2006
Cristiano Lupatelli,27,Goalkeeper,Parma,0.0,Summer,2005,2005/2006
Christian Riganó,31,Centre-Forward,Empoli,0.0,Summer,2005,2005/2006
Francesco Palmieri,29,Goalkeeper,Without Club,0.0,Summer,2005,2005/2006
Angelo Di Livio,38,Right Midfield,Retired,0.0,Summer,2005,2005/2006
Marco Donadel,22,Defensive Midfield,AC Milan,0.0,Summer,2005,2005/2006
Enzo Maresca,25,Central Midfield,Juventus,0.0,Summer,2005,2005/2006
Per Kröldrup,26,Centre-Back,Everton,4000000.0,Winter,2005,2005/2006
Luis Jiménez,21,Attacking Midfield,Ternana,2500000.0,Winter,2005,2005/2006
Bogdan Lobont,28,Goalkeeper,Ajax,1500000.0,Winter,2005,2005/2006
Gianluca Berti,38,Goalkeeper,Empoli,0.0,Winter,2005,2005/2006
Zisis Vryzas,32,Centre-Forward,Torino,0.0,Winter,2005,2005/2006
Sebastián Cejas,30,Goalkeeper,Empoli,0.0,Winter,2005,2005/2006
Matthieu Bochu,26,Attacking Midfield,FC Istres,0.0,Winter,2005,2005/2006
Gianni Guigou,30,Defensive Midfield,Treviso,0.0,Winter,2005,2005/2006
Cristiano Lupatelli,27,Goalkeeper,US Palermo,0.0,Winter,2005,2005/2006
Christian Maggio,23,Right-Back,Treviso,0.0,Winter,2005,2005/2006
Adrian Mutu,27,Centre-Forward,Juventus,8000000.0,Summer,2006,2006/2007
Sébastien Frey,26,Goalkeeper,Parma,5750000.0,Summer,2006,2006/2007
Mario Santana,24,Second Striker,US Palermo,5500000.0,Summer,2006,2006/2007
Massimo Gobbi,26,Left-Back,Treviso,3800000.0,Summer,2006,2006/2007
Reginaldo,22,Second Striker,Treviso,1500000.0,Summer,2006,2006/2007
Vlada Avramov,27,Goalkeeper,Vicenza,1200000.0,Summer,2006,2006/2007
Fabio Liverani,30,Defensive Midfield,Lazio,0.0,Summer,2006,2006/2007
Manuele Blasi,25,Central Midfield,Juventus,0.0,Summer,2006,2006/2007
Francesco Parravicini,24,Defensive Midfield,Treviso,0.0,Summer,2006,2006/2007
Alessandro Potenza,22,Centre-Back,Inter,0.0,Summer,2006,2006/2007
Davide Brivio,18,Left-Back,Fiorentina U19,0.0,Summer,2006,2006/2007
Gianni Guigou,31,Defensive Midfield,Treviso,-500000.0,Summer,2006,2006/2007
Marco Di Loreto,31,Centre-Back,Torino,-500000.0,Summer,2006,2006/2007
Christian Maggio,24,Right-Back,Sampdoria,-150000.0,Summer,2006,2006/2007
Gianluca Berti,39,Goalkeeper,Sampdoria,0.0,Summer,2006,2006/2007
Marco Roccati,31,Goalkeeper,Ivrea,0.0,Summer,2006,2006/2007
Christian Riganó,32,Centre-Forward,Messina Peloro,0.0,Summer,2006,2006/2007
Federico Bini,17,Goalkeeper,AC Pisa,0.0,Summer,2006,2006/2007
Giuseppe Pancaro,34,Right-Back,Torino,0.0,Summer,2006,2006/2007
Francesco Parravicini,24,Defensive Midfield,US Palermo,0.0,Summer,2006,2006/2007
Valeri Bozhinov,20,Centre-Forward,Juventus,0.0,Summer,2006,2006/2007
Vlada Avramov,27,Goalkeeper,Treviso,0.0,Summer,2006,2006/2007
Hidetoshi Nakata,29,Attacking Midfield,Retired,0.0,Summer,2006,2006/2007
Luis Jiménez,22,Attacking Midfield,Ternana,0.0,Summer,2006,2006/2007
Stefano Fiore,31,Attacking Midfield,Valencia,0.0,Summer,2006,2006/2007
Sébastien Frey,26,Goalkeeper,Parma,0.0,Summer,2006,2006/2007
Cristian Brocchi,30,Central Midfield,AC Milan,0.0,Summer,2006,2006/2007
Zdravko Kuzmanovic,19,Central Midfield,FC Basel,3000000.0,Winter,2006,2006/2007
Henry Okoroji,22,Centre-Back,Pro Vasto,0.0,Winter,2006,2006/2007
Bogdan Lobont,28,Goalkeeper,FC Dinamo,-1100000.0,Winter,2006,2006/2007
Guly,25,Attacking Midfield,Spezia,-75000.0,Winter,2006,2006/2007
Henry Okoroji,22,Centre-Back,Lok. Plovdiv,0.0,Winter,2006,2006/2007
Franco Semioli,27,Right Winger,Chievo Verona,6000000.0,Summer,2007,2007/2008
Anthony Vanden Borre,19,Right-Back,RSC Anderlecht,3800000.0,Summer,2007,2007/2008
Federico Balzaretti,25,Left-Back,Juventus,3800000.0,Summer,2007,2007/2008
Michele Pazienza,24,Defensive Midfield,Udinese,3150000.0,Summer,2007,2007/2008
Daniel Osvaldo,21,Centre-Forward,Atalanta BC,3000000.0,Summer,2007,2007/2008
Nikola Gulan,18,Defensive Midfield,Partizan,2800000.0,Summer,2007,2007/2008
Ondrej Mazuch,18,Centre-Back,1. FC Brno,2800000.0,Summer,2007,2007/2008
Jan Hable,18,Central Midfield,Hradec Kralove,800000.0,Summer,2007,2007/2008
Arturo Lupoli,20,Centre-Forward,Arsenal,0.0,Summer,2007,2007/2008
Christian Vieri,33,Centre-Forward,Atalanta BC,0.0,Summer,2007,2007/2008
David Mateo,20,Centre-Back,Fiorentina U19,0.0,Summer,2007,2007/2008
Andrea Paolucci,20,Defensive Midfield,Fiorentina U19,0.0,Summer,2007,2007/2008
Danilo D'Ambrosio,18,Centre-Back,Fiorentina U19,0.0,Summer,2007,2007/2008
Samuel Di Carmine,18,Centre-Forward,Fiorentina U19,0.0,Summer,2007,2007/2008
Luca Toni,30,Centre-Forward,Bayern Munich,-11000000.0,Summer,2007,2007/2008
Valeri Bozhinov,21,Centre-Forward,Man City,-8000000.0,Summer,2007,2007/2008
Reginaldo,23,Second Striker,Parma,-4500000.0,Summer,2007,2007/2008
Christian Maggio,25,Right-Back,Sampdoria,-3450000.0,Summer,2007,2007/2008
Daniele Cacia,24,Centre-Forward,Piacenza,-2900000.0,Summer,2007,2007/2008
Davide Brivio,19,Left-Back,Atalanta BC,-516000.0,Summer,2007,2007/2008
Henry Okoroji,23,Centre-Back,Chieti,0.0,Summer,2007,2007/2008
David Mateo,20,Centre-Back,Arezzo,0.0,Summer,2007,2007/2008
Nikola Gulan,18,Defensive Midfield,Partizan,0.0,Summer,2007,2007/2008
Michele Pazienza,24,Defensive Midfield,Udinese,0.0,Summer,2007,2007/2008
Manuele Blasi,26,Central Midfield,Juventus,0.0,Summer,2007,2007/2008
Manuel da Costa,21,Centre-Back,PSV Eindhoven,4500000.0,Winter,2007,2007/2008
