player_name,age,position,club_involved,fee,transfer_period,year,season
Carlo Sassarini,22,Left-Back,Barletta CS,0.0,Summer,1994,1994/1995
Paolo Annoni,24,Left-Back,Como,0.0,Summer,1994,1994/1995
Miguel Ángel Guerrero,26,Second Striker,Junior FC,0.0,Summer,1994,1994/1995
Roberto Cau,18,Right Midfield,Bari U19,0.0,Summer,1994,1994/1995
Nicola Legrottaglie,17,Centre-Back,Bari U19,0.0,Summer,1994,1994/1995
Giovanni Indiveri,19,Goalkeeper,Olbia,0.0,Summer,1994,1994/1995
Luigi Caggianelli,21,defence,Bisceglie,0.0,Summer,1994,1994/1995
Donato Gentile,19,midfield,Vigor Trani,0.0,Summer,1994,1994/1995
Fabio Di Domenico,18,attack,Molfetta,0.0,Summer,1994,1994/1995
Carmelo Puglisi,22,midfield,Rimini,0.0,Summer,1994,1994/1995
Maurizio Laureri,28,midfield,Como,0.0,Summer,1994,1994/1995
Berardino Capocchiano,28,Centre-Forward,Avellino,0.0,Summer,1994,1994/1995
Gabriele Grossi,22,Left-Back,Napoli,0.0,Summer,1994,1994/1995
Joao Paulo,29,attack,Vasco da Gama,0.0,Summer,1994,1994/1995
Angelo Colombo,33,Right Midfield,Marc. Stallions,0.0,Summer,1994,1994/1995
Michele Andrisani,20,Defensive Midfield,Palazzolo,0.0,Summer,1994,1994/1995
Luca Gentili,22,Goalkeeper,Barletta CS,0.0,Summer,1994,1994/1995
Massimiliano Tangorra,24,defence,Ancona,0.0,Winter,1994,1994/1995
Kennet Andersson,27,Centre-Forward,SM Caen,0.0,Summer,1995,1995/1996
Abel Xavier,22,Right-Back,Benfica,0.0,Summer,1995,1995/1996
Luigi Sala,21,Centre-Back,Como,0.0,Summer,1995,1995/1996
Carlo Tafuni,18,defence,Team Altamura,0.0,Summer,1995,1995/1996
Fabrizio Ficini,21,Defensive Midfield,Empoli,0.0,Summer,1995,1995/1996
Nicola Ventola,17,Centre-Forward,Bari U19,0.0,Summer,1995,1995/1996
Lorenzo Amoruso,24,Centre-Back,Fiorentina,0.0,Summer,1995,1995/1996
Emiliano Bigica,21,Defensive Midfield,Fiorentina,0.0,Summer,1995,1995/1996
Angelo Alessio,30,Right Winger,Cosenza,0.0,Summer,1995,1995/1996
Onofrio Barone,30,Central Midfield,Hellas Verona,0.0,Summer,1995,1995/1996
Sandro Tovalieri,30,Centre-Forward,Atalanta BC,0.0,Summer,1995,1995/1996
Carlo Sassarini,23,Left-Back,Massese,0.0,Summer,1995,1995/1996
Francesco Cotugno,20,defence,Unknown,0.0,Summer,1995,1995/1996
Nicola Fanelli,21,Goalkeeper,Bisceglie,0.0,Summer,1995,1995/1996
Roberto Ripa,28,Centre-Back,Udinese,375000.0,Winter,1995,1995/1996
Klas Ingesson,27,Defensive Midfield,Sheff Wed,0.0,Winter,1995,1995/1996
Miguel Ángel Guerrero,28,Second Striker,CP Mérida,0.0,Winter,1995,1995/1996
Roberto Cau,19,Right Midfield,Novara,0.0,Winter,1995,1995/1996
Gianluca Zambrotta,20,Right-Back,Como,0.0,Summer,1997,1997/1998
Gaetano De Rosa,24,Centre-Back,Savoia,0.0,Summer,1997,1997/1998
Carlo Sassarini,25,Left-Back,Como,0.0,Summer,1997,1997/1998
Paolo Giometti,19,attack,Rimini,0.0,Summer,1997,1997/1998
Mauro Bressan,26,Defensive Midfield,Cagliari Calcio,0.0,Summer,1997,1997/1998
Michele Marcolini,21,Central Midfield,Sora,0.0,Summer,1997,1997/1998
Philemon Masinga,28,Centre-Forward,Salernitana,0.0,Summer,1997,1997/1998
Gianluca Sordo,27,Right Midfield,Reggiana,0.0,Summer,1997,1997/1998
Francesco Mancini,28,Goalkeeper,Foggia,0.0,Summer,1997,1997/1998
Alberto Fontana,30,Goalkeeper,Atalanta BC,0.0,Summer,1997,1997/1998
Omar Lepri,20,defence,Tempio,0.0,Summer,1997,1997/1998
Marcello Montanari,31,Sweeper,Lucchese,0.0,Summer,1997,1997/1998
