player_name,age,position,club_involved,fee,transfer_period,year,season
Alessandro Grandoni,26,Centre-Back,Sampdoria,500000.0,Summer,2004,2004/2005
José Luís Vidigal,31,Central Midfield,Napoli,0.0,Summer,2004,2004/2005
Emmanuel Osei,22,Defensive Midfield,A.Sebatspor,0.0,Summer,2004,2004/2005
Alessandro Lucarelli,27,Centre-Back,Fiorentina,0.0,Summer,2004,2004/2005
Andrea Giallombardo,23,Left-Back,Catania,0.0,Summer,2004,2004/2005
Corrado Colombo,24,Centre-Forward,Sampdoria,0.0,Summer,2004,2004/2005
Nicolás Córdova,25,Central Midfield,Bari,0.0,Summer,2004,2004/2005
Cristiano Lucarelli,28,Centre-Forward,Torino,0.0,Summer,2004,2004/2005
Jorge Vargas,28,Centre-Back,Empoli,0.0,Summer,2004,2004/2005
Luca Mazzoni,20,Goalkeeper,Livorno,0.0,Summer,2004,2004/2005
Fabio Galante,30,Centre-Back,Without Club,0.0,Summer,2004,2004/2005
Giorgio Chiellini,19,Centre-Back,Fiorentina,-6500000.0,Summer,2004,2004/2005
Nicola Pavarini,30,Goalkeeper,Reggina,0.0,Summer,2004,2004/2005
Daniele Lotti,18,defence,Aglianese,0.0,Summer,2004,2004/2005
Tommaso Corucci,18,defence,Aglianese,0.0,Summer,2004,2004/2005
Nicolò Rossetti,19,attack,Pavia,0.0,Summer,2004,2004/2005
Andrea Rabito,24,Right Winger,Ternana,0.0,Summer,2004,2004/2005
Nicola Iannotti,19,Right Midfield,Rosetana,0.0,Summer,2004,2004/2005
Juriy Cannarsa,28,Right-Back,Reggina,0.0,Summer,2004,2004/2005
Richard Vanigli,33,Right-Back,Empoli,0.0,Summer,2004,2004/2005
Armando Perna,23,Centre-Back,Modena,0.0,Summer,2004,2004/2005
Emiliano Biliotti,29,Attacking Midfield,AC Venezia 1907,0.0,Summer,2004,2004/2005
Stefano Fanucci,25,Centre-Back,Pescara,0.0,Summer,2004,2004/2005
Luca Valtriani,19,attack,Without Club,0.0,Summer,2004,2004/2005
Maurizio Ciaramitaro,22,Central Midfield,US Palermo,0.0,Summer,2004,2004/2005
Andrea Rabito,24,Right Winger,AC Milan,0.0,Summer,2004,2004/2005
Paulinho,18,Centre-Forward,Juventude,100000.0,Winter,2004,2004/2005
Mario Licka,22,Attacking Midfield,Banik Ostrava,0.0,Winter,2004,2004/2005
Adrian Mutu,25,Centre-Forward,Without Club,0.0,Winter,2004,2004/2005
Adrian Mutu,26,Centre-Forward,Juventus,0.0,Winter,2004,2004/2005
Alessandro Evangelisti,23,Central Midfield,Prato,0.0,Winter,2004,2004/2005
